Orthogroup	Prbc	Syaa
OG0000004	Prbc.g_01381	Syaa.g_00892
OG0000004	Prbc.g_00339	Syaa.g_01667, Syaa.g_02116
OG0000005	Prbc.g_00098	Syaa.g_00534
OG0000005	Prbc.g_00788	Syaa.g_00573
OG0000006	Prbc.g_02202	Syaa.g_01043, Syaa.g_02353, Syaa.g_02099
OG0000007	Prbc.g_01556	Syaa.g_02032
OG0000007	Prbc.g_00832	Syaa.g_00551
OG0000008	Prbc.g_00893	Syaa.g_00918
OG0000008	Prbc.g_00894	Syaa.g_00919
OG0000010	Prbc.g_02115, Prbc.g_01533	Syaa.g_01843
OG0000013	Prbc.g_01219	Syaa.g_02204, Syaa.g_02217, Syaa.g_02212
OG0000014	Prbc.g_01198	Syaa.g_00222
OG0000014	Prbc.g_00680	Syaa.g_00481
OG0000015	Prbc.g_00599	Syaa.g_01079, Syaa.g_01989
OG0000016	Prbc.g_01083	Syaa.g_00014
OG0000016	Prbc.g_00929	Syaa.g_00981, Syaa.g_01481
OG0000017	Prbc.g_01681	Syaa.g_01890
OG0000018	Prbc.g_01468, Prbc.g_01887	Syaa.g_01801
OG0000019	Prbc.g_01836	Syaa.g_00307
OG0000021	Prbc.g_02189	Syaa.g_02627
OG0000022	Prbc.g_00166, Prbc.g_01288	Syaa.g_01571
OG0000023	Prbc.g_00006, Prbc.g_00047, Prbc.g_00071	Syaa.g_01529, Syaa.g_01216
OG0000024	Prbc.g_00598, Prbc.g_01755	Syaa.g_00922
OG0000025	Prbc.g_01115, Prbc.g_00528, Prbc.g_01894	Syaa.g_00839
OG0000026	Prbc.g_01101	Syaa.g_00038
OG0000027	Prbc.g_00072	Syaa.g_01605, Syaa.g_00854
OG0000028	Prbc.g_00653	Syaa.g_00205
OG0000030	Prbc.g_00199	Syaa.g_00099, Syaa.g_00098
OG0000031	Prbc.g_01228	Syaa.g_00480
OG0000032	Prbc.g_00746	Syaa.g_01818
OG0000033	Prbc.g_00402	Syaa.g_02478
OG0000034	Prbc.g_00575	Syaa.g_00722, Syaa.g_02444
OG0000035	Prbc.g_00709	Syaa.g_01773
OG0000037	Prbc.g_00464	Syaa.g_02384
OG0000038	Prbc.g_00995	Syaa.g_02596
OG0000039	Prbc.g_01768	Syaa.g_00846
OG0000040	Prbc.g_00909, Prbc.g_00811	Syaa.g_01606
OG0000041	Prbc.g_00877	Syaa.g_00660
OG0000042	Prbc.g_00203	Syaa.g_00103
OG0000043	Prbc.g_00135	Syaa.g_01437
OG0000045	Prbc.g_02137	Syaa.g_01560
OG0000046	Prbc.g_01220	Syaa.g_02218, Syaa.g_02211, Syaa.g_02205
OG0000047	Prbc.g_01273, Prbc.g_01227	Syaa.g_02189
OG0000048	Prbc.g_01165	Syaa.g_02719, Syaa.g_00275
OG0000050	Prbc.g_01383	Syaa.g_01591
OG0000053	Prbc.g_00728	Syaa.g_01797
OG0000054	Prbc.g_01683	Syaa.g_01691
OG0000055	Prbc.g_01822	Syaa.g_00852
OG0000055	Prbc.g_00907	Syaa.g_01564
OG0000057	Prbc.g_01780, Prbc.g_00055	Syaa.g_00889
OG0000058	Prbc.g_01928	Syaa.g_00193
OG0000059	Prbc.g_00958	Syaa.g_02315
OG0000061	Prbc.g_01446	Syaa.g_00770
OG0000063	Prbc.g_00932	Syaa.g_00042
