Orthogroup	Prbc	Prac
OG0000000	Prbc.g_02163, Prbc.g_00103	Prac.g_00159
OG0000000	Prbc.g_00104, Prbc.g_02164, Prbc.g_00806	Prac.g_00277
OG0000000	Prbc.g_02165	Prac.g_00292
OG0000000	Prbc.g_00525	Prac.g_00293, Prac.g_00926
OG0000002	Prbc.g_01920	Prac.g_00210
OG0000002	Prbc.g_01475, Prbc.g_01474, Prbc.g_01479, Prbc.g_01473, Prbc.g_01478, Prbc.g_01759	Prac.g_00693
OG0000004	Prbc.g_01381	Prac.g_00676
OG0000004	Prbc.g_00339	Prac.g_01698
OG0000005	Prbc.g_00098	Prac.g_00612
OG0000005	Prbc.g_00788	Prac.g_00335
OG0000006	Prbc.g_02202	Prac.g_01689
OG0000007	Prbc.g_01556	Prac.g_00874
OG0000007	Prbc.g_00832	Prac.g_00625
OG0000008	Prbc.g_00893	Prac.g_00904
OG0000010	Prbc.g_02115, Prbc.g_01533	Prac.g_01070
OG0000011	Prbc.g_00164	Prac.g_00152
OG0000011	Prbc.g_00136	Prac.g_00142
OG0000012	Prbc.g_02155	Prac.g_00748
OG0000013	Prbc.g_01219	Prac.g_01604
OG0000014	Prbc.g_01198	Prac.g_01625
OG0000015	Prbc.g_00599	Prac.g_00898
OG0000016	Prbc.g_01083	Prac.g_01934
OG0000017	Prbc.g_01681	Prac.g_00773
OG0000018	Prbc.g_01468	Prac.g_01004
OG0000018	Prbc.g_01887	Prac.g_01448
OG0000019	Prbc.g_01836	Prac.g_01496
OG0000020	Prbc.g_02114	Prac.g_01037
OG0000020	Prbc.g_00054	Prac.g_00906
OG0000020	Prbc.g_00116	Prac.g_00875, Prac.g_01598
OG0000021	Prbc.g_00924	Prac.g_01169
OG0000022	Prbc.g_00166	Prac.g_01510
OG0000022	Prbc.g_01288	Prac.g_01022
OG0000023	Prbc.g_00006, Prbc.g_00047, Prbc.g_00071	Prac.g_01174
OG0000024	Prbc.g_00598	Prac.g_01525
OG0000024	Prbc.g_01755	Prac.g_00696
OG0000025	Prbc.g_01115, Prbc.g_00528, Prbc.g_01894	Prac.g_01441, Prac.g_01600
OG0000026	Prbc.g_01101	Prac.g_01916, Prac.g_01241
OG0000027	Prbc.g_00072	Prac.g_01074
OG0000028	Prbc.g_00653	Prac.g_00145
OG0000030	Prbc.g_00199	Prac.g_00050
OG0000031	Prbc.g_01228	Prac.g_00249
OG0000033	Prbc.g_00402	Prac.g_01761
OG0000034	Prbc.g_00575	Prac.g_00185
OG0000035	Prbc.g_00709	Prac.g_00411
OG0000037	Prbc.g_00464	Prac.g_01822
OG0000038	Prbc.g_00995	Prac.g_00090
OG0000039	Prbc.g_01768	Prac.g_00685
OG0000040	Prbc.g_00811	Prac.g_00279
OG0000041	Prbc.g_00877	Prac.g_00579
OG0000042	Prbc.g_00203	Prac.g_00048
OG0000043	Prbc.g_01953	Prac.g_01405
OG0000044	Prbc.g_00533	Prac.g_00892
OG0000045	Prbc.g_02137	Prac.g_01162
OG0000047	Prbc.g_01273	Prac.g_01127
OG0000047	Prbc.g_01227	Prac.g_01601
OG0000048	Prbc.g_01165	Prac.g_01159
OG0000050	Prbc.g_00513	Prac.g_01220
OG0000053	Prbc.g_00728	Prac.g_01901, Prac.g_00391
OG0000054	Prbc.g_01683	Prac.g_00765
OG0000055	Prbc.g_01822	Prac.g_01495
OG0000057	Prbc.g_01780, Prbc.g_00055	Prac.g_00673
OG0000058	Prbc.g_01928	Prac.g_00258, Prac.g_00434
OG0000059	Prbc.g_00958	Prac.g_00500
OG0000061	Prbc.g_01446	Prac.g_00985
OG0000062	Prbc.g_00790	Prac.g_00333
OG0000063	Prbc.g_00932	Prac.g_01913, Prac.g_01914, Prac.g_00908
OG0000065	Prbc.g_00466	Prac.g_01824
OG0000066	Prbc.g_01618	Prac.g_00833
OG0000067	Prbc.g_01858	Prac.g_01475
OG0000068	Prbc.g_00657	Prac.g_00217
OG0000069	Prbc.g_02181, Prbc.g_00752	Prac.g_00890, Prac.g_00300
