Orthogroup	Prbc	Syaf
OG0000001	Prbc.g_00588, Prbc.g_00892, Prbc.g_01530, Prbc.g_00925	Syaf.g_01640
OG0000004	Prbc.g_01381	Syaf.g_01455
OG0000004	Prbc.g_00339	Syaf.g_02351, Syaf.g_02794
OG0000005	Prbc.g_00098	Syaf.g_01017
OG0000005	Prbc.g_00788	Syaf.g_01057
OG0000006	Prbc.g_02202	Syaf.g_00179, Syaf.g_02778
OG0000007	Prbc.g_01556	Syaf.g_02702
OG0000007	Prbc.g_00832	Syaf.g_01033
OG0000008	Prbc.g_00893	Syaf.g_01479
OG0000008	Prbc.g_00894	Syaf.g_01480
OG0000010	Prbc.g_02115, Prbc.g_01533	Syaf.g_02499
OG0000011	Prbc.g_00164	Syaf.g_01532
OG0000013	Prbc.g_01219	Syaf.g_00044, Syaf.g_00061, Syaf.g_00056
OG0000014	Prbc.g_01198	Syaf.g_00280
OG0000015	Prbc.g_00599	Syaf.g_02120, Syaf.g_02121
OG0000016	Prbc.g_01083	Syaf.g_00484
OG0000016	Prbc.g_00929	Syaf.g_01576, Syaf.g_01713
OG0000017	Prbc.g_01681	Syaf.g_02561
OG0000018	Prbc.g_01468, Prbc.g_01887	Syaf.g_02451
OG0000019	Prbc.g_01836	Syaf.g_00193
OG0000020	Prbc.g_02114, Prbc.g_00054, Prbc.g_00116	Syaf.g_02187
OG0000021	Prbc.g_00924	Syaf.g_01726
OG0000021	Prbc.g_02189	Syaf.g_02773
OG0000022	Prbc.g_00166, Prbc.g_01288	Syaf.g_02256
OG0000023	Prbc.g_00006, Prbc.g_00047, Prbc.g_00071	Syaf.g_01765, Syaf.g_01987, Syaf.g_01731, Syaf.g_01995
OG0000024	Prbc.g_00598, Prbc.g_01755	Syaf.g_01484
OG0000025	Prbc.g_01115, Prbc.g_00528, Prbc.g_01894	Syaf.g_01385
OG0000026	Prbc.g_01101	Syaf.g_00461
OG0000027	Prbc.g_00072	Syaf.g_02284, Syaf.g_01688
OG0000028	Prbc.g_00653	Syaf.g_00297
OG0000030	Prbc.g_00199	Syaf.g_00406, Syaf.g_00407
OG0000031	Prbc.g_01228	Syaf.g_01143
OG0000032	Prbc.g_00746	Syaf.g_02471
OG0000033	Prbc.g_00402	Syaf.g_00807
OG0000034	Prbc.g_00575	Syaf.g_01241, Syaf.g_00837
OG0000035	Prbc.g_00709	Syaf.g_02412
OG0000037	Prbc.g_00464	Syaf.g_00899
OG0000038	Prbc.g_00995	Syaf.g_00642
OG0000039	Prbc.g_01768	Syaf.g_01395
OG0000041	Prbc.g_00877	Syaf.g_01171
OG0000042	Prbc.g_00203	Syaf.g_00403
OG0000043	Prbc.g_00135	Syaf.g_01747
OG0000044	Prbc.g_00533	Syaf.g_01358, Syaf.g_01992
OG0000045	Prbc.g_02137	Syaf.g_00979
OG0000046	Prbc.g_01220	Syaf.g_00062, Syaf.g_00055, Syaf.g_00045
OG0000047	Prbc.g_01273, Prbc.g_01227	Syaf.g_00030
OG0000048	Prbc.g_01165	Syaf.g_00230
OG0000050	Prbc.g_01383	Syaf.g_01770
OG0000051	Prbc.g_00088, Prbc.g_00095	Syaf.g_00972
OG0000053	Prbc.g_00728	Syaf.g_02447
OG0000054	Prbc.g_01683	Syaf.g_02376
OG0000055	Prbc.g_01822	Syaf.g_01402
OG0000057	Prbc.g_01780, Prbc.g_00055	Syaf.g_01452
OG0000058	Prbc.g_01928	Syaf.g_00316
OG0000059	Prbc.g_00958	Syaf.g_00143
OG0000061	Prbc.g_01446	Syaf.g_01288
OG0000062	Prbc.g_00790	Syaf.g_02167
OG0000063	Prbc.g_00932	Syaf.g_00457
OG0000065	Prbc.g_00466	Syaf.g_00903
OG0000066	Prbc.g_01618	Syaf.g_02643
OG0000067	Prbc.g_01858	Syaf.g_02049
OG0000068	Prbc.g_00657	Syaf.g_02733
OG0000070	Prbc.g_01511	Syaf.g_01237
OG0000071	Prbc.g_00566	Syaf.g_01254
OG0000072	Prbc.g_00400	Syaf.g_00805
OG0000073	Prbc.g_01579	Syaf.g_02700
OG0000075	Prbc.g_00236	Syaf.g_00353
OG0000076	Prbc.g_00211	Syaf.g_00388
OG0000077	Prbc.g_00495	Syaf.g_00951
OG0000078	Prbc.g_00330	Syaf.g_02782
OG0000079	Prbc.g_01148	Syaf.g_00197
OG0000080	Prbc.g_00679	Syaf.g_00306
OG0000081	Prbc.g_01610	Syaf.g_02776
OG0000082	Prbc.g_00891	Syaf.g_02576
OG0000084	Prbc.g_00705	Syaf.g_02409
OG0000085	Prbc.g_00826	Syaf.g_01048
OG0000086	Prbc.g_00485	Syaf.g_00932
OG0000087	Prbc.g_00432	Syaf.g_00848
OG0000088	Prbc.g_00405	Syaf.g_00811
OG0000089	Prbc.g_01268	Syaf.g_02807
OG0000090	Prbc.g_01612	Syaf.g_02654
OG0000091	Prbc.g_01719	Syaf.g_02302
OG0000093	Prbc.g_01843	Syaf.g_01775
OG0000097	Prbc.g_01400	Syaf.g_01574
OG0000098	Prbc.g_00585	Syaf.g_01637
OG0000099	Prbc.g_01229	Syaf.g_00312
OG0000100	Prbc.g_00785	Syaf.g_02017
OG0000101	Prbc.g_00284	Syaf.g_00093
OG0000102	Prbc.g_00206	Syaf.g_00393
OG0000103	Prbc.g_01053	Syaf.g_00520
OG0000104	Prbc.g_01065	Syaf.g_00502
OG0000105	Prbc.g_01167	Syaf.g_00235
OG0000106	Prbc.g_00134, Prbc.g_00641	Syaf.g_01745
OG0000107	Prbc.g_00934	Syaf.g_00177
OG0000108	Prbc.g_01540	Syaf.g_02721
OG0000109	Prbc.g_01553	Syaf.g_02706
OG0000110	Prbc.g_01654	Syaf.g_02589
OG0000112	Prbc.g_02028	Syaf.g_01852
OG0000113	Prbc.g_01882, Prbc.g_00153	Syaf.g_02022
OG0000114	Prbc.g_01977	Syaf.g_02103
OG0000115	Prbc.g_00801	Syaf.g_02445
OG0000116	Prbc.g_01457	Syaf.g_01276
OG0000117	Prbc.g_00102	Syaf.g_01605
OG0000118	Prbc.g_00577	Syaf.g_02544
OG0000120	Prbc.g_01753	Syaf.g_00313
OG0000121	Prbc.g_00711	Syaf.g_02419
OG0000123	Prbc.g_00277	Syaf.g_00086
OG0000124	Prbc.g_00193	Syaf.g_00414
OG0000125	Prbc.g_00997	Syaf.g_00640
OG0000126	Prbc.g_01063	Syaf.g_00504
OG0000127	Prbc.g_01352, Prbc.g_00621	Syaf.g_01541
OG0000127	Prbc.g_01367	Syaf.g_01151
OG0000128	Prbc.g_01081	Syaf.g_00486
OG0000129	Prbc.g_01122	Syaf.g_00651
OG0000130	Prbc.g_00504	Syaf.g_00963
OG0000131	Prbc.g_00426	Syaf.g_00833
OG0000132	Prbc.g_00407	Syaf.g_00813
OG0000133	Prbc.g_01214	Syaf.g_01857
OG0000134	Prbc.g_01270	Syaf.g_02804
OG0000135	Prbc.g_02198, Prbc.g_02183	Syaf.g_00605
OG0000136	Prbc.g_01502	Syaf.g_01224
OG0000137	Prbc.g_01534	Syaf.g_02498
OG0000138	Prbc.g_01554	Syaf.g_02705
OG0000139	Prbc.g_01616	Syaf.g_02648
OG0000140	Prbc.g_01617	Syaf.g_02646
OG0000141	Prbc.g_01684	Syaf.g_02375
OG0000142	Prbc.g_01712	Syaf.g_02310
OG0000143	Prbc.g_01716	Syaf.g_02306
OG0000144	Prbc.g_01729	Syaf.g_01735
OG0000145	Prbc.g_02142	Syaf.g_02699
OG0000146	Prbc.g_02027	Syaf.g_01851
OG0000147	Prbc.g_02026	Syaf.g_01850
OG0000148	Prbc.g_01876	Syaf.g_02028
OG0000149	Prbc.g_01908	Syaf.g_01371
OG0000150	Prbc.g_01916	Syaf.g_02645
OG0000151	Prbc.g_01988	Syaf.g_02091
OG0000152	Prbc.g_02036	Syaf.g_01861
OG0000153	Prbc.g_02054	Syaf.g_01904
OG0000154	Prbc.g_02083	Syaf.g_01930
OG0000155	Prbc.g_01424	Syaf.g_01324
OG0000156	Prbc.g_00555	Syaf.g_01270
OG0000157	Prbc.g_00556	Syaf.g_01269
OG0000158	Prbc.g_00228	Syaf.g_00364
OG0000160	Prbc.g_00710	Syaf.g_02418
OG0000161	Prbc.g_00716	Syaf.g_02424
OG0000162	Prbc.g_00722	Syaf.g_02431
OG0000163	Prbc.g_00758	Syaf.g_01105
OG0000164	Prbc.g_00854	Syaf.g_00999
OG0000165	Prbc.g_00862	Syaf.g_01197
OG0000166	Prbc.g_00321	Syaf.g_00133
OG0000167	Prbc.g_00238	Syaf.g_00350
OG0000168	Prbc.g_00227	Syaf.g_00365
OG0000169	Prbc.g_00217	Syaf.g_00376
OG0000170	Prbc.g_00215	Syaf.g_00383
OG0000171	Prbc.g_00194	Syaf.g_00413
OG0000172	Prbc.g_00967	Syaf.g_00419
OG0000173	Prbc.g_00982	Syaf.g_00438
OG0000174	Prbc.g_01013	Syaf.g_00603
OG0000175	Prbc.g_01044	Syaf.g_00531
OG0000176	Prbc.g_01074	Syaf.g_00494
OG0000177	Prbc.g_01075	Syaf.g_00493
OG0000178	Prbc.g_01076	Syaf.g_00492
OG0000179	Prbc.g_01086	Syaf.g_00477
OG0000180	Prbc.g_01087	Syaf.g_00476
OG0000181	Prbc.g_01088	Syaf.g_00475
