Orthogroup	Prbc	Syac
OG0000001	Prbc.g_00588, Prbc.g_00892, Prbc.g_01530, Prbc.g_00925	Syac.g_02154
OG0000002	Prbc.g_01920, Prbc.g_01475, Prbc.g_01474, Prbc.g_01479, Prbc.g_01473, Prbc.g_01478, Prbc.g_01759	Syac.g_01084
OG0000004	Prbc.g_01381	Syac.g_00898
OG0000004	Prbc.g_00339	Syac.g_00948, Syac.g_01975
OG0000005	Prbc.g_00098	Syac.g_00527
OG0000005	Prbc.g_00788	Syac.g_00569
OG0000006	Prbc.g_02202	Syac.g_01958, Syac.g_01961, Syac.g_02194
OG0000007	Prbc.g_01556	Syac.g_01885
OG0000007	Prbc.g_00832	Syac.g_00544
OG0000008	Prbc.g_00893	Syac.g_00921
OG0000008	Prbc.g_00894	Syac.g_00922
OG0000010	Prbc.g_02115, Prbc.g_01533	Syac.g_01701
OG0000013	Prbc.g_01219	Syac.g_02046, Syac.g_02062, Syac.g_02056
OG0000014	Prbc.g_01198	Syac.g_00253
OG0000014	Prbc.g_00680	Syac.g_00100
OG0000015	Prbc.g_00599	Syac.g_01408
OG0000016	Prbc.g_01083	Syac.g_00014
OG0000016	Prbc.g_00929	Syac.g_01505, Syac.g_01053
OG0000017	Prbc.g_01681	Syac.g_01749
OG0000018	Prbc.g_01468, Prbc.g_01887	Syac.g_01660
OG0000019	Prbc.g_01836	Syac.g_02207
OG0000022	Prbc.g_00166, Prbc.g_01288	Syac.g_01031
OG0000023	Prbc.g_00006, Prbc.g_00047, Prbc.g_00071	Syac.g_00760
OG0000024	Prbc.g_00598, Prbc.g_01755	Syac.g_00925
OG0000025	Prbc.g_01115, Prbc.g_00528, Prbc.g_01894	Syac.g_00847
OG0000026	Prbc.g_01101	Syac.g_00034
OG0000027	Prbc.g_00072	Syac.g_01095
OG0000028	Prbc.g_00653	Syac.g_00237
OG0000030	Prbc.g_00199	Syac.g_00143, Syac.g_00142
OG0000032	Prbc.g_00746	Syac.g_01677
OG0000033	Prbc.g_00402	Syac.g_00304
OG0000034	Prbc.g_00575	Syac.g_00334, Syac.g_00715
OG0000035	Prbc.g_00709	Syac.g_01630
OG0000037	Prbc.g_00464	Syac.g_01077
OG0000038	Prbc.g_00995	Syac.g_02357, Syac.g_02358
OG0000039	Prbc.g_01768	Syac.g_00856, Syac.g_02378
OG0000040	Prbc.g_00909, Prbc.g_00811	Syac.g_01006
OG0000041	Prbc.g_00877	Syac.g_00655
OG0000042	Prbc.g_00203	Syac.g_00146
OG0000043	Prbc.g_00135	Syac.g_01100
OG0000045	Prbc.g_02137	Syac.g_01040
OG0000046	Prbc.g_01220	Syac.g_02063, Syac.g_02055, Syac.g_02047
OG0000047	Prbc.g_01273, Prbc.g_01227	Syac.g_02031
OG0000048	Prbc.g_01165	Syac.g_02240
OG0000051	Prbc.g_00095	Syac.g_01292
OG0000053	Prbc.g_00728	Syac.g_01657
OG0000054	Prbc.g_01683	Syac.g_00933
OG0000055	Prbc.g_01822	Syac.g_00859
OG0000055	Prbc.g_00907	Syac.g_01034
OG0000057	Prbc.g_01780, Prbc.g_00055	Syac.g_00894
OG0000058	Prbc.g_01928	Syac.g_00226
OG0000059	Prbc.g_00958	Syac.g_02142
OG0000061	Prbc.g_01446	Syac.g_00769
OG0000063	Prbc.g_00932	Syac.g_00037
OG0000065	Prbc.g_00466	Syac.g_00490, Syac.g_00396
OG0000066	Prbc.g_01618	Syac.g_01827
OG0000067	Prbc.g_01858	Syac.g_01341
OG0000068	Prbc.g_00657	Syac.g_01916
OG0000069	Prbc.g_02181, Prbc.g_00752	Syac.g_01272
OG0000070	Prbc.g_01511	Syac.g_00711
OG0000071	Prbc.g_00566	Syac.g_00729
OG0000072	Prbc.g_00400	Syac.g_00302
OG0000073	Prbc.g_01579	Syac.g_01883
OG0000075	Prbc.g_00236	Syac.g_00191
OG0000076	Prbc.g_00211	Syac.g_00156
OG0000077	Prbc.g_00495	Syac.g_00439
OG0000079	Prbc.g_01148	Syac.g_02211
OG0000081	Prbc.g_01610	Syac.g_01954
OG0000082	Prbc.g_00891	Syac.g_01766
OG0000084	Prbc.g_00705	Syac.g_01627
OG0000085	Prbc.g_00826	Syac.g_00560
OG0000086	Prbc.g_00485	Syac.g_00423
OG0000087	Prbc.g_00432	Syac.g_00343
OG0000088	Prbc.g_00405	Syac.g_00308
OG0000089	Prbc.g_01268	Syac.g_01988, Syac.g_01543
OG0000090	Prbc.g_01612	Syac.g_01836
OG0000091	Prbc.g_01719	Syac.g_00987
OG0000097	Prbc.g_01400	Syac.g_01507
OG0000098	Prbc.g_00585	Syac.g_02157
OG0000099	Prbc.g_01229	Syac.g_00234
OG0000100	Prbc.g_00785	Syac.g_01309
OG0000101	Prbc.g_00284	Syac.g_02094
OG0000102	Prbc.g_00206	Syac.g_00151
OG0000103	Prbc.g_01053	Syac.g_02476
OG0000104	Prbc.g_01065	Syac.g_02490
OG0000105	Prbc.g_01167	Syac.g_02245
OG0000106	Prbc.g_00134, Prbc.g_00641	Syac.g_01098
OG0000107	Prbc.g_00934	Syac.g_02191
OG0000108	Prbc.g_01540	Syac.g_01904
OG0000109	Prbc.g_01553	Syac.g_01889
OG0000110	Prbc.g_01654	Syac.g_01778
OG0000112	Prbc.g_02028	Syac.g_01173
OG0000113	Prbc.g_01882, Prbc.g_00153	Syac.g_01314
OG0000114	Prbc.g_01977	Syac.g_01394
OG0000115	Prbc.g_00801	Syac.g_01655
OG0000116	Prbc.g_01457	Syac.g_00753
OG0000117	Prbc.g_00102	Syac.g_01477
OG0000118	Prbc.g_00577	Syac.g_01728
OG0000120	Prbc.g_01753	Syac.g_00233
OG0000121	Prbc.g_00711	Syac.g_01635
OG0000122	Prbc.g_00750	Syac.g_01013
OG0000123	Prbc.g_00277	Syac.g_02086
OG0000124	Prbc.g_00193	Syac.g_00135
OG0000125	Prbc.g_00997	Syac.g_02360
OG0000126	Prbc.g_01063	Syac.g_02488
OG0000127	Prbc.g_01352, Prbc.g_00621	Syac.g_01547
OG0000128	Prbc.g_01081	Syac.g_00012
OG0000129	Prbc.g_01122	Syac.g_02349
OG0000130	Prbc.g_00504	Syac.g_00450
OG0000131	Prbc.g_00426	Syac.g_00330
OG0000132	Prbc.g_00407	Syac.g_00310
OG0000133	Prbc.g_01214	Syac.g_01178
OG0000134	Prbc.g_01270	Syac.g_01985
OG0000135	Prbc.g_02198, Prbc.g_02183	Syac.g_02398
OG0000136	Prbc.g_01502	Syac.g_00701
OG0000137	Prbc.g_01534	Syac.g_01700
OG0000138	Prbc.g_01554	Syac.g_01888
OG0000139	Prbc.g_01616	Syac.g_01830
OG0000140	Prbc.g_01617	Syac.g_01829
OG0000141	Prbc.g_01684	Syac.g_00934
OG0000142	Prbc.g_01712	Syac.g_00979
OG0000143	Prbc.g_01716	Syac.g_00983
OG0000144	Prbc.g_01729	Syac.g_01090
OG0000145	Prbc.g_02142	Syac.g_01882
OG0000146	Prbc.g_02027	Syac.g_01172
OG0000147	Prbc.g_02026	Syac.g_01171
OG0000148	Prbc.g_01876	Syac.g_01320
OG0000149	Prbc.g_01908	Syac.g_00832
OG0000150	Prbc.g_01916	Syac.g_00935
OG0000151	Prbc.g_01988	Syac.g_01383
OG0000152	Prbc.g_02036	Syac.g_01182
OG0000153	Prbc.g_02054	Syac.g_01217
OG0000154	Prbc.g_02083	Syac.g_01241
OG0000155	Prbc.g_01424	Syac.g_00804
OG0000156	Prbc.g_00555	Syac.g_00743
OG0000157	Prbc.g_00556	Syac.g_00742
OG0000158	Prbc.g_00228	Syac.g_00182
OG0000160	Prbc.g_00710	Syac.g_01633
OG0000161	Prbc.g_00716	Syac.g_01641
OG0000162	Prbc.g_00722	Syac.g_01648
OG0000163	Prbc.g_00758	Syac.g_00619
OG0000164	Prbc.g_00854	Syac.g_00508
OG0000165	Prbc.g_00862	Syac.g_00674
OG0000166	Prbc.g_00321	Syac.g_02132
OG0000167	Prbc.g_00238	Syac.g_00194
OG0000168	Prbc.g_00227	Syac.g_00179
OG0000169	Prbc.g_00217	Syac.g_00168
OG0000170	Prbc.g_00215	Syac.g_00161
OG0000171	Prbc.g_00194	Syac.g_00136
OG0000172	Prbc.g_00967	Syac.g_00084
OG0000173	Prbc.g_00982	Syac.g_00057
OG0000174	Prbc.g_01013	Syac.g_02401
OG0000175	Prbc.g_01044	Syac.g_02465
OG0000176	Prbc.g_01074	Syac.g_00004
OG0000177	Prbc.g_01075	Syac.g_00005
OG0000178	Prbc.g_01076	Syac.g_00006
OG0000179	Prbc.g_01086	Syac.g_00019
OG0000180	Prbc.g_01087	Syac.g_00020
OG0000181	Prbc.g_01088	Syac.g_00021
OG0000182	Prbc.g_01089	Syac.g_00022
OG0000183	Prbc.g_01093	Syac.g_00026
OG0000184	Prbc.g_01124	Syac.g_02339
OG0000185	Prbc.g_01127	Syac.g_02336
OG0000186	Prbc.g_00509	Syac.g_00454
OG0000187	Prbc.g_00508	Syac.g_00453
OG0000188	Prbc.g_00491	Syac.g_00433
OG0000189	Prbc.g_00477	Syac.g_00408
OG0000190	Prbc.g_00476	Syac.g_00406
OG0000191	Prbc.g_00453	Syac.g_00373
OG0000192	Prbc.g_00449	Syac.g_00368
OG0000193	Prbc.g_00425	Syac.g_00329
OG0000194	Prbc.g_00422	Syac.g_00326
OG0000195	Prbc.g_00420	Syac.g_00324
OG0000196	Prbc.g_00410	Syac.g_00313
OG0000197	Prbc.g_00409	Syac.g_00312
OG0000198	Prbc.g_00408	Syac.g_00311
OG0000199	Prbc.g_00401	Syac.g_00303
OG0000200	Prbc.g_00388	Syac.g_02261
OG0000202	Prbc.g_00378	Syac.g_02279
OG0000203	Prbc.g_00377	Syac.g_02280
OG0000204	Prbc.g_00376	Syac.g_02281
OG0000205	Prbc.g_00369	Syac.g_02288
OG0000206	Prbc.g_00365	Syac.g_02297
OG0000207	Prbc.g_00363	Syac.g_02300
OG0000208	Prbc.g_00362	Syac.g_02301
OG0000209	Prbc.g_00352	Syac.g_02316
OG0000210	Prbc.g_00351	Syac.g_02317
OG0000212	Prbc.g_00329	Syac.g_01963
OG0000213	Prbc.g_01153	Syac.g_02219
OG0000214	Prbc.g_01161	Syac.g_02236
OG0000215	Prbc.g_01185	Syac.g_00281
OG0000216	Prbc.g_01186	Syac.g_00277
OG0000217	Prbc.g_01189	Syac.g_00273
OG0000218	Prbc.g_01191	Syac.g_00271
OG0000219	Prbc.g_01192	Syac.g_00270
OG0000220	Prbc.g_01193	Syac.g_00269
OG0000221	Prbc.g_01194	Syac.g_00261
OG0000222	Prbc.g_01202	Syac.g_00247
OG0000223	Prbc.g_01215	Syac.g_00225
OG0000224	Prbc.g_01217	Syac.g_00217
OG0000225	Prbc.g_01257	Syac.g_02004
OG0000226	Prbc.g_01261	Syac.g_02000
OG0000227	Prbc.g_01263	Syac.g_01998
OG0000228	Prbc.g_01267	Syac.g_01989
OG0000229	Prbc.g_01497	Syac.g_00692
OG0000230	Prbc.g_01499	Syac.g_00694
OG0000231	Prbc.g_01510	Syac.g_00710
OG0000232	Prbc.g_01518	Syac.g_01717
OG0000233	Prbc.g_01526	Syac.g_01713
OG0000234	Prbc.g_01535	Syac.g_01699
OG0000235	Prbc.g_01539	Syac.g_01905
OG0000236	Prbc.g_01552	Syac.g_01890
OG0000237	Prbc.g_01586	Syac.g_01873
OG0000238	Prbc.g_01592	Syac.g_01868
OG0000239	Prbc.g_01604	Syac.g_01852
OG0000240	Prbc.g_01605	Syac.g_01851
OG0000241	Prbc.g_01609	Syac.g_00970
OG0000242	Prbc.g_01611	Syac.g_01839
OG0000243	Prbc.g_01622	Syac.g_01821
OG0000244	Prbc.g_01626	Syac.g_01814
OG0000245	Prbc.g_01628	Syac.g_01811
OG0000246	Prbc.g_01632	Syac.g_01807
OG0000247	Prbc.g_01642	Syac.g_01795
OG0000248	Prbc.g_01644	Syac.g_01792
OG0000249	Prbc.g_01646	Syac.g_01790
OG0000250	Prbc.g_01651	Syac.g_01782
OG0000251	Prbc.g_01667	Syac.g_01757
OG0000252	Prbc.g_01669	Syac.g_01753
OG0000253	Prbc.g_01671	Syac.g_01752
OG0000254	Prbc.g_01688	Syac.g_00939
OG0000255	Prbc.g_01694	Syac.g_00947
OG0000256	Prbc.g_01704	Syac.g_00963
OG0000257	Prbc.g_01707	Syac.g_00969
OG0000258	Prbc.g_01720	Syac.g_00988
OG0000259	Prbc.g_01737	Syac.g_01425
OG0000260	Prbc.g_01740	Syac.g_01422
OG0000261	Prbc.g_01743	Syac.g_01418
OG0000262	Prbc.g_01748	Syac.g_01413
OG0000263	Prbc.g_01762	Syac.g_01497
OG0000264	Prbc.g_01773	Syac.g_00915
OG0000265	Prbc.g_01787	Syac.g_00673
OG0000266	Prbc.g_01797	Syac.g_01271
OG0000267	Prbc.g_01810	Syac.g_01131
OG0000268	Prbc.g_01811	Syac.g_01132
OG0000269	Prbc.g_01853	Syac.g_01346
OG0000270	Prbc.g_01856	Syac.g_01343
OG0000271	Prbc.g_01864	Syac.g_01335
OG0000272	Prbc.g_01865	Syac.g_01334
OG0000273	Prbc.g_01890	Syac.g_00854
OG0000274	Prbc.g_01891	Syac.g_00853
OG0000275	Prbc.g_01893	Syac.g_00848
OG0000276	Prbc.g_01899	Syac.g_00840
OG0000277	Prbc.g_01900	Syac.g_00839
OG0000278	Prbc.g_01904	Syac.g_00836
OG0000279	Prbc.g_01911	Syac.g_00828
OG0000280	Prbc.g_00068	Syac.g_00814
OG0000281	Prbc.g_01917	Syac.g_02158
OG0000282	Prbc.g_01979	Syac.g_01392
OG0000283	Prbc.g_02010	Syac.g_01142
OG0000284	Prbc.g_02015	Syac.g_01148
OG0000285	Prbc.g_02020	Syac.g_01160
OG0000286	Prbc.g_02035	Syac.g_01181
OG0000287	Prbc.g_02190	Syac.g_01692, Syac.g_01209
OG0000288	Prbc.g_02082	Syac.g_01240
OG0000289	Prbc.g_02094	Syac.g_01254
OG0000290	Prbc.g_02110	Syac.g_00881
OG0000291	Prbc.g_02112	Syac.g_00883
OG0000292	Prbc.g_00173	Syac.g_02487
OG0000293	Prbc.g_01456	Syac.g_00754
OG0000294	Prbc.g_01455	Syac.g_00755
OG0000295	Prbc.g_01431	Syac.g_00796
OG0000296	Prbc.g_01429	Syac.g_00798
OG0000297	Prbc.g_01421	Syac.g_01475
OG0000298	Prbc.g_01420	Syac.g_01476
OG0000299	Prbc.g_01401	Syac.g_01503
OG0000300	Prbc.g_01398	Syac.g_01510
OG0000301	Prbc.g_01397	Syac.g_01511
OG0000302	Prbc.g_01395	Syac.g_01512
OG0000303	Prbc.g_01390	Syac.g_01520
OG0000304	Prbc.g_01387	Syac.g_01526
OG0000305	Prbc.g_00810	Syac.g_00886
OG0000306	Prbc.g_01921	Syac.g_00810
