Orthogroup	Prbc	Prbi
OG0000000	Prbc.g_02163, Prbc.g_00103	Prbi.g_01373
OG0000000	Prbc.g_02165	Prbi.g_01709
OG0000000	Prbc.g_00525	Prbi.g_01268, Prbi.g_01708
OG0000001	Prbc.g_00892	Prbi.g_01542, Prbi.g_01763
OG0000002	Prbc.g_01920	Prbi.g_01432
OG0000002	Prbc.g_01475, Prbc.g_01474, Prbc.g_01479, Prbc.g_01473, Prbc.g_01478, Prbc.g_01759	Prbi.g_00681
OG0000004	Prbc.g_01381	Prbi.g_00698
OG0000004	Prbc.g_00339	Prbi.g_00256
OG0000005	Prbc.g_00098	Prbi.g_01800
OG0000005	Prbc.g_00788	Prbi.g_01666
OG0000006	Prbc.g_02202	Prbi.g_00265
OG0000007	Prbc.g_01556	Prbi.g_00500
OG0000007	Prbc.g_00832	Prbi.g_01787
OG0000008	Prbc.g_00893	Prbi.g_01764
OG0000008	Prbc.g_00894	Prbi.g_01540, Prbi.g_01765, Prbi.g_01539
OG0000009	Prbc.g_01344	Prbi.g_01338
OG0000010	Prbc.g_02115, Prbc.g_01533	Prbi.g_00477
OG0000011	Prbc.g_00164	Prbi.g_01361
OG0000011	Prbc.g_00066	Prbi.g_00426
OG0000012	Prbc.g_02155	Prbi.g_00625
OG0000013	Prbc.g_01219	Prbi.g_00351
OG0000014	Prbc.g_01198	Prbi.g_00330
OG0000014	Prbc.g_00680	Prbi.g_01502, Prbi.g_01508, Prbi.g_01475
OG0000015	Prbc.g_00599	Prbi.g_00810, Prbi.g_01304
OG0000016	Prbc.g_01083	Prbi.g_00013
OG0000017	Prbc.g_01681	Prbi.g_00600
OG0000018	Prbc.g_01468	Prbi.g_01188
OG0000018	Prbc.g_01887	Prbi.g_00874
OG0000019	Prbc.g_01836	Prbi.g_00827
OG0000020	Prbc.g_02114	Prbi.g_01153
OG0000021	Prbc.g_00924	Prbi.g_01742, Prbi.g_00389
OG0000022	Prbc.g_00166	Prbi.g_00805
OG0000022	Prbc.g_01288	Prbi.g_01170
OG0000023	Prbc.g_00006, Prbc.g_00047, Prbc.g_00071	Prbi.g_00384
OG0000024	Prbc.g_00598	Prbi.g_00788
OG0000024	Prbc.g_01755	Prbi.g_00678
OG0000025	Prbc.g_01115, Prbc.g_00528, Prbc.g_01894	Prbi.g_00882, Prbi.g_00355
OG0000026	Prbc.g_01101	Prbi.g_00031, Prbi.g_01101
OG0000027	Prbc.g_00072	Prbi.g_00472, Prbi.g_01374
OG0000028	Prbc.g_00653	Prbi.g_01319, Prbi.g_01768
OG0000030	Prbc.g_00199	Prbi.g_02004
OG0000031	Prbc.g_01228	Prbi.g_01467
OG0000033	Prbc.g_00402	Prbi.g_00193
OG0000034	Prbc.g_00575	Prbi.g_01401
OG0000035	Prbc.g_00709	Prbi.g_01589, Prbi.g_01591
OG0000037	Prbc.g_00464	Prbi.g_00116
OG0000038	Prbc.g_00995	Prbi.g_02057
OG0000039	Prbc.g_01768	Prbi.g_00689
OG0000040	Prbc.g_00811	Prbi.g_01738
OG0000041	Prbc.g_00877	Prbi.g_01833
OG0000042	Prbc.g_00203	Prbi.g_02001
OG0000043	Prbc.g_01953	Prbi.g_00918
OG0000043	Prbc.g_00135	Prbi.g_01334
OG0000044	Prbc.g_00533	Prbi.g_01744
OG0000045	Prbc.g_02137	Prbi.g_00395
OG0000047	Prbc.g_01227	Prbi.g_00354
OG0000048	Prbc.g_01165	Prbi.g_00398
OG0000050	Prbc.g_00513	Prbi.g_01122
OG0000051	Prbc.g_00095	Prbi.g_01281
OG0000053	Prbc.g_00728	Prbi.g_01611
OG0000054	Prbc.g_01683	Prbi.g_00608
OG0000055	Prbc.g_01822	Prbi.g_00828
OG0000056	Prbc.g_01108, Prbc.g_00011, Prbc.g_00532	Prbi.g_01276
OG0000057	Prbc.g_01780, Prbc.g_00055	Prbi.g_00702
OG0000058	Prbc.g_01928	Prbi.g_01461
OG0000059	Prbc.g_00958	Prbi.g_01873, Prbi.g_01717
OG0000061	Prbc.g_01446	Prbi.g_01207
OG0000062	Prbc.g_00790	Prbi.g_01482, Prbi.g_01668
OG0000063	Prbc.g_00932	Prbi.g_00033
OG0000065	Prbc.g_00466	Prbi.g_00114
OG0000066	Prbc.g_01618	Prbi.g_00542
OG0000067	Prbc.g_01858	Prbi.g_00847
OG0000068	Prbc.g_00657	Prbi.g_01439
OG0000069	Prbc.g_02181, Prbc.g_00752	Prbi.g_01702
OG0000070	Prbc.g_01511	Prbi.g_00451
OG0000071	Prbc.g_00566	Prbi.g_01391
OG0000072	Prbc.g_00400	Prbi.g_00195
OG0000073	Prbc.g_01579	Prbi.g_00502
OG0000074	Prbc.g_01763	Prbi.g_00685
OG0000075	Prbc.g_00236	Prbi.g_01970
OG0000076	Prbc.g_00211	Prbi.g_01994
OG0000077	Prbc.g_00495	Prbi.g_00085
OG0000078	Prbc.g_00330	Prbi.g_00263
OG0000079	Prbc.g_01148	Prbi.g_00276
OG0000080	Prbc.g_00679	Prbi.g_00410, Prbi.g_01492
OG0000081	Prbc.g_01610	Prbi.g_00534
OG0000082	Prbc.g_00891	Prbi.g_00587
OG0000083	Prbc.g_02193, Prbc.g_01233	Prbi.g_00782, Prbi.g_00775
OG0000084	Prbc.g_00705	Prbi.g_01585
OG0000085	Prbc.g_00826	Prbi.g_01780
OG0000086	Prbc.g_00485	Prbi.g_00095
OG0000087	Prbc.g_00432	Prbi.g_00147
OG0000088	Prbc.g_00405	Prbi.g_00190
