Orthogroup	Prbc	Syaj
OG0000001	Prbc.g_00588, Prbc.g_00892, Prbc.g_01530, Prbc.g_00925	Syaj.g_02674
OG0000002	Prbc.g_01920, Prbc.g_01475, Prbc.g_01474, Prbc.g_01479, Prbc.g_01473, Prbc.g_01478, Prbc.g_01759	Syaj.g_02667
OG0000004	Prbc.g_01381	Syaj.g_00441
OG0000004	Prbc.g_00339	Syaj.g_01314, Syaj.g_02853
OG0000005	Prbc.g_00098	Syaj.g_01736
OG0000005	Prbc.g_00788	Syaj.g_01698
OG0000006	Prbc.g_02202	Syaj.g_02635
OG0000007	Prbc.g_01556	Syaj.g_00091
OG0000007	Prbc.g_00832	Syaj.g_01721
OG0000008	Prbc.g_00893	Syaj.g_00496
OG0000008	Prbc.g_00894	Syaj.g_00497
OG0000009	Prbc.g_01344	Syaj.g_01069
OG0000010	Prbc.g_02115, Prbc.g_01533	Syaj.g_01445
OG0000011	Prbc.g_00164	Syaj.g_01133
OG0000011	Prbc.g_00066	Syaj.g_01780
OG0000012	Prbc.g_02155	Syaj.g_00003, Syaj.g_01793, Syaj.g_00831
OG0000013	Prbc.g_01219	Syaj.g_02782, Syaj.g_02769, Syaj.g_02774
OG0000014	Prbc.g_01198	Syaj.g_02522
OG0000014	Prbc.g_00680	Syaj.g_02344
OG0000015	Prbc.g_00599	Syaj.g_00725, Syaj.g_02659
OG0000016	Prbc.g_01083	Syaj.g_02276
OG0000016	Prbc.g_00929	Syaj.g_00590, Syaj.g_01191
OG0000017	Prbc.g_01681	Syaj.g_00248
OG0000018	Prbc.g_01468, Prbc.g_01887	Syaj.g_01413
OG0000019	Prbc.g_01836	Syaj.g_02613
OG0000021	Prbc.g_00924	Syaj.g_00982
OG0000021	Prbc.g_02189	Syaj.g_00042
OG0000022	Prbc.g_00166, Prbc.g_01288	Syaj.g_01220
OG0000023	Prbc.g_00006, Prbc.g_00047, Prbc.g_00071	Syaj.g_00829, Syaj.g_01791
OG0000024	Prbc.g_00598, Prbc.g_01755	Syaj.g_00500
OG0000025	Prbc.g_01115, Prbc.g_00528, Prbc.g_01894	Syaj.g_00383
OG0000026	Prbc.g_01101	Syaj.g_02298
OG0000027	Prbc.g_00072	Syaj.g_00396
OG0000028	Prbc.g_00653	Syaj.g_02506
OG0000030	Prbc.g_00199	Syaj.g_02396, Syaj.g_02395
OG0000032	Prbc.g_00746	Syaj.g_01432
OG0000033	Prbc.g_00402	Syaj.g_01990
OG0000034	Prbc.g_00575	Syaj.g_01959
OG0000035	Prbc.g_00709	Syaj.g_01378
