Orthogroup	Syam	Prac
OG0000001	Syam.g_00946	Prac.g_00202, Prac.g_00924, Prac.g_00925
OG0000002	Syam.g_00931	Prac.g_00210, Prac.g_00693
OG0000004	Syam.g_00787	Prac.g_00676
OG0000004	Syam.g_01499, Syam.g_00501	Prac.g_01698
OG0000005	Syam.g_02004	Prac.g_00612
OG0000005	Syam.g_01970	Prac.g_00335
OG0000006	Syam.g_00286, Syam.g_00518	Prac.g_01689
OG0000007	Syam.g_00602	Prac.g_00874
OG0000007	Syam.g_01990	Prac.g_00625
OG0000008	Syam.g_00810	Prac.g_00904
OG0000009	Syam.g_02119	Prac.g_01826
OG0000010	Syam.g_01669	Prac.g_01592, Prac.g_01248, Prac.g_01070
OG0000012	Syam.g_00794, Syam.g_00994, Syam.g_01492	Prac.g_00748
OG0000013	Syam.g_00421, Syam.g_00404, Syam.g_00409	Prac.g_01604
OG0000014	Syam.g_00191	Prac.g_01625
OG0000015	Syam.g_01218, Syam.g_01362	Prac.g_00898
OG0000016	Syam.g_00014	Prac.g_01934
OG0000017	Syam.g_01715	Prac.g_00773
OG0000018	Syam.g_01640	Prac.g_01004, Prac.g_01448
OG0000019	Syam.g_00274	Prac.g_01681, Prac.g_01496
OG0000022	Syam.g_01418	Prac.g_01510, Prac.g_01022
OG0000023	Syam.g_01217, Syam.g_01553, Syam.g_01583, Syam.g_01075, Syam.g_01943	Prac.g_01174
OG0000024	Syam.g_00815	Prac.g_01525, Prac.g_00696
OG0000025	Syam.g_00740	Prac.g_01441, Prac.g_01600
OG0000026	Syam.g_00035	Prac.g_01916, Prac.g_01241
OG0000027	Syam.g_01442, Syam.g_00989	Prac.g_01074
OG0000028	Syam.g_00176	Prac.g_01611, Prac.g_00145
OG0000029	Syam.g_01390, Syam.g_01055	Prac.g_01158
OG0000030	Syam.g_00104, Syam.g_00103	Prac.g_00050
OG0000031	Syam.g_00086	Prac.g_00249
OG0000032	Syam.g_00079	Prac.g_00242
OG0000033	Syam.g_02217	Prac.g_01761
OG0000034	Syam.g_02185, Syam.g_01843, Syam.g_02187	Prac.g_00185
OG0000035	Syam.g_01612	Prac.g_00411
OG0000037	Syam.g_02125	Prac.g_01822
OG0000038	Syam.g_02317	Prac.g_00090
OG0000039	Syam.g_00749	Prac.g_00685
OG0000041	Syam.g_01899	Prac.g_00579
OG0000042	Syam.g_00107	Prac.g_00048
OG0000044	Syam.g_01562	Prac.g_00892
OG0000045	Syam.g_02028	Prac.g_01162
OG0000047	Syam.g_00434	Prac.g_01127, Prac.g_01601
OG0000048	Syam.g_00243	Prac.g_01159
OG0000053	Syam.g_01636	Prac.g_01901, Prac.g_00391
OG0000054	Syam.g_01515	Prac.g_00765
OG0000055	Syam.g_00754	Prac.g_01495
OG0000057	Syam.g_00784	Prac.g_00673
OG0000058	Syam.g_00169	Prac.g_00258, Prac.g_00434
OG0000059	Syam.g_00320	Prac.g_00500
OG0000061	Syam.g_01795	Prac.g_00985
OG0000063	Syam.g_00039	Prac.g_01913, Prac.g_01914, Prac.g_00908
OG0000065	Syam.g_02121	Prac.g_01824
OG0000066	Syam.g_00552, Syam.g_00662	Prac.g_00833
OG0000067	Syam.g_01290	Prac.g_01475
OG0000068	Syam.g_00575	Prac.g_00217
OG0000070	Syam.g_01847	Prac.g_01097
OG0000071	Syam.g_01830	Prac.g_00175
OG0000072	Syam.g_02219	Prac.g_01759
OG0000073	Syam.g_00604	Prac.g_00872
OG0000075	Syam.g_00148	Prac.g_00017
OG0000076	Syam.g_00115	Prac.g_01904, Prac.g_00041
OG0000077	Syam.g_02074	Prac.g_01853
OG0000078	Syam.g_00514	Prac.g_01691
OG0000081	Syam.g_00520	Prac.g_00841
OG0000082	Syam.g_01730	Prac.g_00788
OG0000085	Syam.g_01979	Prac.g_00632
OG0000086	Syam.g_02092	Prac.g_01843
OG0000087	Syam.g_02175	Prac.g_01792
OG0000088	Syam.g_02213	Prac.g_01764
OG0000089	Syam.g_00489	Prac.g_01178
OG0000090	Syam.g_00651	Prac.g_00839
OG0000091	Syam.g_01460	Prac.g_00729
OG0000094	Syam.g_01198	Prac.g_01275
OG0000097	Syam.g_00874	Prac.g_00944
OG0000098	Syam.g_00944	Prac.g_00199
OG0000099	Syam.g_00173	Prac.g_00256
OG0000100	Syam.g_01259	Prac.g_00337
OG0000101	Syam.g_00371	Prac.g_00548
OG0000102	Syam.g_00110	Prac.g_00046
OG0000103	Syam.g_02428	Prac.g_00123
OG0000104	Syam.g_02442	Prac.g_00131
OG0000105	Syam.g_00238	Prac.g_01657
OG0000106	Syam.g_01039	Prac.g_01163
OG0000107	Syam.g_00288	Prac.g_01148
OG0000108	Syam.g_00583	Prac.g_01064
OG0000109	Syam.g_00598	Prac.g_01050
OG0000110	Syam.g_01743	Prac.g_00798
OG0000112	Syam.g_01115	Prac.g_01507
OG0000113	Syam.g_01264	Prac.g_01453
OG0000114	Syam.g_01349	Prac.g_01384
OG0000115	Syam.g_01634	Prac.g_01040
OG0000116	Syam.g_01807	Prac.g_00995
OG0000117	Syam.g_00904	Prac.g_01955
OG0000118	Syam.g_01698	Prac.g_00187
OG0000120	Syam.g_00172	Prac.g_00248
OG0000121	Syam.g_01615	Prac.g_00409
OG0000122	Syam.g_01436	Prac.g_00371
OG0000123	Syam.g_00379	Prac.g_00554
OG0000124	Syam.g_00096	Prac.g_00056
OG0000125	Syam.g_02319	Prac.g_00092
OG0000126	Syam.g_02440	Prac.g_00130
OG0000128	Syam.g_00012	Prac.g_01936
OG0000129	Syam.g_02307	Prac.g_01888
OG0000130	Syam.g_02062	Prac.g_01862
OG0000131	Syam.g_02191	Prac.g_01785
OG0000132	Syam.g_02211	Prac.g_01766
OG0000133	Syam.g_01120	Prac.g_01609
OG0000134	Syam.g_00492	Prac.g_01177
OG0000135	Syam.g_02347	Prac.g_01150
OG0000136	Syam.g_01857	Prac.g_01106
OG0000137	Syam.g_01668	Prac.g_01069
