Orthogroup	Syam	Prai
OG0000001	Syam.g_00946	Prai.g_01235, Prai.g_01356, Prai.g_01236
OG0000002	Syam.g_00931	Prai.g_01363, Prai.g_00707
OG0000004	Syam.g_00787	Prai.g_00724
OG0000004	Syam.g_01499, Syam.g_00501	Prai.g_00243
OG0000005	Syam.g_02004	Prai.g_01651
OG0000005	Syam.g_01970	Prai.g_01538
OG0000006	Syam.g_00286, Syam.g_00518	Prai.g_00252, Prai.g_00254
OG0000007	Syam.g_00602	Prai.g_00527
OG0000007	Syam.g_01990	Prai.g_01638
OG0000008	Syam.g_00810, Syam.g_00811	Prai.g_00701
OG0000009	Syam.g_02119	Prai.g_00105
OG0000010	Syam.g_01669	Prai.g_01292, Prai.g_01067, Prai.g_00504
OG0000012	Syam.g_00794, Syam.g_00994, Syam.g_01492	Prai.g_00652
OG0000013	Syam.g_00421, Syam.g_00404, Syam.g_00409	Prai.g_00340
OG0000014	Syam.g_00191	Prai.g_00319
OG0000015	Syam.g_01218, Syam.g_01362	Prai.g_01243
OG0000016	Syam.g_00014	Prai.g_00013
OG0000016	Syam.g_01011	Prai.g_01573
OG0000017	Syam.g_01715	Prai.g_00626
OG0000018	Syam.g_01640	Prai.g_01153, Prai.g_00820
OG0000019	Syam.g_00274	Prai.g_00262, Prai.g_00867
OG0000022	Syam.g_01418	Prai.g_00885, Prai.g_01139
OG0000023	Syam.g_01217, Syam.g_01553, Syam.g_01583, Syam.g_01075, Syam.g_01943	Prai.g_00373
OG0000024	Syam.g_00815	Prai.g_00899, Prai.g_00704
OG0000025	Syam.g_00740	Prai.g_00812, Prai.g_00344
OG0000026	Syam.g_00035	Prai.g_00031, Prai.g_01074
OG0000027	Syam.g_01442, Syam.g_00989	Prai.g_00904
OG0000028	Syam.g_00176	Prai.g_00333, Prai.g_01297
OG0000029	Syam.g_01390, Syam.g_01055	Prai.g_00890
OG0000030	Syam.g_00104, Syam.g_00103	Prai.g_01848
OG0000031	Syam.g_00086	Prai.g_01444
OG0000033	Syam.g_02217	Prai.g_00180
OG0000034	Syam.g_02185, Syam.g_01843, Syam.g_02187	Prai.g_01345
OG0000035	Syam.g_01612	Prai.g_01463
OG0000037	Syam.g_02125	Prai.g_00109
OG0000038	Syam.g_02317	Prai.g_01890
OG0000039	Syam.g_00749	Prai.g_00715
OG0000041	Syam.g_01899	Prai.g_01684
OG0000042	Syam.g_00107	Prai.g_01845
OG0000043	Syam.g_01041	Prai.g_00910
OG0000045	Syam.g_02028	Prai.g_00384
OG0000047	Syam.g_00434	Prai.g_00424, Prai.g_00343
OG0000048	Syam.g_00243	Prai.g_00387
OG0000052	Syam.g_00161	Prai.g_00154
OG0000053	Syam.g_01636	Prai.g_01483
OG0000054	Syam.g_01515	Prai.g_00634
OG0000055	Syam.g_00754	Prai.g_00866
OG0000057	Syam.g_00784	Prai.g_00727
OG0000058	Syam.g_00169	Prai.g_01859
OG0000059	Syam.g_00320	Prai.g_01725, Prai.g_01425
OG0000061	Syam.g_01795	Prai.g_01171
OG0000063	Syam.g_00039	Prai.g_00033, Prai.g_01261
OG0000065	Syam.g_02121	Prai.g_00107
OG0000066	Syam.g_00552, Syam.g_00662	Prai.g_00567
OG0000067	Syam.g_01290	Prai.g_00848
OG0000068	Syam.g_00575	Prai.g_01370
OG0000070	Syam.g_01847	Prai.g_00481
OG0000071	Syam.g_01830	Prai.g_01335
OG0000072	Syam.g_02219	Prai.g_00182
OG0000073	Syam.g_00604	Prai.g_00529
OG0000075	Syam.g_00148	Prai.g_01814
OG0000076	Syam.g_00115	Prai.g_01838
OG0000077	Syam.g_02074	Prai.g_00078
OG0000078	Syam.g_00514	Prai.g_00250
OG0000079	Syam.g_00270	Prai.g_00265
OG0000081	Syam.g_00520	Prai.g_00559
OG0000082	Syam.g_01730	Prai.g_00613
OG0000085	Syam.g_01979	Prai.g_01631
OG0000086	Syam.g_02092	Prai.g_00088
OG0000087	Syam.g_02175	Prai.g_00139
OG0000088	Syam.g_02213	Prai.g_00177
OG0000089	Syam.g_00489	Prai.g_00368
OG0000090	Syam.g_00651	Prai.g_00561
OG0000091	Syam.g_01460	Prai.g_00671
OG0000094	Syam.g_01198	Prai.g_00937
OG0000097	Syam.g_00874	Prai.g_01214
OG0000098	Syam.g_00944	Prai.g_01353
OG0000099	Syam.g_00173	Prai.g_01393
OG0000100	Syam.g_01259	Prai.g_01536
OG0000101	Syam.g_00371	Prai.g_01782
