Orthogroup	Syam	Syaj
OG0000001	Syam.g_00946	Syaj.g_02674
OG0000001	Syam.g_02177	Syaj.g_01949, Syaj.g_01952
OG0000001	Syam.g_00929	Syaj.g_02660
OG0000002	Syam.g_00931	Syaj.g_02667
OG0000004	Syam.g_00787	Syaj.g_00441
OG0000004	Syam.g_01499	Syaj.g_01314
OG0000004	Syam.g_00501	Syaj.g_02853
OG0000005	Syam.g_02004	Syaj.g_01736
OG0000005	Syam.g_01970	Syaj.g_01698
OG0000005	Syam.g_00715, Syam.g_01029	Syaj.g_01155
OG0000006	Syam.g_00286, Syam.g_00518	Syaj.g_02635
OG0000007	Syam.g_00602	Syaj.g_00091
OG0000007	Syam.g_01990	Syaj.g_01721
OG0000008	Syam.g_00810	Syaj.g_00496
OG0000008	Syam.g_00811	Syaj.g_00497
OG0000009	Syam.g_02119	Syaj.g_01885
OG0000010	Syam.g_01669	Syaj.g_01445
OG0000012	Syam.g_00794, Syam.g_00994	Syaj.g_00172
OG0000012	Syam.g_01492	Syaj.g_01306
OG0000013	Syam.g_00421	Syaj.g_02782
OG0000013	Syam.g_00404	Syaj.g_02769
OG0000013	Syam.g_00409	Syaj.g_02774
OG0000014	Syam.g_00191	Syaj.g_02522
OG0000015	Syam.g_01218	Syaj.g_00725
OG0000015	Syam.g_01362	Syaj.g_02659
OG0000016	Syam.g_00014	Syaj.g_02276
OG0000016	Syam.g_00876	Syaj.g_00590
OG0000016	Syam.g_01011	Syaj.g_01191
OG0000017	Syam.g_01708	Syaj.g_00255
OG0000017	Syam.g_01715	Syaj.g_00248
OG0000018	Syam.g_01640	Syaj.g_01413
OG0000019	Syam.g_00274	Syaj.g_02613
OG0000021	Syam.g_00523	Syaj.g_00042
OG0000022	Syam.g_01418	Syaj.g_01220
OG0000023	Syam.g_01943	Syaj.g_01791
OG0000024	Syam.g_00815	Syaj.g_00500
OG0000025	Syam.g_00740	Syaj.g_00383
OG0000026	Syam.g_00035	Syaj.g_02298
OG0000027	Syam.g_00989	Syaj.g_00396
OG0000028	Syam.g_00176	Syaj.g_02506
OG0000029	Syam.g_01390, Syam.g_01055	Syaj.g_01229
OG0000030	Syam.g_00104	Syaj.g_02396
OG0000030	Syam.g_00103	Syaj.g_02395
OG0000031	Syam.g_00171	Syaj.g_02501
OG0000032	Syam.g_01660	Syaj.g_01432
OG0000033	Syam.g_02217	Syaj.g_01990
OG0000034	Syam.g_02185, Syam.g_01843, Syam.g_02187	Syaj.g_01959
OG0000035	Syam.g_01612	Syaj.g_01378
OG0000037	Syam.g_02125	Syaj.g_01891
OG0000038	Syam.g_02317	Syaj.g_02115
OG0000039	Syam.g_00749	Syaj.g_00392
OG0000040	Syam.g_02390	Syaj.g_02208
OG0000041	Syam.g_01899	Syaj.g_01602
