Orthogroup	Syam	Syat
OG0000001	Syam.g_00946, Syam.g_02177	Syat.g_02910, Syat.g_02911
OG0000001	Syam.g_02178	Syat.g_02908, Syat.g_02909
OG0000001	Syam.g_00929	Syat.g_01540
OG0000005	Syam.g_02004	Syat.g_03065
OG0000005	Syam.g_01970	Syat.g_03105
OG0000005	Syam.g_00715, Syam.g_01029	Syat.g_01038
OG0000006	Syam.g_00286, Syam.g_00518	Syat.g_01439, Syat.g_01865
OG0000006	Syam.g_01446	Syat.g_00371
OG0000007	Syam.g_00602	Syat.g_03191
OG0000007	Syam.g_01990	Syat.g_03124
OG0000008	Syam.g_00810	Syat.g_02626
OG0000008	Syam.g_00811	Syat.g_02627
OG0000009	Syam.g_02119	Syat.g_01567
OG0000010	Syam.g_01669	Syat.g_01372
OG0000013	Syam.g_00404	Syat.g_01027
OG0000014	Syam.g_00191	Syat.g_02104
OG0000016	Syam.g_00014	Syat.g_02329
OG0000016	Syam.g_00876	Syat.g_00909
OG0000017	Syam.g_01715	Syat.g_00015
OG0000018	Syam.g_01640	Syat.g_01334
OG0000019	Syam.g_00274	Syat.g_01876
OG0000022	Syam.g_01418	Syat.g_00210
OG0000024	Syam.g_00815	Syat.g_03394
OG0000025	Syam.g_00740	Syat.g_00719
OG0000026	Syam.g_00035	Syat.g_02306
OG0000027	Syam.g_01442, Syam.g_00989	Syat.g_00850
OG0000028	Syam.g_00176	Syat.g_02126
OG0000030	Syam.g_00104	Syat.g_00307
OG0000030	Syam.g_00103	Syat.g_00308
OG0000031	Syam.g_00171	Syat.g_02131
OG0000031	Syam.g_00086	Syat.g_02243
OG0000032	Syam.g_01660	Syat.g_01354
OG0000032	Syam.g_00079	Syat.g_02237
OG0000033	Syam.g_02217	Syat.g_02858
OG0000034	Syam.g_02185, Syam.g_01843, Syam.g_02187	Syat.g_01165, Syat.g_02902
OG0000035	Syam.g_01612	Syat.g_01227, Syat.g_01226
OG0000038	Syam.g_02317	Syat.g_02688
OG0000039	Syam.g_00749	Syat.g_01278
OG0000040	Syam.g_02390	Syat.g_02551
OG0000042	Syam.g_00107	Syat.g_00223, Syat.g_02222
OG0000044	Syam.g_01562, Syam.g_02052	Syat.g_00933, Syat.g_01910, Syat.g_00146, Syat.g_03333
OG0000045	Syam.g_02028	Syat.g_00935
OG0000048	Syam.g_00243	Syat.g_02046
OG0000052	Syam.g_00161	Syat.g_02140
OG0000053	Syam.g_01636	Syat.g_01330
OG0000057	Syam.g_00784	Syat.g_00817
OG0000058	Syam.g_00169	Syat.g_01189
OG0000060	Syam.g_00902	Syat.g_01047
OG0000061	Syam.g_01795	Syat.g_03260
OG0000062	Syam.g_01972	Syat.g_03107
OG0000063	Syam.g_00039	Syat.g_02303
OG0000064	Syam.g_02363	Syat.g_01568
OG0000065	Syam.g_02121	Syat.g_01571
OG0000066	Syam.g_00552, Syam.g_00662	Syat.g_03283
OG0000067	Syam.g_01290	Syat.g_00479
OG0000068	Syam.g_00575	Syat.g_00085, Syat.g_01295
OG0000069	Syam.g_01521	Syat.g_00879
OG0000070	Syam.g_01847	Syat.g_01032, Syat.g_01040
OG0000072	Syam.g_02219	Syat.g_02856
OG0000073	Syam.g_00604	Syat.g_03201
OG0000075	Syam.g_00148	Syat.g_02497, Syat.g_01713, Syat.g_02154
OG0000076	Syam.g_00115	Syat.g_02206
OG0000077	Syam.g_02074	Syat.g_01481
OG0000078	Syam.g_00514	Syat.g_00184
OG0000079	Syam.g_00270	Syat.g_01879
OG0000081	Syam.g_01918, Syam.g_00520	Syat.g_00980
OG0000082	Syam.g_01730	Syat.g_00035
OG0000085	Syam.g_01979	Syat.g_03113
OG0000086	Syam.g_02092	Syat.g_01531, Syat.g_00798, Syat.g_00635
OG0000087	Syam.g_02175	Syat.g_02912
OG0000088	Syam.g_02213	Syat.g_02862
OG0000089	Syam.g_00489	Syat.g_02953
OG0000090	Syam.g_00651	Syat.g_03270
OG0000091	Syam.g_01460	Syat.g_00939, Syat.g_00862
OG0000094	Syam.g_01198	Syat.g_00698
OG0000095	Syam.g_00774	Syat.g_00808
OG0000098	Syam.g_00944	Syat.g_03281
OG0000099	Syam.g_00173	Syat.g_02130
OG0000100	Syam.g_01259	Syat.g_00517
OG0000102	Syam.g_00110	Syat.g_00974
OG0000104	Syam.g_02442	Syat.g_02385
OG0000105	Syam.g_00238	Syat.g_02052
OG0000106	Syam.g_01039	Syat.g_00957
OG0000107	Syam.g_00288	Syat.g_01862
OG0000108	Syam.g_00583	Syat.g_03170
OG0000110	Syam.g_01743	Syat.g_00049
OG0000112	Syam.g_01115	Syat.g_00593
OG0000113	Syam.g_01264	Syat.g_00509
