Orthogroup	Syam	Pral
OG0000001	Syam.g_00946	Pral.g_01236, Pral.g_01671, Pral.g_01296
OG0000002	Syam.g_00931	Pral.g_01549, Pral.g_01554, Pral.g_01340, Pral.g_00430, Pral.g_01342, Pral.g_01337, Pral.g_01052, Pral.g_01764
OG0000004	Syam.g_00787	Pral.g_01743
OG0000004	Syam.g_01499, Syam.g_00501	Pral.g_00809
OG0000005	Syam.g_01970	Pral.g_01075
OG0000006	Syam.g_00286, Syam.g_00518	Pral.g_00797
OG0000007	Syam.g_00602	Pral.g_00593
OG0000007	Syam.g_01990	Pral.g_00107
OG0000008	Syam.g_00810	Pral.g_00020
OG0000008	Syam.g_00811	Pral.g_00021
OG0000010	Syam.g_01669	Pral.g_01832, Pral.g_01848, Pral.g_00618
OG0000013	Syam.g_00421, Syam.g_00404, Syam.g_00409	Pral.g_00712
OG0000014	Syam.g_00191	Pral.g_00732
OG0000015	Syam.g_01218, Syam.g_01362	Pral.g_01813
OG0000017	Syam.g_01708	Pral.g_00484
OG0000017	Syam.g_01715	Pral.g_00491
OG0000018	Syam.g_01640	Pral.g_01346, Pral.g_01516
OG0000019	Syam.g_00274	Pral.g_00790, Pral.g_01344
OG0000021	Syam.g_00523	Pral.g_01738
OG0000022	Syam.g_01418	Pral.g_00044
OG0000023	Syam.g_01217, Syam.g_01553, Syam.g_01583, Syam.g_01075, Syam.g_01943	Pral.g_01687
OG0000024	Syam.g_00815	Pral.g_01895
OG0000025	Syam.g_00740	Pral.g_01523
OG0000026	Syam.g_00035	Pral.g_01012
OG0000027	Syam.g_01442, Syam.g_00989	Pral.g_00039, Pral.g_01036
OG0000028	Syam.g_00176	Pral.g_00719, Pral.g_00053
OG0000029	Syam.g_01390, Syam.g_01055	Pral.g_01890
OG0000030	Syam.g_00104, Syam.g_00103	Pral.g_00316
OG0000032	Syam.g_01660	Pral.g_01121
OG0000033	Syam.g_02217	Pral.g_00874
OG0000034	Syam.g_02185, Syam.g_01843, Syam.g_02187	Pral.g_01271
OG0000035	Syam.g_01612	Pral.g_01165, Pral.g_01161
OG0000037	Syam.g_02125	Pral.g_00938
OG0000038	Syam.g_02317	Pral.g_00356
OG0000039	Syam.g_00749	Pral.g_01755
OG0000041	Syam.g_01899	Pral.g_00155
OG0000042	Syam.g_00107	Pral.g_00313
OG0000044	Syam.g_01562	Pral.g_01888
OG0000045	Syam.g_02028	Pral.g_01322
OG0000046	Syam.g_00403, Syam.g_00410, Syam.g_00420	Pral.g_00711
OG0000047	Syam.g_00434	Pral.g_00672
OG0000048	Syam.g_00243	Pral.g_00768
OG0000052	Syam.g_00161	Pral.g_00987
OG0000053	Syam.g_01636	Pral.g_00066, Pral.g_01139
OG0000054	Syam.g_01515	Pral.g_00482
OG0000055	Syam.g_00754	Pral.g_01670
OG0000057	Syam.g_00784	Pral.g_01740
OG0000058	Syam.g_00169	Pral.g_01202
OG0000059	Syam.g_00320	Pral.g_00195
OG0000061	Syam.g_01795	Pral.g_01367, Pral.g_00639
OG0000062	Syam.g_01972	Pral.g_01073
OG0000063	Syam.g_00039	Pral.g_00435
OG0000064	Syam.g_02363, Syam.g_01415, Syam.g_01414, Syam.g_00978, Syam.g_01964	Pral.g_00980
OG0000065	Syam.g_02121	Pral.g_00940
OG0000066	Syam.g_00552, Syam.g_00662	Pral.g_00551
OG0000067	Syam.g_01290	Pral.g_01488
OG0000068	Syam.g_00575	Pral.g_01222
OG0000070	Syam.g_01847	Pral.g_00643
OG0000071	Syam.g_01830	Pral.g_01281
OG0000072	Syam.g_02219	Pral.g_00872
OG0000073	Syam.g_00604	Pral.g_00591
OG0000075	Syam.g_00148	Pral.g_00279
OG0000076	Syam.g_00115	Pral.g_00305
OG0000077	Syam.g_02074	Pral.g_00969
OG0000078	Syam.g_00514	Pral.g_00800
OG0000079	Syam.g_00270	Pral.g_00787
OG0000081	Syam.g_00520	Pral.g_00559
OG0000082	Syam.g_01730	Pral.g_00057
OG0000085	Syam.g_01979	Pral.g_00099
OG0000086	Syam.g_02092	Pral.g_00959
OG0000087	Syam.g_02175	Pral.g_00906
OG0000088	Syam.g_02213	Pral.g_00878
OG0000089	Syam.g_00489	Pral.g_00676
OG0000090	Syam.g_00651	Pral.g_00557
OG0000091	Syam.g_01460	Pral.g_01443
OG0000093	Syam.g_01305	Pral.g_01472
OG0000097	Syam.g_00874	Pral.g_01416
