Orthogroup	Syam	Syaq
OG0000001	Syam.g_02177	Syaq.g_00118, Syaq.g_01435, Syaq.g_00115
OG0000001	Syam.g_00929	Syaq.g_02178, Syaq.g_02413
OG0000004	Syam.g_00787	Syaq.g_02603
OG0000004	Syam.g_01499	Syaq.g_02042
OG0000004	Syam.g_00501	Syaq.g_01567
OG0000005	Syam.g_02004	Syaq.g_01658
OG0000005	Syam.g_01970	Syaq.g_01692
OG0000005	Syam.g_00715, Syam.g_01029	Syaq.g_00236
OG0000006	Syam.g_00286, Syam.g_00518	Syaq.g_00696, Syaq.g_01590
OG0000006	Syam.g_01446	Syaq.g_02108
OG0000007	Syam.g_00602	Syaq.g_01793
OG0000007	Syam.g_01990	Syaq.g_01673
OG0000008	Syam.g_00810	Syaq.g_02162
OG0000008	Syam.g_00811	Syaq.g_02575
OG0000009	Syam.g_02119	Syaq.g_01489
OG0000010	Syam.g_01669	Syaq.g_00443
OG0000011	Syam.g_00814	Syaq.g_01038
OG0000012	Syam.g_01492	Syaq.g_02059
OG0000013	Syam.g_00421, Syam.g_00404, Syam.g_00409	Syaq.g_00569, Syaq.g_00572, Syaq.g_02023
OG0000014	Syam.g_00191	Syaq.g_00862
OG0000015	Syam.g_01218, Syam.g_01362	Syaq.g_02255
OG0000016	Syam.g_00014	Syaq.g_01136
OG0000016	Syam.g_00876	Syaq.g_00169
OG0000017	Syam.g_01708	Syaq.g_01999
OG0000017	Syam.g_01715	Syaq.g_01992
OG0000018	Syam.g_01640	Syaq.g_00401
OG0000019	Syam.g_00274	Syaq.g_00717
OG0000022	Syam.g_01418	Syaq.g_02126
OG0000023	Syam.g_01217, Syam.g_01553, Syam.g_01583, Syam.g_01075, Syam.g_01943	Syaq.g_02540
OG0000025	Syam.g_00740	Syaq.g_02381
OG0000026	Syam.g_00035	Syaq.g_01114
OG0000028	Syam.g_00176	Syaq.g_00878
OG0000030	Syam.g_00104	Syaq.g_01047
OG0000030	Syam.g_00103	Syaq.g_01048
OG0000031	Syam.g_00171, Syam.g_00086	Syaq.g_01009
OG0000032	Syam.g_01660	Syaq.g_00421
OG0000033	Syam.g_02217	Syaq.g_01399
OG0000034	Syam.g_02185, Syam.g_01843, Syam.g_02187	Syaq.g_00312, Syaq.g_01431
OG0000035	Syam.g_01612	Syaq.g_00372
OG0000037	Syam.g_02125	Syaq.g_01483
OG0000038	Syam.g_02317	Syaq.g_01260
OG0000041	Syam.g_00765	Syaq.g_02688
OG0000042	Syam.g_00107	Syaq.g_00200, Syaq.g_01044
OG0000043	Syam.g_01041	Syaq.g_01920
OG0000044	Syam.g_02052	Syaq.g_00107
