Orthogroup	Syam	Prap
OG0000001	Syam.g_00946	Prap.g_01925, Prap.g_00653
OG0000002	Syam.g_00931	Prap.g_00720, Prap.g_00715, Prap.g_00486, Prap.g_01946, Prap.g_00484, Prap.g_00491, Prap.g_00224, Prap.g_00823
OG0000004	Syam.g_00787	Prap.g_00802
OG0000004	Syam.g_01499, Syam.g_00501	Prap.g_01480
OG0000005	Syam.g_01970	Prap.g_00204
OG0000006	Syam.g_00286, Syam.g_00518	Prap.g_01470
OG0000007	Syam.g_00602	Prap.g_01270
OG0000007	Syam.g_01990	Prap.g_01779
OG0000008	Syam.g_00810	Prap.g_01888
OG0000008	Syam.g_00811	Prap.g_01887
OG0000010	Syam.g_01669	Prap.g_00669, Prap.g_00318, Prap.g_01293
OG0000012	Syam.g_01492	Prap.g_01145
OG0000013	Syam.g_00421, Syam.g_00404, Syam.g_00409	Prap.g_01385
OG0000014	Syam.g_00191	Prap.g_01403
OG0000015	Syam.g_01218, Syam.g_01362	Prap.g_01840, Prap.g_01794
OG0000016	Syam.g_00876, Syam.g_01011	Prap.g_00514
OG0000017	Syam.g_01708	Prap.g_01163
OG0000017	Syam.g_01715	Prap.g_01170
OG0000018	Syam.g_01640	Prap.g_00478, Prap.g_00755
OG0000019	Syam.g_00274	Prap.g_01462, Prap.g_00480
OG0000021	Syam.g_00523	Prap.g_00797
OG0000022	Syam.g_01418	Prap.g_00212
OG0000023	Syam.g_01217, Syam.g_01553, Syam.g_01583, Syam.g_01075, Syam.g_01943	Prap.g_00029
OG0000024	Syam.g_00815	Prap.g_00322, Prap.g_00826
OG0000025	Syam.g_00740	Prap.g_00747
OG0000026	Syam.g_00035	Prap.g_00923
OG0000027	Syam.g_01442, Syam.g_00989	Prap.g_01860, Prap.g_01912
OG0000028	Syam.g_00176	Prap.g_01889
OG0000029	Syam.g_01390, Syam.g_01055	Prap.g_01688, Prap.g_01899, Prap.g_01848
OG0000030	Syam.g_00104, Syam.g_00103	Prap.g_01569
OG0000031	Syam.g_00086	Prap.g_00080
OG0000032	Syam.g_01660	Prap.g_00160
OG0000033	Syam.g_02217	Prap.g_01001
OG0000034	Syam.g_02185, Syam.g_01843, Syam.g_02187	Prap.g_00572
OG0000035	Syam.g_01612	Prap.g_00121
OG0000037	Syam.g_02125	Prap.g_01067
OG0000038	Syam.g_02317	Prap.g_01530
OG0000039	Syam.g_00749	Prap.g_00814
OG0000041	Syam.g_01899	Prap.g_01731
OG0000042	Syam.g_00107	Prap.g_01572
OG0000045	Syam.g_02028	Prap.g_00500
OG0000046	Syam.g_00403, Syam.g_00410, Syam.g_00420	Prap.g_01384
OG0000047	Syam.g_00434	Prap.g_01343
OG0000048	Syam.g_00243	Prap.g_00548, Prap.g_01439
OG0000052	Syam.g_00161	Prap.g_00897, Prap.g_00099
OG0000053	Syam.g_01636	Prap.g_01834, Prap.g_00142
OG0000054	Syam.g_01515	Prap.g_01161
OG0000055	Syam.g_00754	Prap.g_00505
OG0000057	Syam.g_00784	Prap.g_00799
OG0000058	Syam.g_00169	Prap.g_00081
OG0000059	Syam.g_00320	Prap.g_01691
OG0000061	Syam.g_01795	Prap.g_00456
OG0000062	Syam.g_01972	Prap.g_00206
OG0000063	Syam.g_00039	Prap.g_01903
OG0000064	Syam.g_02363, Syam.g_01415, Syam.g_01414, Syam.g_00978, Syam.g_01964	Prap.g_00883
OG0000065	Syam.g_02121	Prap.g_01069
OG0000066	Syam.g_00552, Syam.g_00662	Prap.g_01230, Prap.g_01867
OG0000067	Syam.g_01290	Prap.g_00783
OG0000068	Syam.g_00575	Prap.g_00059
OG0000070	Syam.g_01847	Prap.g_01316
OG0000071	Syam.g_01830	Prap.g_00561
OG0000072	Syam.g_02219	Prap.g_00999
OG0000073	Syam.g_00604	Prap.g_01267
OG0000075	Syam.g_00148	Prap.g_01606
OG0000076	Syam.g_00115	Prap.g_01580
OG0000077	Syam.g_02074	Prap.g_01099
OG0000078	Syam.g_00514	Prap.g_01472
OG0000079	Syam.g_00270	Prap.g_01459
OG0000081	Syam.g_00520	Prap.g_01238
OG0000082	Syam.g_01730	Prap.g_01183, Prap.g_01790
OG0000085	Syam.g_01979	Prap.g_01787, Prap.g_01917
OG0000086	Syam.g_02092	Prap.g_01090
OG0000087	Syam.g_02175	Prap.g_01035
OG0000088	Syam.g_02213	Prap.g_01004
OG0000089	Syam.g_00489	Prap.g_01349
OG0000090	Syam.g_00651	Prap.g_01236
OG0000091	Syam.g_01460	Prap.g_00384
OG0000097	Syam.g_00874	Prap.g_00410
OG0000098	Syam.g_00944	Prap.g_01928
OG0000099	Syam.g_00173	Prap.g_00082
OG0000100	Syam.g_01259	Prap.g_00200
OG0000101	Syam.g_00371	Prap.g_01642
OG0000102	Syam.g_00110	Prap.g_01575
OG0000103	Syam.g_02428	Prap.g_01491
OG0000104	Syam.g_02442	Prap.g_01869
OG0000105	Syam.g_00238	Prap.g_01436
OG0000106	Syam.g_01039	Prap.g_00591
OG0000107	Syam.g_00288	Prap.g_01714
OG0000108	Syam.g_00583	Prap.g_01287
OG0000109	Syam.g_00598	Prap.g_01273
OG0000110	Syam.g_01743	Prap.g_01194
OG0000112	Syam.g_01115	Prap.g_01121
OG0000113	Syam.g_01264	Prap.g_00760
OG0000114	Syam.g_01349	Prap.g_00858
OG0000115	Syam.g_01634	Prap.g_00525
OG0000116	Syam.g_01807	Prap.g_00467
OG0000117	Syam.g_00904	Prap.g_00429
OG0000118	Syam.g_01698	Prap.g_00574
OG0000120	Syam.g_00172	Prap.g_00079
OG0000121	Syam.g_01615	Prap.g_00123
OG0000122	Syam.g_01436	Prap.g_00532, Prap.g_00164
OG0000123	Syam.g_00379	Prap.g_01635
OG0000124	Syam.g_00096	Prap.g_01563
OG0000125	Syam.g_02319	Prap.g_01528
OG0000126	Syam.g_02440	Prap.g_01870
OG0000128	Syam.g_00012	Prap.g_00043
OG0000129	Syam.g_02307	Prap.g_00910
OG0000130	Syam.g_02062	Prap.g_00881
OG0000131	Syam.g_02191	Prap.g_01026
OG0000132	Syam.g_02211	Prap.g_01006
OG0000133	Syam.g_01120	Prap.g_01389
OG0000134	Syam.g_00492	Prap.g_01347
OG0000135	Syam.g_02347	Prap.g_00543
OG0000136	Syam.g_01857	Prap.g_01325
OG0000137	Syam.g_01668	Prap.g_01292
OG0000138	Syam.g_00599	Prap.g_01272
OG0000139	Syam.g_00657	Prap.g_01232
OG0000140	Syam.g_00659	Prap.g_01231
OG0000141	Syam.g_01514	Prap.g_01160
OG0000142	Syam.g_01468	Prap.g_00392
OG0000143	Syam.g_01464	Prap.g_00388
OG0000144	Syam.g_01032	Prap.g_00374
OG0000145	Syam.g_00605	Prap.g_00545
OG0000146	Syam.g_01114	Prap.g_01122
OG0000147	Syam.g_01113	Prap.g_01123
OG0000148	Syam.g_01270	Prap.g_00766
OG0000149	Syam.g_00725	Prap.g_00734
OG0000150	Syam.g_00660	Prap.g_00724
OG0000151	Syam.g_01338	Prap.g_00848
OG0000152	Syam.g_01124	Prap.g_00257
OG0000153	Syam.g_01160	Prap.g_00276
OG0000154	Syam.g_01187	Prap.g_00296
OG0000155	Syam.g_01763	Prap.g_00435
OG0000156	Syam.g_01814	Prap.g_00550
OG0000157	Syam.g_01815	Prap.g_00551
OG0000158	Syam.g_00139	Prap.g_01598
OG0000160	Syam.g_01614	Prap.g_00122
OG0000161	Syam.g_01620	Prap.g_00128
OG0000162	Syam.g_01627	Prap.g_00134
OG0000163	Syam.g_01927	Prap.g_00173
OG0000164	Syam.g_02023	Prap.g_01754
OG0000165	Syam.g_01879, Syam.g_01878	Prap.g_01747
OG0000166	Syam.g_00330	Prap.g_01680
OG0000167	Syam.g_00151	Prap.g_01608
OG0000168	Syam.g_00138	Prap.g_01597
OG0000169	Syam.g_00127	Prap.g_01587
OG0000170	Syam.g_00120	Prap.g_01584
OG0000171	Syam.g_00097	Prap.g_01564
OG0000172	Syam.g_00075	Prap.g_01557
