Orthogroup	Syam	Pram
OG0000001	Syam.g_00946	Pram.g_01954, Pram.g_01953, Pram.g_00719
OG0000002	Syam.g_00931	Pram.g_00873, Pram.g_00879, Pram.g_01170, Pram.g_01471, Pram.g_01168, Pram.g_01174, Pram.g_01278, Pram.g_00768
OG0000004	Syam.g_00787	Pram.g_00789
OG0000004	Syam.g_01499, Syam.g_00501	Pram.g_00219
OG0000005	Syam.g_01970	Pram.g_01295
OG0000006	Syam.g_00286, Syam.g_00518	Pram.g_00229
OG0000007	Syam.g_00602	Pram.g_00433
OG0000007	Syam.g_01990	Pram.g_01632
OG0000008	Syam.g_00810	Pram.g_01263
OG0000008	Syam.g_00811	Pram.g_01262
OG0000010	Syam.g_01669	Pram.g_00704, Pram.g_01000, Pram.g_00410
OG0000012	Syam.g_01492	Pram.g_00561
OG0000013	Syam.g_00421, Syam.g_00404, Syam.g_00409	Pram.g_00315
OG0000014	Syam.g_00191	Pram.g_00295
OG0000015	Syam.g_01218, Syam.g_01362	Pram.g_00696, Pram.g_01545
OG0000016	Syam.g_00876, Syam.g_01011	Pram.g_01193
OG0000017	Syam.g_01708	Pram.g_00542
OG0000017	Syam.g_01715	Pram.g_00535
OG0000018	Syam.g_01640	Pram.g_01162, Pram.g_00837
OG0000019	Syam.g_00274	Pram.g_00237, Pram.g_01164
OG0000021	Syam.g_00523	Pram.g_00794
OG0000022	Syam.g_01418	Pram.g_01287
OG0000023	Syam.g_01217, Syam.g_01553, Syam.g_01583, Syam.g_01075, Syam.g_01943	Pram.g_00689
OG0000024	Syam.g_00815	Pram.g_01004, Pram.g_00765
OG0000025	Syam.g_00740	Pram.g_00844
OG0000026	Syam.g_00035	Pram.g_00018
OG0000028	Syam.g_00176	Pram.g_00308, Pram.g_00363
OG0000029	Syam.g_01390, Syam.g_01055	Pram.g_01723, Pram.g_01529
OG0000030	Syam.g_00104, Syam.g_00103	Pram.g_01844
OG0000031	Syam.g_00171, Syam.g_00086	Pram.g_01413
OG0000032	Syam.g_01660	Pram.g_01339
OG0000033	Syam.g_02217	Pram.g_00154
OG0000034	Syam.g_02185, Syam.g_01843, Syam.g_02187	Pram.g_01240
OG0000035	Syam.g_01612	Pram.g_01378, Pram.g_01381
OG0000037	Syam.g_02125	Pram.g_00093
OG0000038	Syam.g_02317	Pram.g_01884
OG0000039	Syam.g_00749	Pram.g_00777
OG0000041	Syam.g_01899	Pram.g_01680
OG0000042	Syam.g_00107	Pram.g_01841
OG0000044	Syam.g_01562	Pram.g_01620
OG0000045	Syam.g_02028	Pram.g_01184
OG0000046	Syam.g_00403, Syam.g_00410, Syam.g_00420	Pram.g_00316
OG0000047	Syam.g_00434	Pram.g_00359
OG0000048	Syam.g_00243	Pram.g_00259
OG0000052	Syam.g_00161	Pram.g_00040, Pram.g_01436
OG0000053	Syam.g_01636	Pram.g_01580, Pram.g_01357
OG0000054	Syam.g_01515	Pram.g_00544
OG0000055	Syam.g_00754	Pram.g_01189
OG0000057	Syam.g_00784	Pram.g_00792
OG0000058	Syam.g_00169	Pram.g_01447
OG0000059	Syam.g_00320	Pram.g_01719
OG0000061	Syam.g_01795	Pram.g_01140
OG0000062	Syam.g_01972	Pram.g_01293
OG0000063	Syam.g_00039	Pram.g_01258
OG0000064	Syam.g_02363, Syam.g_01415, Syam.g_01414, Syam.g_00978, Syam.g_01964	Pram.g_00052
OG0000065	Syam.g_02121	Pram.g_00091
OG0000066	Syam.g_00552, Syam.g_00662	Pram.g_01558
OG0000067	Syam.g_01290	Pram.g_00809
OG0000068	Syam.g_00575	Pram.g_01468
OG0000070	Syam.g_01847	Pram.g_00385
OG0000071	Syam.g_01830	Pram.g_01230
OG0000072	Syam.g_02219	Pram.g_00156
OG0000073	Syam.g_00604	Pram.g_00437
OG0000075	Syam.g_00148	Pram.g_01807
OG0000076	Syam.g_00115	Pram.g_01833
OG0000077	Syam.g_02074	Pram.g_00063
OG0000078	Syam.g_00514	Pram.g_00227
OG0000079	Syam.g_00270	Pram.g_00240
OG0000081	Syam.g_00520	Pram.g_00469
OG0000082	Syam.g_01730	Pram.g_01559
OG0000085	Syam.g_01979	Pram.g_01265
OG0000086	Syam.g_02092	Pram.g_00072
OG0000087	Syam.g_02175	Pram.g_00125
OG0000088	Syam.g_02213	Pram.g_00151
OG0000089	Syam.g_00489	Pram.g_00352
OG0000090	Syam.g_00651	Pram.g_00471
OG0000091	Syam.g_01460	Pram.g_01068
OG0000097	Syam.g_00874	Pram.g_01093
OG0000098	Syam.g_00944	Pram.g_01478
OG0000099	Syam.g_00173	Pram.g_01445
OG0000100	Syam.g_01259	Pram.g_01298
OG0000101	Syam.g_00371	Pram.g_01770
OG0000102	Syam.g_00110	Pram.g_01838
OG0000103	Syam.g_02428	Pram.g_01925
OG0000104	Syam.g_02442	Pram.g_01934
OG0000105	Syam.g_00238	Pram.g_00262
OG0000106	Syam.g_01039	Pram.g_00677
OG0000107	Syam.g_00288	Pram.g_01696
OG0000108	Syam.g_00583	Pram.g_00416
OG0000109	Syam.g_00598	Pram.g_00430
OG0000110	Syam.g_01743	Pram.g_00513
OG0000112	Syam.g_01115	Pram.g_00935
OG0000113	Syam.g_01264	Pram.g_00832
OG0000114	Syam.g_01349	Pram.g_00734
OG0000115	Syam.g_01634	Pram.g_01201
OG0000116	Syam.g_01807	Pram.g_01151
OG0000117	Syam.g_00904	Pram.g_01112
OG0000118	Syam.g_01698	Pram.g_01242
OG0000120	Syam.g_00172	Pram.g_01446
OG0000121	Syam.g_01615	Pram.g_01376
OG0000122	Syam.g_01436	Pram.g_01204, Pram.g_01334
OG0000123	Syam.g_00379	Pram.g_01777
OG0000124	Syam.g_00096	Pram.g_01850
OG0000125	Syam.g_02319	Pram.g_01886
OG0000126	Syam.g_02440	Pram.g_01933
OG0000127	Syam.g_02032	Pram.g_00611
OG0000128	Syam.g_00012	Pram.g_01949
OG0000129	Syam.g_02307	Pram.g_00029
OG0000130	Syam.g_02062	Pram.g_00054
OG0000131	Syam.g_02191	Pram.g_00130
OG0000132	Syam.g_02211	Pram.g_00149
OG0000133	Syam.g_01120	Pram.g_00310
OG0000134	Syam.g_00492	Pram.g_00354
OG0000135	Syam.g_02347	Pram.g_01589
OG0000136	Syam.g_01857	Pram.g_00376
OG0000137	Syam.g_01668	Pram.g_00411
OG0000138	Syam.g_00599	Pram.g_00431
OG0000139	Syam.g_00657	Pram.g_00475
OG0000140	Syam.g_00659	Pram.g_00476
OG0000141	Syam.g_01514	Pram.g_00545
OG0000142	Syam.g_01468	Pram.g_01075
OG0000143	Syam.g_01464	Pram.g_01072
OG0000144	Syam.g_01032	Pram.g_01058
OG0000145	Syam.g_00605	Pram.g_01534
OG0000146	Syam.g_01114	Pram.g_00934
OG0000147	Syam.g_01113	Pram.g_00933
OG0000148	Syam.g_01270	Pram.g_00826
OG0000149	Syam.g_00725	Pram.g_00858
OG0000150	Syam.g_00660	Pram.g_00868
OG0000151	Syam.g_01338	Pram.g_00744
OG0000152	Syam.g_01124	Pram.g_00943
OG0000153	Syam.g_01160	Pram.g_00961
OG0000154	Syam.g_01187	Pram.g_00978
OG0000155	Syam.g_01763	Pram.g_01118
OG0000156	Syam.g_01814	Pram.g_01219
OG0000157	Syam.g_01815	Pram.g_01220
OG0000158	Syam.g_00139	Pram.g_01815
OG0000160	Syam.g_01614	Pram.g_01377
OG0000161	Syam.g_01620	Pram.g_01145, Pram.g_01371
OG0000162	Syam.g_01627	Pram.g_01365
OG0000163	Syam.g_01927	Pram.g_01326
OG0000164	Syam.g_02023	Pram.g_01656
OG0000165	Syam.g_01879, Syam.g_01878	Pram.g_01664
OG0000166	Syam.g_00330	Pram.g_01733
OG0000167	Syam.g_00151	Pram.g_01805
OG0000168	Syam.g_00138	Pram.g_01816
OG0000169	Syam.g_00127	Pram.g_01826
OG0000170	Syam.g_00120	Pram.g_01829
OG0000171	Syam.g_00097	Pram.g_01849
OG0000172	Syam.g_00075	Pram.g_01856
OG0000173	Syam.g_00057	Pram.g_01871
