Orthogroup	Syam	Prat
OG0000001	Syam.g_00946	Prat.g_01285, Prat.g_01286, Prat.g_00851
OG0000002	Syam.g_00931	Prat.g_00977, Prat.g_01184, Prat.g_01487, Prat.g_01182, Prat.g_01187, Prat.g_01462, Prat.g_00751
OG0000004	Syam.g_00787	Prat.g_00772
OG0000004	Syam.g_01499, Syam.g_00501	Prat.g_00236
OG0000005	Syam.g_01970	Prat.g_01440
OG0000006	Syam.g_00286, Syam.g_00518	Prat.g_00248
OG0000007	Syam.g_00602	Prat.g_00458
OG0000007	Syam.g_01990	Prat.g_01592
OG0000008	Syam.g_00810	Prat.g_00376
OG0000008	Syam.g_00811	Prat.g_00377
OG0000010	Syam.g_01669	Prat.g_00682, Prat.g_00662, Prat.g_00433
OG0000012	Syam.g_01492	Prat.g_00586
OG0000013	Syam.g_00421, Syam.g_00404, Syam.g_00409	Prat.g_00334
OG0000014	Syam.g_00191	Prat.g_00314
OG0000015	Syam.g_01218, Syam.g_01362	Prat.g_00701
OG0000016	Syam.g_00014	Prat.g_00014
OG0000016	Syam.g_00876, Syam.g_01011	Prat.g_01219
OG0000017	Syam.g_01708	Prat.g_00567
OG0000017	Syam.g_01715	Prat.g_00560
OG0000018	Syam.g_01640	Prat.g_01177, Prat.g_01009
OG0000019	Syam.g_00274	Prat.g_00255, Prat.g_01180
OG0000021	Syam.g_00523	Prat.g_00461
OG0000022	Syam.g_01418	Prat.g_01192, Prat.g_01448
OG0000023	Syam.g_01217, Syam.g_01553, Syam.g_01583, Syam.g_01075, Syam.g_01943	Prat.g_00834
OG0000024	Syam.g_00815	Prat.g_00622, Prat.g_00749
OG0000025	Syam.g_00740	Prat.g_01003
OG0000026	Syam.g_00035	Prat.g_00033
OG0000027	Syam.g_01442, Syam.g_00989	Prat.g_01548, Prat.g_01474
OG0000028	Syam.g_00176	Prat.g_00327, Prat.g_00380
OG0000030	Syam.g_00104, Syam.g_00103	Prat.g_01799
OG0000032	Syam.g_01660	Prat.g_01394
OG0000033	Syam.g_02217	Prat.g_00170
OG0000034	Syam.g_02185, Syam.g_01843, Syam.g_02187	Prat.g_01259
OG0000035	Syam.g_01612	Prat.g_01352, Prat.g_01353
OG0000037	Syam.g_02125	Prat.g_00106
OG0000038	Syam.g_02317	Prat.g_01839
OG0000039	Syam.g_00749	Prat.g_00760
OG0000041	Syam.g_01899	Prat.g_01640
OG0000042	Syam.g_00107	Prat.g_01796
OG0000044	Syam.g_01562	Prat.g_00619
OG0000045	Syam.g_02028	Prat.g_01203
OG0000046	Syam.g_00403, Syam.g_00410, Syam.g_00420	Prat.g_00335
OG0000047	Syam.g_00434	Prat.g_00374
OG0000048	Syam.g_00243	Prat.g_00278
OG0000052	Syam.g_00161	Prat.g_00058
OG0000053	Syam.g_01636	Prat.g_01375
OG0000054	Syam.g_01515	Prat.g_00569
OG0000055	Syam.g_00754	Prat.g_00852
OG0000057	Syam.g_00784	Prat.g_00775
OG0000058	Syam.g_00169	Prat.g_01311
OG0000059	Syam.g_00320	Prat.g_01679
OG0000061	Syam.g_01795	Prat.g_01156
OG0000062	Syam.g_01972	Prat.g_01442
OG0000063	Syam.g_00039	Prat.g_01516
OG0000064	Syam.g_02363, Syam.g_01415, Syam.g_01414, Syam.g_00978, Syam.g_01964	Prat.g_00064
OG0000065	Syam.g_02121	Prat.g_00104
OG0000066	Syam.g_00552, Syam.g_00662	Prat.g_01499
OG0000067	Syam.g_01290	Prat.g_01037
OG0000068	Syam.g_00575	Prat.g_01291
OG0000070	Syam.g_01847	Prat.g_00412
OG0000071	Syam.g_01830	Prat.g_01249
OG0000072	Syam.g_02219	Prat.g_00172
OG0000073	Syam.g_00604	Prat.g_00462
OG0000074	Syam.g_00533	Prat.g_01577
OG0000075	Syam.g_00148	Prat.g_01761
