Orthogroup	Syam	Syaf
OG0000001	Syam.g_00946	Syaf.g_01640
OG0000001	Syam.g_02177	Syaf.g_00846
OG0000001	Syam.g_00929	Syaf.g_01634
OG0000004	Syam.g_00787	Syaf.g_01455
OG0000004	Syam.g_01499	Syaf.g_02351
OG0000004	Syam.g_00501	Syaf.g_02794
OG0000005	Syam.g_02004	Syaf.g_01017
OG0000005	Syam.g_01970	Syaf.g_01057
OG0000005	Syam.g_00715	Syaf.g_01352
OG0000005	Syam.g_01029	Syaf.g_01732
OG0000006	Syam.g_00286, Syam.g_00518	Syaf.g_00179, Syaf.g_02778
OG0000006	Syam.g_01446	Syaf.g_02288
OG0000007	Syam.g_00602	Syaf.g_02702
OG0000007	Syam.g_01990	Syaf.g_01033
OG0000008	Syam.g_00810	Syaf.g_01479
OG0000008	Syam.g_00811	Syaf.g_01480
OG0000009	Syam.g_02119	Syaf.g_00905
OG0000010	Syam.g_01669	Syaf.g_02499
OG0000011	Syam.g_00814	Syaf.g_01483
OG0000012	Syam.g_00794	Syaf.g_01353, Syaf.g_01833, Syaf.g_01462
OG0000012	Syam.g_00994	Syaf.g_01693
OG0000013	Syam.g_00421	Syaf.g_00044
OG0000013	Syam.g_00404	Syaf.g_00061
OG0000013	Syam.g_00409	Syaf.g_00056
OG0000014	Syam.g_00191	Syaf.g_00280
OG0000015	Syam.g_01218	Syaf.g_02120
OG0000015	Syam.g_01362	Syaf.g_02121
OG0000016	Syam.g_00014	Syaf.g_00484
OG0000016	Syam.g_00876	Syaf.g_01576
OG0000016	Syam.g_01011	Syaf.g_01713
OG0000017	Syam.g_01708	Syaf.g_02554
OG0000017	Syam.g_01715	Syaf.g_02561
OG0000018	Syam.g_01640	Syaf.g_02451
OG0000019	Syam.g_00274	Syaf.g_00193
OG0000021	Syam.g_00523	Syaf.g_02773
OG0000022	Syam.g_01418	Syaf.g_02256
OG0000023	Syam.g_01583	Syaf.g_01765
OG0000023	Syam.g_01075	Syaf.g_01987
OG0000023	Syam.g_01943	Syaf.g_01995
OG0000024	Syam.g_00815	Syaf.g_01484
OG0000025	Syam.g_00740	Syaf.g_01385
OG0000026	Syam.g_00035	Syaf.g_00461
OG0000027	Syam.g_01442	Syaf.g_02284
OG0000027	Syam.g_00989	Syaf.g_01688
OG0000028	Syam.g_00176	Syaf.g_00297
OG0000029	Syam.g_01055	Syaf.g_01761
OG0000030	Syam.g_00104	Syaf.g_00406
OG0000030	Syam.g_00103	Syaf.g_00407
OG0000031	Syam.g_00171	Syaf.g_00314
OG0000031	Syam.g_00086	Syaf.g_01143
OG0000032	Syam.g_01660	Syaf.g_02471
OG0000033	Syam.g_02217	Syaf.g_00807
OG0000034	Syam.g_02185, Syam.g_01843, Syam.g_02187	Syaf.g_01241, Syaf.g_00837
OG0000035	Syam.g_01612	Syaf.g_02412
OG0000037	Syam.g_02125	Syaf.g_00899
OG0000038	Syam.g_02317	Syaf.g_00642
OG0000039	Syam.g_00749	Syaf.g_01395
OG0000040	Syam.g_02390	Syaf.g_00558
OG0000041	Syam.g_01899	Syaf.g_01171
OG0000041	Syam.g_00765	Syaf.g_01414
OG0000042	Syam.g_00107	Syaf.g_00403
OG0000043	Syam.g_01041	Syaf.g_01747
OG0000044	Syam.g_01562	Syaf.g_01358, Syaf.g_01992
OG0000045	Syam.g_02028	Syaf.g_00979
OG0000046	Syam.g_00403	Syaf.g_00062
OG0000046	Syam.g_00410	Syaf.g_00055
OG0000046	Syam.g_00420	Syaf.g_00045
OG0000047	Syam.g_00434	Syaf.g_00030
OG0000048	Syam.g_00243	Syaf.g_00230
OG0000052	Syam.g_00161	Syaf.g_00335
OG0000053	Syam.g_01636	Syaf.g_02447
OG0000054	Syam.g_01515	Syaf.g_02376
OG0000055	Syam.g_00754	Syaf.g_01402
OG0000057	Syam.g_00784	Syaf.g_01452
OG0000058	Syam.g_00169	Syaf.g_00316
OG0000059	Syam.g_00320	Syaf.g_00143
OG0000060	Syam.g_00902	Syaf.g_01603
OG0000061	Syam.g_01795	Syaf.g_01288
OG0000062	Syam.g_01972	Syaf.g_01055
OG0000063	Syam.g_00039	Syaf.g_00457
OG0000064	Syam.g_01415	Syaf.g_02253
OG0000064	Syam.g_00978	Syaf.g_01667
OG0000064	Syam.g_01964	Syaf.g_01063
OG0000065	Syam.g_02121	Syaf.g_00903
OG0000066	Syam.g_00552, Syam.g_00662	Syaf.g_02643
OG0000067	Syam.g_01290	Syaf.g_02049
OG0000068	Syam.g_00575	Syaf.g_02733
OG0000070	Syam.g_01847	Syaf.g_01237
OG0000071	Syam.g_01830	Syaf.g_01254
OG0000072	Syam.g_02219	Syaf.g_00805
OG0000073	Syam.g_00604	Syaf.g_02700
OG0000075	Syam.g_00148	Syaf.g_00353
OG0000076	Syam.g_00115	Syaf.g_00388
OG0000077	Syam.g_02074	Syaf.g_00951
OG0000078	Syam.g_00514	Syaf.g_02782
OG0000079	Syam.g_00270	Syaf.g_00197
OG0000081	Syam.g_00520	Syaf.g_02776
OG0000082	Syam.g_01730	Syaf.g_02576
OG0000085	Syam.g_01979	Syaf.g_01048
OG0000086	Syam.g_02092	Syaf.g_00932
OG0000087	Syam.g_02175	Syaf.g_00848
OG0000088	Syam.g_02213	Syaf.g_00811
OG0000089	Syam.g_00489	Syaf.g_02807
OG0000090	Syam.g_00651	Syaf.g_02654
OG0000091	Syam.g_01460	Syaf.g_02302
OG0000093	Syam.g_01305	Syaf.g_02065
OG0000094	Syam.g_01198	Syaf.g_01940
OG0000095	Syam.g_00774	Syaf.g_01442
OG0000097	Syam.g_00874	Syaf.g_01574
OG0000098	Syam.g_00944	Syaf.g_01637
OG0000099	Syam.g_00173	Syaf.g_00312
OG0000100	Syam.g_01259	Syaf.g_02017
OG0000101	Syam.g_00371	Syaf.g_00093
OG0000102	Syam.g_00110	Syaf.g_00393
OG0000103	Syam.g_02428	Syaf.g_00520
OG0000104	Syam.g_02442	Syaf.g_00502
OG0000105	Syam.g_00238	Syaf.g_00235
OG0000106	Syam.g_01039	Syaf.g_01745
OG0000107	Syam.g_00288	Syaf.g_00177, Syaf.g_00758
OG0000108	Syam.g_00583	Syaf.g_02721
OG0000109	Syam.g_00598	Syaf.g_02706
OG0000110	Syam.g_01743	Syaf.g_02589
OG0000111	Syam.g_00783	Syaf.g_01451
OG0000112	Syam.g_01115	Syaf.g_01852
OG0000113	Syam.g_01264	Syaf.g_02022
OG0000114	Syam.g_01349	Syaf.g_02103
OG0000115	Syam.g_01634	Syaf.g_02445
OG0000116	Syam.g_01807	Syaf.g_01276
OG0000117	Syam.g_00904	Syaf.g_01605
OG0000118	Syam.g_01698	Syaf.g_02544
OG0000120	Syam.g_00172	Syaf.g_00313
OG0000121	Syam.g_01615	Syaf.g_02419
OG0000123	Syam.g_00379	Syaf.g_00086
OG0000124	Syam.g_00096	Syaf.g_00414
OG0000125	Syam.g_02319	Syaf.g_00640
OG0000126	Syam.g_02440	Syaf.g_00504
OG0000127	Syam.g_02032	Syaf.g_01151
OG0000128	Syam.g_00012	Syaf.g_00486
OG0000129	Syam.g_02307	Syaf.g_00651
OG0000130	Syam.g_02062	Syaf.g_00963
OG0000131	Syam.g_02191	Syaf.g_00833
OG0000132	Syam.g_02211	Syaf.g_00813
OG0000133	Syam.g_01120	Syaf.g_01857
OG0000134	Syam.g_00492	Syaf.g_02804
OG0000135	Syam.g_02347	Syaf.g_00605
OG0000136	Syam.g_01857	Syaf.g_01224
OG0000137	Syam.g_01668	Syaf.g_02498
OG0000138	Syam.g_00599	Syaf.g_02705
OG0000139	Syam.g_00657	Syaf.g_02648
OG0000140	Syam.g_00659	Syaf.g_02646
OG0000141	Syam.g_01514	Syaf.g_02375
OG0000142	Syam.g_01468	Syaf.g_02310
OG0000143	Syam.g_01464	Syaf.g_02306
OG0000144	Syam.g_01032	Syaf.g_01735
OG0000145	Syam.g_00605	Syaf.g_02699
OG0000146	Syam.g_01114	Syaf.g_01851
OG0000147	Syam.g_01113	Syaf.g_01850
OG0000148	Syam.g_01270	Syaf.g_02028
OG0000149	Syam.g_00725	Syaf.g_01371
OG0000150	Syam.g_00660	Syaf.g_02645
OG0000151	Syam.g_01338	Syaf.g_02091
OG0000152	Syam.g_01124	Syaf.g_01861
OG0000153	Syam.g_01160	Syaf.g_01904
OG0000154	Syam.g_01187	Syaf.g_01930
OG0000155	Syam.g_01763	Syaf.g_01324
OG0000156	Syam.g_01814	Syaf.g_01270
OG0000157	Syam.g_01815	Syaf.g_01269
OG0000158	Syam.g_00139	Syaf.g_00364
OG0000160	Syam.g_01614	Syaf.g_02418
OG0000161	Syam.g_01620	Syaf.g_02424
OG0000162	Syam.g_01627	Syaf.g_02431
OG0000163	Syam.g_01927	Syaf.g_01105
OG0000164	Syam.g_02023	Syaf.g_00999
OG0000165	Syam.g_01879, Syam.g_01878	Syaf.g_01197
OG0000166	Syam.g_00330	Syaf.g_00133
OG0000167	Syam.g_00151	Syaf.g_00350
OG0000168	Syam.g_00138	Syaf.g_00365
OG0000169	Syam.g_00127	Syaf.g_00376
OG0000170	Syam.g_00120	Syaf.g_00383
OG0000171	Syam.g_00097	Syaf.g_00413
OG0000172	Syam.g_00075	Syaf.g_00419
OG0000173	Syam.g_00057	Syaf.g_00438
OG0000174	Syam.g_02349	Syaf.g_00603
OG0000175	Syam.g_02417	Syaf.g_00531
OG0000176	Syam.g_00004	Syaf.g_00494
OG0000177	Syam.g_00005	Syaf.g_00493
OG0000178	Syam.g_00006	Syaf.g_00492
OG0000179	Syam.g_00021	Syaf.g_00477
OG0000180	Syam.g_00022	Syaf.g_00476
OG0000181	Syam.g_00023	Syaf.g_00475
OG0000182	Syam.g_00024	Syaf.g_00474
OG0000183	Syam.g_00028	Syaf.g_00470
OG0000184	Syam.g_02298	Syaf.g_00664
OG0000185	Syam.g_02295	Syaf.g_00684
OG0000186	Syam.g_02058	Syaf.g_00968
OG0000187	Syam.g_02059	Syaf.g_00966
OG0000188	Syam.g_02081	Syaf.g_00944
OG0000189	Syam.g_02108	Syaf.g_00916
OG0000190	Syam.g_02110	Syaf.g_00914
OG0000191	Syam.g_02142	Syaf.g_00877
OG0000192	Syam.g_02148	Syaf.g_00871
OG0000193	Syam.g_02192	Syaf.g_00832
OG0000194	Syam.g_02195	Syaf.g_00829
OG0000195	Syam.g_02197	Syaf.g_00827
OG0000196	Syam.g_02208	Syaf.g_00816
OG0000197	Syam.g_02209	Syaf.g_00815
OG0000198	Syam.g_02210	Syaf.g_00814
OG0000199	Syam.g_02218	Syaf.g_00806
OG0000200	Syam.g_02234	Syaf.g_00789
OG0000201	Syam.g_02248	Syaf.g_00771
OG0000202	Syam.g_02249	Syaf.g_00770
OG0000203	Syam.g_02250	Syaf.g_00769
OG0000204	Syam.g_02251	Syaf.g_00768
OG0000205	Syam.g_02258	Syaf.g_00761
OG0000206	Syam.g_02264	Syaf.g_00736
OG0000207	Syam.g_02266	Syaf.g_00735
OG0000208	Syam.g_02267	Syaf.g_00734
OG0000209	Syam.g_02278	Syaf.g_00714
OG0000210	Syam.g_02279	Syaf.g_00713
OG0000211	Syam.g_00504	Syaf.g_02791
OG0000212	Syam.g_00515	Syaf.g_02781
OG0000213	Syam.g_00263	Syaf.g_00210
OG0000214	Syam.g_00247	Syaf.g_00226
OG0000215	Syam.g_00216	Syaf.g_00258
OG0000216	Syam.g_00212	Syaf.g_00262
OG0000217	Syam.g_00208	Syaf.g_00266
OG0000218	Syam.g_00206	Syaf.g_00268
OG0000219	Syam.g_00205	Syaf.g_00269
OG0000220	Syam.g_00204	Syaf.g_00270
OG0000221	Syam.g_00198	Syaf.g_02597, Syaf.g_00273
OG0000222	Syam.g_00186	Syaf.g_00287
OG0000223	Syam.g_00168	Syaf.g_00317
OG0000224	Syam.g_00164	Syaf.g_00324
