Orthogroup	Syam	Pray
OG0000001	Syam.g_00946	Pray.g_01844, Pray.g_00247, Pray.g_00246
OG0000002	Syam.g_00931	Pray.g_01836, Pray.g_01085
OG0000004	Syam.g_00787	Pray.g_01068
OG0000004	Syam.g_01499, Syam.g_00501	Pray.g_00713
OG0000005	Syam.g_02004	Pray.g_01546
OG0000005	Syam.g_01970	Pray.g_01646
OG0000006	Syam.g_00286, Syam.g_00518	Pray.g_00722
OG0000007	Syam.g_00602	Pray.g_00988, Pray.g_00987
OG0000007	Syam.g_01990	Pray.g_01559
OG0000008	Syam.g_00810	Pray.g_01931
OG0000009	Syam.g_02119	Pray.g_00184
OG0000010	Syam.g_01669	Pray.g_00592, Pray.g_00964
OG0000012	Syam.g_00794, Syam.g_00994, Syam.g_01492	Pray.g_01140
OG0000013	Syam.g_00421, Syam.g_00404, Syam.g_00409	Pray.g_00805
OG0000014	Syam.g_00191	Pray.g_00784
OG0000015	Syam.g_01218, Syam.g_01362	Pray.g_00309
OG0000016	Syam.g_00014	Pray.g_01475
OG0000017	Syam.g_01715	Pray.g_01165
OG0000018	Syam.g_01640	Pray.g_00083, Pray.g_00375
OG0000019	Syam.g_00274	Pray.g_00730, Pray.g_00328
OG0000022	Syam.g_01418	Pray.g_00304, Pray.g_00101
OG0000023	Syam.g_01217, Syam.g_01553, Syam.g_01583, Syam.g_01075, Syam.g_01943	Pray.g_00838
OG0000024	Syam.g_00815	Pray.g_00289, Pray.g_01088
OG0000025	Syam.g_00740	Pray.g_00383, Pray.g_00809
OG0000026	Syam.g_00035	Pray.g_01493, Pray.g_00599
OG0000027	Syam.g_01442, Syam.g_00989	Pray.g_00960, Pray.g_01887
OG0000028	Syam.g_00176	Pray.g_00798, Pray.g_01935
OG0000029	Syam.g_01390, Syam.g_01055	Pray.g_00853, Pray.g_00296
OG0000030	Syam.g_00104, Syam.g_00103	Pray.g_01374
OG0000031	Syam.g_00086	Pray.g_01806
OG0000033	Syam.g_02217	Pray.g_00650
OG0000034	Syam.g_02185, Syam.g_01843, Syam.g_02187	Pray.g_01860
OG0000035	Syam.g_01612	Pray.g_01722
OG0000037	Syam.g_02125	Pray.g_00180
OG0000038	Syam.g_02317	Pray.g_01415
OG0000039	Syam.g_00749	Pray.g_01077
OG0000042	Syam.g_00107	Pray.g_01371
OG0000043	Syam.g_01041	Pray.g_01924
OG0000044	Syam.g_01562	Pray.g_00002
OG0000045	Syam.g_02028	Pray.g_00849
OG0000047	Syam.g_00434	Pray.g_00897, Pray.g_00808
OG0000048	Syam.g_00243	Pray.g_00852
OG0000052	Syam.g_00161	Pray.g_01793
OG0000053	Syam.g_01636	Pray.g_01702
OG0000054	Syam.g_01515	Pray.g_01157
OG0000055	Syam.g_00754	Pray.g_00329
OG0000057	Syam.g_00784	Pray.g_01065
OG0000058	Syam.g_00169	Pray.g_01786
OG0000059	Syam.g_00320	Pray.g_01258, Pray.g_01761
OG0000061	Syam.g_01795	Pray.g_00064
OG0000063	Syam.g_00039	Pray.g_01495
OG0000065	Syam.g_02121	Pray.g_00182
OG0000066	Syam.g_00552, Syam.g_00662	Pray.g_01222
OG0000067	Syam.g_01290	Pray.g_00348
OG0000068	Syam.g_00575	Pray.g_01829
OG0000070	Syam.g_01847	Pray.g_00940
OG0000071	Syam.g_01830	Pray.g_01870
OG0000072	Syam.g_02219	Pray.g_00652
OG0000073	Syam.g_00604	Pray.g_00990
OG0000075	Syam.g_00148	Pray.g_01339
OG0000076	Syam.g_00115	Pray.g_01364
OG0000077	Syam.g_02074	Pray.g_00211
OG0000078	Syam.g_00514	Pray.g_00720
OG0000079	Syam.g_00270	Pray.g_00733
OG0000081	Syam.g_00520	Pray.g_01022
OG0000082	Syam.g_01730	Pray.g_01177
OG0000085	Syam.g_01979	Pray.g_01566
OG0000086	Syam.g_02092	Pray.g_00201
OG0000087	Syam.g_02175	Pray.g_00150
OG0000088	Syam.g_02213	Pray.g_00647
OG0000089	Syam.g_00489	Pray.g_00834
OG0000090	Syam.g_00651	Pray.g_01024, Pray.g_01228
OG0000091	Syam.g_01460	Pray.g_01121
OG0000094	Syam.g_01198	Pray.g_00565
OG0000097	Syam.g_00874	Pray.g_00022
OG0000098	Syam.g_00944	Pray.g_01847
OG0000099	Syam.g_00173	Pray.g_01788
OG0000100	Syam.g_01259	Pray.g_01648
OG0000101	Syam.g_00371	Pray.g_01306
OG0000102	Syam.g_00110	Pray.g_01369
OG0000103	Syam.g_02428	Pray.g_01449
OG0000104	Syam.g_02442	Pray.g_01457
OG0000105	Syam.g_00238	Pray.g_00753
OG0000106	Syam.g_01039	Pray.g_00848
OG0000107	Syam.g_00288	Pray.g_00864
OG0000108	Syam.g_00583	Pray.g_00970
OG0000109	Syam.g_00598	Pray.g_00984
OG0000110	Syam.g_01743	Pray.g_01187
OG0000112	Syam.g_01115	Pray.g_00313
OG0000113	Syam.g_01264	Pray.g_00370
OG0000114	Syam.g_01349	Pray.g_00452
OG0000115	Syam.g_01634	Pray.g_00126
OG0000116	Syam.g_01807	Pray.g_00074
OG0000117	Syam.g_00904	Pray.g_01927
OG0000118	Syam.g_01698	Pray.g_01858
OG0000120	Syam.g_00172	Pray.g_01808
OG0000121	Syam.g_01615	Pray.g_01720
OG0000122	Syam.g_01436	Pray.g_01682
OG0000123	Syam.g_00379	Pray.g_01313
OG0000124	Syam.g_00096	Pray.g_01380
OG0000125	Syam.g_02319	Pray.g_01417
OG0000126	Syam.g_02440	Pray.g_01456
OG0000128	Syam.g_00012	Pray.g_01473
OG0000129	Syam.g_02307	Pray.g_00239
OG0000130	Syam.g_02062	Pray.g_00220
OG0000131	Syam.g_02191	Pray.g_00144
OG0000132	Syam.g_02211	Pray.g_00645
OG0000133	Syam.g_01120	Pray.g_00800
OG0000134	Syam.g_00492	Pray.g_00835
OG0000135	Syam.g_02347	Pray.g_00861
OG0000136	Syam.g_01857	Pray.g_00931
OG0000137	Syam.g_01668	Pray.g_00965
OG0000138	Syam.g_00599	Pray.g_00985
