Orthogroup	Syam	Prae
OG0000001	Syam.g_00946	Prae.g_01353, Prae.g_01236, Prae.g_01223, Prae.g_01224
OG0000002	Syam.g_00931	Prae.g_01361, Prae.g_00652
OG0000004	Syam.g_00787	Prae.g_00669
OG0000004	Syam.g_01499, Syam.g_00501	Prae.g_00235
OG0000005	Syam.g_02004	Prae.g_01636
OG0000005	Syam.g_01970	Prae.g_01535
OG0000006	Syam.g_00286, Syam.g_00518	Prae.g_00244
OG0000007	Syam.g_00602	Prae.g_00471
OG0000007	Syam.g_01990	Prae.g_01623
OG0000010	Syam.g_01669	Prae.g_01048, Prae.g_00448
OG0000012	Syam.g_00794, Syam.g_00994, Syam.g_01492	Prae.g_00597
OG0000013	Syam.g_00421, Syam.g_00404, Syam.g_00409	Prae.g_00328
OG0000014	Syam.g_00191	Prae.g_00307
OG0000015	Syam.g_01218, Syam.g_01362	Prae.g_00769, Prae.g_01235
OG0000016	Syam.g_00014	Prae.g_00013
OG0000017	Syam.g_01715	Prae.g_00572
OG0000018	Syam.g_01640	Prae.g_01144, Prae.g_00833
OG0000019	Syam.g_00274	Prae.g_00252, Prae.g_00786
OG0000022	Syam.g_01418	Prae.g_00764, Prae.g_01125
OG0000023	Syam.g_01217, Syam.g_01553, Syam.g_01583, Syam.g_01075, Syam.g_01943	Prae.g_00359
OG0000024	Syam.g_00815	Prae.g_00748, Prae.g_00649
OG0000025	Syam.g_00740	Prae.g_00840, Prae.g_00332
OG0000026	Syam.g_00035	Prae.g_00031, Prae.g_01056
OG0000027	Syam.g_01442, Syam.g_00989	Prae.g_00444, Prae.g_01311
OG0000028	Syam.g_00176	Prae.g_00321
OG0000029	Syam.g_01390, Syam.g_01055	Prae.g_00375, Prae.g_00755
OG0000030	Syam.g_00104, Syam.g_00103	Prae.g_01825
OG0000033	Syam.g_02217	Prae.g_00172
OG0000034	Syam.g_02185, Syam.g_01843, Syam.g_02187	Prae.g_01339
OG0000035	Syam.g_01612	Prae.g_01459
OG0000037	Syam.g_02125	Prae.g_00108
OG0000038	Syam.g_02317	Prae.g_01865
OG0000039	Syam.g_00749	Prae.g_00660
OG0000041	Syam.g_01899	Prae.g_01669
OG0000042	Syam.g_00107	Prae.g_01822
OG0000045	Syam.g_02028	Prae.g_00371
OG0000047	Syam.g_00434	Prae.g_00331
OG0000048	Syam.g_00243	Prae.g_00374
OG0000052	Syam.g_00161	Prae.g_01416
OG0000053	Syam.g_01636	Prae.g_01479
