Orthogroup	Syam	Syak
OG0000001	Syam.g_00946	Syak.g_00342
OG0000001	Syam.g_02177	Syak.g_02139
OG0000001	Syam.g_00929	Syak.g_00275, Syak.g_00579
OG0000004	Syam.g_00787	Syak.g_01219, Syak.g_00720
OG0000004	Syam.g_01499	Syak.g_00003
OG0000004	Syam.g_00501	Syak.g_02297
OG0000005	Syam.g_02004	Syak.g_02401
OG0000005	Syam.g_01970	Syak.g_02436
OG0000006	Syam.g_00286, Syam.g_00518	Syak.g_00059, Syak.g_00061, Syak.g_01394, Syak.g_02315, Syak.g_02317
OG0000006	Syam.g_01446	Syak.g_00057
OG0000007	Syam.g_00602	Syak.g_02595
OG0000007	Syam.g_01990	Syak.g_02416
OG0000008	Syam.g_00810	Syak.g_00267
OG0000008	Syam.g_00811	Syak.g_00692
OG0000009	Syam.g_02119	Syak.g_02194
OG0000010	Syam.g_01669	Syak.g_01119
OG0000011	Syam.g_00814	Syak.g_00960
OG0000012	Syam.g_01492	Syak.g_00010
OG0000013	Syam.g_00404	Syak.g_01275
OG0000013	Syam.g_00409	Syak.g_01270
OG0000014	Syam.g_00191	Syak.g_01505
OG0000015	Syam.g_01218, Syam.g_01362	Syak.g_00358
OG0000016	Syam.g_00014	Syak.g_01780
OG0000016	Syam.g_00876	Syak.g_00818
OG0000017	Syam.g_01708	Syak.g_02738
OG0000017	Syam.g_01715	Syak.g_02730
OG0000018	Syam.g_01640	Syak.g_01072
OG0000019	Syam.g_00274	Syak.g_01413
OG0000022	Syam.g_01418	Syak.g_00088
OG0000023	Syam.g_01217, Syam.g_01553, Syam.g_01583, Syam.g_01075	Syak.g_00316
OG0000023	Syam.g_01943	Syak.g_00223
OG0000025	Syam.g_00740	Syak.g_00610
OG0000026	Syam.g_00035	Syak.g_01757
OG0000027	Syam.g_00989	Syak.g_00127
OG0000028	Syam.g_00176	Syak.g_01522
OG0000029	Syam.g_01055	Syak.g_00169, Syak.g_00178
OG0000030	Syam.g_00104	Syak.g_01684
OG0000030	Syam.g_00103	Syak.g_01685
OG0000031	Syam.g_00171, Syam.g_00086	Syak.g_01630
OG0000032	Syam.g_01660	Syak.g_01092
OG0000032	Syam.g_00079	Syak.g_01707
OG0000033	Syam.g_02217	Syak.g_02101
OG0000034	Syam.g_02185, Syam.g_01843, Syam.g_02187	Syak.g_00950, Syak.g_02133
OG0000035	Syam.g_01612	Syak.g_01041
OG0000037	Syam.g_02125	Syak.g_02188
OG0000038	Syam.g_02317	Syak.g_01938
OG0000039	Syam.g_00749	Syak.g_00772
OG0000040	Syam.g_02390	Syak.g_01852
OG0000041	Syam.g_01899	Syak.g_02354
OG0000042	Syam.g_00107	Syak.g_00843, Syak.g_01681
OG0000044	Syam.g_01562	Syak.g_00153
OG0000045	Syam.g_02028	Syak.g_00228
OG0000046	Syam.g_00410	Syak.g_01269
OG0000047	Syam.g_00434	Syak.g_01147
OG0000048	Syam.g_00243	Syak.g_01446
OG0000052	Syam.g_00161	Syak.g_01549
OG0000053	Syam.g_01636	Syak.g_01068
OG0000054	Syam.g_01515	Syak.g_02744
OG0000055	Syam.g_00754	Syak.g_00766
OG0000057	Syam.g_00784	Syak.g_00724
OG0000058	Syam.g_00169	Syak.g_01530
OG0000059	Syam.g_00320	Syak.g_01355
OG0000060	Syam.g_00902	Syak.g_00844
OG0000061	Syam.g_01795	Syak.g_00898
OG0000062	Syam.g_01972	Syak.g_02434
OG0000063	Syam.g_00039	Syak.g_01752
OG0000064	Syam.g_02363	Syak.g_00254
OG0000064	Syam.g_01415	Syak.g_00126
OG0000064	Syam.g_00978	Syak.g_00164
OG0000064	Syam.g_01964	Syak.g_00983
OG0000066	Syam.g_00552, Syam.g_00662	Syak.g_02653
OG0000067	Syam.g_01290	Syak.g_00434
OG0000068	Syam.g_00575	Syak.g_02565
OG0000070	Syam.g_01847	Syak.g_01174
OG0000071	Syam.g_01830	Syak.g_00936
