Orthogroup	Syam	Praf
OG0000001	Syam.g_00946	Praf.g_01895, Praf.g_00818, Praf.g_01896
OG0000001	Syam.g_02177	Praf.g_01031
OG0000002	Syam.g_00931	Praf.g_01631, Praf.g_00948
OG0000004	Syam.g_00787	Praf.g_01121
OG0000004	Syam.g_01499, Syam.g_00501	Praf.g_00743
OG0000005	Syam.g_01970	Praf.g_00503
OG0000006	Syam.g_00286, Syam.g_00518	Praf.g_00396, Praf.g_01719
OG0000007	Syam.g_00602	Praf.g_00614
OG0000007	Syam.g_01990	Praf.g_00480
OG0000008	Syam.g_00810	Praf.g_01223
OG0000008	Syam.g_00811	Praf.g_01224
OG0000009	Syam.g_02119	Praf.g_01768, Praf.g_00246
OG0000010	Syam.g_01669	Praf.g_01908
OG0000012	Syam.g_01492	Praf.g_01668
OG0000013	Syam.g_00421, Syam.g_00404, Syam.g_00409	Praf.g_02073
OG0000014	Syam.g_00191	Praf.g_02319
OG0000015	Syam.g_01218, Syam.g_01362	Praf.g_01030, Praf.g_01033, Praf.g_01618
OG0000016	Syam.g_00014	Praf.g_00014
OG0000016	Syam.g_00876	Praf.g_00906
OG0000017	Syam.g_01708	Praf.g_00760
OG0000017	Syam.g_01715	Praf.g_00752
OG0000018	Syam.g_01640	Praf.g_01832
OG0000019	Syam.g_00274	Praf.g_00943
OG0000021	Syam.g_00523	Praf.g_00746
OG0000022	Syam.g_01418	Praf.g_00201, Praf.g_00965
OG0000024	Syam.g_00815	Praf.g_01139
OG0000025	Syam.g_00740	Praf.g_01591
OG0000026	Syam.g_00035	Praf.g_00037
OG0000028	Syam.g_00176	Praf.g_02333
OG0000029	Syam.g_01390, Syam.g_01055	Praf.g_02647, Praf.g_02091
OG0000030	Syam.g_00104	Praf.g_00160
OG0000030	Syam.g_00103	Praf.g_00159
OG0000031	Syam.g_00086	Praf.g_00101
OG0000032	Syam.g_01660	Praf.g_01851
OG0000032	Syam.g_00079	Praf.g_02346
OG0000033	Syam.g_02217	Praf.g_02457
OG0000034	Syam.g_02185, Syam.g_01843, Syam.g_02187	Praf.g_00783
OG0000035	Syam.g_01612	Praf.g_01794
OG0000037	Syam.g_02125	Praf.g_00240
OG0000038	Syam.g_02317	Praf.g_02660
OG0000041	Syam.g_01899	Praf.g_00426
OG0000042	Syam.g_00107	Praf.g_00164, Praf.g_00920
OG0000044	Syam.g_02052	Praf.g_00356, Praf.g_01078
OG0000045	Syam.g_02028	Praf.g_00322
OG0000046	Syam.g_00403, Syam.g_00410, Syam.g_00420	Praf.g_02072
OG0000047	Syam.g_00434	Praf.g_01898, Praf.g_01864
OG0000048	Syam.g_00243	Praf.g_02267
OG0000052	Syam.g_00161	Praf.g_02366
OG0000053	Syam.g_01636	Praf.g_01828
OG0000054	Syam.g_01515	Praf.g_00763
OG0000055	Syam.g_00754	Praf.g_01257
OG0000057	Syam.g_00784	Praf.g_01125
OG0000061	Syam.g_01795	Praf.g_00854, Praf.g_01859
OG0000063	Syam.g_00039	Praf.g_00041
OG0000065	Syam.g_02121	Praf.g_00244
OG0000066	Syam.g_00552, Syam.g_00662	Praf.g_00672
OG0000067	Syam.g_01290	Praf.g_01530
OG0000068	Syam.g_00575	Praf.g_00585, Praf.g_00583
OG0000070	Syam.g_01847	Praf.g_01962
OG0000071	Syam.g_01830	Praf.g_00796
OG0000073	Syam.g_00604	Praf.g_00616
OG0000075	Syam.g_00148	Praf.g_02384
OG0000076	Syam.g_00115	Praf.g_00178
OG0000077	Syam.g_02074	Praf.g_00309
OG0000078	Syam.g_00514	Praf.g_00391
OG0000079	Syam.g_00270	Praf.g_02234, Praf.g_02218
OG0000081	Syam.g_00520	Praf.g_01131
OG0000082	Syam.g_01730	Praf.g_00731
OG0000085	Syam.g_01979	Praf.g_00491
OG0000086	Syam.g_02092	Praf.g_00297
OG0000087	Syam.g_02175	Praf.g_02420
OG0000088	Syam.g_02213	Praf.g_01239, Praf.g_02454
OG0000089	Syam.g_00489	Praf.g_02015
OG0000090	Syam.g_00651	Praf.g_00660
OG0000091	Syam.g_01460	Praf.g_01700
OG0000093	Syam.g_01305	Praf.g_01503
OG0000095	Syam.g_00774	Praf.g_01274
OG0000097	Syam.g_00874	Praf.g_00905
OG0000098	Syam.g_00944	Praf.g_01886
OG0000099	Syam.g_00173	Praf.g_02342
OG0000100	Syam.g_01259	Praf.g_00370, Praf.g_01561
OG0000101	Syam.g_00371	Praf.g_02119
OG0000102	Syam.g_00110	Praf.g_00173
OG0000103	Syam.g_02428	Praf.g_02765
OG0000104	Syam.g_02442	Praf.g_02779
OG0000105	Syam.g_00238	Praf.g_02271
OG0000106	Syam.g_01039	Praf.g_00496
OG0000107	Syam.g_00288	Praf.g_02201
OG0000108	Syam.g_00583	Praf.g_00595
OG0000109	Syam.g_00598	Praf.g_00611
OG0000110	Syam.g_01743	Praf.g_00718
OG0000112	Syam.g_01115	Praf.g_01400
OG0000113	Syam.g_01264	Praf.g_01556
OG0000114	Syam.g_01349	Praf.g_01461
OG0000115	Syam.g_01634	Praf.g_01825
OG0000116	Syam.g_01807	Praf.g_00825
OG0000117	Syam.g_00904	Praf.g_00919
OG0000118	Syam.g_01698	Praf.g_00779
OG0000120	Syam.g_00172	Praf.g_02343
OG0000121	Syam.g_01615	Praf.g_01796
OG0000122	Syam.g_01436	Praf.g_00976
OG0000123	Syam.g_00379	Praf.g_02108
OG0000124	Syam.g_00096	Praf.g_00153
OG0000125	Syam.g_02319	Praf.g_02664
OG0000126	Syam.g_02440	Praf.g_02777
OG0000127	Syam.g_02032	Praf.g_00338
OG0000128	Syam.g_00012	Praf.g_00012
OG0000129	Syam.g_02307	Praf.g_02652
OG0000130	Syam.g_02062	Praf.g_00321
OG0000131	Syam.g_02191	Praf.g_02432
OG0000132	Syam.g_02211	Praf.g_02452
OG0000133	Syam.g_01120	Praf.g_02336
OG0000134	Syam.g_00492	Praf.g_02012
OG0000135	Syam.g_02347	Praf.g_02705, Praf.g_02715
OG0000136	Syam.g_01857	Praf.g_01984
OG0000137	Syam.g_01668	Praf.g_01907
OG0000138	Syam.g_00599	Praf.g_00612
OG0000139	Syam.g_00657	Praf.g_00666
OG0000140	Syam.g_00659	Praf.g_00670
OG0000141	Syam.g_01514	Praf.g_00764
OG0000142	Syam.g_01468	Praf.g_01692
OG0000143	Syam.g_01464	Praf.g_01696
OG0000144	Syam.g_01032	Praf.g_01721
OG0000145	Syam.g_00605	Praf.g_00617
OG0000146	Syam.g_01114	Praf.g_01401
OG0000147	Syam.g_01113	Praf.g_01402
OG0000148	Syam.g_01270	Praf.g_01548
OG0000149	Syam.g_00725	Praf.g_01604
OG0000150	Syam.g_00660	Praf.g_01625
OG0000151	Syam.g_01338	Praf.g_01478
OG0000152	Syam.g_01124	Praf.g_01392
