Orthogroup	Syam	Pran
OG0000001	Syam.g_00946	Pran.g_01395
OG0000002	Syam.g_00931	Pran.g_01500
OG0000004	Syam.g_00787	Pran.g_01483
OG0000004	Syam.g_01499, Syam.g_00501	Pran.g_00200
OG0000005	Syam.g_02004	Pran.g_00983
OG0000005	Syam.g_01970	Pran.g_00657
OG0000006	Syam.g_00286, Syam.g_00518	Pran.g_01951
OG0000007	Syam.g_00602	Pran.g_01681
OG0000007	Syam.g_01990	Pran.g_00970
OG0000009	Syam.g_02119	Pran.g_00328
OG0000010	Syam.g_01669	Pran.g_00175, Pran.g_01704
OG0000012	Syam.g_00794, Syam.g_00994, Syam.g_01492	Pran.g_01555
OG0000013	Syam.g_00421, Syam.g_00404, Syam.g_00409	Pran.g_01867
OG0000014	Syam.g_00191	Pran.g_01888
OG0000015	Syam.g_01218, Syam.g_01362	Pran.g_01394
OG0000016	Syam.g_01011	Pran.g_00620
OG0000017	Syam.g_01715	Pran.g_01580
OG0000018	Syam.g_01640	Pran.g_00078, Pran.g_01316
OG0000019	Syam.g_00274	Pran.g_01943, Pran.g_01363
OG0000022	Syam.g_01418	Pran.g_01401, Pran.g_00097
OG0000023	Syam.g_01217, Syam.g_01553, Syam.g_01583, Syam.g_01075, Syam.g_01943	Pran.g_01834
OG0000024	Syam.g_00815	Pran.g_01420, Pran.g_01503
OG0000025	Syam.g_00740	Pran.g_01309, Pran.g_01863
OG0000026	Syam.g_00035	Pran.g_00930, Pran.g_00393, Pran.g_00168
OG0000027	Syam.g_01442, Syam.g_00989	Pran.g_00583
OG0000028	Syam.g_00176	Pran.g_01874
OG0000029	Syam.g_01390, Syam.g_01055	Pran.g_01410
OG0000030	Syam.g_00104, Syam.g_00103	Pran.g_01170
OG0000031	Syam.g_00086	Pran.g_00753
OG0000033	Syam.g_02217	Pran.g_00263
OG0000034	Syam.g_02185, Syam.g_01843, Syam.g_02187	Pran.g_00866
OG0000035	Syam.g_01612	Pran.g_00733
OG0000037	Syam.g_02125	Pran.g_00324
OG0000038	Syam.g_02317	Pran.g_01210
OG0000039	Syam.g_00749	Pran.g_01492
OG0000041	Syam.g_01899	Pran.g_01016
OG0000042	Syam.g_00107	Pran.g_01167
OG0000044	Syam.g_01562	Pran.g_00949
OG0000045	Syam.g_02028	Pran.g_01823
OG0000047	Syam.g_00434	Pran.g_01864
OG0000048	Syam.g_00243	Pran.g_01772, Pran.g_01820
OG0000052	Syam.g_00161	Pran.g_00777
OG0000053	Syam.g_01636	Pran.g_00713
OG0000054	Syam.g_01515	Pran.g_01572
OG0000055	Syam.g_00754	Pran.g_01362
OG0000057	Syam.g_00784	Pran.g_01480
OG0000058	Syam.g_00169	Pran.g_00807
OG0000059	Syam.g_00320	Pran.g_01056
OG0000060	Syam.g_00902	Pran.g_01399
OG0000061	Syam.g_01795	Pran.g_00060
OG0000063	Syam.g_00039	Pran.g_00391
OG0000065	Syam.g_02121	Pran.g_00326
OG0000066	Syam.g_00552, Syam.g_00662	Pran.g_01639
OG0000067	Syam.g_01290	Pran.g_01343
OG0000068	Syam.g_00575	Pran.g_00841
OG0000070	Syam.g_01847	Pran.g_01727
OG0000071	Syam.g_01830	Pran.g_00938, Pran.g_00876
OG0000072	Syam.g_02219	Pran.g_00261
OG0000073	Syam.g_00604	Pran.g_01679
OG0000075	Syam.g_00148	Pran.g_01137
OG0000076	Syam.g_00115	Pran.g_01160
OG0000077	Syam.g_02074	Pran.g_00354
OG0000078	Syam.g_00514	Pran.g_00194
OG0000079	Syam.g_00270	Pran.g_01940
OG0000081	Syam.g_00520	Pran.g_01647
OG0000082	Syam.g_01730	Pran.g_01593
OG0000085	Syam.g_01979	Pran.g_00963
OG0000086	Syam.g_02092	Pran.g_00344
OG0000087	Syam.g_02175	Pran.g_00295
OG0000088	Syam.g_02213	Pran.g_00266
OG0000089	Syam.g_00489	Pran.g_01839
OG0000090	Syam.g_00651	Pran.g_01645
OG0000091	Syam.g_01460	Pran.g_01536
OG0000094	Syam.g_01198	Pran.g_00549
OG0000097	Syam.g_00874	Pran.g_00019
OG0000098	Syam.g_00944	Pran.g_00855
OG0000099	Syam.g_00173	Pran.g_00806
OG0000100	Syam.g_01259	Pran.g_00659
OG0000101	Syam.g_00371	Pran.g_01105
OG0000102	Syam.g_00110	Pran.g_01165
OG0000103	Syam.g_02428	Pran.g_01244
OG0000104	Syam.g_02442	Pran.g_01253
OG0000105	Syam.g_00238	Pran.g_01920
OG0000106	Syam.g_01039	Pran.g_01824
OG0000107	Syam.g_00288	Pran.g_01808
OG0000108	Syam.g_00583	Pran.g_01698
OG0000109	Syam.g_00598	Pran.g_01684
OG0000110	Syam.g_01743	Pran.g_01603
OG0000112	Syam.g_01115	Pran.g_01378
OG0000113	Syam.g_01264	Pran.g_01321
OG0000114	Syam.g_01349	Pran.g_00429
