Orthogroup	Syam	Syag
OG0000001	Syam.g_00946	Syag.g_00575
OG0000001	Syam.g_02177	Syag.g_01942
OG0000001	Syam.g_00929	Syag.g_00520
OG0000004	Syam.g_00787	Syag.g_00988
OG0000004	Syam.g_01499	Syag.g_00370
OG0000004	Syam.g_00501	Syag.g_01790
OG0000005	Syam.g_02004	Syag.g_01708
OG0000005	Syam.g_01970	Syag.g_01667
OG0000006	Syam.g_00286, Syam.g_00518	Syag.g_01772, Syag.g_02678, Syag.g_02687
OG0000006	Syam.g_01446	Syag.g_00435
OG0000007	Syam.g_00602	Syag.g_01507
OG0000007	Syam.g_01990	Syag.g_01687
OG0000008	Syam.g_00810	Syag.g_00496
OG0000008	Syam.g_00811	Syag.g_01017
OG0000009	Syam.g_02119	Syag.g_01883
OG0000010	Syam.g_01669	Syag.g_01355
OG0000011	Syam.g_00814	Syag.g_01299
OG0000012	Syam.g_00994	Syag.g_00995, Syag.g_00686, Syag.g_01105
OG0000012	Syam.g_01492	Syag.g_00377
OG0000013	Syam.g_00421	Syag.g_02820
OG0000013	Syam.g_00404	Syag.g_02806
OG0000013	Syam.g_00409	Syag.g_02811
OG0000014	Syam.g_00191	Syag.g_02559
OG0000015	Syam.g_01218, Syam.g_01362	Syag.g_00596
OG0000016	Syam.g_00014	Syag.g_02286
OG0000016	Syam.g_00876	Syag.g_01066
OG0000017	Syam.g_01708	Syag.g_00344
OG0000017	Syam.g_01715	Syag.g_00336
OG0000018	Syam.g_01640	Syag.g_01387
OG0000019	Syam.g_00274	Syag.g_02663
OG0000021	Syam.g_00523	Syag.g_00229
OG0000022	Syam.g_01418	Syag.g_00458
OG0000023	Syam.g_01943	Syag.g_00261, Syag.g_00234
OG0000024	Syam.g_00815	Syag.g_00455
OG0000025	Syam.g_00740	Syag.g_00718
OG0000026	Syam.g_00035	Syag.g_02309
OG0000027	Syam.g_01442	Syag.g_00950
OG0000027	Syam.g_00989	Syag.g_00165
OG0000028	Syam.g_00176	Syag.g_02540
OG0000029	Syam.g_01390, Syam.g_01055	Syag.g_00195
OG0000030	Syam.g_00104	Syag.g_02375
OG0000030	Syam.g_00103	Syag.g_02374
OG0000031	Syam.g_00171	Syag.g_02510
OG0000032	Syam.g_01660	Syag.g_01366
OG0000032	Syam.g_00079	Syag.g_02480
OG0000033	Syam.g_02217	Syag.g_01978
OG0000034	Syam.g_02185, Syam.g_01843, Syam.g_02187	Syag.g_01225, Syag.g_01947
OG0000035	Syam.g_01612	Syag.g_01420
OG0000037	Syam.g_02125	Syag.g_00173
OG0000038	Syam.g_02317	Syag.g_02130
OG0000040	Syam.g_02390	Syag.g_02215
OG0000041	Syam.g_01899	Syag.g_01750
OG0000041	Syam.g_00765	Syag.g_00962
OG0000042	Syam.g_00107	Syag.g_01094, Syag.g_02378
OG0000045	Syam.g_02028	Syag.g_00223
OG0000046	Syam.g_00403	Syag.g_02805
OG0000046	Syam.g_00410	Syag.g_02812
OG0000046	Syam.g_00420	Syag.g_02819
OG0000047	Syam.g_00434	Syag.g_00768
OG0000048	Syam.g_00243	Syag.g_02611
OG0000052	Syam.g_00161	Syag.g_02451, Syag.g_02491
OG0000053	Syam.g_01636	Syag.g_01391
OG0000054	Syam.g_01515	Syag.g_00350
OG0000055	Syam.g_00754	Syag.g_00946
OG0000057	Syam.g_00784	Syag.g_00985
OG0000058	Syam.g_00169	Syag.g_02477
OG0000059	Syam.g_00320	Syag.g_02721
OG0000060	Syam.g_00902	Syag.g_01095
OG0000061	Syam.g_01795	Syag.g_01141
OG0000062	Syam.g_01972	Syag.g_01669
OG0000063	Syam.g_00039	Syag.g_02313
OG0000064	Syam.g_02363	Syag.g_00487
OG0000064	Syam.g_01414, Syam.g_00978	Syag.g_01589
OG0000064	Syam.g_01964	Syag.g_00076
OG0000066	Syam.g_00552, Syam.g_00662	Syag.g_01443
OG0000067	Syam.g_01290	Syag.g_00667
OG0000068	Syam.g_00575	Syag.g_01537
OG0000070	Syam.g_01847	Syag.g_00049
OG0000071	Syam.g_01830	Syag.g_01192
OG0000072	Syam.g_02219	Syag.g_01980
OG0000073	Syam.g_00604	Syag.g_01505
OG0000075	Syam.g_00148	Syag.g_02434
OG0000076	Syam.g_00115	Syag.g_02393
OG0000077	Syam.g_02074	Syag.g_01831
OG0000078	Syam.g_00514	Syag.g_01778
OG0000079	Syam.g_00270	Syag.g_02659
OG0000081	Syam.g_01918	Syag.g_00167
OG0000082	Syam.g_01730	Syag.g_00318
OG0000084	Syam.g_00441	Syag.g_00212
OG0000085	Syam.g_01979	Syag.g_01676
OG0000086	Syam.g_02092	Syag.g_01853
OG0000087	Syam.g_02175	Syag.g_01939
OG0000088	Syam.g_02213	Syag.g_01974
OG0000089	Syam.g_00489	Syag.g_00005
OG0000090	Syam.g_00651	Syag.g_01454
OG0000091	Syam.g_01460	Syag.g_00418
OG0000093	Syam.g_01305	Syag.g_00649
OG0000094	Syam.g_01198	Syag.g_00881
OG0000095	Syam.g_00774	Syag.g_00974
OG0000097	Syam.g_00874	Syag.g_01065
OG0000098	Syam.g_00944	Syag.g_00578
OG0000099	Syam.g_00173	Syag.g_02536
OG0000100	Syam.g_01259	Syag.g_00704
OG0000101	Syam.g_00371	Syag.g_02773
OG0000102	Syam.g_00110	Syag.g_02387
OG0000103	Syam.g_02428	Syag.g_02253
OG0000104	Syam.g_02442	Syag.g_02268
OG0000105	Syam.g_00238	Syag.g_02606
OG0000106	Syam.g_01039	Syag.g_00462
OG0000107	Syam.g_00288	Syag.g_02689
OG0000108	Syam.g_00583	Syag.g_01528
OG0000109	Syam.g_00598	Syag.g_01512
OG0000110	Syam.g_01743	Syag.g_00303
OG0000112	Syam.g_01115	Syag.g_00801
OG0000113	Syam.g_01264	Syag.g_00699
OG0000114	Syam.g_01349	Syag.g_00609
OG0000115	Syam.g_01634	Syag.g_01397
OG0000116	Syam.g_01807	Syag.g_01156
OG0000117	Syam.g_00904	Syag.g_01097
OG0000118	Syam.g_01698	Syag.g_01232
OG0000120	Syam.g_00172	Syag.g_02535
OG0000121	Syam.g_01615	Syag.g_01414
OG0000122	Syam.g_01436	Syag.g_00446
OG0000123	Syam.g_00379	Syag.g_02781
OG0000124	Syam.g_00096	Syag.g_02367
OG0000125	Syam.g_02319	Syag.g_02136, Syag.g_02134
OG0000126	Syam.g_02440	Syag.g_02266
OG0000128	Syam.g_00012	Syag.g_02284
OG0000129	Syam.g_02307	Syag.g_02121
OG0000130	Syam.g_02062	Syag.g_01819
OG0000131	Syam.g_02191	Syag.g_01951
OG0000132	Syam.g_02211	Syag.g_01972
OG0000133	Syam.g_01120	Syag.g_00806
OG0000134	Syam.g_00492	Syag.g_00008
OG0000135	Syam.g_02347	Syag.g_02171
