Orthogroup	Syam	Prbc
OG0000001	Syam.g_00946	Prbc.g_00588, Prbc.g_00892, Prbc.g_01530, Prbc.g_00925
OG0000002	Syam.g_00931	Prbc.g_01920, Prbc.g_01475, Prbc.g_01474, Prbc.g_01479, Prbc.g_01473, Prbc.g_01478, Prbc.g_01759
OG0000004	Syam.g_00787	Prbc.g_01381
OG0000004	Syam.g_01499, Syam.g_00501	Prbc.g_00339
OG0000005	Syam.g_02004	Prbc.g_00098
OG0000005	Syam.g_01970	Prbc.g_00788
OG0000006	Syam.g_00286, Syam.g_00518	Prbc.g_02202
OG0000007	Syam.g_00602	Prbc.g_01556
OG0000007	Syam.g_01990	Prbc.g_00832
OG0000008	Syam.g_00810	Prbc.g_00893
OG0000008	Syam.g_00811	Prbc.g_00894
OG0000010	Syam.g_01669	Prbc.g_02115, Prbc.g_01533
OG0000013	Syam.g_00421, Syam.g_00404, Syam.g_00409	Prbc.g_01219
OG0000014	Syam.g_00191	Prbc.g_01198
OG0000015	Syam.g_01218, Syam.g_01362	Prbc.g_00599
OG0000016	Syam.g_00014	Prbc.g_01083
OG0000016	Syam.g_00876, Syam.g_01011	Prbc.g_00929
OG0000017	Syam.g_01715	Prbc.g_01681
OG0000018	Syam.g_01640	Prbc.g_01468, Prbc.g_01887
OG0000019	Syam.g_00274	Prbc.g_01836
OG0000021	Syam.g_00523	Prbc.g_02189
OG0000022	Syam.g_01418	Prbc.g_00166, Prbc.g_01288
OG0000023	Syam.g_01217, Syam.g_01553, Syam.g_01583, Syam.g_01075, Syam.g_01943	Prbc.g_00006, Prbc.g_00047, Prbc.g_00071
OG0000024	Syam.g_00815	Prbc.g_00598, Prbc.g_01755
OG0000025	Syam.g_00740	Prbc.g_01115, Prbc.g_00528, Prbc.g_01894
OG0000026	Syam.g_00035	Prbc.g_01101
OG0000027	Syam.g_01442, Syam.g_00989	Prbc.g_00072
OG0000028	Syam.g_00176	Prbc.g_00653
OG0000030	Syam.g_00104, Syam.g_00103	Prbc.g_00199
OG0000031	Syam.g_00086	Prbc.g_01228
OG0000032	Syam.g_01660	Prbc.g_00746
OG0000033	Syam.g_02217	Prbc.g_00402
OG0000034	Syam.g_02185, Syam.g_01843, Syam.g_02187	Prbc.g_00575
OG0000035	Syam.g_01612	Prbc.g_00709
OG0000037	Syam.g_02125	Prbc.g_00464
OG0000038	Syam.g_02317	Prbc.g_00995
OG0000039	Syam.g_00749	Prbc.g_01768
OG0000041	Syam.g_01899	Prbc.g_00877
OG0000042	Syam.g_00107	Prbc.g_00203
OG0000043	Syam.g_01041	Prbc.g_00135
OG0000044	Syam.g_01562	Prbc.g_00533
OG0000045	Syam.g_02028	Prbc.g_02137
OG0000046	Syam.g_00403, Syam.g_00410, Syam.g_00420	Prbc.g_01220
OG0000047	Syam.g_00434	Prbc.g_01273, Prbc.g_01227
OG0000048	Syam.g_00243	Prbc.g_01165
OG0000052	Syam.g_00161	Prbc.g_00518, Prbc.g_00517
OG0000053	Syam.g_01636	Prbc.g_00728
OG0000054	Syam.g_01515	Prbc.g_01683
OG0000055	Syam.g_00754	Prbc.g_01822
OG0000057	Syam.g_00784	Prbc.g_01780, Prbc.g_00055
OG0000058	Syam.g_00169	Prbc.g_01928
OG0000059	Syam.g_00320	Prbc.g_00958
OG0000061	Syam.g_01795	Prbc.g_01446
OG0000063	Syam.g_00039	Prbc.g_00932
OG0000065	Syam.g_02121	Prbc.g_00466
OG0000066	Syam.g_00552, Syam.g_00662	Prbc.g_01618
OG0000067	Syam.g_01290	Prbc.g_01858
