Orthogroup	Syam	Prbb
OG0000001	Syam.g_00946	Prbb.g_01611, Prbb.g_01883, Prbb.g_00474, Prbb.g_01915, Prbb.g_01157
OG0000002	Syam.g_00931	Prbb.g_00844, Prbb.g_01546, Prbb.g_01545, Prbb.g_01550, Prbb.g_01544, Prbb.g_01549, Prbb.g_00683
OG0000004	Syam.g_00787	Prbb.g_01450
OG0000004	Syam.g_01499, Syam.g_00501	Prbb.g_00288
OG0000005	Syam.g_02004	Prbb.g_01393
OG0000005	Syam.g_01970	Prbb.g_01766
OG0000006	Syam.g_00286, Syam.g_00518	Prbb.g_00299, Prbb.g_01328, Prbb.g_01560
OG0000007	Syam.g_00602	Prbb.g_00501
OG0000007	Syam.g_01990	Prbb.g_01823
OG0000008	Syam.g_00810	Prbb.g_01884
OG0000008	Syam.g_00811	Prbb.g_01885
OG0000010	Syam.g_01669	Prbb.g_01072, Prbb.g_00477
OG0000013	Syam.g_00421, Syam.g_00404, Syam.g_00409	Prbb.g_00378
OG0000014	Syam.g_00191	Prbb.g_00357
OG0000015	Syam.g_01218, Syam.g_01362	Prbb.g_01158
OG0000016	Syam.g_00014	Prbb.g_00014
OG0000016	Syam.g_00876, Syam.g_01011	Prbb.g_01919
OG0000017	Syam.g_01715	Prbb.g_00605
OG0000018	Syam.g_01640	Prbb.g_01539, Prbb.g_00812
OG0000019	Syam.g_00274	Prbb.g_00761
OG0000021	Syam.g_00523	Prbb.g_00099
OG0000022	Syam.g_01418	Prbb.g_01231, Prbb.g_01258
OG0000023	Syam.g_01217, Syam.g_01553, Syam.g_01583, Syam.g_01075, Syam.g_01943	Prbb.g_01411, Prbb.g_01373
OG0000024	Syam.g_00815	Prbb.g_01175, Prbb.g_00680
OG0000025	Syam.g_00740	Prbb.g_00052, Prbb.g_00818
OG0000026	Syam.g_00035	Prbb.g_00032
OG0000027	Syam.g_01442, Syam.g_00989	Prbb.g_01375
OG0000028	Syam.g_00176	Prbb.g_01635
OG0000029	Syam.g_01390, Syam.g_01055	Prbb.g_01800
OG0000030	Syam.g_00104, Syam.g_00103	Prbb.g_02073
OG0000031	Syam.g_00086	Prbb.g_00387
OG0000032	Syam.g_01660	Prbb.g_01723
OG0000033	Syam.g_02217	Prbb.g_00226
OG0000034	Syam.g_02185, Syam.g_01843, Syam.g_02187	Prbb.g_01596
OG0000035	Syam.g_01612	Prbb.g_01686
OG0000037	Syam.g_02125	Prbb.g_00164
OG0000038	Syam.g_02317	Prbb.g_02129
OG0000039	Syam.g_00749	Prbb.g_00692
OG0000041	Syam.g_01899	Prbb.g_01868
OG0000042	Syam.g_00107	Prbb.g_02069
OG0000043	Syam.g_01041	Prbb.g_01198
OG0000044	Syam.g_01562	Prbb.g_00079
OG0000045	Syam.g_02028	Prbb.g_01094
OG0000046	Syam.g_00403, Syam.g_00410, Syam.g_00420	Prbb.g_00379
OG0000047	Syam.g_00434	Prbb.g_00421, Prbb.g_00386
OG0000048	Syam.g_00243	Prbb.g_00325
OG0000052	Syam.g_00161	Prbb.g_00112
OG0000053	Syam.g_01636	Prbb.g_01705
OG0000054	Syam.g_01515	Prbb.g_00607
OG0000055	Syam.g_00754	Prbb.g_00747
OG0000057	Syam.g_00784	Prbb.g_00706, Prbb.g_01359
OG0000058	Syam.g_00169	Prbb.g_00851
OG0000059	Syam.g_00320	Prbb.g_01946
OG0000060	Syam.g_00902	Prbb.g_01153
OG0000061	Syam.g_01795	Prbb.g_01517, Prbb.g_00874
OG0000063	Syam.g_00039	Prbb.g_01921
OG0000065	Syam.g_02121	Prbb.g_00162
OG0000066	Syam.g_00552, Syam.g_00662	Prbb.g_00542
OG0000067	Syam.g_01290	Prbb.g_00783
OG0000068	Syam.g_00575	Prbb.g_01639
OG0000070	Syam.g_01847	Prbb.g_00455
OG0000071	Syam.g_01830	Prbb.g_01586
OG0000072	Syam.g_02219	Prbb.g_00228
OG0000073	Syam.g_00604	Prbb.g_00503
OG0000075	Syam.g_00148	Prbb.g_02036
OG0000076	Syam.g_00115	Prbb.g_02061
OG0000077	Syam.g_02074	Prbb.g_00133
OG0000078	Syam.g_00514	Prbb.g_00297
OG0000079	Syam.g_00270	Prbb.g_00308
OG0000081	Syam.g_00520	Prbb.g_00534
OG0000082	Syam.g_01730	Prbb.g_01882
OG0000085	Syam.g_01979	Prbb.g_01816
OG0000086	Syam.g_02092	Prbb.g_00143
OG0000087	Syam.g_02175	Prbb.g_00196
OG0000088	Syam.g_02213	Prbb.g_00223
OG0000089	Syam.g_00489	Prbb.g_00416
OG0000090	Syam.g_00651	Prbb.g_00536
OG0000091	Syam.g_01460	Prbb.g_00643
OG0000097	Syam.g_00874	Prbb.g_01470
OG0000098	Syam.g_00944	Prbb.g_01608
OG0000099	Syam.g_00173	Prbb.g_00388
OG0000100	Syam.g_01259	Prbb.g_01763
OG0000101	Syam.g_00371	Prbb.g_02001
OG0000102	Syam.g_00110	Prbb.g_02066
OG0000103	Syam.g_02428	Prbb.g_02174
OG0000104	Syam.g_02442	Prbb.g_02185
OG0000105	Syam.g_00238	Prbb.g_00327
OG0000106	Syam.g_01039	Prbb.g_01197, Prbb.g_01329
OG0000107	Syam.g_00288	Prbb.g_01923
OG0000108	Syam.g_00583	Prbb.g_00484, Prbb.g_00485
OG0000109	Syam.g_00598	Prbb.g_00498
OG0000110	Syam.g_01743	Prbb.g_00578
OG0000112	Syam.g_01115	Prbb.g_00983
OG0000113	Syam.g_01264	Prbb.g_00807, Prbb.g_01218
OG0000114	Syam.g_01349	Prbb.g_00932
OG0000115	Syam.g_01634	Prbb.g_01780
OG0000116	Syam.g_01807	Prbb.g_01528
OG0000117	Syam.g_00904	Prbb.g_01399
OG0000118	Syam.g_01698	Prbb.g_01598
OG0000120	Syam.g_00172	Prbb.g_00678
OG0000121	Syam.g_01615	Prbb.g_01688
OG0000122	Syam.g_01436	Prbb.g_01727
OG0000123	Syam.g_00379	Prbb.g_02008
OG0000124	Syam.g_00096	Prbb.g_02079
OG0000125	Syam.g_02319	Prbb.g_02131
OG0000126	Syam.g_02440	Prbb.g_02183
OG0000128	Syam.g_00012	Prbb.g_00012
OG0000129	Syam.g_02307	Prbb.g_00059
OG0000130	Syam.g_02062	Prbb.g_00124
OG0000131	Syam.g_02191	Prbb.g_00202
OG0000132	Syam.g_02211	Prbb.g_00221
OG0000133	Syam.g_01120	Prbb.g_00373
OG0000134	Syam.g_00492	Prbb.g_00418
OG0000135	Syam.g_02347	Prbb.g_01326
OG0000136	Syam.g_01857	Prbb.g_00446
OG0000137	Syam.g_01668	Prbb.g_00478
OG0000138	Syam.g_00599	Prbb.g_00499
OG0000139	Syam.g_00657	Prbb.g_00540
OG0000140	Syam.g_00659	Prbb.g_00541
OG0000141	Syam.g_01514	Prbb.g_00608
OG0000142	Syam.g_01468	Prbb.g_00636
OG0000143	Syam.g_01464	Prbb.g_00640
OG0000144	Syam.g_01032	Prbb.g_00653
OG0000145	Syam.g_00605	Prbb.g_01099
OG0000146	Syam.g_01114	Prbb.g_00982
OG0000147	Syam.g_01113	Prbb.g_00981
OG0000148	Syam.g_01270	Prbb.g_00801
OG0000149	Syam.g_00725	Prbb.g_00832
OG0000150	Syam.g_00660	Prbb.g_00840
OG0000151	Syam.g_01338	Prbb.g_00943
OG0000152	Syam.g_01124	Prbb.g_00991
OG0000153	Syam.g_01160	Prbb.g_01009
OG0000154	Syam.g_01187	Prbb.g_01040
OG0000155	Syam.g_01763	Prbb.g_01495
OG0000156	Syam.g_01814	Prbb.g_01575
OG0000157	Syam.g_01815	Prbb.g_01576
OG0000158	Syam.g_00139	Prbb.g_02044
OG0000160	Syam.g_01614	Prbb.g_01687
OG0000161	Syam.g_01620	Prbb.g_01693
OG0000162	Syam.g_01627	Prbb.g_01699
OG0000163	Syam.g_01927	Prbb.g_01735
OG0000164	Syam.g_02023	Prbb.g_01845
OG0000165	Syam.g_01879, Syam.g_01878	Prbb.g_01853
OG0000166	Syam.g_00330	Prbb.g_01964
OG0000167	Syam.g_00151	Prbb.g_02034
OG0000168	Syam.g_00138	Prbb.g_02045
OG0000169	Syam.g_00127	Prbb.g_02055
OG0000170	Syam.g_00120	Prbb.g_02057
OG0000171	Syam.g_00097	Prbb.g_02078
OG0000172	Syam.g_00075	Prbb.g_02101
OG0000173	Syam.g_00057	Prbb.g_02116
OG0000174	Syam.g_02349	Prbb.g_02147
OG0000175	Syam.g_02417	Prbb.g_02165
OG0000176	Syam.g_00004	Prbb.g_00004
OG0000177	Syam.g_00005	Prbb.g_00005
OG0000178	Syam.g_00006	Prbb.g_00007, Prbb.g_00006
OG0000179	Syam.g_00021	Prbb.g_00017
OG0000180	Syam.g_00022	Prbb.g_00018
OG0000181	Syam.g_00023	Prbb.g_00019
OG0000182	Syam.g_00024	Prbb.g_00020
OG0000183	Syam.g_00028	Prbb.g_00024
OG0000184	Syam.g_02298	Prbb.g_00061
OG0000185	Syam.g_02295	Prbb.g_00064
OG0000186	Syam.g_02058	Prbb.g_00119
OG0000187	Syam.g_02059	Prbb.g_00120
OG0000188	Syam.g_02081	Prbb.g_00137
OG0000189	Syam.g_02108	Prbb.g_00151
OG0000190	Syam.g_02110	Prbb.g_00152
OG0000191	Syam.g_02142	Prbb.g_00175
OG0000192	Syam.g_02148	Prbb.g_00179
OG0000193	Syam.g_02192	Prbb.g_00203
OG0000194	Syam.g_02195	Prbb.g_00206
OG0000195	Syam.g_02197	Prbb.g_00208
OG0000196	Syam.g_02208	Prbb.g_00218
OG0000197	Syam.g_02209	Prbb.g_00219
OG0000198	Syam.g_02210	Prbb.g_00220
OG0000199	Syam.g_02218	Prbb.g_00227
OG0000200	Syam.g_02234	Prbb.g_00240
OG0000202	Syam.g_02249	Prbb.g_00250
OG0000203	Syam.g_02250	Prbb.g_00251
OG0000204	Syam.g_02251	Prbb.g_00252
OG0000205	Syam.g_02258	Prbb.g_00259
OG0000206	Syam.g_02264	Prbb.g_00263
OG0000207	Syam.g_02266	Prbb.g_00265
OG0000208	Syam.g_02267	Prbb.g_00266
OG0000209	Syam.g_02278	Prbb.g_00275
OG0000210	Syam.g_02279	Prbb.g_00276
OG0000212	Syam.g_00515	Prbb.g_00298
OG0000213	Syam.g_00263	Prbb.g_00313
OG0000214	Syam.g_00247	Prbb.g_00321
OG0000215	Syam.g_00216	Prbb.g_00344
OG0000216	Syam.g_00212	Prbb.g_00345
OG0000217	Syam.g_00208	Prbb.g_00348
OG0000218	Syam.g_00206	Prbb.g_00350
OG0000219	Syam.g_00205	Prbb.g_00351
OG0000220	Syam.g_00204	Prbb.g_00352
OG0000221	Syam.g_00198	Prbb.g_00353
OG0000222	Syam.g_00186	Prbb.g_00361
OG0000223	Syam.g_00168	Prbb.g_00374
OG0000224	Syam.g_00164	Prbb.g_00376
OG0000225	Syam.g_00473	Prbb.g_00405
OG0000226	Syam.g_00477	Prbb.g_00409
OG0000227	Syam.g_00479	Prbb.g_00411
OG0000228	Syam.g_00488	Prbb.g_00415
