Orthogroup	Syam	Praa
OG0000001	Syam.g_00946	Praa.g_01351, Praa.g_01220, Praa.g_01222
OG0000002	Syam.g_00931	Praa.g_01359, Praa.g_00678
OG0000004	Syam.g_00787	Praa.g_00695
OG0000004	Syam.g_01499, Syam.g_00501	Praa.g_00232
OG0000005	Syam.g_02004	Praa.g_01648
OG0000005	Syam.g_01970	Praa.g_01553
OG0000006	Syam.g_00286, Syam.g_00518	Praa.g_00241, Praa.g_01245
OG0000007	Syam.g_00602	Praa.g_00497
OG0000007	Syam.g_01990	Praa.g_01635
OG0000008	Syam.g_00810	Praa.g_01241
OG0000009	Syam.g_02119	Praa.g_00105
OG0000010	Syam.g_01669	Praa.g_01047, Praa.g_00474
OG0000012	Syam.g_00794, Syam.g_00994, Syam.g_01492	Praa.g_00623
OG0000013	Syam.g_00421, Syam.g_00404, Syam.g_00409	Praa.g_00327
OG0000014	Syam.g_00191	Praa.g_00306
OG0000015	Syam.g_01218, Syam.g_01362	Praa.g_00765
OG0000016	Syam.g_00014	Praa.g_00013
OG0000017	Syam.g_01715	Praa.g_00598
OG0000018	Syam.g_01640	Praa.g_01141, Praa.g_00831
OG0000019	Syam.g_00274	Praa.g_00249, Praa.g_00782
OG0000022	Syam.g_01418	Praa.g_00763, Praa.g_01124
OG0000023	Syam.g_01217, Syam.g_01553, Syam.g_01583, Syam.g_01075, Syam.g_01943	Praa.g_00359
OG0000024	Syam.g_00815	Praa.g_00747, Praa.g_00675
OG0000025	Syam.g_00740	Praa.g_00839, Praa.g_00331
OG0000026	Syam.g_00035	Praa.g_00031, Praa.g_01054
OG0000027	Syam.g_01442, Syam.g_00989	Praa.g_00470, Praa.g_01301
OG0000028	Syam.g_00176	Praa.g_00320, Praa.g_01248
OG0000029	Syam.g_01390, Syam.g_01055	Praa.g_00374, Praa.g_00754
OG0000030	Syam.g_00104, Syam.g_00103	Praa.g_01842
OG0000033	Syam.g_02217	Praa.g_00169
OG0000034	Syam.g_02185, Syam.g_01843, Syam.g_02187	Praa.g_01328
OG0000035	Syam.g_01612	Praa.g_01476
OG0000037	Syam.g_02125	Praa.g_00109
OG0000038	Syam.g_02317	Praa.g_01883
OG0000039	Syam.g_00749	Praa.g_00686
OG0000041	Syam.g_01899	Praa.g_01683
OG0000042	Syam.g_00107	Praa.g_01839
OG0000043	Syam.g_01041	Praa.g_01259
OG0000045	Syam.g_02028	Praa.g_00370
OG0000047	Syam.g_00434	Praa.g_00330
OG0000048	Syam.g_00243	Praa.g_00373
OG0000052	Syam.g_00161	Praa.g_01447, Praa.g_01407
OG0000053	Syam.g_01636	Praa.g_01496
OG0000054	Syam.g_01515	Praa.g_00606
OG0000055	Syam.g_00754	Praa.g_00783
OG0000057	Syam.g_00784	Praa.g_00698
OG0000058	Syam.g_00169	Praa.g_01425
OG0000059	Syam.g_00320	Praa.g_01723
OG0000061	Syam.g_01795	Praa.g_01415, Praa.g_01159
