Orthogroup	Praa	Prba
OG0000000	Praa.g_01359	Prba.g_00203
OG0000000	Praa.g_00678	Prba.g_01639
OG0000001	Praa.g_01597	Prba.g_00003, Prba.g_00270
OG0000002	Praa.g_01351	Prba.g_00211
OG0000003	Praa.g_01298	Prba.g_01172
OG0000003	Praa.g_01599	Prba.g_00268
OG0000004	Praa.g_00735	Prba.g_01570
OG0000004	Praa.g_00742	Prba.g_01563
OG0000004	Praa.g_01294	Prba.g_01171
OG0000005	Praa.g_01598	Prba.g_00269
OG0000005	Praa.g_01235	Prba.g_00243
OG0000006	Praa.g_00497	Prba.g_00964
OG0000006	Praa.g_01635	Prba.g_00226
OG0000007	Praa.g_01241	Prba.g_01131
OG0000007	Praa.g_00672	Prba.g_01645
OG0000008	Praa.g_00382	Prba.g_00878
OG0000008	Praa.g_00997	Prba.g_01304
OG0000008	Praa.g_01256	Prba.g_00901
OG0000009	Praa.g_00782	Prba.g_01519
OG0000009	Praa.g_00249	Prba.g_00468
OG0000010	Praa.g_01110	Prba.g_00734
OG0000010	Praa.g_01280	Prba.g_01157
OG0000011	Praa.g_00330	Prba.g_00546
OG0000012	Praa.g_00598	Prba.g_01719
OG0000014	Praa.g_01301	Prba.g_01175
OG0000014	Praa.g_00470	Prba.g_00991
OG0000015	Praa.g_00380	Prba.g_00876
OG0000016	Praa.g_01362	Prba.g_00200
OG0000017	Praa.g_01496	Prba.g_00693
OG0000018	Praa.g_00241	Prba.g_00460
OG0000019	Praa.g_01623	Prba.g_00245
OG0000019	Praa.g_00364	Prba.g_00858
OG0000020	Praa.g_00373	Prba.g_00868
OG0000021	Praa.g_00784	Prba.g_01517
OG0000022	Praa.g_01300	Prba.g_01174
OG0000023	Praa.g_01264	Prba.g_01142
OG0000023	Praa.g_01589	Prba.g_00276
OG0000024	Praa.g_00306	Prba.g_00522
OG0000025	Praa.g_01075	Prba.g_01229
OG0000026	Praa.g_00033	Prba.g_01826
