Orthogroup	Praa	Prbm
OG0000000	Praa.g_01359	Prbm.g_00874
OG0000000	Praa.g_00678	Prbm.g_00712, Prbm.g_01581, Prbm.g_01578, Prbm.g_01577, Prbm.g_01582, Prbm.g_01576
OG0000002	Praa.g_01351	Prbm.g_01633
OG0000002	Praa.g_01222, Praa.g_01220	Prbm.g_01940, Prbm.g_00496, Prbm.g_01426
OG0000003	Praa.g_01298, Praa.g_01599, Praa.g_00413	Prbm.g_01140, Prbm.g_01231, Prbm.g_00433, Prbm.g_01384, Prbm.g_01313, Prbm.g_01814
OG0000004	Praa.g_00742	Prbm.g_00081, Prbm.g_01988, Prbm.g_01436
OG0000005	Praa.g_01598, Praa.g_01244, Praa.g_01235	Prbm.g_01808, Prbm.g_01406, Prbm.g_00435, Prbm.g_01116, Prbm.g_00436, Prbm.g_01117, Prbm.g_01229, Prbm.g_01382, Prbm.g_01407
OG0000006	Praa.g_00497	Prbm.g_00522
OG0000006	Praa.g_01635	Prbm.g_01841
OG0000007	Praa.g_01241	Prbm.g_01907
OG0000009	Praa.g_00782	Prbm.g_00792
OG0000010	Praa.g_01110, Praa.g_01280	Prbm.g_01359
OG0000011	Praa.g_00330	Prbm.g_00390
OG0000012	Praa.g_00598	Prbm.g_00635, Prbm.g_00628
OG0000013	Praa.g_00765	Prbm.g_01427, Prbm.g_01149
OG0000015	Praa.g_00380	Prbm.g_01164, Prbm.g_01415
OG0000016	Praa.g_01362	Prbm.g_01653
OG0000017	Praa.g_01496	Prbm.g_01729
OG0000018	Praa.g_01245, Praa.g_00241	Prbm.g_01588, Prbm.g_01236, Prbm.g_00302
OG0000021	Praa.g_00784	Prbm.g_01262, Prbm.g_01017, Prbm.g_01016, Prbm.g_01091
OG0000022	Praa.g_01300	Prbm.g_01115, Prbm.g_00437, Prbm.g_01381, Prbm.g_01228, Prbm.g_01312, Prbm.g_01408
OG0000023	Praa.g_01264	Prbm.g_01235, Prbm.g_01400
OG0000024	Praa.g_00306	Prbm.g_00362, Prbm.g_02126
OG0000026	Praa.g_00033	Prbm.g_01947
OG0000027	Praa.g_01564	Prbm.g_01110, Prbm.g_01461, Prbm.g_01445, Prbm.g_01124
OG0000028	Praa.g_01476	Prbm.g_01710
OG0000029	Praa.g_01590	Prbm.g_00772, Prbm.g_01414, Prbm.g_01387, Prbm.g_01753
OG0000030	Praa.g_00038	Prbm.g_00036
OG0000033	Praa.g_00013	Prbm.g_00013
OG0000034	Praa.g_01407	Prbm.g_00114
OG0000036	Praa.g_00585	Prbm.g_01900
OG0000037	Praa.g_00623	Prbm.g_01106
OG0000038	Praa.g_00763	Prbm.g_01204
OG0000039	Praa.g_00166	Prbm.g_00225
OG0000040	Praa.g_00359	Prbm.g_01284, Prbm.g_01297, Prbm.g_01444
OG0000041	Praa.g_00399	Prbm.g_01351
OG0000042	Praa.g_00711	Prbm.g_00742
OG0000043	Praa.g_00787	Prbm.g_00950
OG0000044	Praa.g_01159, Praa.g_01415	Prbm.g_01549
OG0000045	Praa.g_01425	Prbm.g_00881
OG0000046	Praa.g_01628	Prbm.g_01834
OG0000047	Praa.g_01832	Prbm.g_02094
OG0000048	Praa.g_01839	Prbm.g_02102
OG0000050	Praa.g_00031	Prbm.g_00031
OG0000051	Praa.g_00157	Prbm.g_00216
OG0000052	Praa.g_00369	Prbm.g_01172, Prbm.g_01237
OG0000053	Praa.g_00539	Prbm.g_00572
OG0000055	Praa.g_00826	Prbm.g_00838, Prbm.g_01191
OG0000056	Praa.g_01117	Prbm.g_00048
OG0000057	Praa.g_00237	Prbm.g_00297
OG0000058	Praa.g_01414, Praa.g_00475	Prbm.g_00500
OG0000059	Praa.g_00698	Prbm.g_00735
OG0000061	Praa.g_01125, Praa.g_00984	Prbm.g_01648
OG0000062	Praa.g_01127	Prbm.g_01910
OG0000063	Praa.g_01255	Prbm.g_01522
OG0000065	Praa.g_01318	Prbm.g_00468, Prbm.g_01611
OG0000066	Praa.g_01387	Prbm.g_00707
OG0000067	Praa.g_01626	Prbm.g_01174
OG0000068	Praa.g_01775	Prbm.g_02033
OG0000071	Praa.g_00011	Prbm.g_00011
OG0000072	Praa.g_00322	Prbm.g_00377
OG0000073	Praa.g_00669	Prbm.g_00702
OG0000074	Praa.g_00691	Prbm.g_00728
OG0000075	Praa.g_00810, Praa.g_00811	Prbm.g_00821
OG0000076	Praa.g_01039	Prbm.g_01064
OG0000077	Praa.g_01236	Prbm.g_00434, Prbm.g_01230, Prbm.g_01383, Prbm.g_01118, Prbm.g_01809, Prbm.g_01405
OG0000078	Praa.g_01394	Prbm.g_00394
OG0000079	Praa.g_01555	Prbm.g_01792
OG0000080	Praa.g_01606	Prbm.g_01182
OG0000081	Praa.g_01806	Prbm.g_02067
OG0000083	Praa.g_00003	Prbm.g_00003
OG0000084	Praa.g_00006	Prbm.g_00006
OG0000085	Praa.g_00023	Prbm.g_00023
OG0000086	Praa.g_00039, Praa.g_00409	Prbm.g_00063, Prbm.g_01170
OG0000087	Praa.g_00049	Prbm.g_00058
OG0000088	Praa.g_00113	Prbm.g_00172
OG0000089	Praa.g_00121	Prbm.g_00181
OG0000090	Praa.g_00139	Prbm.g_00198
OG0000091	Praa.g_00169	Prbm.g_00228
OG0000092	Praa.g_00170	Prbm.g_00229
OG0000093	Praa.g_00184	Prbm.g_00243
OG0000094	Praa.g_00202	Prbm.g_00262
OG0000095	Praa.g_00207	Prbm.g_00266
OG0000096	Praa.g_00251	Prbm.g_00310
OG0000097	Praa.g_00274	Prbm.g_00331
OG0000099	Praa.g_00294	Prbm.g_00350
OG0000100	Praa.g_00297	Prbm.g_00353
OG0000101	Praa.g_00356	Prbm.g_00425
