Orthogroup	Praa	Pras
OG0000000	Praa.g_01359	Pras.g_00243
OG0000000	Praa.g_00678	Pras.g_01554
OG0000001	Praa.g_01597	Pras.g_00117, Pras.g_00469
OG0000002	Praa.g_01351	Pras.g_00235
OG0000002	Praa.g_01222, Praa.g_01220	Pras.g_00118, Pras.g_00120
OG0000003	Praa.g_01298	Pras.g_00182
OG0000003	Praa.g_01599	Pras.g_00471
OG0000003	Praa.g_00413	Pras.g_00136
OG0000004	Praa.g_00735	Pras.g_01631
OG0000004	Praa.g_00742	Pras.g_01638
OG0000005	Praa.g_01598	Pras.g_00470
OG0000005	Praa.g_01235	Pras.g_00493
OG0000006	Praa.g_00497	Pras.g_01375
OG0000006	Praa.g_01635	Pras.g_00550
OG0000007	Praa.g_00672	Pras.g_01548
OG0000008	Praa.g_00382	Pras.g_01237
OG0000008	Praa.g_01256	Pras.g_00151
OG0000009	Praa.g_00782	Pras.g_01681
OG0000009	Praa.g_00249	Pras.g_01101
OG0000010	Praa.g_01110	Pras.g_00004
OG0000010	Praa.g_01280	Pras.g_00163
OG0000011	Praa.g_00330	Pras.g_01182
OG0000012	Praa.g_00598	Pras.g_01474
OG0000014	Praa.g_01301	Pras.g_00185
OG0000014	Praa.g_00470	Pras.g_01348
OG0000015	Praa.g_00380	Pras.g_01235
OG0000016	Praa.g_01362	Pras.g_00246
OG0000017	Praa.g_01496	Pras.g_00370
OG0000018	Praa.g_01245, Praa.g_00241	Pras.g_00148, Pras.g_01093
OG0000019	Praa.g_01623	Pras.g_00507
OG0000019	Praa.g_00364	Pras.g_01218
OG0000020	Praa.g_00373	Pras.g_01227
OG0000021	Praa.g_00784	Pras.g_01683
OG0000022	Praa.g_01300	Pras.g_00184
OG0000023	Praa.g_01264	Pras.g_00157
OG0000023	Praa.g_01589	Pras.g_00463
OG0000024	Praa.g_00306	Pras.g_01158
OG0000025	Praa.g_01075	Pras.g_01969
OG0000026	Praa.g_00033	Pras.g_00875
OG0000027	Praa.g_01564	Pras.g_00440
OG0000027	Praa.g_00738	Pras.g_01634
OG0000028	Praa.g_01476	Pras.g_00350
OG0000029	Praa.g_01590	Pras.g_00464
OG0000030	Praa.g_00038, Praa.g_01221	Pras.g_00119
OG0000031	Praa.g_01291	Pras.g_00179
OG0000033	Praa.g_00013	Pras.g_00855
OG0000034	Praa.g_01407	Pras.g_00285, Pras.g_00096
OG0000036	Praa.g_00585	Pras.g_01462
OG0000037	Praa.g_00623	Pras.g_01499
OG0000038	Praa.g_00763	Pras.g_01662
OG0000039	Praa.g_00166	Pras.g_01017
OG0000040	Praa.g_00359	Pras.g_01213
OG0000041	Praa.g_00399	Pras.g_01296
OG0000042	Praa.g_00711	Pras.g_01606
OG0000043	Praa.g_00787	Pras.g_01686
OG0000044	Praa.g_01159	Pras.g_00056
OG0000045	Praa.g_01425	Pras.g_00291
OG0000046	Praa.g_01628	Pras.g_00543
OG0000047	Praa.g_01832	Pras.g_00743
OG0000048	Praa.g_01839	Pras.g_00750
OG0000050	Praa.g_00031	Pras.g_00873
OG0000051	Praa.g_00157	Pras.g_01008
OG0000052	Praa.g_00369	Pras.g_01223
OG0000053	Praa.g_00539	Pras.g_01416
OG0000054	Praa.g_00757	Pras.g_01656
OG0000055	Praa.g_00826	Pras.g_01723
OG0000056	Praa.g_01117	Pras.g_00011
OG0000057	Praa.g_00237	Pras.g_01089
OG0000058	Praa.g_00475	Pras.g_01353
OG0000059	Praa.g_00698	Pras.g_01574
OG0000060	Praa.g_00740	Pras.g_01636
OG0000061	Praa.g_01125	Pras.g_00021
OG0000061	Praa.g_00984	Pras.g_01880
OG0000062	Praa.g_01127	Pras.g_00023
OG0000063	Praa.g_01255	Pras.g_00150
OG0000064	Praa.g_01620	Pras.g_00504
OG0000065	Praa.g_01318	Pras.g_00209
OG0000066	Praa.g_01387	Pras.g_00273, Pras.g_00271, Pras.g_00272
OG0000067	Praa.g_01626	Pras.g_00166, Pras.g_00142
OG0000068	Praa.g_01775	Pras.g_00687
OG0000071	Praa.g_00011	Pras.g_00853
OG0000072	Praa.g_00322	Pras.g_01174
OG0000073	Praa.g_00669	Pras.g_01545
OG0000074	Praa.g_00691	Pras.g_01567
OG0000075	Praa.g_00810, Praa.g_00811	Pras.g_01708
OG0000076	Praa.g_01039	Pras.g_01934
OG0000077	Praa.g_01236	Pras.g_00494
OG0000078	Praa.g_01394	Pras.g_00294
OG0000079	Praa.g_01555	Pras.g_00431
OG0000080	Praa.g_01606	Pras.g_00477
OG0000081	Praa.g_01806	Pras.g_00717
OG0000082	Praa.g_01894	Pras.g_00806
OG0000083	Praa.g_00003	Pras.g_00845
OG0000084	Praa.g_00006	Pras.g_00848
OG0000085	Praa.g_00023	Pras.g_00865
OG0000086	Praa.g_00039	Pras.g_00892
OG0000086	Praa.g_00409	Pras.g_01273
OG0000087	Praa.g_00049	Pras.g_00902
OG0000088	Praa.g_00113	Pras.g_00964
OG0000089	Praa.g_00121	Pras.g_00972
OG0000090	Praa.g_00139	Pras.g_00990
OG0000091	Praa.g_00169	Pras.g_01020
OG0000092	Praa.g_00170	Pras.g_01021
OG0000093	Praa.g_00184	Pras.g_01035
OG0000094	Praa.g_00202	Pras.g_01053
OG0000095	Praa.g_00207	Pras.g_01058
OG0000096	Praa.g_00251	Pras.g_01103
OG0000097	Praa.g_00274	Pras.g_01126
OG0000098	Praa.g_00284	Pras.g_01136
OG0000099	Praa.g_00294	Pras.g_01145
OG0000100	Praa.g_00297	Pras.g_01148
OG0000101	Praa.g_00356	Pras.g_01210
OG0000102	Praa.g_00381	Pras.g_01236
OG0000103	Praa.g_00476	Pras.g_01354
OG0000104	Praa.g_00480	Pras.g_01358
