Orthogroup	Praa	Prag
OG0000000	Praa.g_01359	Prag.g_01382
OG0000000	Praa.g_00678	Prag.g_00656
OG0000001	Praa.g_01597	Prag.g_01607, Prag.g_01213, Prag.g_01650, Prag.g_00722
OG0000001	Praa.g_01297	Prag.g_01626
OG0000002	Praa.g_01351	Prag.g_01374
OG0000003	Praa.g_01298	Prag.g_01333
OG0000003	Praa.g_01599	Prag.g_01610
OG0000003	Praa.g_00413	Prag.g_01649
OG0000004	Praa.g_00735	Prag.g_00726
OG0000004	Praa.g_00742	Prag.g_00734
OG0000004	Praa.g_01294	Prag.g_01332
OG0000005	Praa.g_01598	Prag.g_01608
OG0000005	Praa.g_01244	Prag.g_01348, Prag.g_01230
OG0000006	Praa.g_00497	Prag.g_00476
OG0000006	Praa.g_01635	Prag.g_01669
OG0000007	Praa.g_01241	Prag.g_01655
OG0000007	Praa.g_00672	Prag.g_00650
OG0000008	Praa.g_00382	Prag.g_00376
OG0000008	Praa.g_01256	Prag.g_01300
OG0000009	Praa.g_00782	Prag.g_00786
OG0000009	Praa.g_00249	Prag.g_00242
OG0000010	Praa.g_01110	Prag.g_01103
OG0000010	Praa.g_01280	Prag.g_01319
OG0000011	Praa.g_00330	Prag.g_00321
OG0000012	Praa.g_00598	Prag.g_00576
OG0000014	Praa.g_01301	Prag.g_01336
OG0000014	Praa.g_00470	Prag.g_00449
OG0000015	Praa.g_00380	Prag.g_00374
OG0000016	Praa.g_01362	Prag.g_01385
OG0000017	Praa.g_01496	Prag.g_01510
OG0000018	Praa.g_01245, Praa.g_00241	Prag.g_00234, Prag.g_01231
OG0000019	Praa.g_01623	Prag.g_01633
OG0000019	Praa.g_00364	Prag.g_00359
OG0000020	Praa.g_00373	Prag.g_00368
OG0000021	Praa.g_00784	Prag.g_00788
OG0000022	Praa.g_01300	Prag.g_01335, Prag.g_00719
OG0000023	Praa.g_01589	Prag.g_01600
OG0000024	Praa.g_00306	Prag.g_00297
OG0000025	Praa.g_01075	Prag.g_01071
OG0000026	Praa.g_00033	Prag.g_00033
OG0000027	Praa.g_00738	Prag.g_00730
OG0000028	Praa.g_01476	Prag.g_01488, Prag.g_01490
OG0000029	Praa.g_01590	Prag.g_01601
OG0000030	Praa.g_00038	Prag.g_00038
OG0000031	Praa.g_01291	Prag.g_01329
OG0000033	Praa.g_00013	Prag.g_00013
OG0000034	Praa.g_01407	Prag.g_01444
OG0000036	Praa.g_00585	Prag.g_00563
OG0000037	Praa.g_00623	Prag.g_00601
OG0000038	Praa.g_00763	Prag.g_00757
OG0000039	Praa.g_00166	Prag.g_00159
OG0000040	Praa.g_00359	Prag.g_00354
OG0000041	Praa.g_00399	Prag.g_00396
OG0000042	Praa.g_00711	Prag.g_00692
OG0000043	Praa.g_00787	Prag.g_00791
OG0000044	Praa.g_01159	Prag.g_01153
OG0000045	Praa.g_01425	Prag.g_01428
OG0000046	Praa.g_01628	Prag.g_01662
OG0000047	Praa.g_01832	Prag.g_01861
