Orthogroup	Syaf	Prbk
OG0000001	Syaf.g_01640	Prbk.g_01196, Prbk.g_00170
OG0000001	Syaf.g_00845	Prbk.g_00561, Prbk.g_02701
OG0000004	Syaf.g_01455	Prbk.g_01760
OG0000004	Syaf.g_02351, Syaf.g_02794	Prbk.g_01134
OG0000005	Syaf.g_01057	Prbk.g_00933
OG0000006	Syaf.g_00179, Syaf.g_02778	Prbk.g_02695
OG0000007	Syaf.g_01033	Prbk.g_00907
OG0000008	Syaf.g_01479	Prbk.g_01819
OG0000008	Syaf.g_01480	Prbk.g_01820
OG0000009	Syaf.g_00905	Prbk.g_01932, Prbk.g_00013
OG0000010	Syaf.g_02499	Prbk.g_02112
OG0000011	Syaf.g_01532	Prbk.g_01851
OG0000013	Syaf.g_00044, Syaf.g_00061, Syaf.g_00056	Prbk.g_00853
OG0000014	Syaf.g_00280	Prbk.g_00454
OG0000015	Syaf.g_02120, Syaf.g_02121	Prbk.g_02558
OG0000017	Syaf.g_02554	Prbk.g_01150
OG0000017	Syaf.g_02561	Prbk.g_01142
OG0000018	Syaf.g_02451	Prbk.g_01227
OG0000019	Syaf.g_00193	Prbk.g_01644
OG0000020	Syaf.g_02187	Prbk.g_01664, Prbk.g_01331, Prbk.g_02697
OG0000021	Syaf.g_01726	Prbk.g_01960
OG0000021	Syaf.g_02773	Prbk.g_01137
OG0000022	Syaf.g_02256	Prbk.g_00212, Prbk.g_01667
OG0000023	Syaf.g_01765, Syaf.g_01987, Syaf.g_01731, Syaf.g_01995	Prbk.g_02448
OG0000024	Syaf.g_01484	Prbk.g_01780
OG0000025	Syaf.g_01385	Prbk.g_02531
OG0000026	Syaf.g_00461	Prbk.g_01617
OG0000028	Syaf.g_00297	Prbk.g_00469
OG0000029	Syaf.g_01761	Prbk.g_00833
OG0000030	Syaf.g_00406	Prbk.g_01532
OG0000030	Syaf.g_00407	Prbk.g_01533
OG0000032	Syaf.g_02471	Prbk.g_01209
OG0000033	Syaf.g_00807	Prbk.g_00776
OG0000034	Syaf.g_01241, Syaf.g_00837	Prbk.g_01171
OG0000035	Syaf.g_02412	Prbk.g_00259
OG0000036	Syaf.g_01128, Syaf.g_01829, Syaf.g_01129, Syaf.g_01828, Syaf.g_01127	Prbk.g_00394, Prbk.g_01942, Prbk.g_01040, Prbk.g_00799, Prbk.g_00790, Prbk.g_00075, Prbk.g_01949, Prbk.g_01284, Prbk.g_02015, Prbk.g_01948
OG0000037	Syaf.g_00899	Prbk.g_00007
OG0000038	Syaf.g_00642	Prbk.g_02164
OG0000041	Syaf.g_01171	Prbk.g_01406
OG0000042	Syaf.g_00403	Prbk.g_01495, Prbk.g_00140
OG0000045	Syaf.g_00979	Prbk.g_01321
OG0000046	Syaf.g_00062, Syaf.g_00055, Syaf.g_00045	Prbk.g_00854
OG0000047	Syaf.g_00030	Prbk.g_02565, Prbk.g_01202
OG0000048	Syaf.g_00230	Prbk.g_00405
OG0000051	Syaf.g_00972	Prbk.g_01709
OG0000052	Syaf.g_00335	Prbk.g_00499
OG0000053	Syaf.g_02447	Prbk.g_01230
OG0000054	Syaf.g_02376	Prbk.g_01153
OG0000057	Syaf.g_01452	Prbk.g_01765
OG0000059	Syaf.g_00143	Prbk.g_00533
OG0000060	Syaf.g_02726	Prbk.g_02058
OG0000061	Syaf.g_01288	Prbk.g_01019
OG0000062	Syaf.g_01055, Syaf.g_02167	Prbk.g_00931
OG0000063	Syaf.g_00457	Prbk.g_01613
OG0000065	Syaf.g_00903	Prbk.g_00011
OG0000066	Syaf.g_02643	Prbk.g_01094
OG0000067	Syaf.g_02049	Prbk.g_02468
OG0000068	Syaf.g_02733	Prbk.g_02052
OG0000070	Syaf.g_01237	Prbk.g_00310
OG0000071	Syaf.g_01254	Prbk.g_01183
OG0000072	Syaf.g_00805	Prbk.g_00778
OG0000073	Syaf.g_02700	Prbk.g_01862
OG0000075	Syaf.g_00353	Prbk.g_00514
OG0000076	Syaf.g_00388	Prbk.g_00237
OG0000077	Syaf.g_00951	Prbk.g_01308
OG0000078	Syaf.g_02782	Prbk.g_01515
OG0000079	Syaf.g_00197	Prbk.g_01000
OG0000081	Syaf.g_02776	Prbk.g_01772
OG0000082	Syaf.g_02576	Prbk.g_01122
OG0000084	Syaf.g_02409	Prbk.g_00255
OG0000085	Syaf.g_01048	Prbk.g_00919
OG0000086	Syaf.g_00932	Prbk.g_01295
OG0000087	Syaf.g_00848	Prbk.g_00559
OG0000088	Syaf.g_00811	Prbk.g_01836, Prbk.g_00773
OG0000089	Syaf.g_02807	Prbk.g_00364
OG0000090	Syaf.g_02654	Prbk.g_01080
OG0000091	Syaf.g_02302	Prbk.g_02639
OG0000093	Syaf.g_02065, Syaf.g_01775	Prbk.g_02444
OG0000095	Syaf.g_01442	Prbk.g_00056
OG0000097	Syaf.g_01574	Prbk.g_00189
OG0000098	Syaf.g_01637	Prbk.g_01199
OG0000099	Syaf.g_00312	Prbk.g_00476
OG0000100	Syaf.g_02017	Prbk.g_01360, Prbk.g_02498
OG0000101	Syaf.g_00093	Prbk.g_00944
OG0000102	Syaf.g_00393	Prbk.g_01484
OG0000103	Syaf.g_00520	Prbk.g_02260
OG0000104	Syaf.g_00502	Prbk.g_02274
OG0000105	Syaf.g_00235	Prbk.g_00409
OG0000106	Syaf.g_01745	Prbk.g_00925
OG0000107	Syaf.g_00758	Prbk.g_01902
OG0000108	Syaf.g_02721	Prbk.g_02061
OG0000109	Syaf.g_02706	Prbk.g_02077
OG0000110	Syaf.g_02589	Prbk.g_01110
OG0000112	Syaf.g_01852	Prbk.g_02332
OG0000113	Syaf.g_02022	Prbk.g_02493
OG0000114	Syaf.g_02103	Prbk.g_02396
OG0000115	Syaf.g_02445	Prbk.g_01234
OG0000116	Syaf.g_01276	Prbk.g_01034
OG0000117	Syaf.g_01605	Prbk.g_01496
OG0000118	Syaf.g_02544	Prbk.g_01169
OG0000120	Syaf.g_00313	Prbk.g_00477
OG0000121	Syaf.g_02419	Prbk.g_00267, Prbk.g_00261
OG0000123	Syaf.g_00086	Prbk.g_00805
OG0000124	Syaf.g_00414	Prbk.g_01539
OG0000125	Syaf.g_00640	Prbk.g_02168
OG0000126	Syaf.g_00504	Prbk.g_02272
OG0000127	Syaf.g_01541	Prbk.g_01101, Prbk.g_01852
OG0000128	Syaf.g_00486	Prbk.g_02290
OG0000129	Syaf.g_00651	Prbk.g_02156
OG0000130	Syaf.g_00963	Prbk.g_01320
OG0000131	Syaf.g_00833	Prbk.g_00751
