Orthogroup	Syaf	Syao
OG0000001	Syaf.g_01640, Syaf.g_00846	Syao.g_00314
OG0000001	Syaf.g_00845	Syao.g_02557, Syao.g_02556, Syao.g_01317, Syao.g_02558
OG0000004	Syaf.g_01455	Syao.g_02374
OG0000004	Syaf.g_02351	Syao.g_01007
OG0000005	Syaf.g_01017	Syao.g_01680
OG0000005	Syaf.g_01057	Syao.g_01578
OG0000005	Syaf.g_01352, Syaf.g_01732	Syao.g_01210
OG0000006	Syaf.g_02288	Syao.g_00919
OG0000007	Syaf.g_02702	Syao.g_00105
OG0000007	Syaf.g_01033	Syao.g_01554
OG0000008	Syaf.g_01480	Syao.g_01321
OG0000009	Syaf.g_00905	Syao.g_02598
OG0000010	Syaf.g_02499	Syao.g_02683
OG0000011	Syaf.g_01532, Syaf.g_01483	Syao.g_01282
OG0000012	Syaf.g_01353, Syaf.g_01833, Syaf.g_01462, Syaf.g_01693	Syao.g_01193
OG0000013	Syaf.g_00061	Syao.g_01844
OG0000013	Syaf.g_00056	Syao.g_01910
OG0000014	Syaf.g_00280	Syao.g_02027
OG0000015	Syaf.g_02120, Syaf.g_02121	Syao.g_00302
OG0000016	Syaf.g_00484	Syao.g_01955
OG0000017	Syaf.g_02554	Syao.g_01064
OG0000017	Syaf.g_02561	Syao.g_00997
OG0000018	Syaf.g_02451	Syao.g_00071
OG0000019	Syaf.g_00193	Syao.g_02108
OG0000021	Syaf.g_01726, Syaf.g_02773	Syao.g_01002
OG0000022	Syaf.g_02256	Syao.g_01218
OG0000023	Syaf.g_01765, Syaf.g_01987, Syaf.g_01731, Syaf.g_01995	Syao.g_01266
OG0000025	Syaf.g_01385	Syao.g_00436, Syao.g_00437
OG0000026	Syaf.g_00461	Syao.g_02234
OG0000027	Syaf.g_02284, Syaf.g_01688	Syao.g_00202
OG0000028	Syaf.g_00297	Syao.g_02012
OG0000030	Syaf.g_00406	Syao.g_02189
OG0000030	Syaf.g_00407	Syao.g_02188
OG0000031	Syaf.g_00314	Syao.g_02008
OG0000031	Syaf.g_01143	Syao.g_01083
OG0000032	Syaf.g_02471	Syao.g_00090
OG0000033	Syaf.g_00807	Syao.g_02507
OG0000035	Syaf.g_02412	Syao.g_01486
OG0000036	Syaf.g_01128, Syaf.g_01829, Syaf.g_01129, Syaf.g_01828, Syaf.g_01127	Syao.g_00572
OG0000037	Syaf.g_00899	Syao.g_00374
OG0000038	Syaf.g_00642	Syao.g_02440
OG0000040	Syaf.g_00558	Syao.g_00711
OG0000041	Syaf.g_01414	Syao.g_01637
OG0000042	Syaf.g_00403	Syao.g_00019, Syao.g_01941
OG0000045	Syaf.g_00979	Syao.g_00148
OG0000046	Syaf.g_00055	Syao.g_01909
OG0000047	Syaf.g_00030	Syao.g_01899
OG0000048	Syaf.g_00230	Syao.g_02077
OG0000051	Syaf.g_00972	Syao.g_01261
OG0000052	Syaf.g_00335	Syao.g_01085, Syao.g_02520
OG0000053	Syaf.g_02447	Syao.g_00067
OG0000058	Syaf.g_00316	Syao.g_01080
OG0000059	Syaf.g_00143	Syao.g_01959
OG0000060	Syaf.g_01603	Syao.g_00312
OG0000061	Syaf.g_01288	Syao.g_00123
OG0000062	Syaf.g_01055	Syao.g_01576
OG0000063	Syaf.g_00457	Syao.g_02230
OG0000064	Syaf.g_01063	Syao.g_01898
OG0000065	Syaf.g_00903	Syao.g_02600
OG0000066	Syaf.g_02643	Syao.g_01422
OG0000067	Syaf.g_02049	Syao.g_00756
OG0000068	Syaf.g_02733	Syao.g_00868, Syao.g_00036
OG0000070	Syaf.g_01237	Syao.g_00330
OG0000071	Syaf.g_01254	Syao.g_01433
OG0000072	Syaf.g_00805	Syao.g_02509
OG0000073	Syaf.g_02700	Syao.g_00103
OG0000075	Syaf.g_00353	Syao.g_02257
OG0000076	Syaf.g_00388	Syao.g_01949, Syao.g_01251
OG0000078	Syaf.g_02782	Syao.g_01709
OG0000079	Syaf.g_00197	Syao.g_00574, Syao.g_00010, Syao.g_00581, Syao.g_01145, Syao.g_02105
OG0000082	Syaf.g_02576	Syao.g_01035
OG0000084	Syaf.g_02409	Syao.g_02606
OG0000085	Syaf.g_01048	Syao.g_01569
OG0000086	Syaf.g_00932	Syao.g_02653, Syao.g_01240
OG0000087	Syaf.g_00848	Syao.g_02555
OG0000088	Syaf.g_00811	Syao.g_02503
OG0000089	Syaf.g_02807	Syao.g_01716
OG0000090	Syaf.g_02654	Syao.g_01412
OG0000091	Syaf.g_02302	Syao.g_00902
OG0000093	Syaf.g_02065	Syao.g_00739
OG0000094	Syaf.g_01940	Syao.g_00458
OG0000095	Syaf.g_01442	Syao.g_00331
OG0000098	Syaf.g_01637	Syao.g_01374
OG0000099	Syaf.g_00312	Syao.g_02019
OG0000100	Syaf.g_02017	Syao.g_00787
OG0000102	Syaf.g_00393	Syao.g_01945
OG0000104	Syaf.g_00502	Syao.g_02157
OG0000105	Syaf.g_00235	Syao.g_02071, Syao.g_02072
OG0000106	Syaf.g_01745	Syao.g_01385
OG0000107	Syaf.g_00177, Syaf.g_00758	Syao.g_01935
OG0000108	Syaf.g_02721	Syao.g_00028
OG0000110	Syaf.g_02589	Syao.g_01051
OG0000112	Syaf.g_01852	Syao.g_00683, Syao.g_00303
OG0000113	Syaf.g_02022	Syao.g_00782
OG0000114	Syaf.g_02103	Syao.g_00965
OG0000115	Syaf.g_02445	Syao.g_00065, Syao.g_01464
OG0000116	Syaf.g_01276	Syao.g_00137
OG0000117	Syaf.g_01605	Syao.g_00169
OG0000118	Syaf.g_02544	Syao.g_01475
OG0000120	Syaf.g_00313	Syao.g_02009
OG0000121	Syaf.g_02419	Syao.g_01489
OG0000123	Syaf.g_00086	Syao.g_01832
OG0000124	Syaf.g_00414	Syao.g_02179
OG0000125	Syaf.g_00640	Syao.g_02444
OG0000126	Syaf.g_00504	Syao.g_02198
OG0000127	Syaf.g_01151	Syao.g_02375, Syao.g_01143
OG0000128	Syaf.g_00486	Syao.g_02149
OG0000129	Syaf.g_00651	Syao.g_02434
OG0000130	Syaf.g_00963	Syao.g_02617
OG0000131	Syaf.g_00833	Syao.g_02480
OG0000132	Syaf.g_00813	Syao.g_02501
OG0000133	Syaf.g_01857	Syao.g_00678
OG0000134	Syaf.g_02804	Syao.g_01719
OG0000135	Syaf.g_00605	Syao.g_00147
OG0000136	Syaf.g_01224	Syao.g_01614, Syao.g_01613
OG0000137	Syaf.g_02498	Syao.g_02682
OG0000138	Syaf.g_02705	Syao.g_00108
OG0000139	Syaf.g_02648	Syao.g_02005
OG0000140	Syaf.g_02646	Syao.g_01373, Syao.g_01372
OG0000141	Syaf.g_02375	Syao.g_01202
OG0000142	Syaf.g_02310	Syao.g_00894
OG0000143	Syaf.g_02306	Syao.g_00898
OG0000145	Syaf.g_02699	Syao.g_00102
OG0000146	Syaf.g_01851	Syao.g_00684, Syao.g_00304
OG0000147	Syaf.g_01850	Syao.g_00305, Syao.g_00685
OG0000148	Syaf.g_02028	Syao.g_00776
OG0000149	Syaf.g_01371	Syao.g_00534
OG0000150	Syaf.g_02645	Syao.g_01203
OG0000151	Syaf.g_02091	Syao.g_00975
OG0000152	Syaf.g_01861	Syao.g_00674
OG0000153	Syaf.g_01904	Syao.g_00818, Syao.g_01176
OG0000154	Syaf.g_01930	Syao.g_00447
OG0000155	Syaf.g_01324	Syao.g_00178
OG0000156	Syaf.g_01270	Syao.g_00151
OG0000157	Syaf.g_01269	Syao.g_00152
OG0000158	Syaf.g_00364	Syao.g_02267
OG0000160	Syaf.g_02418	Syao.g_01488
OG0000161	Syaf.g_02424	Syao.g_01494
OG0000162	Syaf.g_02431	Syao.g_01515
OG0000163	Syaf.g_01105	Syao.g_01745
OG0000165	Syaf.g_01197	Syao.g_01655
OG0000166	Syaf.g_00133	Syao.g_01790
OG0000167	Syaf.g_00350	Syao.g_01960
OG0000168	Syaf.g_00365	Syao.g_02128
OG0000169	Syaf.g_00376	Syao.g_02139
OG0000170	Syaf.g_00383	Syao.g_02148
OG0000171	Syaf.g_00413	Syao.g_02181
OG0000172	Syaf.g_00419	Syao.g_02170
OG0000173	Syaf.g_00438	Syao.g_02212
OG0000174	Syaf.g_00603	Syao.g_02364, Syao.g_02355
OG0000175	Syaf.g_00531	Syao.g_02327, Syao.g_00308
OG0000176	Syaf.g_00494	Syao.g_02165
OG0000177	Syaf.g_00493	Syao.g_02156
OG0000178	Syaf.g_00492	Syao.g_02155
OG0000179	Syaf.g_00477	Syao.g_02250
OG0000180	Syaf.g_00476	Syao.g_02249
OG0000181	Syaf.g_00475	Syao.g_02248
OG0000182	Syaf.g_00474	Syao.g_02247
OG0000183	Syaf.g_00470	Syao.g_02243
OG0000184	Syaf.g_00664	Syao.g_02423
OG0000185	Syaf.g_00684	Syao.g_02410
OG0000186	Syaf.g_00968	Syao.g_02613
OG0000187	Syaf.g_00966	Syao.g_02615
OG0000188	Syaf.g_00944	Syao.g_02637
OG0000189	Syaf.g_00916	Syao.g_02672
OG0000190	Syaf.g_00914	Syao.g_01015
OG0000191	Syaf.g_00877	Syao.g_02573
