Orthogroup	Syaf	Prbl
OG0000001	Syaf.g_01640	Prbl.g_00725, Prbl.g_00121, Prbl.g_02599
OG0000001	Syaf.g_00845	Prbl.g_00808, Prbl.g_02598
OG0000004	Syaf.g_01455	Prbl.g_00021
OG0000004	Syaf.g_02351, Syaf.g_02794	Prbl.g_01771
OG0000005	Syaf.g_01057	Prbl.g_00419
OG0000006	Syaf.g_00179, Syaf.g_02778	Prbl.g_02601
OG0000007	Syaf.g_02702	Prbl.g_00531
OG0000007	Syaf.g_01033	Prbl.g_00394
OG0000008	Syaf.g_01479	Prbl.g_01855
OG0000008	Syaf.g_01480	Prbl.g_01854
OG0000009	Syaf.g_00905	Prbl.g_00155, Prbl.g_00554
OG0000010	Syaf.g_02499	Prbl.g_01341
OG0000011	Syaf.g_01532	Prbl.g_01822
OG0000013	Syaf.g_00044, Syaf.g_00061, Syaf.g_00056	Prbl.g_01183
OG0000014	Syaf.g_00280	Prbl.g_01416
OG0000015	Syaf.g_02120, Syaf.g_02121	Prbl.g_01566
OG0000017	Syaf.g_02554	Prbl.g_01755
OG0000017	Syaf.g_02561	Prbl.g_01763
OG0000018	Syaf.g_02451	Prbl.g_00694
OG0000019	Syaf.g_00193	Prbl.g_01097
OG0000020	Syaf.g_02187	Prbl.g_01076, Prbl.g_01026, Prbl.g_01386
OG0000021	Syaf.g_01726	Prbl.g_01531
OG0000021	Syaf.g_02773	Prbl.g_01768
OG0000022	Syaf.g_02256	Prbl.g_01310, Prbl.g_01072
OG0000023	Syaf.g_01765, Syaf.g_01987, Syaf.g_01731, Syaf.g_01995	Prbl.g_02355
OG0000024	Syaf.g_01484	Prbl.g_00040
OG0000025	Syaf.g_01385	Prbl.g_01539
OG0000026	Syaf.g_00461	Prbl.g_01977
OG0000028	Syaf.g_00297	Prbl.g_00900
OG0000029	Syaf.g_01761	Prbl.g_01163
OG0000030	Syaf.g_00406	Prbl.g_02061
OG0000030	Syaf.g_00407	Prbl.g_02060
OG0000032	Syaf.g_02471	Prbl.g_00712
OG0000033	Syaf.g_00807	Prbl.g_00278
OG0000034	Syaf.g_01241, Syaf.g_00837	Prbl.g_01734
OG0000035	Syaf.g_02412	Prbl.g_00242
OG0000036	Syaf.g_01128, Syaf.g_01829, Syaf.g_01129, Syaf.g_01828, Syaf.g_01127	Prbl.g_01476, Prbl.g_00741, Prbl.g_00807, Prbl.g_01129, Prbl.g_02649, Prbl.g_00264, Prbl.g_02665, Prbl.g_00734, Prbl.g_00065, Prbl.g_00465, Prbl.g_00735
OG0000037	Syaf.g_00899	Prbl.g_00548
OG0000038	Syaf.g_00642	Prbl.g_02235
OG0000041	Syaf.g_01171	Prbl.g_00339
OG0000042	Syaf.g_00403	Prbl.g_01236, Prbl.g_01121
OG0000045	Syaf.g_00979	Prbl.g_00609
OG0000046	Syaf.g_00062, Syaf.g_00055, Syaf.g_00045	Prbl.g_01184
OG0000047	Syaf.g_00030	Prbl.g_01574, Prbl.g_00719
OG0000048	Syaf.g_00230	Prbl.g_01465
OG0000051	Syaf.g_00972	Prbl.g_01677
OG0000052	Syaf.g_00335	Prbl.g_00870
OG0000053	Syaf.g_02447	Prbl.g_00691
OG0000054	Syaf.g_02376	Prbl.g_01752
OG0000057	Syaf.g_01452	Prbl.g_00025
OG0000059	Syaf.g_00143	Prbl.g_00836
OG0000060	Syaf.g_02726	Prbl.g_00508
OG0000061	Syaf.g_01288	Prbl.g_02084
OG0000062	Syaf.g_01055, Syaf.g_02167	Prbl.g_00417
OG0000063	Syaf.g_00457	Prbl.g_01981
OG0000065	Syaf.g_00903	Prbl.g_00552
OG0000066	Syaf.g_02643	Prbl.g_00752
OG0000067	Syaf.g_02049	Prbl.g_02335
OG0000068	Syaf.g_02733	Prbl.g_00502
OG0000070	Syaf.g_01237	Prbl.g_00634
OG0000071	Syaf.g_01254	Prbl.g_01722
OG0000072	Syaf.g_00805	Prbl.g_00276
OG0000073	Syaf.g_02700	Prbl.g_00533
OG0000075	Syaf.g_00353	Prbl.g_00855
OG0000076	Syaf.g_00388	Prbl.g_01285
OG0000077	Syaf.g_00951	Prbl.g_00596
OG0000078	Syaf.g_02782	Prbl.g_00193
OG0000079	Syaf.g_00197	Prbl.g_01505
OG0000081	Syaf.g_02776	Prbl.g_00032
OG0000082	Syaf.g_02576	Prbl.g_01783
OG0000084	Syaf.g_02409	Prbl.g_00246
OG0000085	Syaf.g_01048	Prbl.g_00405
OG0000086	Syaf.g_00932	Prbl.g_00583
OG0000087	Syaf.g_00848	Prbl.g_00810
OG0000088	Syaf.g_00811	Prbl.g_01838, Prbl.g_00281
OG0000089	Syaf.g_02807	Prbl.g_02674
OG0000090	Syaf.g_02654	Prbl.g_00766
OG0000091	Syaf.g_02302	Prbl.g_01647
OG0000093	Syaf.g_02065, Syaf.g_01775	Prbl.g_02359
OG0000095	Syaf.g_01442	Prbl.g_00927
OG0000097	Syaf.g_01574	Prbl.g_02579
OG0000098	Syaf.g_01637	Prbl.g_00722
OG0000099	Syaf.g_00312	Prbl.g_00893
OG0000100	Syaf.g_02017	Prbl.g_01914, Prbl.g_02305
OG0000101	Syaf.g_00093	Prbl.g_01000
OG0000102	Syaf.g_00393	Prbl.g_02636
OG0000103	Syaf.g_00520	Prbl.g_02139
OG0000104	Syaf.g_00502	Prbl.g_02125
OG0000105	Syaf.g_00235	Prbl.g_01461
OG0000106	Syaf.g_01745	Prbl.g_00411
OG0000107	Syaf.g_00758	Prbl.g_02681
OG0000108	Syaf.g_02721	Prbl.g_00511
OG0000109	Syaf.g_02706	Prbl.g_00527
OG0000110	Syaf.g_02589	Prbl.g_01795
OG0000112	Syaf.g_01852	Prbl.g_02470
OG0000113	Syaf.g_02022	Prbl.g_02310
OG0000114	Syaf.g_02103	Prbl.g_02407
