Orthogroup	Syaf	Prav
OG0000001	Syaf.g_01640	Prav.g_01458, Prav.g_01748, Prav.g_00962, Prav.g_01820, Prav.g_02007, Prav.g_01734
OG0000004	Syaf.g_01455	Prav.g_01293
OG0000004	Syaf.g_02351, Syaf.g_02794	Prav.g_00806
OG0000005	Syaf.g_01017	Prav.g_01774
OG0000005	Syaf.g_01057	Prav.g_01654
OG0000006	Syaf.g_00179, Syaf.g_02778	Prav.g_02001
OG0000007	Syaf.g_02702	Prav.g_01095
OG0000007	Syaf.g_01033	Prav.g_01761
OG0000008	Syaf.g_01479	Prav.g_01749
OG0000008	Syaf.g_01480	Prav.g_01750
OG0000009	Syaf.g_00905	Prav.g_00170
OG0000010	Syaf.g_02499	Prav.g_00218, Prav.g_01072
OG0000011	Syaf.g_01532	Prav.g_01014, Prav.g_01407
OG0000012	Syaf.g_01353, Syaf.g_01833, Syaf.g_01462, Syaf.g_01693	Prav.g_01221
OG0000013	Syaf.g_00044, Syaf.g_00061, Syaf.g_00056	Prav.g_01973
OG0000014	Syaf.g_00280	Prav.g_01952
OG0000015	Syaf.g_02120, Syaf.g_02121	Prav.g_00363, Prav.g_00961
OG0000016	Syaf.g_00484	Prav.g_00081
OG0000016	Syaf.g_01713	Prav.g_01385
OG0000017	Syaf.g_02561	Prav.g_01194
OG0000018	Syaf.g_02451	Prav.g_00046, Prav.g_00424
OG0000019	Syaf.g_00193	Prav.g_01896, Prav.g_00375
OG0000020	Syaf.g_02187	Prav.g_00014, Prav.g_01386
OG0000021	Syaf.g_01726	Prav.g_00984
OG0000022	Syaf.g_02256	Prav.g_00360, Prav.g_00029
OG0000023	Syaf.g_01765, Syaf.g_01987, Syaf.g_01731, Syaf.g_01995	Prav.g_00979
OG0000024	Syaf.g_01484	Prav.g_00343, Prav.g_01273
OG0000025	Syaf.g_01385	Prav.g_00431, Prav.g_01977
OG0000026	Syaf.g_00461	Prav.g_01324, Prav.g_00099, Prav.g_00226
OG0000027	Syaf.g_02284, Syaf.g_01688	Prav.g_01068, Prav.g_01416
OG0000028	Syaf.g_00297	Prav.g_01966, Prav.g_01885
OG0000029	Syaf.g_01761	Prav.g_00350
OG0000030	Syaf.g_00406, Syaf.g_00407	Prav.g_00699
OG0000033	Syaf.g_00807	Prav.g_00869
OG0000034	Syaf.g_01241, Syaf.g_00837	Prav.g_01448
OG0000035	Syaf.g_02412	Prav.g_01578
OG0000037	Syaf.g_00899	Prav.g_00174
OG0000038	Syaf.g_00642	Prav.g_00739
OG0000039	Syaf.g_01395	Prav.g_01284
OG0000041	Syaf.g_01171	Prav.g_01808
OG0000042	Syaf.g_00403	Prav.g_00696
OG0000045	Syaf.g_00979	Prav.g_00990
OG0000047	Syaf.g_00030	Prav.g_01976
OG0000048	Syaf.g_00230	Prav.g_00993
OG0000050	Syaf.g_01770	Prav.g_01013
OG0000051	Syaf.g_00972	Prav.g_01410
OG0000052	Syaf.g_00335	Prav.g_01533
OG0000053	Syaf.g_02447	Prav.g_01598
OG0000054	Syaf.g_02376	Prav.g_01202
OG0000055	Syaf.g_01402	Prav.g_00376
OG0000057	Syaf.g_01452	Prav.g_01296
OG0000058	Syaf.g_00316	Prav.g_01512
OG0000059	Syaf.g_00143	Prav.g_00292
OG0000060	Syaf.g_01603	Prav.g_00964
OG0000061	Syaf.g_01288	Prav.g_00065
OG0000062	Syaf.g_02167	Prav.g_01656
OG0000063	Syaf.g_00457	Prav.g_00101
OG0000065	Syaf.g_00903	Prav.g_00172
OG0000066	Syaf.g_02643	Prav.g_01137
OG0000067	Syaf.g_02049	Prav.g_00397
OG0000068	Syaf.g_02733	Prav.g_01473
OG0000070	Syaf.g_01237	Prav.g_01049
OG0000071	Syaf.g_01254	Prav.g_01438
OG0000072	Syaf.g_00805	Prav.g_00867
OG0000073	Syaf.g_02700	Prav.g_01097
OG0000075	Syaf.g_00353	Prav.g_00665
OG0000076	Syaf.g_00388	Prav.g_00689
OG0000077	Syaf.g_00951	Prav.g_00143
OG0000078	Syaf.g_02782	Prav.g_00799
OG0000079	Syaf.g_00197	Prav.g_01899
OG0000081	Syaf.g_02776	Prav.g_01129
OG0000082	Syaf.g_02576	Prav.g_01182
OG0000084	Syaf.g_02409	Prav.g_01574
OG0000085	Syaf.g_01048	Prav.g_01754
OG0000086	Syaf.g_00932	Prav.g_00153
OG0000087	Syaf.g_00848	Prav.g_00204
OG0000088	Syaf.g_00811	Prav.g_00872
OG0000089	Syaf.g_02807	Prav.g_00975
OG0000090	Syaf.g_02654	Prav.g_01131
OG0000091	Syaf.g_02302	Prav.g_01240
OG0000093	Syaf.g_01775	Prav.g_01497
OG0000094	Syaf.g_01940	Prav.g_00914
OG0000097	Syaf.g_01574	Prav.g_01840
OG0000098	Syaf.g_01637	Prav.g_01455
OG0000099	Syaf.g_00312	Prav.g_01514
OG0000100	Syaf.g_02017	Prav.g_01652
OG0000101	Syaf.g_00093	Prav.g_00632
OG0000102	Syaf.g_00393	Prav.g_00694
OG0000103	Syaf.g_00520	Prav.g_00773
OG0000104	Syaf.g_00502	Prav.g_00782
OG0000105	Syaf.g_00235	Prav.g_01920
OG0000106	Syaf.g_01745	Prav.g_00989
OG0000107	Syaf.g_00177	Prav.g_01001
OG0000108	Syaf.g_02721	Prav.g_01078
OG0000109	Syaf.g_02706	Prav.g_01092
OG0000110	Syaf.g_02589	Prav.g_01172
OG0000112	Syaf.g_01852	Prav.g_00364
OG0000113	Syaf.g_02022	Prav.g_00419
OG0000114	Syaf.g_02103	Prav.g_00499
OG0000115	Syaf.g_02445	Prav.g_00010
OG0000116	Syaf.g_01276	Prav.g_00055
OG0000117	Syaf.g_01605	Prav.g_01390
OG0000118	Syaf.g_02544	Prav.g_01450
OG0000120	Syaf.g_00313	Prav.g_01513
OG0000121	Syaf.g_02419	Prav.g_01580
OG0000123	Syaf.g_00086	Prav.g_00639
OG0000124	Syaf.g_00414	Prav.g_00705
OG0000125	Syaf.g_00640	Prav.g_00741
OG0000126	Syaf.g_00504	Prav.g_00781
OG0000128	Syaf.g_00486	Prav.g_00079
OG0000129	Syaf.g_00651	Prav.g_00115
OG0000130	Syaf.g_00963	Prav.g_00134
OG0000131	Syaf.g_00833	Prav.g_00212
OG0000132	Syaf.g_00813	Prav.g_00874
OG0000133	Syaf.g_01857	Prav.g_01968
