Orthogroup	Syaf	Prak
OG0000001	Syaf.g_01640	Prak.g_01302, Prak.g_00755
OG0000004	Syaf.g_01455	Prak.g_00826
OG0000004	Syaf.g_02351, Syaf.g_02794	Prak.g_00248
OG0000005	Syaf.g_01057	Prak.g_01474
OG0000006	Syaf.g_00179, Syaf.g_02778	Prak.g_00258
OG0000007	Syaf.g_02702	Prak.g_00458
OG0000007	Syaf.g_01033	Prak.g_01645
OG0000008	Syaf.g_01479	Prak.g_01544
OG0000008	Syaf.g_01480	Prak.g_01545, Prak.g_01546
OG0000010	Syaf.g_02499	Prak.g_00739, Prak.g_01034, Prak.g_00435
OG0000013	Syaf.g_00044, Syaf.g_00061, Syaf.g_00056	Prak.g_00343
OG0000014	Syaf.g_00280	Prak.g_00325
OG0000015	Syaf.g_02120, Syaf.g_02121	Prak.g_01584, Prak.g_01630
OG0000016	Syaf.g_00484	Prak.g_00013
OG0000016	Syaf.g_01576, Syaf.g_01713	Prak.g_01230
OG0000017	Syaf.g_02554	Prak.g_00566
OG0000017	Syaf.g_02561	Prak.g_00559
OG0000018	Syaf.g_02451	Prak.g_01194, Prak.g_00873
OG0000019	Syaf.g_00193	Prak.g_00266, Prak.g_01196
OG0000020	Syaf.g_02187	Prak.g_01498, Prak.g_01527
OG0000021	Syaf.g_01726	Prak.g_01499
OG0000021	Syaf.g_02773	Prak.g_00831
OG0000022	Syaf.g_02256	Prak.g_01482
OG0000023	Syaf.g_01765, Syaf.g_01987, Syaf.g_01731, Syaf.g_01995	Prak.g_00721
OG0000024	Syaf.g_01484	Prak.g_01038, Prak.g_00802
OG0000025	Syaf.g_01385	Prak.g_00881
OG0000026	Syaf.g_00461	Prak.g_00032
OG0000027	Syaf.g_02284, Syaf.g_01688	Prak.g_01564, Prak.g_01521
OG0000028	Syaf.g_00297	Prak.g_01543
OG0000029	Syaf.g_01761	Prak.g_01735, Prak.g_01534, Prak.g_01576
OG0000030	Syaf.g_00406, Syaf.g_00407	Prak.g_01853
OG0000031	Syaf.g_01143	Prak.g_01350
OG0000032	Syaf.g_02471	Prak.g_01430
OG0000033	Syaf.g_00807	Prak.g_00181
OG0000034	Syaf.g_01241, Syaf.g_00837	Prak.g_01288
OG0000035	Syaf.g_02412	Prak.g_01391
OG0000037	Syaf.g_00899	Prak.g_00115
OG0000038	Syaf.g_00642	Prak.g_01893
OG0000039	Syaf.g_01395	Prak.g_00814
OG0000041	Syaf.g_01171	Prak.g_01692
OG0000042	Syaf.g_00403	Prak.g_01850
OG0000045	Syaf.g_00979	Prak.g_01216
OG0000046	Syaf.g_00062, Syaf.g_00055, Syaf.g_00045	Prak.g_00344
OG0000047	Syaf.g_00030	Prak.g_00385
OG0000048	Syaf.g_00230	Prak.g_01264, Prak.g_00289
OG0000051	Syaf.g_00972	Prak.g_00667
OG0000052	Syaf.g_00335	Prak.g_01369
OG0000053	Syaf.g_02447	Prak.g_01590, Prak.g_01412
OG0000054	Syaf.g_02376	Prak.g_00568
OG0000055	Syaf.g_01402	Prak.g_01221
OG0000057	Syaf.g_01452	Prak.g_00829
OG0000058	Syaf.g_00316	Prak.g_01351
OG0000059	Syaf.g_00143	Prak.g_01732
OG0000061	Syaf.g_01288	Prak.g_01172
OG0000062	Syaf.g_01055, Syaf.g_02167	Prak.g_01476
OG0000063	Syaf.g_00457	Prak.g_01530
OG0000064	Syaf.g_02253, Syaf.g_01667, Syaf.g_01063	Prak.g_00072
OG0000065	Syaf.g_00903	Prak.g_00113
OG0000066	Syaf.g_02643	Prak.g_00498, Prak.g_01557
OG0000067	Syaf.g_02049	Prak.g_00845
OG0000068	Syaf.g_02733	Prak.g_01329
OG0000070	Syaf.g_01237	Prak.g_00412
OG0000071	Syaf.g_01254	Prak.g_01277
OG0000072	Syaf.g_00805	Prak.g_00183
OG0000073	Syaf.g_02700	Prak.g_00461
OG0000075	Syaf.g_00353	Prak.g_01816
OG0000076	Syaf.g_00388	Prak.g_01842
OG0000077	Syaf.g_00951	Prak.g_00083
OG0000078	Syaf.g_02782	Prak.g_00256
OG0000079	Syaf.g_00197	Prak.g_00269
OG0000081	Syaf.g_02776	Prak.g_00490
OG0000082	Syaf.g_02576	Prak.g_00546, Prak.g_01634
OG0000084	Syaf.g_02409	Prak.g_01388
OG0000085	Syaf.g_01048	Prak.g_01637, Prak.g_01516
OG0000086	Syaf.g_00932	Prak.g_00092
OG0000087	Syaf.g_00848	Prak.g_00147
OG0000088	Syaf.g_00811	Prak.g_00178
OG0000089	Syaf.g_02807	Prak.g_00379
OG0000090	Syaf.g_02654	Prak.g_00492
OG0000091	Syaf.g_02302	Prak.g_01100
OG0000093	Syaf.g_01775	Prak.g_01071
OG0000097	Syaf.g_01574	Prak.g_01126
OG0000098	Syaf.g_01637	Prak.g_01305
OG0000099	Syaf.g_00312	Prak.g_01352
OG0000100	Syaf.g_02017	Prak.g_01470
OG0000101	Syaf.g_00093	Prak.g_01780
OG0000102	Syaf.g_00393	Prak.g_01847
OG0000103	Syaf.g_00520	Prak.g_01932
OG0000104	Syaf.g_00502	Prak.g_01941
OG0000105	Syaf.g_00235	Prak.g_00292
OG0000106	Syaf.g_01745	Prak.g_00687
OG0000107	Syaf.g_00177	Prak.g_01709
OG0000108	Syaf.g_02721	Prak.g_00441
OG0000109	Syaf.g_02706	Prak.g_00455
OG0000110	Syaf.g_02589	Prak.g_00535
OG0000112	Syaf.g_01852	Prak.g_00608
OG0000113	Syaf.g_02022	Prak.g_00868
OG0000114	Syaf.g_02103	Prak.g_00770
OG0000115	Syaf.g_02445	Prak.g_01241
OG0000116	Syaf.g_01276	Prak.g_01183
OG0000117	Syaf.g_01605	Prak.g_01145
OG0000118	Syaf.g_02544	Prak.g_01290
OG0000120	Syaf.g_00313	Prak.g_01349
OG0000121	Syaf.g_02419	Prak.g_01393
OG0000123	Syaf.g_00086	Prak.g_01787
OG0000124	Syaf.g_00414	Prak.g_01859
OG0000125	Syaf.g_00640	Prak.g_01895
OG0000126	Syaf.g_00504	Prak.g_01940
OG0000128	Syaf.g_00486	Prak.g_00011
OG0000129	Syaf.g_00651	Prak.g_00045
OG0000130	Syaf.g_00963	Prak.g_00074
OG0000131	Syaf.g_00833	Prak.g_00156
OG0000132	Syaf.g_00813	Prak.g_00176
OG0000133	Syaf.g_01857	Prak.g_00339
OG0000134	Syaf.g_02804	Prak.g_00381
OG0000135	Syaf.g_00605	Prak.g_01259
OG0000136	Syaf.g_01224	Prak.g_00403
OG0000137	Syaf.g_02498	Prak.g_00436
OG0000138	Syaf.g_02705	Prak.g_00456
OG0000139	Syaf.g_02648	Prak.g_00496
OG0000140	Syaf.g_02646	Prak.g_00497
OG0000141	Syaf.g_02375	Prak.g_00569
OG0000142	Syaf.g_02310	Prak.g_01108
OG0000143	Syaf.g_02306	Prak.g_01104
OG0000144	Syaf.g_01735	Prak.g_01090
OG0000145	Syaf.g_02699	Prak.g_01261
OG0000146	Syaf.g_01851	Prak.g_00607
OG0000147	Syaf.g_01850	Prak.g_00606
OG0000148	Syaf.g_02028	Prak.g_00862
OG0000149	Syaf.g_01371	Prak.g_00894
OG0000150	Syaf.g_02645	Prak.g_00904
OG0000151	Syaf.g_02091	Prak.g_00780
OG0000152	Syaf.g_01861	Prak.g_00973
OG0000153	Syaf.g_01904	Prak.g_00992
OG0000154	Syaf.g_01930	Prak.g_01012
OG0000155	Syaf.g_01324	Prak.g_01151
OG0000156	Syaf.g_01270	Prak.g_01266
OG0000157	Syaf.g_01269	Prak.g_01267
OG0000158	Syaf.g_00364	Prak.g_01824
OG0000160	Syaf.g_02418	Prak.g_01392
OG0000161	Syaf.g_02424	Prak.g_01398
OG0000162	Syaf.g_02431	Prak.g_01404
OG0000163	Syaf.g_01105	Prak.g_01443
OG0000164	Syaf.g_00999	Prak.g_01669
OG0000165	Syaf.g_01197	Prak.g_01676
OG0000166	Syaf.g_00133	Prak.g_01743
OG0000167	Syaf.g_00350	Prak.g_01814
OG0000168	Syaf.g_00365	Prak.g_01825
OG0000169	Syaf.g_00376	Prak.g_01835
OG0000170	Syaf.g_00383	Prak.g_01838
OG0000171	Syaf.g_00413	Prak.g_01858
OG0000172	Syaf.g_00419	Prak.g_01865
OG0000173	Syaf.g_00438	Prak.g_01880
OG0000174	Syaf.g_00603	Prak.g_01910
OG0000175	Syaf.g_00531	Prak.g_01923
OG0000176	Syaf.g_00494	Prak.g_00004
OG0000177	Syaf.g_00493	Prak.g_00005
OG0000178	Syaf.g_00492	Prak.g_00006
OG0000179	Syaf.g_00477	Prak.g_00016
OG0000180	Syaf.g_00476	Prak.g_00017
OG0000181	Syaf.g_00475	Prak.g_00018
OG0000182	Syaf.g_00474	Prak.g_00019
