Orthogroup	Syaf	Prbh
OG0000001	Syaf.g_01640	Prbh.g_00001, Prbh.g_00863
OG0000004	Syaf.g_01455	Prbh.g_00933
OG0000004	Syaf.g_02351, Syaf.g_02794	Prbh.g_00548
OG0000005	Syaf.g_01057	Prbh.g_00182
OG0000006	Syaf.g_00179, Syaf.g_02778	Prbh.g_00538
OG0000007	Syaf.g_02702	Prbh.g_00334
OG0000007	Syaf.g_01033	Prbh.g_01782
OG0000008	Syaf.g_01479	Prbh.g_01406
OG0000008	Syaf.g_01480	Prbh.g_01405
OG0000010	Syaf.g_02499	Prbh.g_00848, Prbh.g_01143, Prbh.g_00357
OG0000013	Syaf.g_00044, Syaf.g_00061, Syaf.g_00056	Prbh.g_00452
OG0000014	Syaf.g_00280	Prbh.g_00472
OG0000015	Syaf.g_02120, Syaf.g_02121	Prbh.g_00840, Prbh.g_01869
OG0000016	Syaf.g_01576, Syaf.g_01713	Prbh.g_01336
OG0000017	Syaf.g_02554	Prbh.g_00225
OG0000017	Syaf.g_02561	Prbh.g_00232
OG0000018	Syaf.g_02451	Prbh.g_01305, Prbh.g_00981
OG0000019	Syaf.g_00193	Prbh.g_00530, Prbh.g_01307
OG0000020	Syaf.g_02187	Prbh.g_00202, Prbh.g_01819, Prbh.g_01898
OG0000021	Syaf.g_01726	Prbh.g_00203
OG0000021	Syaf.g_02773	Prbh.g_00938
OG0000022	Syaf.g_02256	Prbh.g_00190
OG0000023	Syaf.g_01765, Syaf.g_01987, Syaf.g_01731, Syaf.g_01995	Prbh.g_00833
OG0000024	Syaf.g_01484	Prbh.g_01147, Prbh.g_00909
OG0000025	Syaf.g_01385	Prbh.g_00988
OG0000026	Syaf.g_00461	Prbh.g_00749
OG0000028	Syaf.g_00297	Prbh.g_00459, Prbh.g_00404
OG0000029	Syaf.g_01761	Prbh.g_01691, Prbh.g_01885
OG0000030	Syaf.g_00406, Syaf.g_00407	Prbh.g_01570
OG0000031	Syaf.g_00314, Syaf.g_01143	Prbh.g_00064
OG0000032	Syaf.g_02471	Prbh.g_00138
OG0000033	Syaf.g_00807	Prbh.g_00613
OG0000034	Syaf.g_01241, Syaf.g_00837	Prbh.g_01383
OG0000035	Syaf.g_02412	Prbh.g_00099, Prbh.g_00096
OG0000037	Syaf.g_00899	Prbh.g_00674
OG0000038	Syaf.g_00642	Prbh.g_01530
OG0000039	Syaf.g_01395	Prbh.g_00921
OG0000041	Syaf.g_01171	Prbh.g_01734
OG0000042	Syaf.g_00403	Prbh.g_01573
OG0000044	Syaf.g_01358, Syaf.g_01992	Prbh.g_01794
OG0000045	Syaf.g_00979	Prbh.g_01327
OG0000046	Syaf.g_00062, Syaf.g_00055, Syaf.g_00045	Prbh.g_00451
OG0000047	Syaf.g_00030	Prbh.g_00408
OG0000048	Syaf.g_00230	Prbh.g_00508
OG0000050	Syaf.g_01770	Prbh.g_01445
OG0000052	Syaf.g_00335	Prbh.g_00041
OG0000053	Syaf.g_02447	Prbh.g_01834, Prbh.g_00120
OG0000054	Syaf.g_02376	Prbh.g_00223
OG0000055	Syaf.g_01402	Prbh.g_01332
OG0000057	Syaf.g_01452	Prbh.g_00936
OG0000058	Syaf.g_00316	Prbh.g_00030
OG0000059	Syaf.g_00143	Prbh.g_01695
OG0000061	Syaf.g_01288	Prbh.g_01283
OG0000062	Syaf.g_01055, Syaf.g_02167	Prbh.g_00184
OG0000063	Syaf.g_00457	Prbh.g_01401
OG0000064	Syaf.g_02253, Syaf.g_01667, Syaf.g_01063	Prbh.g_00715
OG0000065	Syaf.g_00903	Prbh.g_00676
OG0000066	Syaf.g_02643	Prbh.g_01856
OG0000067	Syaf.g_02049	Prbh.g_00953
OG0000068	Syaf.g_02733	Prbh.g_00009
OG0000070	Syaf.g_01237	Prbh.g_00382
OG0000071	Syaf.g_01254	Prbh.g_01373
OG0000072	Syaf.g_00805	Prbh.g_00611
OG0000073	Syaf.g_02700	Prbh.g_00330
OG0000075	Syaf.g_00353	Prbh.g_01607
OG0000076	Syaf.g_00388	Prbh.g_01581
OG0000077	Syaf.g_00951	Prbh.g_00704
OG0000078	Syaf.g_02782	Prbh.g_00540
OG0000079	Syaf.g_00197	Prbh.g_00527
OG0000080	Syaf.g_00306	Prbh.g_00069
OG0000081	Syaf.g_02776	Prbh.g_00298
OG0000082	Syaf.g_02576	Prbh.g_01855
OG0000084	Syaf.g_02409	Prbh.g_00093
OG0000085	Syaf.g_01048	Prbh.g_01408
OG0000086	Syaf.g_00932	Prbh.g_00695
OG0000087	Syaf.g_00848	Prbh.g_00642
OG0000088	Syaf.g_00811	Prbh.g_00616
OG0000089	Syaf.g_02807	Prbh.g_00415
OG0000090	Syaf.g_02654	Prbh.g_00296
OG0000091	Syaf.g_02302	Prbh.g_01211
OG0000093	Syaf.g_01775	Prbh.g_01181
OG0000097	Syaf.g_01574	Prbh.g_01236
OG0000098	Syaf.g_01637	Prbh.g_01935
OG0000099	Syaf.g_00312	Prbh.g_00032
OG0000100	Syaf.g_02017	Prbh.g_00179
OG0000101	Syaf.g_00093	Prbh.g_01644
OG0000102	Syaf.g_00393	Prbh.g_01576
OG0000103	Syaf.g_00520	Prbh.g_01489
OG0000104	Syaf.g_00502	Prbh.g_01480
OG0000105	Syaf.g_00235	Prbh.g_00505
OG0000106	Syaf.g_01745	Prbh.g_00821
OG0000107	Syaf.g_00177	Prbh.g_01718
OG0000108	Syaf.g_02721	Prbh.g_00351
