Orthogroup	Syaf	Syaj
OG0000001	Syaf.g_01640	Syaj.g_02674
OG0000001	Syaf.g_00846	Syaj.g_01949
OG0000001	Syaf.g_00845	Syaj.g_01950
OG0000001	Syaf.g_01634	Syaj.g_02660
OG0000004	Syaf.g_01455	Syaj.g_00441
OG0000004	Syaf.g_02351	Syaj.g_01314
OG0000004	Syaf.g_02794	Syaj.g_02853
OG0000005	Syaf.g_01017	Syaj.g_01736
OG0000005	Syaf.g_01057	Syaj.g_01698
OG0000005	Syaf.g_01352, Syaf.g_01732	Syaj.g_01155
OG0000006	Syaf.g_00179, Syaf.g_02778	Syaj.g_02635
OG0000007	Syaf.g_02702	Syaj.g_00091
OG0000007	Syaf.g_01033	Syaj.g_01721
OG0000008	Syaf.g_01479	Syaj.g_00496
OG0000008	Syaf.g_01480	Syaj.g_00497
OG0000009	Syaf.g_00905	Syaj.g_01885
OG0000010	Syaf.g_02499	Syaj.g_01445
OG0000011	Syaf.g_01532	Syaj.g_01133
OG0000012	Syaf.g_01353, Syaf.g_01833, Syaf.g_01462, Syaf.g_01693	Syaj.g_00172
OG0000013	Syaf.g_00044	Syaj.g_02782
OG0000013	Syaf.g_00061	Syaj.g_02769
OG0000013	Syaf.g_00056	Syaj.g_02774
OG0000014	Syaf.g_00280	Syaj.g_02522
OG0000015	Syaf.g_02120	Syaj.g_00725
OG0000015	Syaf.g_02121	Syaj.g_02659
OG0000016	Syaf.g_00484	Syaj.g_02276
OG0000016	Syaf.g_01576	Syaj.g_00590
OG0000016	Syaf.g_01713	Syaj.g_01191
OG0000017	Syaf.g_02554	Syaj.g_00255
OG0000017	Syaf.g_02561	Syaj.g_00248
OG0000018	Syaf.g_02451	Syaj.g_01413
OG0000019	Syaf.g_00193	Syaj.g_02613
OG0000021	Syaf.g_01726	Syaj.g_00982
OG0000021	Syaf.g_02773	Syaj.g_00042
OG0000022	Syaf.g_02256	Syaj.g_01220
OG0000023	Syaf.g_01995	Syaj.g_01791
OG0000024	Syaf.g_01484	Syaj.g_00500
OG0000025	Syaf.g_01385	Syaj.g_00383
OG0000026	Syaf.g_00461	Syaj.g_02298
OG0000027	Syaf.g_01688	Syaj.g_00396
OG0000028	Syaf.g_00297	Syaj.g_02506
OG0000029	Syaf.g_01761	Syaj.g_01229
OG0000030	Syaf.g_00406	Syaj.g_02396
OG0000030	Syaf.g_00407	Syaj.g_02395
OG0000031	Syaf.g_00314	Syaj.g_02501
OG0000032	Syaf.g_02471	Syaj.g_01432
OG0000033	Syaf.g_00807	Syaj.g_01990
OG0000034	Syaf.g_01241, Syaf.g_00837	Syaj.g_01959
OG0000035	Syaf.g_02412	Syaj.g_01378
OG0000037	Syaf.g_00899	Syaj.g_01891
OG0000038	Syaf.g_00642	Syaj.g_02115
OG0000039	Syaf.g_01395	Syaj.g_00392
OG0000040	Syaf.g_00558	Syaj.g_02208
OG0000041	Syaf.g_01171	Syaj.g_01602
OG0000041	Syaf.g_01414	Syaj.g_00418
OG0000042	Syaf.g_00403	Syaj.g_02399
OG0000043	Syaf.g_01747	Syaj.g_01247
OG0000044	Syaf.g_01358, Syaf.g_01992	Syaj.g_01344
OG0000046	Syaf.g_00055	Syaj.g_02775
OG0000046	Syaf.g_00045	Syaj.g_02781
OG0000047	Syaf.g_00030	Syaj.g_02799
OG0000048	Syaf.g_00230	Syaj.g_02578
OG0000051	Syaf.g_00972	Syaj.g_02898
OG0000052	Syaf.g_00335	Syaj.g_02476
OG0000053	Syaf.g_02447	Syaj.g_01409
OG0000054	Syaf.g_02376	Syaj.g_01341
OG0000055	Syaf.g_01402	Syaj.g_00394
OG0000057	Syaf.g_01452	Syaj.g_00438
OG0000058	Syaf.g_00316	Syaj.g_02495
OG0000059	Syaf.g_00143	Syaj.g_02686
OG0000060	Syaf.g_02515	Syaj.g_01469
OG0000060	Syaf.g_02726	Syaj.g_00067
OG0000060	Syaf.g_01603	Syaj.g_00635
OG0000061	Syaf.g_01288	Syaj.g_00302
OG0000062	Syaf.g_01055	Syaj.g_01700
OG0000063	Syaf.g_00457	Syaj.g_02302
OG0000065	Syaf.g_00903	Syaj.g_01887
OG0000066	Syaf.g_02643	Syaj.g_00157
OG0000067	Syaf.g_02049	Syaj.g_01023
OG0000068	Syaf.g_02733	Syaj.g_00059
OG0000070	Syaf.g_01237	Syaj.g_01529
OG0000071	Syaf.g_01254	Syaj.g_01511
OG0000072	Syaf.g_00805	Syaj.g_01992
OG0000073	Syaf.g_02700	Syaj.g_00093
OG0000075	Syaf.g_00353	Syaj.g_02457
OG0000076	Syaf.g_00388	Syaj.g_02417
OG0000077	Syaf.g_00951	Syaj.g_01831
OG0000078	Syaf.g_02782	Syaj.g_02880
OG0000079	Syaf.g_00197	Syaj.g_02609
OG0000081	Syaf.g_02776	Syaj.g_02888
OG0000082	Syaf.g_02576	Syaj.g_00229
OG0000084	Syaf.g_02409	Syaj.g_01375
OG0000085	Syaf.g_01048	Syaj.g_01707
OG0000086	Syaf.g_00932	Syaj.g_01848
OG0000087	Syaf.g_00848	Syaj.g_01945
OG0000088	Syaf.g_00811	Syaj.g_01986
OG0000089	Syaf.g_02807	Syaj.g_02829
OG0000090	Syaf.g_02654	Syaj.g_00144
OG0000091	Syaf.g_02302	Syaj.g_01275
OG0000093	Syaf.g_02065	Syaj.g_01042
OG0000094	Syaf.g_01940	Syaj.g_00804
OG0000095	Syaf.g_01442	Syaj.g_00427
OG0000097	Syaf.g_01574	Syaj.g_00589
OG0000098	Syaf.g_01637	Syaj.g_02671
OG0000099	Syaf.g_00312	Syaj.g_02503
OG0000100	Syaf.g_02017	Syaj.g_00987
OG0000101	Syaf.g_00093	Syaj.g_02738
OG0000102	Syaf.g_00393	Syaj.g_02411
OG0000103	Syaf.g_00520	Syaj.g_02243
OG0000104	Syaf.g_00502	Syaj.g_02258
OG0000105	Syaf.g_00235	Syaj.g_02573
OG0000106	Syaf.g_01745	Syaj.g_01130
OG0000107	Syaf.g_00177, Syaf.g_00758	Syaj.g_02637
OG0000108	Syaf.g_02721	Syaj.g_00072
OG0000109	Syaf.g_02706	Syaj.g_00087
OG0000110	Syaf.g_02589	Syaj.g_00215
OG0000111	Syaf.g_01451	Syaj.g_00437
OG0000112	Syaf.g_01852	Syaj.g_00907
OG0000113	Syaf.g_02022	Syaj.g_00992
OG0000114	Syaf.g_02103	Syaj.g_00741
OG0000115	Syaf.g_02445	Syaj.g_01402
OG0000116	Syaf.g_01276	Syaj.g_00289
OG0000117	Syaf.g_01605	Syaj.g_00637
OG0000118	Syaf.g_02544	Syaj.g_00267
OG0000120	Syaf.g_00313	Syaj.g_02502
OG0000121	Syaf.g_02419	Syaj.g_01383
OG0000123	Syaf.g_00086	Syaj.g_02745
OG0000124	Syaf.g_00414	Syaj.g_02388
OG0000125	Syaf.g_00640	Syaj.g_02117
OG0000126	Syaf.g_00504	Syaj.g_02256
OG0000127	Syaf.g_01541	Syaj.g_00538
OG0000127	Syaf.g_01151	Syaj.g_00036
OG0000128	Syaf.g_00486	Syaj.g_02274
OG0000129	Syaf.g_00651	Syaj.g_02106
OG0000130	Syaf.g_00963	Syaj.g_01818
OG0000131	Syaf.g_00833	Syaj.g_01964
OG0000132	Syaf.g_00813	Syaj.g_01984, Syaj.g_00688
OG0000133	Syaf.g_01857	Syaj.g_00902
OG0000134	Syaf.g_02804	Syaj.g_02832
OG0000135	Syaf.g_00605	Syaj.g_02167
OG0000136	Syaf.g_01224	Syaj.g_01550
OG0000137	Syaf.g_02498	Syaj.g_01444
OG0000138	Syaf.g_02705	Syaj.g_00088
OG0000139	Syaf.g_02648	Syaj.g_00150
OG0000140	Syaf.g_02646	Syaj.g_00153
OG0000141	Syaf.g_02375	Syaj.g_01340
OG0000142	Syaf.g_02310	Syaj.g_01283
OG0000143	Syaf.g_02306	Syaj.g_01279
OG0000144	Syaf.g_01735	Syaj.g_01151
OG0000145	Syaf.g_02699	Syaj.g_00094
OG0000146	Syaf.g_01851	Syaj.g_00908
OG0000147	Syaf.g_01850	Syaj.g_00909
OG0000148	Syaf.g_02028	Syaj.g_01003, Syaj.g_01002
OG0000149	Syaf.g_01371	Syaj.g_00369
OG0000150	Syaf.g_02645	Syaj.g_01339, Syaj.g_00154
OG0000151	Syaf.g_02091	Syaj.g_01074
OG0000152	Syaf.g_01861	Syaj.g_00898
OG0000153	Syaf.g_01904	Syaj.g_00842
OG0000154	Syaf.g_01930	Syaj.g_00814
OG0000155	Syaf.g_01324	Syaj.g_00338
OG0000156	Syaf.g_01270	Syaj.g_00282
OG0000157	Syaf.g_01269	Syaj.g_00281
OG0000158	Syaf.g_00364	Syaj.g_02445
OG0000160	Syaf.g_02418	Syaj.g_01382
OG0000161	Syaf.g_02424	Syaj.g_01389
OG0000162	Syaf.g_02431	Syaj.g_01395
OG0000163	Syaf.g_01105	Syaj.g_01639
OG0000164	Syaf.g_00999	Syaj.g_01758
OG0000165	Syaf.g_01197	Syaj.g_01582
OG0000166	Syaf.g_00133	Syaj.g_02698
OG0000167	Syaf.g_00350	Syaj.g_02460
OG0000168	Syaf.g_00365	Syaj.g_02444
OG0000169	Syaf.g_00376	Syaj.g_02431, Syaj.g_02429
OG0000170	Syaf.g_00383	Syaj.g_02422
OG0000171	Syaf.g_00413	Syaj.g_02389
OG0000172	Syaf.g_00419	Syaj.g_02365
OG0000173	Syaf.g_00438	Syaj.g_02321
OG0000174	Syaf.g_00603	Syaj.g_02169
OG0000175	Syaf.g_00531	Syaj.g_02229
OG0000176	Syaf.g_00494	Syaj.g_02266
OG0000177	Syaf.g_00493	Syaj.g_02267
OG0000178	Syaf.g_00492	Syaj.g_02268
OG0000179	Syaf.g_00477	Syaj.g_02283
OG0000180	Syaf.g_00476	Syaj.g_02284
OG0000181	Syaf.g_00475	Syaj.g_02285
OG0000182	Syaf.g_00474	Syaj.g_02286
OG0000183	Syaf.g_00470	Syaj.g_02290
OG0000184	Syaf.g_00664	Syaj.g_02098
OG0000185	Syaf.g_00684	Syaj.g_02087
OG0000186	Syaf.g_00968	Syaj.g_01812
OG0000187	Syaf.g_00966	Syaj.g_01814
OG0000188	Syaf.g_00944	Syaj.g_01837
OG0000189	Syaf.g_00916	Syaj.g_01874
OG0000190	Syaf.g_00914	Syaj.g_01876
OG0000191	Syaf.g_00877	Syaj.g_01910
OG0000192	Syaf.g_00871	Syaj.g_01919
OG0000193	Syaf.g_00832	Syaj.g_01965
OG0000194	Syaf.g_00829	Syaj.g_01968
OG0000195	Syaf.g_00827	Syaj.g_01971
OG0000196	Syaf.g_00816	Syaj.g_01981
OG0000197	Syaf.g_00815	Syaj.g_01982
OG0000198	Syaf.g_00814	Syaj.g_01983
OG0000199	Syaf.g_00806	Syaj.g_01991
OG0000200	Syaf.g_00789	Syaj.g_02008
OG0000201	Syaf.g_00771	Syaj.g_02024
OG0000202	Syaf.g_00770	Syaj.g_02025
OG0000203	Syaf.g_00769	Syaj.g_02026
OG0000204	Syaf.g_00768	Syaj.g_02027
OG0000205	Syaf.g_00761	Syaj.g_02035
OG0000206	Syaf.g_00736	Syaj.g_02043
OG0000207	Syaf.g_00735	Syaj.g_02045
OG0000208	Syaf.g_00734	Syaj.g_02046
OG0000209	Syaf.g_00714	Syaj.g_02070
OG0000210	Syaf.g_00713	Syaj.g_02071
OG0000211	Syaf.g_02791	Syaj.g_02856
OG0000212	Syaf.g_02781	Syaj.g_02881
OG0000213	Syaf.g_00210	Syaj.g_02601
OG0000214	Syaf.g_00226	Syaj.g_02582
OG0000215	Syaf.g_00258	Syaj.g_02551
OG0000216	Syaf.g_00262	Syaj.g_02547
OG0000217	Syaf.g_00266	Syaj.g_02543
OG0000218	Syaf.g_00268	Syaj.g_02541
OG0000219	Syaf.g_00269	Syaj.g_02540
OG0000220	Syaf.g_00270	Syaj.g_02539
OG0000221	Syaf.g_02597, Syaf.g_00273	Syaj.g_02530
OG0000222	Syaf.g_00287	Syaj.g_02516
OG0000223	Syaf.g_00317	Syaj.g_02494
OG0000224	Syaf.g_00324	Syaj.g_02487
OG0000225	Syaf.g_00007	Syaj.g_02821
OG0000226	Syaf.g_00003	Syaj.g_02825
OG0000227	Syaf.g_00001	Syaj.g_02827
OG0000228	Syaf.g_02808	Syaj.g_02828
OG0000229	Syaf.g_01214	Syaj.g_01555
OG0000230	Syaf.g_01216	Syaj.g_01553
OG0000231	Syaf.g_01236	Syaj.g_01541
OG0000232	Syaf.g_02536	Syaj.g_01497
OG0000233	Syaf.g_02528	Syaj.g_01481
OG0000234	Syaf.g_02497	Syaj.g_01442
OG0000235	Syaf.g_02722	Syaj.g_00071
OG0000236	Syaf.g_02707	Syaj.g_00086
OG0000237	Syaf.g_02690	Syaj.g_00103
OG0000238	Syaf.g_02685	Syaj.g_00108
OG0000239	Syaf.g_02669	Syaj.g_00125
OG0000240	Syaf.g_02668	Syaj.g_00126
OG0000241	Syaf.g_02322	Syaj.g_01291
OG0000242	Syaf.g_02656	Syaj.g_00142
OG0000243	Syaf.g_02634	Syaj.g_00164
OG0000244	Syaf.g_02627	Syaj.g_00180
OG0000245	Syaf.g_02625	Syaj.g_00182
OG0000246	Syaf.g_02621	Syaj.g_00186
OG0000247	Syaf.g_02610	Syaj.g_00197
OG0000248	Syaf.g_02607	Syaj.g_00200
OG0000249	Syaf.g_02605	Syaj.g_00202
OG0000250	Syaf.g_02593	Syaj.g_00211
OG0000251	Syaf.g_02568	Syaj.g_00237
OG0000252	Syaf.g_02565	Syaj.g_00243
OG0000253	Syaf.g_02564	Syaj.g_00245
OG0000254	Syaf.g_02371	Syaj.g_01335
OG0000255	Syaf.g_02352	Syaj.g_01315
OG0000256	Syaf.g_02329	Syaj.g_01297
OG0000257	Syaf.g_02323	Syaj.g_01292
OG0000258	Syaf.g_02301	Syaj.g_01274
OG0000259	Syaf.g_02137	Syaj.g_00707
OG0000260	Syaf.g_02134	Syaj.g_00712
OG0000261	Syaf.g_02131	Syaj.g_00715
OG0000262	Syaf.g_02126	Syaj.g_00720
OG0000263	Syaf.g_01585	Syaj.g_00605
OG0000264	Syaf.g_01473	Syaj.g_00485
OG0000266	Syaf.g_01967	Syaj.g_00946
OG0000267	Syaf.g_01787	Syaj.g_00770
OG0000268	Syaf.g_00307, Syaf.g_01788	Syaj.g_00771
OG0000269	Syaf.g_02054	Syaj.g_01031
OG0000270	Syaf.g_02051	Syaj.g_01025
OG0000271	Syaf.g_02043	Syaj.g_01017
OG0000272	Syaf.g_02042	Syaj.g_01016
OG0000273	Syaf.g_01392	Syaj.g_00389
OG0000274	Syaf.g_01391	Syaj.g_00388
OG0000275	Syaf.g_01386	Syaj.g_00384
OG0000276	Syaf.g_01379	Syaj.g_00377
OG0000277	Syaf.g_01378	Syaj.g_00376
OG0000278	Syaf.g_01375	Syaj.g_00373
OG0000279	Syaf.g_01367	Syaj.g_00357
OG0000280	Syaf.g_01337	Syaj.g_00348
OG0000281	Syaf.g_01636	Syaj.g_02670
OG0000282	Syaf.g_02101	Syaj.g_00743
OG0000283	Syaf.g_01804	Syaj.g_00790
OG0000284	Syaf.g_01810	Syaj.g_00930
OG0000285	Syaf.g_01842	Syaj.g_00917
OG0000286	Syaf.g_01860	Syaj.g_00899
OG0000287	Syaf.g_01896	Syaj.g_00849
