Orthogroup	Syaf	Syal
OG0000001	Syaf.g_01640	Syal.g_02193
OG0000001	Syaf.g_00846	Syal.g_02215
OG0000001	Syaf.g_00845	Syal.g_00874, Syal.g_01184
OG0000004	Syaf.g_01455	Syal.g_01809
OG0000004	Syaf.g_02351	Syal.g_02718
OG0000004	Syaf.g_02794	Syal.g_00691
OG0000005	Syaf.g_01017	Syal.g_00606
OG0000005	Syaf.g_01057	Syal.g_00565
OG0000005	Syaf.g_01352, Syaf.g_01732	Syal.g_01664
OG0000006	Syaf.g_00179, Syaf.g_02778	Syal.g_00674
OG0000006	Syaf.g_02288	Syal.g_02611
OG0000007	Syaf.g_02702	Syal.g_02918
OG0000007	Syaf.g_01033	Syal.g_00587
OG0000008	Syaf.g_01479	Syal.g_02512
OG0000008	Syaf.g_01480	Syal.g_01783
OG0000009	Syaf.g_00905	Syal.g_00818
OG0000010	Syaf.g_02499	Syal.g_00464
OG0000012	Syaf.g_01693	Syal.g_02535, Syal.g_01639
OG0000013	Syaf.g_00044	Syal.g_00322
OG0000013	Syaf.g_00061	Syal.g_00310
OG0000013	Syaf.g_00056	Syal.g_00315
OG0000014	Syaf.g_00280	Syal.g_01305
OG0000016	Syaf.g_00484	Syal.g_00111
OG0000016	Syaf.g_01576	Syal.g_01734
OG0000017	Syaf.g_02554	Syal.g_02745
OG0000017	Syaf.g_02561	Syal.g_02752
OG0000018	Syaf.g_02451	Syal.g_00410
OG0000019	Syaf.g_00193	Syal.g_01209
OG0000022	Syaf.g_02256	Syal.g_02587
OG0000023	Syaf.g_01995	Syal.g_02485, Syal.g_02858, Syal.g_01894
OG0000024	Syaf.g_01484	Syal.g_02597
OG0000025	Syaf.g_01385	Syal.g_02459
OG0000026	Syaf.g_00461	Syal.g_00132
OG0000027	Syaf.g_01688	Syal.g_02543
OG0000028	Syaf.g_00297	Syal.g_01319
OG0000029	Syaf.g_01761	Syal.g_03014
OG0000030	Syaf.g_00406	Syal.g_01511
OG0000030	Syaf.g_00407	Syal.g_01512
OG0000031	Syaf.g_00314	Syal.g_01404, Syal.g_01432
OG0000032	Syaf.g_02471	Syal.g_00428
OG0000033	Syaf.g_00807	Syal.g_00912
OG0000034	Syaf.g_01241, Syaf.g_00837	Syal.g_00881, Syal.g_01586
OG0000035	Syaf.g_02412	Syal.g_00370
OG0000037	Syaf.g_00899	Syal.g_00824
OG0000038	Syaf.g_00642	Syal.g_01071
OG0000040	Syaf.g_00558	Syal.g_01149
OG0000041	Syaf.g_01171	Syal.g_00649
OG0000042	Syaf.g_00403	Syal.g_01705, Syal.g_01508
OG0000043	Syaf.g_01747	Syal.g_02547
OG0000044	Syaf.g_01358, Syaf.g_01992	Syal.g_01853
OG0000044	Syaf.g_01400	Syal.g_01847
OG0000046	Syaf.g_00062	Syal.g_00309
OG0000046	Syaf.g_00055	Syal.g_00316
OG0000046	Syaf.g_00045	Syal.g_00321
OG0000047	Syaf.g_00030	Syal.g_01568
OG0000048	Syaf.g_00230	Syal.g_01250
OG0000051	Syaf.g_00972	Syal.g_01550
OG0000052	Syaf.g_00335	Syal.g_01338
OG0000053	Syaf.g_02447	Syal.g_00406
OG0000054	Syaf.g_02376	Syal.g_02739
OG0000055	Syaf.g_01402	Syal.g_01845
OG0000057	Syaf.g_01452	Syal.g_01812
OG0000058	Syaf.g_00316	Syal.g_01326
OG0000059	Syaf.g_00143	Syal.g_00225
OG0000060	Syaf.g_02515	Syal.g_00480
OG0000060	Syaf.g_02726	Syal.g_02895
OG0000060	Syaf.g_01603	Syal.g_02214
OG0000061	Syaf.g_01288	Syal.g_01653
OG0000062	Syaf.g_01055	Syal.g_00567
OG0000062	Syaf.g_02167	Syal.g_02113
OG0000063	Syaf.g_00457	Syal.g_00136
OG0000064	Syaf.g_02253	Syal.g_02544
OG0000064	Syaf.g_01667	Syal.g_01681
OG0000064	Syaf.g_01063	Syal.g_01545
OG0000066	Syaf.g_02643	Syal.g_02828
OG0000067	Syaf.g_02049	Syal.g_02414
OG0000068	Syaf.g_02733	Syal.g_02888
OG0000070	Syaf.g_01237	Syal.g_00509
OG0000071	Syaf.g_01254	Syal.g_01601
OG0000072	Syaf.g_00805	Syal.g_00914
OG0000073	Syaf.g_02700	Syal.g_02920
OG0000075	Syaf.g_00353	Syal.g_01350
OG0000076	Syaf.g_00388	Syal.g_01459
OG0000077	Syaf.g_00951	Syal.g_00763
OG0000078	Syaf.g_02782	Syal.g_00680
OG0000079	Syaf.g_00197	Syal.g_01213
OG0000080	Syaf.g_00306	Syal.g_01394
OG0000081	Syaf.g_02776	Syal.g_02555
OG0000082	Syaf.g_02576	Syal.g_02769
OG0000084	Syaf.g_02409	Syal.g_00023
OG0000085	Syaf.g_01048	Syal.g_00575
OG0000086	Syaf.g_00932	Syal.g_00784
OG0000087	Syaf.g_00848	Syal.g_00871
OG0000088	Syaf.g_00811	Syal.g_00908
OG0000089	Syaf.g_02807	Syal.g_00555
OG0000090	Syaf.g_02654	Syal.g_02838
OG0000091	Syaf.g_02302	Syal.g_02628
OG0000093	Syaf.g_02065	Syal.g_02233
OG0000094	Syaf.g_01940	Syal.g_01907
OG0000095	Syaf.g_01442	Syal.g_01823
OG0000097	Syaf.g_01574	Syal.g_01735
OG0000098	Syaf.g_01637	Syal.g_02196
OG0000099	Syaf.g_00312	Syal.g_01323
OG0000100	Syaf.g_02017	Syal.g_02448
OG0000101	Syaf.g_00093	Syal.g_00275
OG0000102	Syaf.g_00393	Syal.g_01488
OG0000103	Syaf.g_00520	Syal.g_00077
OG0000104	Syaf.g_00502	Syal.g_00092
OG0000105	Syaf.g_00235	Syal.g_01255
OG0000106	Syaf.g_01745	Syal.g_02577
OG0000107	Syaf.g_00177, Syaf.g_00758	Syal.g_00194
OG0000108	Syaf.g_02721	Syal.g_02897
OG0000109	Syaf.g_02706	Syal.g_02913
OG0000110	Syaf.g_02589	Syal.g_02782
OG0000112	Syaf.g_01852	Syal.g_02000
OG0000113	Syaf.g_02022	Syal.g_02443
OG0000114	Syaf.g_02103	Syal.g_02286
OG0000115	Syaf.g_02445	Syal.g_00404
OG0000116	Syaf.g_01276	Syal.g_01630
OG0000117	Syaf.g_01605	Syal.g_01704
OG0000118	Syaf.g_02544	Syal.g_01583
OG0000120	Syaf.g_00313	Syal.g_01324
OG0000121	Syaf.g_02419	Syal.g_00374
OG0000123	Syaf.g_00086	Syal.g_00283
OG0000124	Syaf.g_00414	Syal.g_01519
OG0000125	Syaf.g_00640	Syal.g_01075
OG0000126	Syaf.g_00504	Syal.g_00090
OG0000128	Syaf.g_00486	Syal.g_00109
OG0000129	Syaf.g_00651	Syal.g_01062
OG0000130	Syaf.g_00963	Syal.g_00751
OG0000131	Syaf.g_00833	Syal.g_00886
OG0000132	Syaf.g_00813	Syal.g_00906
OG0000133	Syaf.g_01857	Syal.g_01995
OG0000134	Syaf.g_02804	Syal.g_00552
OG0000135	Syaf.g_00605	Syal.g_01119
OG0000136	Syaf.g_01224	Syal.g_00520
OG0000137	Syaf.g_02498	Syal.g_00463
OG0000138	Syaf.g_02705	Syal.g_02914
OG0000139	Syaf.g_02648	Syal.g_02832
OG0000140	Syaf.g_02646	Syal.g_02830
OG0000141	Syaf.g_02375	Syal.g_02738
OG0000142	Syaf.g_02310	Syal.g_02636
OG0000143	Syaf.g_02306	Syal.g_02632
OG0000144	Syaf.g_01735	Syal.g_02515
OG0000145	Syaf.g_02699	Syal.g_02921
OG0000146	Syaf.g_01851	Syal.g_02001
OG0000147	Syaf.g_01850	Syal.g_02002
OG0000148	Syaf.g_02028	Syal.g_02437
OG0000149	Syaf.g_01371	Syal.g_02475
OG0000150	Syaf.g_02645	Syal.g_02737
OG0000151	Syaf.g_02091	Syal.g_02263
OG0000152	Syaf.g_01861	Syal.g_01991
OG0000153	Syaf.g_01904	Syal.g_01958
OG0000154	Syaf.g_01930	Syal.g_01918
OG0000155	Syaf.g_01324	Syal.g_01695
OG0000156	Syaf.g_01270	Syal.g_01620
OG0000157	Syaf.g_01269	Syal.g_01619
OG0000158	Syaf.g_00364	Syal.g_01431
OG0000159	Syaf.g_00311	Syal.g_01400
OG0000160	Syaf.g_02418	Syal.g_00372
OG0000161	Syaf.g_02424	Syal.g_00384
OG0000162	Syaf.g_02431	Syal.g_00396
OG0000163	Syaf.g_01105	Syal.g_02971
OG0000164	Syaf.g_00999	Syal.g_00623
OG0000165	Syaf.g_01197	Syal.g_00632
OG0000166	Syaf.g_00133	Syal.g_00236
OG0000167	Syaf.g_00350	Syal.g_01347
OG0000168	Syaf.g_00365	Syal.g_01433
OG0000169	Syaf.g_00376	Syal.g_01447
OG0000170	Syaf.g_00383	Syal.g_01454
OG0000171	Syaf.g_00413	Syal.g_01518
OG0000172	Syaf.g_00419	Syal.g_00174, Syal.g_00173
OG0000173	Syaf.g_00438	Syal.g_00155
OG0000174	Syaf.g_00603	Syal.g_01121
OG0000175	Syaf.g_00531	Syal.g_01172
OG0000176	Syaf.g_00494	Syal.g_00101
OG0000177	Syaf.g_00493	Syal.g_00102
OG0000178	Syaf.g_00492	Syal.g_00103
OG0000179	Syaf.g_00477	Syal.g_00118
OG0000180	Syaf.g_00476	Syal.g_00119
OG0000181	Syaf.g_00475	Syal.g_00120
OG0000182	Syaf.g_00474	Syal.g_00121
OG0000183	Syaf.g_00470	Syal.g_00125
OG0000184	Syaf.g_00664	Syal.g_01050
OG0000185	Syaf.g_00684	Syal.g_01025
