Orthogroup	Syaf	Prbd
OG0000001	Syaf.g_01640	Prbd.g_01779, Prbd.g_01930
OG0000004	Syaf.g_01455	Prbd.g_00549
OG0000004	Syaf.g_02351, Syaf.g_02794	Prbd.g_01007
OG0000005	Syaf.g_01017	Prbd.g_01512
OG0000005	Syaf.g_01057	Prbd.g_01612
OG0000006	Syaf.g_00179, Syaf.g_02778	Prbd.g_00998
OG0000007	Syaf.g_02702	Prbd.g_00745
OG0000007	Syaf.g_01033	Prbd.g_01525
OG0000009	Syaf.g_00905	Prbd.g_01139
OG0000010	Syaf.g_02499	Prbd.g_00348, Prbd.g_00768
OG0000011	Syaf.g_01532	Prbd.g_01859
OG0000012	Syaf.g_01353, Syaf.g_01833, Syaf.g_01462, Syaf.g_01693	Prbd.g_00621
OG0000013	Syaf.g_00044, Syaf.g_00061, Syaf.g_00056	Prbd.g_00912
OG0000014	Syaf.g_00280	Prbd.g_00933
OG0000015	Syaf.g_02120, Syaf.g_02121	Prbd.g_00065, Prbd.g_00826
OG0000016	Syaf.g_00484	Prbd.g_01224
OG0000017	Syaf.g_02561	Prbd.g_00646
OG0000018	Syaf.g_02451	Prbd.g_00449, Prbd.g_00129
OG0000019	Syaf.g_00193	Prbd.g_00990, Prbd.g_00082
OG0000020	Syaf.g_02187	Prbd.g_00406
OG0000021	Syaf.g_01726	Prbd.g_01546, Prbd.g_00874
OG0000022	Syaf.g_02256	Prbd.g_00061, Prbd.g_00423
OG0000023	Syaf.g_01765, Syaf.g_01987, Syaf.g_01731, Syaf.g_01995	Prbd.g_00879
OG0000024	Syaf.g_01484	Prbd.g_00045, Prbd.g_00569
OG0000025	Syaf.g_01385	Prbd.g_00137, Prbd.g_00908
OG0000026	Syaf.g_00461	Prbd.g_01206, Prbd.g_00355
OG0000027	Syaf.g_02284, Syaf.g_01688	Prbd.g_00772, Prbd.g_01832
OG0000028	Syaf.g_00297	Prbd.g_00919, Prbd.g_01864
OG0000029	Syaf.g_01761	Prbd.g_00863, Prbd.g_00052
OG0000030	Syaf.g_00406, Syaf.g_00407	Prbd.g_01325
OG0000033	Syaf.g_00807	Prbd.g_01071
OG0000034	Syaf.g_01241, Syaf.g_00837	Prbd.g_01791
OG0000035	Syaf.g_02412	Prbd.g_01689
OG0000037	Syaf.g_00899	Prbd.g_01135
OG0000038	Syaf.g_00642	Prbd.g_01283
OG0000039	Syaf.g_01395	Prbd.g_00558
OG0000041	Syaf.g_01171	Prbd.g_01478
OG0000042	Syaf.g_00403	Prbd.g_01328
OG0000043	Syaf.g_01747	Prbd.g_01891
OG0000045	Syaf.g_00979	Prbd.g_00867
OG0000047	Syaf.g_00030	Prbd.g_00909
OG0000048	Syaf.g_00230	Prbd.g_00439, Prbd.g_00864
OG0000050	Syaf.g_01770	Prbd.g_01928
OG0000051	Syaf.g_00972	Prbd.g_01544
OG0000053	Syaf.g_02447	Prbd.g_01669
OG0000054	Syaf.g_02376	Prbd.g_00638
OG0000055	Syaf.g_01402	Prbd.g_00083
OG0000057	Syaf.g_01452	Prbd.g_00546
OG0000058	Syaf.g_00316	Prbd.g_01733
OG0000059	Syaf.g_00143	Prbd.g_01439
OG0000060	Syaf.g_01603	Prbd.g_00824
OG0000061	Syaf.g_01288	Prbd.g_00468
OG0000062	Syaf.g_02167	Prbd.g_01610
OG0000063	Syaf.g_00457	Prbd.g_01204
OG0000065	Syaf.g_00903	Prbd.g_01137
OG0000066	Syaf.g_02643	Prbd.g_00703
OG0000067	Syaf.g_02049	Prbd.g_00102
OG0000068	Syaf.g_02733	Prbd.g_01764
OG0000070	Syaf.g_01237	Prbd.g_00792
OG0000071	Syaf.g_01254	Prbd.g_01801
OG0000072	Syaf.g_00805	Prbd.g_01069
OG0000073	Syaf.g_02700	Prbd.g_00743
OG0000075	Syaf.g_00353	Prbd.g_01359
OG0000076	Syaf.g_00388	Prbd.g_01335
OG0000077	Syaf.g_00951	Prbd.g_01166
OG0000078	Syaf.g_02782	Prbd.g_01000
OG0000079	Syaf.g_00197	Prbd.g_00987
OG0000080	Syaf.g_00306	Prbd.g_01731
OG0000081	Syaf.g_02776	Prbd.g_00711
OG0000082	Syaf.g_02576	Prbd.g_00658
