Orthogroup	Syaf	Pras
OG0000001	Syaf.g_01640	Pras.g_00235, Pras.g_00118, Pras.g_00120, Pras.g_00541
OG0000004	Syaf.g_01455	Pras.g_01571
OG0000004	Syaf.g_02351, Syaf.g_02794	Pras.g_01084
OG0000005	Syaf.g_01017	Pras.g_00563
OG0000005	Syaf.g_01057	Pras.g_00429
OG0000006	Syaf.g_00179, Syaf.g_02778	Pras.g_00148, Pras.g_01093
OG0000007	Syaf.g_02702	Pras.g_01375
OG0000007	Syaf.g_01033	Pras.g_00550
OG0000009	Syaf.g_00905	Pras.g_00956
OG0000010	Syaf.g_02499	Pras.g_00523, Pras.g_01942, Pras.g_01352
OG0000011	Syaf.g_01532	Pras.g_00176, Pras.g_01289
OG0000012	Syaf.g_01353, Syaf.g_01833, Syaf.g_01462, Syaf.g_01693	Pras.g_01499
OG0000013	Syaf.g_00044, Syaf.g_00061, Syaf.g_00056	Pras.g_01179
OG0000014	Syaf.g_00280	Pras.g_01158
OG0000015	Syaf.g_02120, Syaf.g_02121	Pras.g_00127
OG0000016	Syaf.g_00484	Pras.g_00855
OG0000017	Syaf.g_02561	Pras.g_01474
OG0000018	Syaf.g_02451	Pras.g_00037, Pras.g_01728
OG0000019	Syaf.g_00193	Pras.g_01101, Pras.g_01681
OG0000020	Syaf.g_02187	Pras.g_00001, Pras.g_00530
OG0000021	Syaf.g_01726	Pras.g_00507, Pras.g_01218
OG0000022	Syaf.g_02256	Pras.g_01662, Pras.g_00019
OG0000023	Syaf.g_01765, Syaf.g_01987, Syaf.g_01731, Syaf.g_01995	Pras.g_01213
OG0000024	Syaf.g_01484	Pras.g_01645, Pras.g_01551
OG0000025	Syaf.g_01385	Pras.g_01735, Pras.g_01183
OG0000026	Syaf.g_00461	Pras.g_00873, Pras.g_01949
OG0000027	Syaf.g_02284, Syaf.g_01688	Pras.g_01348, Pras.g_00185
OG0000028	Syaf.g_00297	Pras.g_01172, Pras.g_00169
OG0000029	Syaf.g_01761	Pras.g_01228, Pras.g_01653
OG0000030	Syaf.g_00406, Syaf.g_00407	Pras.g_00753
OG0000031	Syaf.g_01143	Pras.g_00331
OG0000033	Syaf.g_00807	Pras.g_01020
OG0000034	Syaf.g_01241, Syaf.g_00837	Pras.g_00219
OG0000035	Syaf.g_02412	Pras.g_00350
OG0000037	Syaf.g_00899	Pras.g_00960
OG0000038	Syaf.g_00642	Pras.g_00795
OG0000039	Syaf.g_01395	Pras.g_01562
OG0000041	Syaf.g_01171	Pras.g_00597
OG0000042	Syaf.g_00403	Pras.g_00750
OG0000043	Syaf.g_01747	Pras.g_00153
OG0000045	Syaf.g_00979	Pras.g_01224
OG0000047	Syaf.g_00030	Pras.g_01263, Pras.g_01182
OG0000048	Syaf.g_00230	Pras.g_01227
OG0000051	Syaf.g_00972	Pras.g_00179, Pras.g_00508
OG0000052	Syaf.g_00335	Pras.g_00285
OG0000053	Syaf.g_02447	Pras.g_00886, Pras.g_00370
OG0000054	Syaf.g_02376	Pras.g_01482
OG0000055	Syaf.g_01402	Pras.g_01682
OG0000057	Syaf.g_01452	Pras.g_01574
OG0000058	Syaf.g_00316	Pras.g_00291
OG0000059	Syaf.g_00143	Pras.g_00637
OG0000061	Syaf.g_01288	Pras.g_00056
OG0000062	Syaf.g_02167	Pras.g_00431
OG0000063	Syaf.g_00457	Pras.g_00875
OG0000065	Syaf.g_00903	Pras.g_00958
OG0000066	Syaf.g_02643	Pras.g_01416
OG0000067	Syaf.g_02049	Pras.g_01701, Pras.g_00311
OG0000068	Syaf.g_02733	Pras.g_00250
OG0000070	Syaf.g_01237	Pras.g_01328
OG0000071	Syaf.g_01254	Pras.g_00209
OG0000072	Syaf.g_00805	Pras.g_01022
OG0000073	Syaf.g_02700	Pras.g_01377
OG0000075	Syaf.g_00353	Pras.g_00719
OG0000076	Syaf.g_00388	Pras.g_00883, Pras.g_00743
OG0000077	Syaf.g_00951	Pras.g_00929
OG0000078	Syaf.g_02782	Pras.g_01091
OG0000079	Syaf.g_00197	Pras.g_01104
OG0000081	Syaf.g_02776	Pras.g_01408
OG0000082	Syaf.g_02576	Pras.g_01462
