Orthogroup	Syaf	Pray
OG0000001	Syaf.g_01640	Pray.g_01844, Pray.g_00247, Pray.g_00246
OG0000004	Syaf.g_01455	Pray.g_01068
OG0000004	Syaf.g_02351, Syaf.g_02794	Pray.g_00713
OG0000005	Syaf.g_01017	Pray.g_01546
OG0000005	Syaf.g_01057	Pray.g_01646
OG0000006	Syaf.g_00179, Syaf.g_02778	Pray.g_00722
OG0000007	Syaf.g_02702	Pray.g_00988, Pray.g_00987
OG0000007	Syaf.g_01033	Pray.g_01559
OG0000008	Syaf.g_01479	Pray.g_01931
OG0000009	Syaf.g_00905	Pray.g_00184
OG0000010	Syaf.g_02499	Pray.g_00592, Pray.g_00964
OG0000011	Syaf.g_01532	Pray.g_00884, Pray.g_01897
OG0000012	Syaf.g_01353, Syaf.g_01833, Syaf.g_01462, Syaf.g_01693	Pray.g_01140
OG0000013	Syaf.g_00044, Syaf.g_00061, Syaf.g_00056	Pray.g_00805
OG0000014	Syaf.g_00280	Pray.g_00784
OG0000015	Syaf.g_02120, Syaf.g_02121	Pray.g_00309
OG0000016	Syaf.g_00484	Pray.g_01475
OG0000017	Syaf.g_02561	Pray.g_01165
OG0000018	Syaf.g_02451	Pray.g_00083, Pray.g_00375
OG0000019	Syaf.g_00193	Pray.g_00730, Pray.g_00328
OG0000020	Syaf.g_02187	Pray.g_00120
OG0000021	Syaf.g_01726	Pray.g_01578, Pray.g_00842
OG0000022	Syaf.g_02256	Pray.g_00304, Pray.g_00101
OG0000023	Syaf.g_01765, Syaf.g_01987, Syaf.g_01731, Syaf.g_01995	Pray.g_00838
OG0000024	Syaf.g_01484	Pray.g_00289, Pray.g_01088
OG0000025	Syaf.g_01385	Pray.g_00383, Pray.g_00809
OG0000026	Syaf.g_00461	Pray.g_01493, Pray.g_00599
OG0000027	Syaf.g_02284, Syaf.g_01688	Pray.g_00960, Pray.g_01887
OG0000028	Syaf.g_00297	Pray.g_00798, Pray.g_01935
OG0000029	Syaf.g_01761	Pray.g_00853, Pray.g_00296
OG0000030	Syaf.g_00406, Syaf.g_00407	Pray.g_01374
OG0000031	Syaf.g_01143	Pray.g_01806
OG0000033	Syaf.g_00807	Pray.g_00650
OG0000034	Syaf.g_01241, Syaf.g_00837	Pray.g_01860
OG0000035	Syaf.g_02412	Pray.g_01722
OG0000037	Syaf.g_00899	Pray.g_00180
OG0000038	Syaf.g_00642	Pray.g_01415
OG0000039	Syaf.g_01395	Pray.g_01077
OG0000042	Syaf.g_00403	Pray.g_01371
OG0000043	Syaf.g_01747	Pray.g_01924
OG0000044	Syaf.g_01358, Syaf.g_01992	Pray.g_00002
OG0000045	Syaf.g_00979	Pray.g_00849
OG0000047	Syaf.g_00030	Pray.g_00897, Pray.g_00808
OG0000048	Syaf.g_00230	Pray.g_00852
OG0000050	Syaf.g_01770	Pray.g_00883
OG0000051	Syaf.g_00972	Pray.g_01894
OG0000052	Syaf.g_00335	Pray.g_01793
OG0000053	Syaf.g_02447	Pray.g_01702
OG0000054	Syaf.g_02376	Pray.g_01157
OG0000055	Syaf.g_01402	Pray.g_00329
OG0000057	Syaf.g_01452	Pray.g_01065
OG0000058	Syaf.g_00316	Pray.g_01786
OG0000059	Syaf.g_00143	Pray.g_01258, Pray.g_01761
OG0000061	Syaf.g_01288	Pray.g_00064
OG0000062	Syaf.g_02167	Pray.g_01644
OG0000063	Syaf.g_00457	Pray.g_01495
OG0000065	Syaf.g_00903	Pray.g_00182
OG0000066	Syaf.g_02643	Pray.g_01222
OG0000067	Syaf.g_02049	Pray.g_00348
OG0000068	Syaf.g_02733	Pray.g_01829
OG0000070	Syaf.g_01237	Pray.g_00940
OG0000071	Syaf.g_01254	Pray.g_01870
OG0000072	Syaf.g_00805	Pray.g_00652
OG0000073	Syaf.g_02700	Pray.g_00990
OG0000075	Syaf.g_00353	Pray.g_01339
OG0000076	Syaf.g_00388	Pray.g_01364
OG0000077	Syaf.g_00951	Pray.g_00211
OG0000078	Syaf.g_02782	Pray.g_00720
OG0000079	Syaf.g_00197	Pray.g_00733
OG0000081	Syaf.g_02776	Pray.g_01022
OG0000082	Syaf.g_02576	Pray.g_01177
OG0000084	Syaf.g_02409	Pray.g_01726
OG0000085	Syaf.g_01048	Pray.g_01566
OG0000086	Syaf.g_00932	Pray.g_00201
OG0000087	Syaf.g_00848	Pray.g_00150
OG0000088	Syaf.g_00811	Pray.g_00647
OG0000089	Syaf.g_02807	Pray.g_00834
OG0000090	Syaf.g_02654	Pray.g_01024, Pray.g_01228
OG0000091	Syaf.g_02302	Pray.g_01121
OG0000094	Syaf.g_01940	Pray.g_00565
OG0000097	Syaf.g_01574	Pray.g_00022
OG0000098	Syaf.g_01637	Pray.g_01847
OG0000099	Syaf.g_00312	Pray.g_01788
OG0000100	Syaf.g_02017	Pray.g_01648
OG0000101	Syaf.g_00093	Pray.g_01306
OG0000102	Syaf.g_00393	Pray.g_01369
OG0000103	Syaf.g_00520	Pray.g_01449
OG0000104	Syaf.g_00502	Pray.g_01457
OG0000105	Syaf.g_00235	Pray.g_00753
OG0000106	Syaf.g_01745	Pray.g_00848
OG0000107	Syaf.g_00177	Pray.g_00864
OG0000108	Syaf.g_02721	Pray.g_00970
OG0000109	Syaf.g_02706	Pray.g_00984
OG0000110	Syaf.g_02589	Pray.g_01187
OG0000112	Syaf.g_01852	Pray.g_00313
OG0000113	Syaf.g_02022	Pray.g_00370
OG0000114	Syaf.g_02103	Pray.g_00452
OG0000115	Syaf.g_02445	Pray.g_00126
OG0000116	Syaf.g_01276	Pray.g_00074
OG0000117	Syaf.g_01605	Pray.g_01927
OG0000118	Syaf.g_02544	Pray.g_01858
OG0000120	Syaf.g_00313	Pray.g_01808
OG0000121	Syaf.g_02419	Pray.g_01720
OG0000123	Syaf.g_00086	Pray.g_01313
OG0000124	Syaf.g_00414	Pray.g_01380
OG0000125	Syaf.g_00640	Pray.g_01417
OG0000126	Syaf.g_00504	Pray.g_01456
OG0000128	Syaf.g_00486	Pray.g_01473
OG0000129	Syaf.g_00651	Pray.g_00239
OG0000130	Syaf.g_00963	Pray.g_00220
OG0000131	Syaf.g_00833	Pray.g_00144
OG0000132	Syaf.g_00813	Pray.g_00645
OG0000133	Syaf.g_01857	Pray.g_00800
OG0000134	Syaf.g_02804	Pray.g_00835
OG0000135	Syaf.g_00605	Pray.g_00861
OG0000136	Syaf.g_01224	Pray.g_00931
OG0000137	Syaf.g_02498	Pray.g_00965
OG0000138	Syaf.g_02705	Pray.g_00985
OG0000139	Syaf.g_02648	Pray.g_01224
OG0000140	Syaf.g_02646	Pray.g_01223
OG0000141	Syaf.g_02375	Pray.g_01156
OG0000142	Syaf.g_02310	Pray.g_01128
OG0000143	Syaf.g_02306	Pray.g_01124
OG0000144	Syaf.g_01735	Pray.g_01111
OG0000145	Syaf.g_02699	Pray.g_00306
OG0000146	Syaf.g_01851	Pray.g_00314
OG0000147	Syaf.g_01850	Pray.g_00315
OG0000148	Syaf.g_02028	Pray.g_00364
OG0000149	Syaf.g_01371	Pray.g_00395
OG0000150	Syaf.g_02645	Pray.g_00403
OG0000151	Syaf.g_02091	Pray.g_00462
OG0000152	Syaf.g_01861	Pray.g_00511
OG0000153	Syaf.g_01904	Pray.g_00530
OG0000154	Syaf.g_01930	Pray.g_00558
OG0000155	Syaf.g_01324	Pray.g_00043
OG0000156	Syaf.g_01270	Pray.g_01881
OG0000157	Syaf.g_01269	Pray.g_01880
OG0000158	Syaf.g_00364	Pray.g_01787
OG0000160	Syaf.g_02418	Pray.g_01721
OG0000161	Syaf.g_02424	Pray.g_01715
OG0000162	Syaf.g_02431	Pray.g_01709
OG0000163	Syaf.g_01105	Pray.g_01675
OG0000164	Syaf.g_00999	Pray.g_01535
OG0000165	Syaf.g_01197	Pray.g_01528
OG0000166	Syaf.g_00133	Pray.g_01270
OG0000167	Syaf.g_00350	Pray.g_01337
OG0000168	Syaf.g_00365	Pray.g_01347
OG0000169	Syaf.g_00376	Pray.g_01357
OG0000170	Syaf.g_00383	Pray.g_01359
OG0000171	Syaf.g_00413	Pray.g_01379
OG0000172	Syaf.g_00419	Pray.g_01388
OG0000173	Syaf.g_00438	Pray.g_01403
OG0000174	Syaf.g_00603	Pray.g_01431
OG0000175	Syaf.g_00531	Pray.g_01441
OG0000176	Syaf.g_00494	Pray.g_01465, Pray.g_01466
OG0000177	Syaf.g_00493	Pray.g_01467
OG0000178	Syaf.g_00492	Pray.g_01468
OG0000179	Syaf.g_00477	Pray.g_01478
OG0000180	Syaf.g_00476	Pray.g_01479
OG0000181	Syaf.g_00475	Pray.g_01480
OG0000182	Syaf.g_00474	Pray.g_01481
OG0000183	Syaf.g_00470	Pray.g_01485
OG0000184	Syaf.g_00664	Pray.g_00237
OG0000185	Syaf.g_00684	Pray.g_00234
OG0000186	Syaf.g_00968	Pray.g_00225
OG0000187	Syaf.g_00966	Pray.g_00224
OG0000188	Syaf.g_00944	Pray.g_00207
OG0000189	Syaf.g_00916	Pray.g_00193
OG0000190	Syaf.g_00914	Pray.g_00192
OG0000191	Syaf.g_00877	Pray.g_00172
OG0000192	Syaf.g_00871	Pray.g_00168
OG0000193	Syaf.g_00832	Pray.g_00143
OG0000194	Syaf.g_00829	Pray.g_00140
OG0000195	Syaf.g_00827	Pray.g_00138
OG0000196	Syaf.g_00816	Pray.g_00642
OG0000197	Syaf.g_00815	Pray.g_00643
OG0000198	Syaf.g_00814	Pray.g_00644
OG0000199	Syaf.g_00806	Pray.g_00651
OG0000200	Syaf.g_00789	Pray.g_00665
OG0000202	Syaf.g_00770	Pray.g_00674
OG0000203	Syaf.g_00769	Pray.g_00675
OG0000204	Syaf.g_00768	Pray.g_00676
OG0000205	Syaf.g_00761	Pray.g_00683
OG0000206	Syaf.g_00736	Pray.g_00688
OG0000207	Syaf.g_00735	Pray.g_00690
OG0000208	Syaf.g_00734	Pray.g_00691
OG0000209	Syaf.g_00714	Pray.g_00700
OG0000210	Syaf.g_00713	Pray.g_00701
OG0000212	Syaf.g_02781	Pray.g_00721
OG0000213	Syaf.g_00210	Pray.g_00738
OG0000214	Syaf.g_00226	Pray.g_00747
OG0000215	Syaf.g_00258	Pray.g_00771
OG0000216	Syaf.g_00262	Pray.g_00772
OG0000217	Syaf.g_00266	Pray.g_00775
OG0000218	Syaf.g_00268	Pray.g_00777
OG0000219	Syaf.g_00269	Pray.g_00778
OG0000220	Syaf.g_00270	Pray.g_00779
OG0000221	Syaf.g_02597, Syaf.g_00273	Pray.g_00780
OG0000222	Syaf.g_00287	Pray.g_00788
OG0000223	Syaf.g_00317	Pray.g_00801
OG0000224	Syaf.g_00324	Pray.g_00803
OG0000225	Syaf.g_00007	Pray.g_00824
OG0000226	Syaf.g_00003	Pray.g_00828
OG0000227	Syaf.g_00001	Pray.g_00830
OG0000228	Syaf.g_02808	Pray.g_00833
OG0000229	Syaf.g_01214	Pray.g_00926
OG0000230	Syaf.g_01216	Pray.g_00928
OG0000231	Syaf.g_01236	Pray.g_00939
OG0000232	Syaf.g_02536	Pray.g_00948
OG0000233	Syaf.g_02528	Pray.g_00953
OG0000234	Syaf.g_02497	Pray.g_00966
OG0000235	Syaf.g_02722	Pray.g_00969
OG0000236	Syaf.g_02707	Pray.g_00983
OG0000237	Syaf.g_02690	Pray.g_00997
OG0000238	Syaf.g_02685	Pray.g_01003
OG0000239	Syaf.g_02669	Pray.g_01016
OG0000240	Syaf.g_02668	Pray.g_01017
OG0000241	Syaf.g_02322	Pray.g_01021
OG0000242	Syaf.g_02656	Pray.g_01023
OG0000243	Syaf.g_02634	Pray.g_01218
OG0000244	Syaf.g_02627	Pray.g_01215
OG0000245	Syaf.g_02625	Pray.g_01213
OG0000246	Syaf.g_02621	Pray.g_01209
OG0000247	Syaf.g_02610	Pray.g_01199
OG0000248	Syaf.g_02607	Pray.g_01197
OG0000249	Syaf.g_02605	Pray.g_01195
OG0000250	Syaf.g_02593	Pray.g_01190
OG0000251	Syaf.g_02568	Pray.g_01172
OG0000252	Syaf.g_02565	Pray.g_01169
OG0000253	Syaf.g_02564	Pray.g_01168
OG0000254	Syaf.g_02371	Pray.g_01152
OG0000255	Syaf.g_02352	Pray.g_01146
OG0000256	Syaf.g_02329	Pray.g_01136
OG0000257	Syaf.g_02323	Pray.g_01133
OG0000258	Syaf.g_02301	Pray.g_01120
OG0000259	Syaf.g_02137	Pray.g_01103
OG0000260	Syaf.g_02134	Pray.g_01100
OG0000261	Syaf.g_02131	Pray.g_01098
OG0000262	Syaf.g_02126	Pray.g_01094
OG0000263	Syaf.g_01585	Pray.g_01082
OG0000264	Syaf.g_01473	Pray.g_01072
OG0000265	Syaf.g_01196	Pray.g_01040
OG0000266	Syaf.g_01967	Pray.g_01030
OG0000267	Syaf.g_01787	Pray.g_00274
OG0000268	Syaf.g_01788	Pray.g_00275
OG0000269	Syaf.g_02054	Pray.g_00343
OG0000270	Syaf.g_02051	Pray.g_00346
OG0000271	Syaf.g_02043	Pray.g_00354
OG0000272	Syaf.g_02042	Pray.g_00355
OG0000273	Syaf.g_01392	Pray.g_00378
OG0000274	Syaf.g_01391	Pray.g_00379
OG0000275	Syaf.g_01386	Pray.g_00382
OG0000276	Syaf.g_01379	Pray.g_00387
OG0000277	Syaf.g_01378	Pray.g_00388
OG0000278	Syaf.g_01375	Pray.g_00391
OG0000279	Syaf.g_01367	Pray.g_00398
OG0000280	Syaf.g_01337	Pray.g_00399
OG0000281	Syaf.g_01636	Pray.g_00404
OG0000282	Syaf.g_02101	Pray.g_00454
OG0000283	Syaf.g_01804	Pray.g_00488
OG0000284	Syaf.g_01810	Pray.g_00493
OG0000285	Syaf.g_01842	Pray.g_00498
OG0000286	Syaf.g_01860	Pray.g_00510
OG0000288	Syaf.g_01929	Pray.g_00557
OG0000289	Syaf.g_01943	Pray.g_00568
OG0000290	Syaf.g_01439	Pray.g_00581
OG0000291	Syaf.g_01441	Pray.g_00583
OG0000292	Syaf.g_00505	Pray.g_00632
OG0000293	Syaf.g_01277	Pray.g_00073
OG0000294	Syaf.g_01278	Pray.g_00072
