Orthogroup	Syaf	Praz
OG0000001	Syaf.g_01640	Praz.g_01154, Praz.g_01939, Praz.g_01940
OG0000004	Syaf.g_01455	Praz.g_01635
OG0000004	Syaf.g_02351, Syaf.g_02794	Praz.g_00592
OG0000005	Syaf.g_01017	Praz.g_00864
OG0000005	Syaf.g_01057	Praz.g_00965
OG0000006	Syaf.g_00179, Syaf.g_02778	Praz.g_00601
OG0000007	Syaf.g_02702	Praz.g_01831
OG0000007	Syaf.g_01033	Praz.g_00877
OG0000008	Syaf.g_01479	Praz.g_01241
OG0000009	Syaf.g_00905	Praz.g_00465
OG0000010	Syaf.g_02499	Praz.g_00074, Praz.g_01854
OG0000011	Syaf.g_01532	Praz.g_00768, Praz.g_01207
OG0000012	Syaf.g_01353, Syaf.g_01833, Syaf.g_01462, Syaf.g_01693	Praz.g_01707
OG0000013	Syaf.g_00044, Syaf.g_00061, Syaf.g_00056	Praz.g_00684
OG0000014	Syaf.g_00280	Praz.g_00663
OG0000015	Syaf.g_02120, Syaf.g_02121	Praz.g_01551
OG0000016	Syaf.g_00484	Praz.g_00378
OG0000017	Syaf.g_02561	Praz.g_01732
OG0000018	Syaf.g_02451	Praz.g_00011, Praz.g_01485
OG0000019	Syaf.g_00193	Praz.g_00609, Praz.g_01532
OG0000020	Syaf.g_02187	Praz.g_00048
OG0000021	Syaf.g_01726	Praz.g_00896, Praz.g_00810
OG0000022	Syaf.g_02256	Praz.g_01556, Praz.g_00029
OG0000023	Syaf.g_01765, Syaf.g_01987, Syaf.g_01731, Syaf.g_01995	Praz.g_00814
OG0000024	Syaf.g_01484	Praz.g_01571, Praz.g_01655
OG0000025	Syaf.g_01385	Praz.g_01477, Praz.g_00688
OG0000026	Syaf.g_00461	Praz.g_00396, Praz.g_00081
OG0000027	Syaf.g_02284, Syaf.g_01688	Praz.g_01858, Praz.g_01197
OG0000028	Syaf.g_00297	Praz.g_00677, Praz.g_01246
OG0000029	Syaf.g_01761	Praz.g_00799, Praz.g_01564
OG0000030	Syaf.g_00406, Syaf.g_00407	Praz.g_00195
OG0000031	Syaf.g_01143	Praz.g_01116
OG0000033	Syaf.g_00807	Praz.g_00529
OG0000034	Syaf.g_01241, Syaf.g_00837	Praz.g_01170
OG0000035	Syaf.g_02412	Praz.g_01041
OG0000037	Syaf.g_00899	Praz.g_00469
OG0000038	Syaf.g_00642	Praz.g_00154
OG0000039	Syaf.g_01395	Praz.g_01644
OG0000042	Syaf.g_00403	Praz.g_00198
OG0000043	Syaf.g_01747	Praz.g_01234
OG0000044	Syaf.g_01358, Syaf.g_01992	Praz.g_00693
OG0000045	Syaf.g_00979	Praz.g_00803
OG0000047	Syaf.g_00030	Praz.g_01921, Praz.g_00687
OG0000048	Syaf.g_00230	Praz.g_00800
OG0000050	Syaf.g_01770	Praz.g_00769
OG0000051	Syaf.g_00972	Praz.g_01204
OG0000052	Syaf.g_00335	Praz.g_01103
OG0000053	Syaf.g_02447	Praz.g_01021
OG0000054	Syaf.g_02376	Praz.g_01724
OG0000055	Syaf.g_01402	Praz.g_01531
OG0000057	Syaf.g_01452	Praz.g_01632
OG0000058	Syaf.g_00316	Praz.g_01096
OG0000059	Syaf.g_00143	Praz.g_00311, Praz.g_01071
OG0000061	Syaf.g_01288	Praz.g_00755
