Orthogroup	Syaf	Prai
OG0000001	Syaf.g_01640	Prai.g_01235, Prai.g_01356, Prai.g_01236
OG0000004	Syaf.g_01455	Prai.g_00724
OG0000004	Syaf.g_02351, Syaf.g_02794	Prai.g_00243
OG0000005	Syaf.g_01017	Prai.g_01651
OG0000005	Syaf.g_01057	Prai.g_01538
OG0000006	Syaf.g_00179, Syaf.g_02778	Prai.g_00252, Prai.g_00254
OG0000007	Syaf.g_02702	Prai.g_00527
OG0000007	Syaf.g_01033	Prai.g_01638
OG0000008	Syaf.g_01479, Syaf.g_01480	Prai.g_00701
OG0000009	Syaf.g_00905	Prai.g_00105
OG0000010	Syaf.g_02499	Prai.g_01292, Prai.g_01067, Prai.g_00504
OG0000012	Syaf.g_01353, Syaf.g_01833, Syaf.g_01462, Syaf.g_01693	Prai.g_00652
OG0000013	Syaf.g_00044, Syaf.g_00061, Syaf.g_00056	Prai.g_00340
OG0000014	Syaf.g_00280	Prai.g_00319
OG0000015	Syaf.g_02120, Syaf.g_02121	Prai.g_01243
OG0000016	Syaf.g_00484	Prai.g_00013
OG0000016	Syaf.g_01713	Prai.g_01573
OG0000017	Syaf.g_02561	Prai.g_00626
OG0000018	Syaf.g_02451	Prai.g_01153, Prai.g_00820
OG0000019	Syaf.g_00193	Prai.g_00262, Prai.g_00867
OG0000020	Syaf.g_02187	Prai.g_01125, Prai.g_01248, Prai.g_00400
OG0000021	Syaf.g_01726	Prai.g_00378
OG0000022	Syaf.g_02256	Prai.g_00885, Prai.g_01139
OG0000023	Syaf.g_01765, Syaf.g_01987, Syaf.g_01731, Syaf.g_01995	Prai.g_00373
OG0000024	Syaf.g_01484	Prai.g_00899, Prai.g_00704
OG0000025	Syaf.g_01385	Prai.g_00812, Prai.g_00344
OG0000026	Syaf.g_00461	Prai.g_00031, Prai.g_01074
OG0000027	Syaf.g_02284, Syaf.g_01688	Prai.g_00904
OG0000028	Syaf.g_00297	Prai.g_00333, Prai.g_01297
OG0000029	Syaf.g_01761	Prai.g_00890
OG0000030	Syaf.g_00406, Syaf.g_00407	Prai.g_01848
OG0000031	Syaf.g_01143	Prai.g_01444
OG0000033	Syaf.g_00807	Prai.g_00180
OG0000034	Syaf.g_01241, Syaf.g_00837	Prai.g_01345
OG0000035	Syaf.g_02412	Prai.g_01463
OG0000037	Syaf.g_00899	Prai.g_00109
OG0000038	Syaf.g_00642	Prai.g_01890
OG0000039	Syaf.g_01395	Prai.g_00715
OG0000041	Syaf.g_01171	Prai.g_01684
OG0000042	Syaf.g_00403	Prai.g_01845
OG0000043	Syaf.g_01747	Prai.g_00910
OG0000045	Syaf.g_00979	Prai.g_00384
OG0000047	Syaf.g_00030	Prai.g_00424, Prai.g_00343
OG0000048	Syaf.g_00230	Prai.g_00387
OG0000050	Syaf.g_01770	Prai.g_01233
OG0000051	Syaf.g_00972	Prai.g_00434, Prai.g_01263
OG0000052	Syaf.g_00335	Prai.g_00154
OG0000053	Syaf.g_02447	Prai.g_01483
OG0000054	Syaf.g_02376	Prai.g_00634
OG0000055	Syaf.g_01402	Prai.g_00866
OG0000057	Syaf.g_01452	Prai.g_00727
OG0000058	Syaf.g_00316	Prai.g_01859
OG0000059	Syaf.g_00143	Prai.g_01725, Prai.g_01425
OG0000061	Syaf.g_01288	Prai.g_01171
OG0000062	Syaf.g_02167	Prai.g_01540
OG0000063	Syaf.g_00457	Prai.g_00033, Prai.g_01261
OG0000065	Syaf.g_00903	Prai.g_00107
OG0000066	Syaf.g_02643	Prai.g_00567
OG0000067	Syaf.g_02049	Prai.g_00848
OG0000068	Syaf.g_02733	Prai.g_01370
OG0000070	Syaf.g_01237	Prai.g_00481
OG0000071	Syaf.g_01254	Prai.g_01335
OG0000072	Syaf.g_00805	Prai.g_00182
OG0000073	Syaf.g_02700	Prai.g_00529
OG0000075	Syaf.g_00353	Prai.g_01814
OG0000076	Syaf.g_00388	Prai.g_01838
OG0000077	Syaf.g_00951	Prai.g_00078
OG0000078	Syaf.g_02782	Prai.g_00250
