Orthogroup	Syaf	Pran
OG0000001	Syaf.g_01640	Pran.g_01395
OG0000004	Syaf.g_01455	Pran.g_01483
OG0000004	Syaf.g_02351, Syaf.g_02794	Pran.g_00200
OG0000005	Syaf.g_01017	Pran.g_00983
OG0000005	Syaf.g_01057	Pran.g_00657
OG0000006	Syaf.g_00179, Syaf.g_02778	Pran.g_01951
OG0000007	Syaf.g_02702	Pran.g_01681
OG0000007	Syaf.g_01033	Pran.g_00970
OG0000009	Syaf.g_00905	Pran.g_00328
OG0000010	Syaf.g_02499	Pran.g_00175, Pran.g_01704
OG0000011	Syaf.g_01532	Pran.g_00925
OG0000012	Syaf.g_01353, Syaf.g_01833, Syaf.g_01462, Syaf.g_01693	Pran.g_01555
OG0000013	Syaf.g_00044, Syaf.g_00061, Syaf.g_00056	Pran.g_01867
OG0000014	Syaf.g_00280	Pran.g_01888
OG0000015	Syaf.g_02120, Syaf.g_02121	Pran.g_01394
OG0000016	Syaf.g_01713	Pran.g_00620
OG0000017	Syaf.g_02561	Pran.g_01580
OG0000018	Syaf.g_02451	Pran.g_00078, Pran.g_01316
OG0000019	Syaf.g_00193	Pran.g_01943, Pran.g_01363
OG0000020	Syaf.g_02187	Pran.g_00117, Pran.g_01804
OG0000021	Syaf.g_01726	Pran.g_01829
OG0000022	Syaf.g_02256	Pran.g_01401, Pran.g_00097
OG0000023	Syaf.g_01765, Syaf.g_01987, Syaf.g_01731, Syaf.g_01995	Pran.g_01834
OG0000024	Syaf.g_01484	Pran.g_01420, Pran.g_01503
OG0000025	Syaf.g_01385	Pran.g_01309, Pran.g_01863
OG0000026	Syaf.g_00461	Pran.g_00930, Pran.g_00393, Pran.g_00168
OG0000027	Syaf.g_02284, Syaf.g_01688	Pran.g_00583
OG0000028	Syaf.g_00297	Pran.g_01874
OG0000029	Syaf.g_01761	Pran.g_01410
OG0000030	Syaf.g_00406, Syaf.g_00407	Pran.g_01170
OG0000031	Syaf.g_01143	Pran.g_00753
OG0000033	Syaf.g_00807	Pran.g_00263
OG0000034	Syaf.g_01241, Syaf.g_00837	Pran.g_00866
OG0000035	Syaf.g_02412	Pran.g_00733
OG0000037	Syaf.g_00899	Pran.g_00324
OG0000038	Syaf.g_00642	Pran.g_01210
OG0000039	Syaf.g_01395	Pran.g_01492
OG0000041	Syaf.g_01171	Pran.g_01016
OG0000042	Syaf.g_00403	Pran.g_01167
OG0000044	Syaf.g_01358, Syaf.g_01992	Pran.g_00949
OG0000045	Syaf.g_00979	Pran.g_01823
OG0000047	Syaf.g_00030	Pran.g_01864
OG0000048	Syaf.g_00230	Pran.g_01772, Pran.g_01820
OG0000050	Syaf.g_01770	Pran.g_01789, Pran.g_00936, Pran.g_00946
OG0000051	Syaf.g_00972	Pran.g_00898, Pran.g_00944
OG0000052	Syaf.g_00335	Pran.g_00777
OG0000053	Syaf.g_02447	Pran.g_00713
OG0000054	Syaf.g_02376	Pran.g_01572
OG0000055	Syaf.g_01402	Pran.g_01362
OG0000057	Syaf.g_01452	Pran.g_01480
OG0000058	Syaf.g_00316	Pran.g_00807
OG0000059	Syaf.g_00143	Pran.g_01056
OG0000060	Syaf.g_01603	Pran.g_01399
OG0000061	Syaf.g_01288	Pran.g_00060
OG0000062	Syaf.g_02167	Pran.g_00655
OG0000063	Syaf.g_00457	Pran.g_00391
OG0000065	Syaf.g_00903	Pran.g_00326
OG0000066	Syaf.g_02643	Pran.g_01639
OG0000067	Syaf.g_02049	Pran.g_01343
OG0000068	Syaf.g_02733	Pran.g_00841
OG0000070	Syaf.g_01237	Pran.g_01727
OG0000071	Syaf.g_01254	Pran.g_00938, Pran.g_00876
OG0000072	Syaf.g_00805	Pran.g_00261
OG0000073	Syaf.g_02700	Pran.g_01679
OG0000075	Syaf.g_00353	Pran.g_01137
OG0000076	Syaf.g_00388	Pran.g_01160
OG0000077	Syaf.g_00951	Pran.g_00354
OG0000078	Syaf.g_02782	Pran.g_00194
OG0000079	Syaf.g_00197	Pran.g_01940
OG0000081	Syaf.g_02776	Pran.g_01647
