Orthogroup	Syaf	Praw
OG0000001	Syaf.g_01640	Praw.g_01000, Praw.g_00500, Praw.g_01739, Praw.g_01951, Praw.g_00497
OG0000004	Syaf.g_01455	Praw.g_01827
OG0000004	Syaf.g_02351, Syaf.g_02794	Praw.g_01203
OG0000005	Syaf.g_01017	Praw.g_00528
OG0000005	Syaf.g_01057	Praw.g_00413
OG0000006	Syaf.g_00179, Syaf.g_02778	Praw.g_01950
OG0000007	Syaf.g_02702	Praw.g_00651
OG0000007	Syaf.g_01033	Praw.g_00515
OG0000008	Syaf.g_01479	Praw.g_00501
OG0000008	Syaf.g_01480	Praw.g_00502
OG0000009	Syaf.g_00905	Praw.g_01330
OG0000010	Syaf.g_02499	Praw.g_01460, Praw.g_00673
OG0000011	Syaf.g_01532	Praw.g_00952
OG0000012	Syaf.g_01353, Syaf.g_01833, Syaf.g_01462, Syaf.g_01693	Praw.g_00159
OG0000013	Syaf.g_00044, Syaf.g_00061, Syaf.g_00056	Praw.g_00807
OG0000014	Syaf.g_00280	Praw.g_00828
OG0000015	Syaf.g_02120, Syaf.g_02121	Praw.g_01738
OG0000016	Syaf.g_01576	Praw.g_01415
OG0000016	Syaf.g_01713	Praw.g_00484
OG0000017	Syaf.g_02561	Praw.g_01944
OG0000018	Syaf.g_02451	Praw.g_00215, Praw.g_01670
OG0000019	Syaf.g_00193	Praw.g_00884, Praw.g_01717
OG0000020	Syaf.g_02187	Praw.g_00181, Praw.g_00483
OG0000021	Syaf.g_01726	Praw.g_00479, Praw.g_00767
OG0000022	Syaf.g_02256	Praw.g_01746, Praw.g_00197
OG0000023	Syaf.g_01765, Syaf.g_01987, Syaf.g_01731, Syaf.g_01995	Praw.g_00772
OG0000024	Syaf.g_01484	Praw.g_01763, Praw.g_01847
OG0000025	Syaf.g_01385	Praw.g_01664, Praw.g_00803
OG0000026	Syaf.g_00461	Praw.g_01397, Praw.g_01453
OG0000027	Syaf.g_02284, Syaf.g_01688	Praw.g_00677, Praw.g_00492, Praw.g_00962
OG0000028	Syaf.g_00297	Praw.g_00814, Praw.g_00334
OG0000029	Syaf.g_01761	Praw.g_01755
OG0000030	Syaf.g_00406, Syaf.g_00407	Praw.g_00029
OG0000031	Syaf.g_01143	Praw.g_01073
OG0000033	Syaf.g_00807	Praw.g_01266
OG0000034	Syaf.g_01241, Syaf.g_00837	Praw.g_00991
OG0000035	Syaf.g_02412	Praw.g_01081, Praw.g_01083
OG0000037	Syaf.g_00899	Praw.g_01326
OG0000038	Syaf.g_00642	Praw.g_01182
OG0000039	Syaf.g_01395	Praw.g_01836
OG0000041	Syaf.g_01171	Praw.g_00562
OG0000042	Syaf.g_00403	Praw.g_00032
OG0000045	Syaf.g_00979	Praw.g_00761
OG0000047	Syaf.g_00030	Praw.g_00804
OG0000048	Syaf.g_00230	Praw.g_00504, Praw.g_00758
OG0000051	Syaf.g_00972	Praw.g_00955, Praw.g_00491
OG0000052	Syaf.g_00335	Praw.g_01071
OG0000053	Syaf.g_02447	Praw.g_00357
OG0000054	Syaf.g_02376	Praw.g_00142
OG0000055	Syaf.g_01402	Praw.g_01716
OG0000057	Syaf.g_01452	Praw.g_01824
OG0000058	Syaf.g_00316	Praw.g_01055
OG0000059	Syaf.g_00143	Praw.g_01894
OG0000060	Syaf.g_01603	Praw.g_01743
OG0000061	Syaf.g_01288	Praw.g_00234
OG0000062	Syaf.g_02167	Praw.g_00415
OG0000063	Syaf.g_00457	Praw.g_01395
OG0000065	Syaf.g_00903	Praw.g_01328
OG0000066	Syaf.g_02643	Praw.g_00609
OG0000067	Syaf.g_02049	Praw.g_01697
OG0000068	Syaf.g_02733	Praw.g_01016
OG0000070	Syaf.g_01237	Praw.g_00697
OG0000071	Syaf.g_01254	Praw.g_00981
OG0000072	Syaf.g_00805	Praw.g_01264
OG0000073	Syaf.g_02700	Praw.g_00649
OG0000075	Syaf.g_00353	Praw.g_00064
OG0000076	Syaf.g_00388	Praw.g_00039
OG0000077	Syaf.g_00951	Praw.g_01356
OG0000078	Syaf.g_02782	Praw.g_01196
OG0000081	Syaf.g_02776	Praw.g_00617
OG0000082	Syaf.g_02576	Praw.g_01932
OG0000084	Syaf.g_02409	Praw.g_01087
OG0000085	Syaf.g_01048	Praw.g_00508
OG0000086	Syaf.g_00932	Praw.g_01346
OG0000087	Syaf.g_00848	Praw.g_01296
OG0000088	Syaf.g_00811	Praw.g_01269
OG0000089	Syaf.g_02807	Praw.g_00776
OG0000090	Syaf.g_02654	Praw.g_00615
OG0000091	Syaf.g_02302	Praw.g_01880
OG0000094	Syaf.g_01940	Praw.g_01486
OG0000097	Syaf.g_01574	Praw.g_00275
OG0000098	Syaf.g_01637	Praw.g_00997
OG0000099	Syaf.g_00312	Praw.g_01051
OG0000100	Syaf.g_02017	Praw.g_00411
OG0000101	Syaf.g_00093	Praw.g_00096
OG0000102	Syaf.g_00393	Praw.g_00034
OG0000103	Syaf.g_00520	Praw.g_01148
OG0000104	Syaf.g_00502	Praw.g_01140
OG0000105	Syaf.g_00235	Praw.g_00860
OG0000106	Syaf.g_01745	Praw.g_00762
OG0000107	Syaf.g_00177	Praw.g_00748
OG0000108	Syaf.g_02721	Praw.g_00667
OG0000109	Syaf.g_02706	Praw.g_00654
OG0000110	Syaf.g_02589	Praw.g_01922
OG0000112	Syaf.g_01852	Praw.g_01732
OG0000113	Syaf.g_02022	Praw.g_01675
OG0000114	Syaf.g_02103	Praw.g_01597
OG0000115	Syaf.g_02445	Praw.g_00178
OG0000116	Syaf.g_01276	Praw.g_00224
OG0000117	Syaf.g_01605	Praw.g_00926
OG0000118	Syaf.g_02544	Praw.g_00993
OG0000120	Syaf.g_00313	Praw.g_01050
OG0000121	Syaf.g_02419	Praw.g_01078
OG0000123	Syaf.g_00086	Praw.g_00089
OG0000124	Syaf.g_00414	Praw.g_00023
OG0000125	Syaf.g_00640	Praw.g_01180
OG0000126	Syaf.g_00504	Praw.g_01141
OG0000128	Syaf.g_00486	Praw.g_01125
OG0000129	Syaf.g_00651	Praw.g_01384
OG0000130	Syaf.g_00963	Praw.g_01365
OG0000131	Syaf.g_00833	Praw.g_01290
OG0000132	Syaf.g_00813	Praw.g_01271
OG0000133	Syaf.g_01857	Praw.g_00812
OG0000134	Syaf.g_02804	Praw.g_00775
OG0000135	Syaf.g_00605	Praw.g_00751
OG0000136	Syaf.g_01224	Praw.g_00706
OG0000137	Syaf.g_02498	Praw.g_00672
OG0000138	Syaf.g_02705	Praw.g_00653
OG0000139	Syaf.g_02648	Praw.g_00611
OG0000140	Syaf.g_02646	Praw.g_00610
OG0000141	Syaf.g_02375	Praw.g_00143
OG0000142	Syaf.g_02310	Praw.g_01887
OG0000143	Syaf.g_02306	Praw.g_01883
OG0000144	Syaf.g_01735	Praw.g_01870
OG0000145	Syaf.g_02699	Praw.g_01745
OG0000146	Syaf.g_01851	Praw.g_01731
OG0000147	Syaf.g_01850	Praw.g_01730
OG0000148	Syaf.g_02028	Praw.g_01681
OG0000149	Syaf.g_01371	Praw.g_01652
OG0000150	Syaf.g_02645	Praw.g_01644
OG0000151	Syaf.g_02091	Praw.g_01587
OG0000152	Syaf.g_01861	Praw.g_01539
OG0000153	Syaf.g_01904	Praw.g_01520
OG0000154	Syaf.g_01930	Praw.g_01493
OG0000155	Syaf.g_01324	Praw.g_00254
OG0000156	Syaf.g_01270	Praw.g_00968
OG0000157	Syaf.g_01269	Praw.g_00969
OG0000158	Syaf.g_00364	Praw.g_01052
OG0000160	Syaf.g_02418	Praw.g_01079, Praw.g_01080
OG0000161	Syaf.g_02424	Praw.g_00344
OG0000162	Syaf.g_02431	Praw.g_00350
OG0000163	Syaf.g_01105	Praw.g_00384
OG0000164	Syaf.g_00999	Praw.g_00539
OG0000165	Syaf.g_01197	Praw.g_00546
OG0000166	Syaf.g_00133	Praw.g_00132
OG0000167	Syaf.g_00350	Praw.g_00066
OG0000168	Syaf.g_00365	Praw.g_00056
OG0000169	Syaf.g_00376	Praw.g_00046
OG0000170	Syaf.g_00383	Praw.g_00044
OG0000171	Syaf.g_00413	Praw.g_00024
OG0000172	Syaf.g_00419	Praw.g_00016
