Orthogroup	Syaf	Prba
OG0000001	Syaf.g_01640	Prba.g_00211, Prba.g_01081, Prba.g_01080
OG0000004	Syaf.g_01455	Prba.g_01622
OG0000004	Syaf.g_02351, Syaf.g_02794	Prba.g_00451
OG0000005	Syaf.g_01017	Prba.g_00607
OG0000005	Syaf.g_01057	Prba.g_00312
OG0000006	Syaf.g_00179, Syaf.g_02778	Prba.g_00460
OG0000007	Syaf.g_02702	Prba.g_00964
OG0000007	Syaf.g_01033	Prba.g_00226
OG0000008	Syaf.g_01479	Prba.g_01131
OG0000009	Syaf.g_00905	Prba.g_01893
OG0000010	Syaf.g_02499	Prba.g_01256, Prba.g_00987
OG0000011	Syaf.g_01532	Prba.g_00900, Prba.g_01165
OG0000012	Syaf.g_01353, Syaf.g_01833, Syaf.g_01462, Syaf.g_01693	Prba.g_01694
OG0000013	Syaf.g_00044, Syaf.g_00061, Syaf.g_00056	Prba.g_00543
OG0000014	Syaf.g_00280	Prba.g_00522
OG0000015	Syaf.g_02120, Syaf.g_02121	Prba.g_01538
OG0000016	Syaf.g_00484	Prba.g_01806
OG0000017	Syaf.g_02561	Prba.g_01719
OG0000018	Syaf.g_02451	Prba.g_00083, Prba.g_01472
OG0000019	Syaf.g_00193	Prba.g_00468, Prba.g_01519
OG0000020	Syaf.g_02187	Prba.g_00737
OG0000021	Syaf.g_01726	Prba.g_00245, Prba.g_00858
OG0000022	Syaf.g_02256	Prba.g_01543, Prba.g_00101
OG0000023	Syaf.g_01765, Syaf.g_01987, Syaf.g_01731, Syaf.g_01995	Prba.g_00854
OG0000024	Syaf.g_01484	Prba.g_01558, Prba.g_01642
OG0000025	Syaf.g_01385	Prba.g_01464, Prba.g_00547
OG0000026	Syaf.g_00461	Prba.g_01824, Prba.g_01249
OG0000027	Syaf.g_02284, Syaf.g_01688	Prba.g_00991, Prba.g_01175
OG0000028	Syaf.g_00297	Prba.g_00536, Prba.g_01126
OG0000029	Syaf.g_01761	Prba.g_00869, Prba.g_01551
OG0000030	Syaf.g_00406, Syaf.g_00407	Prba.g_00778
OG0000031	Syaf.g_01143	Prba.g_00173
OG0000033	Syaf.g_00807	Prba.g_00625
OG0000034	Syaf.g_01241, Syaf.g_00837	Prba.g_01202
OG0000035	Syaf.g_02412	Prba.g_00713
OG0000037	Syaf.g_00899	Prba.g_01897
OG0000038	Syaf.g_00642	Prba.g_00819
OG0000039	Syaf.g_01395	Prba.g_01631
OG0000042	Syaf.g_00403	Prba.g_00775
OG0000043	Syaf.g_01747	Prba.g_01138
OG0000044	Syaf.g_01358, Syaf.g_01992	Prba.g_00002
OG0000045	Syaf.g_00979	Prba.g_00865
OG0000047	Syaf.g_00030	Prba.g_00913, Prba.g_00546
OG0000048	Syaf.g_00230	Prba.g_00868
OG0000050	Syaf.g_01770	Prba.g_00899
OG0000051	Syaf.g_00972	Prba.g_01168
OG0000052	Syaf.g_00335	Prba.g_00160
OG0000053	Syaf.g_02447	Prba.g_00693
OG0000054	Syaf.g_02376	Prba.g_01711
OG0000055	Syaf.g_01402	Prba.g_01518
OG0000057	Syaf.g_01452	Prba.g_01619
OG0000058	Syaf.g_00316	Prba.g_00153
OG0000059	Syaf.g_00143	Prba.g_00381, Prba.g_00127
OG0000061	Syaf.g_01288	Prba.g_00064
OG0000062	Syaf.g_02167	Prba.g_00310
OG0000063	Syaf.g_00457	Prba.g_01826
OG0000065	Syaf.g_00903	Prba.g_01895
OG0000066	Syaf.g_02643	Prba.g_00922
OG0000067	Syaf.g_02049	Prba.g_01499
OG0000068	Syaf.g_02733	Prba.g_00196
OG0000070	Syaf.g_01237	Prba.g_01011
OG0000071	Syaf.g_01254	Prba.g_01192
OG0000072	Syaf.g_00805	Prba.g_00627
OG0000073	Syaf.g_02700	Prba.g_00962
OG0000075	Syaf.g_00353	Prba.g_01071
OG0000076	Syaf.g_00388	Prba.g_00768
OG0000077	Syaf.g_00951	Prba.g_01866
OG0000078	Syaf.g_02782	Prba.g_00458
OG0000079	Syaf.g_00197	Prba.g_00471
OG0000081	Syaf.g_02776	Prba.g_00930
OG0000082	Syaf.g_02576	Prba.g_01731
OG0000084	Syaf.g_02409	Prba.g_00717
OG0000085	Syaf.g_01048	Prba.g_00233
OG0000086	Syaf.g_00932	Prba.g_01876
OG0000087	Syaf.g_00848	Prba.g_01927
OG0000088	Syaf.g_00811	Prba.g_00622
OG0000089	Syaf.g_02807	Prba.g_00850
OG0000090	Syaf.g_02654	Prba.g_00928
OG0000091	Syaf.g_02302	Prba.g_01675
OG0000094	Syaf.g_01940	Prba.g_01283
OG0000097	Syaf.g_01574	Prba.g_00022
OG0000098	Syaf.g_01637	Prba.g_00214
OG0000099	Syaf.g_00312	Prba.g_00155
OG0000100	Syaf.g_02017	Prba.g_00314
OG0000101	Syaf.g_00093	Prba.g_00429
OG0000102	Syaf.g_00393	Prba.g_00773
OG0000103	Syaf.g_00520	Prba.g_01781
OG0000104	Syaf.g_00502	Prba.g_01789
OG0000105	Syaf.g_00235	Prba.g_00491
OG0000106	Syaf.g_01745	Prba.g_00864
OG0000107	Syaf.g_00177	Prba.g_00880
OG0000108	Syaf.g_02721	Prba.g_00981
OG0000109	Syaf.g_02706	Prba.g_00967
OG0000110	Syaf.g_02589	Prba.g_01741
OG0000112	Syaf.g_01852	Prba.g_01534
OG0000113	Syaf.g_02022	Prba.g_01477
OG0000114	Syaf.g_02103	Prba.g_01395
OG0000115	Syaf.g_02445	Prba.g_00743
OG0000116	Syaf.g_01276	Prba.g_00074
OG0000117	Syaf.g_01605	Prba.g_01135
OG0000118	Syaf.g_02544	Prba.g_01204
OG0000120	Syaf.g_00313	Prba.g_00175
OG0000121	Syaf.g_02419	Prba.g_00711
OG0000123	Syaf.g_00086	Prba.g_00436
