Orthogroup	Syaf	Syaq
OG0000001	Syaf.g_00846	Syaq.g_00118, Syaq.g_01435, Syaq.g_00115
OG0000001	Syaf.g_00845	Syaq.g_01434
OG0000001	Syaf.g_01634	Syaq.g_02178, Syaq.g_02413
OG0000004	Syaf.g_01455	Syaq.g_02603
OG0000004	Syaf.g_02351	Syaq.g_02042
OG0000004	Syaf.g_02794	Syaq.g_01567
OG0000005	Syaf.g_01017	Syaq.g_01658
OG0000005	Syaf.g_01057	Syaq.g_01692
OG0000005	Syaf.g_01352, Syaf.g_01732	Syaq.g_00236
OG0000006	Syaf.g_00179, Syaf.g_02778	Syaq.g_00696, Syaq.g_01590
OG0000006	Syaf.g_02288	Syaq.g_02108
OG0000007	Syaf.g_02702	Syaq.g_01793
OG0000007	Syaf.g_01033	Syaq.g_01673
OG0000008	Syaf.g_01479	Syaq.g_02162
OG0000008	Syaf.g_01480	Syaq.g_02575
OG0000009	Syaf.g_00905	Syaq.g_01489
OG0000010	Syaf.g_02499	Syaq.g_00443
OG0000011	Syaf.g_01532, Syaf.g_01483	Syaq.g_01038
OG0000013	Syaf.g_00044, Syaf.g_00061, Syaf.g_00056	Syaq.g_00569, Syaq.g_00572, Syaq.g_02023
OG0000014	Syaf.g_00280	Syaq.g_00862
OG0000015	Syaf.g_02120, Syaf.g_02121	Syaq.g_02255
OG0000016	Syaf.g_00484	Syaq.g_01136
OG0000016	Syaf.g_01576	Syaq.g_00169
OG0000017	Syaf.g_02554	Syaq.g_01999
OG0000017	Syaf.g_02561	Syaq.g_01992
OG0000018	Syaf.g_02451	Syaq.g_00401
OG0000019	Syaf.g_00193	Syaq.g_00717
OG0000022	Syaf.g_02256	Syaq.g_02126
OG0000023	Syaf.g_01765, Syaf.g_01987, Syaf.g_01731, Syaf.g_01995	Syaq.g_02540
OG0000025	Syaf.g_01385	Syaq.g_02381
OG0000026	Syaf.g_00461	Syaq.g_01114
OG0000028	Syaf.g_00297	Syaq.g_00878
OG0000030	Syaf.g_00406	Syaq.g_01047
OG0000030	Syaf.g_00407	Syaq.g_01048
OG0000031	Syaf.g_00314, Syaf.g_01143	Syaq.g_01009
OG0000032	Syaf.g_02471	Syaq.g_00421
OG0000033	Syaf.g_00807	Syaq.g_01399
OG0000034	Syaf.g_01241, Syaf.g_00837	Syaq.g_00312, Syaq.g_01431
OG0000035	Syaf.g_02412	Syaq.g_00372
OG0000037	Syaf.g_00899	Syaq.g_01483
OG0000038	Syaf.g_00642	Syaq.g_01260
OG0000041	Syaf.g_01414	Syaq.g_02688
OG0000042	Syaf.g_00403	Syaq.g_00200, Syaq.g_01044
OG0000043	Syaf.g_01747	Syaq.g_01920
OG0000044	Syaf.g_01400	Syaq.g_02701
OG0000045	Syaf.g_00979	Syaq.g_02047
OG0000048	Syaf.g_00230	Syaq.g_00749
OG0000052	Syaf.g_00335	Syaq.g_00969
OG0000053	Syaf.g_02447	Syaq.g_00397
OG0000054	Syaf.g_02376	Syaq.g_02005
OG0000055	Syaf.g_01402	Syaq.g_02700
OG0000057	Syaf.g_01665	Syaq.g_02541
OG0000057	Syaf.g_01452	Syaq.g_02605
OG0000058	Syaf.g_00316	Syaq.g_00944
OG0000059	Syaf.g_00143	Syaq.g_00657
OG0000060	Syaf.g_02515	Syaq.g_00456
OG0000060	Syaf.g_02726	Syaq.g_01770
OG0000060	Syaf.g_01603	Syaq.g_00201
OG0000061	Syaf.g_01288	Syaq.g_00249
OG0000062	Syaf.g_01055	Syaq.g_01690
OG0000063	Syaf.g_00457	Syaq.g_01110
OG0000066	Syaf.g_02643	Syaq.g_01851
OG0000067	Syaf.g_02049	Syaq.g_02340
OG0000068	Syaf.g_02733	Syaq.g_01763
OG0000070	Syaf.g_01237	Syaq.g_00484
OG0000071	Syaf.g_01254	Syaq.g_00297
OG0000072	Syaf.g_00805	Syaq.g_01397
OG0000073	Syaf.g_02700	Syaq.g_01795
OG0000075	Syaf.g_00353	Syaq.g_00986
OG0000076	Syaf.g_00388	Syaq.g_01028
OG0000077	Syaf.g_00951	Syaq.g_01547
OG0000078	Syaf.g_02782	Syaq.g_01585
OG0000079	Syaf.g_00197	Syaq.g_00721
OG0000081	Syaf.g_02776	Syaq.g_01893
OG0000082	Syaf.g_02576	Syaq.g_01975
OG0000084	Syaf.g_02409	Syaq.g_00367
OG0000085	Syaf.g_01048	Syaq.g_01683
OG0000086	Syaf.g_00932	Syaq.g_01525
OG0000087	Syaf.g_00848	Syaq.g_01438
OG0000088	Syaf.g_00811	Syaq.g_01402
OG0000089	Syaf.g_02807	Syaq.g_00529
OG0000090	Syaf.g_02654	Syaq.g_01838
OG0000091	Syaf.g_02302	Syaq.g_02090
OG0000093	Syaf.g_02065	Syaq.g_02323
OG0000094	Syaf.g_01940	Syaq.g_00056
OG0000095	Syaf.g_01442	Syaq.g_02679
OG0000097	Syaf.g_01574	Syaq.g_00167
OG0000098	Syaf.g_01637	Syaq.g_02221
OG0000099	Syaf.g_00312	Syaq.g_00882
OG0000100	Syaf.g_02017	Syaq.g_02371
OG0000101	Syaf.g_00093	Syaq.g_00607
OG0000102	Syaf.g_00393	Syaq.g_01033
OG0000103	Syaf.g_00520	Syaq.g_01170
OG0000104	Syaf.g_00502	Syaq.g_01154
OG0000105	Syaf.g_00235	Syaq.g_00754
OG0000106	Syaf.g_01745	Syaq.g_01863
OG0000107	Syaf.g_00758	Syaq.g_00694
OG0000108	Syaf.g_02721	Syaq.g_01772
OG0000109	Syaf.g_02706	Syaq.g_01788
OG0000110	Syaf.g_02589	Syaq.g_01962
OG0000112	Syaf.g_01852	Syaq.g_02476
OG0000114	Syaf.g_02103	Syaq.g_02269
OG0000115	Syaf.g_02445	Syaq.g_00395
OG0000116	Syaf.g_01276	Syaq.g_00263
OG0000117	Syaf.g_01605	Syaq.g_00203
OG0000118	Syaf.g_02544	Syaq.g_00325, Syaq.g_00316
OG0000120	Syaf.g_00313	Syaq.g_00883
OG0000121	Syaf.g_02419	Syaq.g_00375
OG0000123	Syaf.g_00086	Syaq.g_00599
OG0000124	Syaf.g_00414	Syaq.g_01055
OG0000125	Syaf.g_00640	Syaq.g_01256
OG0000126	Syaf.g_00504	Syaq.g_01156
OG0000128	Syaf.g_00486	Syaq.g_01138
OG0000129	Syaf.g_00651	Syaq.g_01269
OG0000130	Syaf.g_00963	Syaq.g_01559
OG0000131	Syaf.g_00833	Syaq.g_01427, Syaq.g_01424
OG0000132	Syaf.g_00813	Syaq.g_01036, Syaq.g_01404
OG0000133	Syaf.g_01857	Syaq.g_02481
OG0000134	Syaf.g_02804	Syaq.g_00526
OG0000135	Syaf.g_00605	Syaq.g_01227
OG0000136	Syaf.g_01224	Syaq.g_00496
OG0000137	Syaf.g_02498	Syaq.g_00442
OG0000138	Syaf.g_02705	Syaq.g_01789
OG0000139	Syaf.g_02648	Syaq.g_01844
OG0000140	Syaf.g_02646	Syaq.g_01848
OG0000141	Syaf.g_02375	Syaq.g_02010
OG0000142	Syaf.g_02310	Syaq.g_02082
OG0000143	Syaf.g_02306	Syaq.g_02086
OG0000144	Syaf.g_01735	Syaq.g_02152
OG0000145	Syaf.g_02699	Syaq.g_01796
OG0000146	Syaf.g_01851	Syaq.g_02475
OG0000147	Syaf.g_01850	Syaq.g_02474
OG0000148	Syaf.g_02028	Syaq.g_02359
OG0000149	Syaf.g_01371	Syaq.g_02395
OG0000150	Syaf.g_02645	Syaq.g_02011
OG0000151	Syaf.g_02091	Syaq.g_02283
OG0000152	Syaf.g_01861	Syaq.g_02485
OG0000153	Syaf.g_01904	Syaq.g_02518
OG0000154	Syaf.g_01930	Syaq.g_00066
OG0000155	Syaf.g_01324	Syaq.g_00212
OG0000156	Syaf.g_01270	Syaq.g_00281
OG0000157	Syaf.g_01269	Syaq.g_00282
OG0000158	Syaf.g_00364	Syaq.g_01003
OG0000160	Syaf.g_02418	Syaq.g_00374
OG0000161	Syaf.g_02424	Syaq.g_00382
OG0000162	Syaf.g_02431	Syaq.g_00389
OG0000163	Syaf.g_01105	Syaq.g_01730
OG0000164	Syaf.g_00999	Syaq.g_01642
OG0000165	Syaf.g_01197	Syaq.g_01630
OG0000166	Syaf.g_00133	Syaq.g_00647
OG0000167	Syaf.g_00350	Syaq.g_00983
OG0000168	Syaf.g_00365	Syaq.g_01004
OG0000169	Syaf.g_00376	Syaq.g_01016
OG0000170	Syaf.g_00383	Syaq.g_01023
OG0000171	Syaf.g_00413	Syaq.g_01052
OG0000172	Syaf.g_00419	Syaq.g_01074
OG0000173	Syaf.g_00438	Syaq.g_01092
OG0000174	Syaf.g_00603	Syaq.g_01224
OG0000175	Syaf.g_00531	Syaq.g_01183
OG0000176	Syaf.g_00494	Syaq.g_01146
OG0000177	Syaf.g_00493	Syaq.g_01145
OG0000178	Syaf.g_00492	Syaq.g_01144
OG0000179	Syaf.g_00477	Syaq.g_01129
OG0000180	Syaf.g_00476	Syaq.g_01128
OG0000181	Syaf.g_00475	Syaq.g_01127
OG0000182	Syaf.g_00474	Syaq.g_01126
OG0000183	Syaf.g_00470	Syaq.g_01122
OG0000184	Syaf.g_00664	Syaq.g_01277
OG0000185	Syaf.g_00684	Syaq.g_01290
OG0000186	Syaf.g_00968	Syaq.g_01563
OG0000187	Syaf.g_00966	Syaq.g_01561
OG0000188	Syaf.g_00944	Syaq.g_01539
OG0000189	Syaf.g_00916	Syaq.g_01499
OG0000190	Syaf.g_00914	Syaq.g_01497
OG0000191	Syaf.g_00877	Syaq.g_01467
OG0000192	Syaf.g_00871	Syaq.g_01462
OG0000193	Syaf.g_00832	Syaq.g_01423
OG0000194	Syaf.g_00829	Syaq.g_01420
OG0000195	Syaf.g_00827	Syaq.g_01418
OG0000196	Syaf.g_00816	Syaq.g_01407
OG0000197	Syaf.g_00815	Syaq.g_01406
OG0000198	Syaf.g_00814	Syaq.g_01405
OG0000199	Syaf.g_00806	Syaq.g_01398
OG0000200	Syaf.g_00789	Syaq.g_01382
OG0000202	Syaf.g_00770	Syaq.g_01364
OG0000203	Syaf.g_00769	Syaq.g_01363
OG0000204	Syaf.g_00768	Syaq.g_01362
OG0000205	Syaf.g_00761	Syaq.g_01355
OG0000206	Syaf.g_00736	Syaq.g_01345
OG0000207	Syaf.g_00735	Syaq.g_01338
OG0000208	Syaf.g_00734	Syaq.g_01337
OG0000209	Syaf.g_00714	Syaq.g_01310
OG0000210	Syaf.g_00713	Syaq.g_01309
OG0000211	Syaf.g_02791	Syaq.g_01570
OG0000212	Syaf.g_02781	Syaq.g_01586
OG0000213	Syaf.g_00210	Syaq.g_00729
OG0000214	Syaf.g_00226	Syaq.g_00745
OG0000215	Syaf.g_00258	Syaq.g_00777
OG0000216	Syaf.g_00262	Syaq.g_00781
OG0000217	Syaf.g_00266	Syaq.g_00844
OG0000218	Syaf.g_00268	Syaq.g_00846
OG0000219	Syaf.g_00269	Syaq.g_00847
OG0000220	Syaf.g_00270	Syaq.g_00848
OG0000221	Syaf.g_00273	Syaq.g_00856
OG0000222	Syaf.g_00287	Syaq.g_00868
OG0000223	Syaf.g_00317	Syaq.g_00946
OG0000224	Syaf.g_00324	Syaq.g_00950
OG0000225	Syaf.g_00007	Syaq.g_00543
OG0000226	Syaf.g_00003	Syaq.g_00536
OG0000227	Syaf.g_00001	Syaq.g_00534
OG0000228	Syaf.g_02808	Syaq.g_00531
OG0000229	Syaf.g_01214	Syaq.g_00501
OG0000230	Syaf.g_01216	Syaq.g_00499
OG0000231	Syaf.g_01236	Syaq.g_00485
OG0000232	Syaf.g_02536	Syaq.g_00472
OG0000233	Syaf.g_02528	Syaq.g_00464
OG0000234	Syaf.g_02497	Syaq.g_00440
OG0000235	Syaf.g_02722	Syaq.g_01771
OG0000236	Syaf.g_02707	Syaq.g_01787
OG0000237	Syaf.g_02690	Syaq.g_01805
OG0000238	Syaf.g_02685	Syaq.g_01810
OG0000239	Syaf.g_02669	Syaq.g_01826
OG0000240	Syaf.g_02668	Syaq.g_01827
OG0000241	Syaf.g_02322	Syaq.g_02074
OG0000242	Syaf.g_02656	Syaq.g_01836
OG0000243	Syaf.g_02634	Syaq.g_01922
OG0000244	Syaf.g_02627	Syaq.g_01928
OG0000245	Syaf.g_02625	Syaq.g_01930
OG0000246	Syaf.g_02621	Syaq.g_01934
OG0000247	Syaf.g_02610	Syaq.g_01945
OG0000248	Syaf.g_02607	Syaq.g_01948
OG0000249	Syaf.g_02605	Syaq.g_01950
OG0000250	Syaf.g_02593	Syaq.g_01958
OG0000251	Syaf.g_02568	Syaq.g_01984
OG0000252	Syaf.g_02565	Syaq.g_01987
OG0000253	Syaf.g_02564	Syaq.g_01989
OG0000254	Syaf.g_02371	Syaq.g_02016
OG0000255	Syaf.g_02352	Syaq.g_02041
OG0000256	Syaf.g_02329	Syaq.g_02068
OG0000257	Syaf.g_02323	Syaq.g_02073
OG0000258	Syaf.g_02301	Syaq.g_02095
OG0000259	Syaf.g_02137	Syaq.g_02239
OG0000260	Syaf.g_02134	Syaq.g_02242
OG0000261	Syaf.g_02131	Syaq.g_02245
OG0000262	Syaf.g_02126	Syaq.g_02250
OG0000263	Syaf.g_01585	Syaq.g_00185
OG0000264	Syaf.g_01473	Syaq.g_02582
OG0000266	Syaf.g_01967	Syaq.g_00037
OG0000267	Syaf.g_01787	Syaq.g_02430
OG0000268	Syaf.g_00307, Syaf.g_01788	Syaq.g_02431
OG0000269	Syaf.g_02054	Syaq.g_02335
OG0000270	Syaf.g_02051	Syaq.g_02338
OG0000271	Syaf.g_02043	Syaq.g_02346
OG0000272	Syaf.g_02042	Syaq.g_02347
OG0000273	Syaf.g_01392	Syaq.g_02376
OG0000274	Syaf.g_01391	Syaq.g_02377
OG0000275	Syaf.g_01386	Syaq.g_02380
OG0000276	Syaf.g_01379	Syaq.g_02387
OG0000277	Syaf.g_01378	Syaq.g_02388
OG0000278	Syaf.g_01375	Syaq.g_02391
OG0000279	Syaf.g_01367	Syaq.g_02401
OG0000280	Syaf.g_01337	Syaq.g_02410
OG0000281	Syaf.g_01636	Syaq.g_02224
OG0000282	Syaf.g_02101	Syaq.g_02271
OG0000283	Syaf.g_01804	Syaq.g_02445
OG0000284	Syaf.g_01810	Syaq.g_02450
OG0000285	Syaf.g_01842	Syaq.g_02466
OG0000286	Syaf.g_01860	Syaq.g_02484
OG0000287	Syaf.g_01896	Syaq.g_02511
OG0000288	Syaf.g_01929	Syaq.g_00067
OG0000289	Syaf.g_01943	Syaq.g_00053
OG0000290	Syaf.g_01439	Syaq.g_02682
OG0000291	Syaf.g_01441	Syaq.g_02680
OG0000292	Syaf.g_00505	Syaq.g_01157
OG0000293	Syaf.g_01277	Syaq.g_00262
OG0000294	Syaf.g_01278	Syaq.g_00261
OG0000295	Syaf.g_01316	Syaq.g_00220
OG0000296	Syaf.g_01318	Syaq.g_00218
OG0000297	Syaf.g_01607	Syaq.g_00205
OG0000298	Syaf.g_01606	Syaq.g_00204
OG0000299	Syaf.g_01578	Syaq.g_00171
OG0000300	Syaf.g_01571	Syaq.g_00164
OG0000301	Syaf.g_01570	Syaq.g_00163
OG0000302	Syaf.g_01568	Syaq.g_00162
OG0000303	Syaf.g_01559	Syaq.g_00152
OG0000304	Syaf.g_01551	Syaq.g_00146
OG0000305	Syaf.g_01444	Syaq.g_02677
OG0000306	Syaf.g_01332	Syaq.g_01861
OG0000307	Syaf.g_02742	Syaq.g_01754
OG0000308	Syaf.g_02744	Syaq.g_01752
OG0000309	Syaf.g_02749	Syaq.g_01747
OG0000310	Syaf.g_02387	Syaq.g_00347
OG0000311	Syaf.g_02391	Syaq.g_00352
OG0000312	Syaf.g_02397	Syaq.g_00359
OG0000313	Syaf.g_02421	Syaq.g_00379
OG0000314	Syaf.g_02458	Syaq.g_00408
OG0000315	Syaf.g_02468	Syaq.g_00418
OG0000316	Syaf.g_01088	Syaq.g_01716
OG0000317	Syaf.g_01040	Syaq.g_01675
OG0000318	Syaf.g_01032	Syaq.g_01672
OG0000319	Syaf.g_01015	Syaq.g_01657
OG0000320	Syaf.g_01013	Syaq.g_01655
OG0000321	Syaf.g_01012	Syaq.g_01654
OG0000322	Syaf.g_01011	Syaq.g_01653
OG0000323	Syaf.g_00997	Syaq.g_01638
OG0000324	Syaf.g_01164	Syaq.g_01605
OG0000325	Syaf.g_00176	Syaq.g_00693
OG0000326	Syaf.g_00169	Syaq.g_00686
OG0000327	Syaf.g_00138	Syaq.g_00652
OG0000328	Syaf.g_00137	Syaq.g_00651
OG0000329	Syaf.g_00119	Syaq.g_00633
OG0000330	Syaf.g_00118	Syaq.g_00632
OG0000331	Syaf.g_00117	Syaq.g_00631
OG0000332	Syaf.g_00102	Syaq.g_00616
OG0000333	Syaf.g_00099	Syaq.g_00613
OG0000334	Syaf.g_00090	Syaq.g_00603
OG0000335	Syaf.g_00085	Syaq.g_00598
OG0000336	Syaf.g_00081	Syaq.g_00594
OG0000337	Syaf.g_00344	Syaq.g_00975
OG0000338	Syaf.g_00348	Syaq.g_00981
OG0000339	Syaf.g_00355	Syaq.g_00988
OG0000340	Syaf.g_00366	Syaq.g_01005
OG0000341	Syaf.g_00368	Syaq.g_01007
OG0000342	Syaf.g_00369	Syaq.g_01008
OG0000343	Syaf.g_00370	Syaq.g_01010
OG0000344	Syaf.g_00374	Syaq.g_01014
OG0000345	Syaf.g_00384	Syaq.g_01024
OG0000346	Syaf.g_00389	Syaq.g_01029
OG0000347	Syaf.g_00415	Syaq.g_01057
OG0000348	Syaf.g_00427	Syaq.g_01070
OG0000349	Syaf.g_00445	Syaq.g_01099
OG0000350	Syaf.g_00162	Syaq.g_00679
OG0000351	Syaf.g_00528	Syaq.g_01179
OG0000352	Syaf.g_00527	Syaq.g_01178
OG0000353	Syaf.g_00499	Syaq.g_01151
OG0000354	Syaf.g_02680	Syaq.g_01816
OG0000354	Syaf.g_00479	Syaq.g_01131
OG0000355	Syaf.g_00497	Syaq.g_01149
OG0000356	Syaf.g_00496	Syaq.g_01148
OG0000357	Syaf.g_00495	Syaq.g_01147
OG0000358	Syaf.g_00491	Syaq.g_01143
OG0000359	Syaf.g_00489	Syaq.g_01141
OG0000360	Syaf.g_00488	Syaq.g_01140
OG0000361	Syaf.g_00487	Syaq.g_01139
OG0000362	Syaf.g_00485	Syaq.g_01137
OG0000363	Syaf.g_00483	Syaq.g_01135
OG0000364	Syaf.g_00482	Syaq.g_01134
OG0000365	Syaf.g_00473	Syaq.g_01125
OG0000366	Syaf.g_00472	Syaq.g_01124
OG0000367	Syaf.g_00471	Syaq.g_01123
OG0000368	Syaf.g_00469	Syaq.g_01121
OG0000369	Syaf.g_00468	Syaq.g_01120
OG0000370	Syaf.g_00467	Syaq.g_01119
OG0000371	Syaf.g_00458	Syaq.g_01111
OG0000372	Syaf.g_00453	Syaq.g_01106
OG0000373	Syaf.g_00452	Syaq.g_01105
OG0000374	Syaf.g_00451	Syaq.g_01104
OG0000375	Syaf.g_00449	Syaq.g_01103
OG0000376	Syaf.g_00447	Syaq.g_01101
OG0000377	Syaf.g_00654	Syaq.g_01270
OG0000378	Syaf.g_00668	Syaq.g_01286
OG0000379	Syaf.g_00686	Syaq.g_01291
OG0000380	Syaf.g_00965	Syaq.g_01560
OG0000381	Syaf.g_00962	Syaq.g_01558
OG0000382	Syaf.g_00945	Syaq.g_01540
OG0000383	Syaf.g_00941	Syaq.g_01535
OG0000384	Syaf.g_00940	Syaq.g_01534
OG0000385	Syaf.g_00939	Syaq.g_01533
OG0000386	Syaf.g_00938	Syaq.g_01532
OG0000387	Syaf.g_00912	Syaq.g_01495
OG0000388	Syaf.g_00908	Syaq.g_01491
OG0000389	Syaf.g_00904	Syaq.g_01488
OG0000390	Syaf.g_00883	Syaq.g_01473
OG0000391	Syaf.g_00878	Syaq.g_01468
OG0000392	Syaf.g_00872	Syaq.g_01463
OG0000393	Syaf.g_00870	Syaq.g_01460
OG0000394	Syaf.g_00869	Syaq.g_01459
OG0000395	Syaf.g_00868	Syaq.g_01458
OG0000396	Syaf.g_00865	Syaq.g_01455
OG0000397	Syaf.g_00863	Syaq.g_01453
OG0000398	Syaf.g_00858	Syaq.g_01448
OG0000399	Syaf.g_00857	Syaq.g_01447
OG0000400	Syaf.g_00856	Syaq.g_01446
OG0000401	Syaf.g_00855	Syaq.g_01445
OG0000402	Syaf.g_00852	Syaq.g_01443
OG0000403	Syaf.g_00851	Syaq.g_01442
OG0000404	Syaf.g_00850	Syaq.g_01440
OG0000405	Syaf.g_00835	Syaq.g_01429
OG0000406	Syaf.g_00831	Syaq.g_01422
OG0000407	Syaf.g_00830	Syaq.g_01421
OG0000408	Syaf.g_00828	Syaq.g_01419
OG0000409	Syaf.g_00826	Syaq.g_01417
OG0000410	Syaf.g_00825	Syaq.g_01416
OG0000411	Syaf.g_00824	Syaq.g_01415
OG0000412	Syaf.g_00823	Syaq.g_01414
OG0000413	Syaf.g_00821	Syaq.g_01412
OG0000414	Syaf.g_00820	Syaq.g_01411
OG0000415	Syaf.g_00819	Syaq.g_01410
OG0000416	Syaf.g_00818	Syaq.g_01409
OG0000417	Syaf.g_00817	Syaq.g_01408
OG0000418	Syaf.g_00812	Syaq.g_01403
OG0000419	Syaf.g_00810	Syaq.g_01401
OG0000420	Syaf.g_00808	Syaq.g_01400
OG0000421	Syaf.g_00803	Syaq.g_01395
OG0000422	Syaf.g_00802	Syaq.g_01394
OG0000423	Syaf.g_00801	Syaq.g_01393
OG0000424	Syaf.g_00800	Syaq.g_01392
OG0000425	Syaf.g_00799	Syaq.g_01391
OG0000426	Syaf.g_00798	Syaq.g_01390
OG0000427	Syaf.g_00797	Syaq.g_01389
OG0000428	Syaf.g_00794	Syaq.g_01386
OG0000429	Syaf.g_00792	Syaq.g_01384
OG0000430	Syaf.g_00790	Syaq.g_01383
OG0000431	Syaf.g_00786	Syaq.g_01380
OG0000432	Syaf.g_00779	Syaq.g_01374
OG0000433	Syaf.g_00777	Syaq.g_01369
OG0000434	Syaf.g_00776	Syaq.g_01368
OG0000435	Syaf.g_00772	Syaq.g_01367
OG0000436	Syaf.g_00767	Syaq.g_01361
OG0000437	Syaf.g_00766	Syaq.g_01360
OG0000438	Syaf.g_00765	Syaq.g_01359
OG0000439	Syaf.g_00763	Syaq.g_01357
OG0000440	Syaf.g_00762	Syaq.g_01356
OG0000441	Syaf.g_00756	Syaq.g_01352
OG0000442	Syaf.g_00743	Syaq.g_01350
OG0000443	Syaf.g_00739	Syaq.g_01347
OG0000444	Syaf.g_00733	Syaq.g_01333
OG0000445	Syaf.g_00729	Syaq.g_01332
OG0000446	Syaf.g_00728	Syaq.g_01330
OG0000447	Syaf.g_00725	Syaq.g_01328
OG0000448	Syaf.g_00724	Syaq.g_01327
OG0000449	Syaf.g_00723	Syaq.g_01320
OG0000450	Syaf.g_00717	Syaq.g_01313
OG0000451	Syaf.g_00716	Syaq.g_01312
OG0000452	Syaf.g_00712	Syaq.g_01308
OG0000453	Syaf.g_00711	Syaq.g_01307
OG0000454	Syaf.g_00710	Syaq.g_01306
OG0000455	Syaf.g_00709	Syaq.g_01305
OG0000456	Syaf.g_00708	Syaq.g_01304
