Orthogroup	Syaf	Prau
OG0000001	Syaf.g_01640	Prau.g_01394, Prau.g_01267, Prau.g_01269
OG0000004	Syaf.g_01455	Prau.g_00735
OG0000004	Syaf.g_02351, Syaf.g_02794	Prau.g_00233
OG0000005	Syaf.g_01017	Prau.g_01745
OG0000005	Syaf.g_01057	Prau.g_01607
OG0000006	Syaf.g_00179, Syaf.g_02778	Prau.g_01316
OG0000007	Syaf.g_02702	Prau.g_00538
OG0000007	Syaf.g_01033	Prau.g_01732
OG0000008	Syaf.g_01479	Prau.g_00781
OG0000009	Syaf.g_00905	Prau.g_00106
OG0000010	Syaf.g_02499	Prau.g_01698, Prau.g_01096, Prau.g_00515
OG0000011	Syaf.g_01532	Prau.g_00441
OG0000012	Syaf.g_01353, Syaf.g_01833, Syaf.g_01462, Syaf.g_01693	Prau.g_00663
OG0000013	Syaf.g_00044, Syaf.g_00061, Syaf.g_00056	Prau.g_00329
OG0000014	Syaf.g_00280	Prau.g_00308
OG0000015	Syaf.g_02120, Syaf.g_02121	Prau.g_00817
OG0000016	Syaf.g_00484	Prau.g_00013
OG0000017	Syaf.g_02561	Prau.g_00636
OG0000018	Syaf.g_02451	Prau.g_01188, Prau.g_00881
OG0000019	Syaf.g_00193	Prau.g_00251, Prau.g_00834
OG0000020	Syaf.g_02187	Prau.g_01153, Prau.g_01704
OG0000021	Syaf.g_01726	Prau.g_01680, Prau.g_00367
OG0000022	Syaf.g_02256	Prau.g_00814, Prau.g_01170
OG0000023	Syaf.g_01765, Syaf.g_01987, Syaf.g_01731, Syaf.g_01995	Prau.g_00362
OG0000024	Syaf.g_01484	Prau.g_00796, Prau.g_00715
OG0000025	Syaf.g_01385	Prau.g_00888, Prau.g_00333
OG0000026	Syaf.g_00461	Prau.g_00030, Prau.g_01103
OG0000027	Syaf.g_02284, Syaf.g_01688	Prau.g_01353
OG0000028	Syaf.g_00297	Prau.g_00322, Prau.g_01338
OG0000029	Syaf.g_01761	Prau.g_00378, Prau.g_00804
OG0000030	Syaf.g_00406, Syaf.g_00407	Prau.g_01935
OG0000031	Syaf.g_01143	Prau.g_01431, Prau.g_01469
OG0000033	Syaf.g_00807	Prau.g_00170
OG0000034	Syaf.g_01241, Syaf.g_00837	Prau.g_01381
OG0000035	Syaf.g_02412	Prau.g_01531, Prau.g_01528
OG0000037	Syaf.g_00899	Prau.g_00110
OG0000038	Syaf.g_00642	Prau.g_01976
OG0000039	Syaf.g_01395	Prau.g_00726
OG0000041	Syaf.g_01171	Prau.g_01778
OG0000042	Syaf.g_00403	Prau.g_01932
OG0000043	Syaf.g_01747	Prau.g_01321
OG0000045	Syaf.g_00979	Prau.g_00374
OG0000047	Syaf.g_00030	Prau.g_00414, Prau.g_00332
OG0000048	Syaf.g_00230	Prau.g_00377
OG0000051	Syaf.g_00972	Prau.g_01347, Prau.g_01275, Prau.g_01681
OG0000052	Syaf.g_00335	Prau.g_01489, Prau.g_01448
OG0000053	Syaf.g_02447	Prau.g_00040, Prau.g_01551
OG0000054	Syaf.g_02376	Prau.g_00644
OG0000055	Syaf.g_01402	Prau.g_00835
OG0000057	Syaf.g_01452	Prau.g_00738
OG0000058	Syaf.g_00316	Prau.g_01432, Prau.g_01460
OG0000059	Syaf.g_00143	Prau.g_01818
OG0000061	Syaf.g_01288	Prau.g_01206
OG0000062	Syaf.g_02167	Prau.g_01609
OG0000063	Syaf.g_00457	Prau.g_00032, Prau.g_01295
OG0000065	Syaf.g_00903	Prau.g_00108
OG0000066	Syaf.g_02643	Prau.g_00579
OG0000067	Syaf.g_02049	Prau.g_00854
OG0000068	Syaf.g_02733	Prau.g_01409
OG0000070	Syaf.g_01237	Prau.g_00491
OG0000071	Syaf.g_01254	Prau.g_01371
OG0000072	Syaf.g_00805	Prau.g_00172
OG0000073	Syaf.g_02700	Prau.g_00540
OG0000075	Syaf.g_00353	Prau.g_01901
OG0000076	Syaf.g_00388	Prau.g_00037, Prau.g_01925
OG0000077	Syaf.g_00951	Prau.g_00079
OG0000078	Syaf.g_02782	Prau.g_00240
OG0000079	Syaf.g_00197	Prau.g_00254
OG0000080	Syaf.g_00306	Prau.g_01440
OG0000081	Syaf.g_02776	Prau.g_00571
OG0000082	Syaf.g_02576	Prau.g_00624
OG0000084	Syaf.g_02409	Prau.g_01524
OG0000085	Syaf.g_01048	Prau.g_01725
OG0000086	Syaf.g_00932	Prau.g_00089
OG0000087	Syaf.g_00848	Prau.g_00140
OG0000088	Syaf.g_00811	Prau.g_00167
OG0000089	Syaf.g_02807	Prau.g_00358
OG0000090	Syaf.g_02654	Prau.g_00573
OG0000091	Syaf.g_02302	Prau.g_00682
OG0000094	Syaf.g_01940	Prau.g_01070
OG0000097	Syaf.g_01574	Prau.g_01247
OG0000098	Syaf.g_01637	Prau.g_01391
OG0000099	Syaf.g_00312	Prau.g_01434, Prau.g_01435
OG0000100	Syaf.g_02017	Prau.g_01605
OG0000101	Syaf.g_00093	Prau.g_01869
OG0000102	Syaf.g_00393	Prau.g_01930
OG0000103	Syaf.g_00520	Prau.g_02009
OG0000104	Syaf.g_00502	Prau.g_02018
OG0000105	Syaf.g_00235	Prau.g_00276
OG0000106	Syaf.g_01745	Prau.g_00373
OG0000107	Syaf.g_00177	Prau.g_00389
OG0000108	Syaf.g_02721	Prau.g_00521
OG0000109	Syaf.g_02706	Prau.g_00535
OG0000110	Syaf.g_02589	Prau.g_00614
OG0000112	Syaf.g_01852	Prau.g_00818
OG0000113	Syaf.g_02022	Prau.g_00876
OG0000114	Syaf.g_02103	Prau.g_00956
OG0000115	Syaf.g_02445	Prau.g_01148
OG0000116	Syaf.g_01276	Prau.g_01197
OG0000117	Syaf.g_01605	Prau.g_01318
OG0000118	Syaf.g_02544	Prau.g_01383
OG0000120	Syaf.g_00313	Prau.g_01430
OG0000121	Syaf.g_02419	Prau.g_01533
OG0000123	Syaf.g_00086	Prau.g_01876
OG0000124	Syaf.g_00414	Prau.g_01941
OG0000125	Syaf.g_00640	Prau.g_01978
OG0000126	Syaf.g_00504	Prau.g_02017
OG0000127	Syaf.g_01151	Prau.g_01292
OG0000128	Syaf.g_00486	Prau.g_00011
OG0000129	Syaf.g_00651	Prau.g_00051
OG0000130	Syaf.g_00963	Prau.g_00071
OG0000131	Syaf.g_00833	Prau.g_00146
OG0000132	Syaf.g_00813	Prau.g_00165
OG0000133	Syaf.g_01857	Prau.g_00324
OG0000134	Syaf.g_02804	Prau.g_00359
OG0000135	Syaf.g_00605	Prau.g_00386
OG0000136	Syaf.g_01224	Prau.g_00482
OG0000137	Syaf.g_02498	Prau.g_00516
OG0000138	Syaf.g_02705	Prau.g_00536
OG0000139	Syaf.g_02648	Prau.g_00577
OG0000140	Syaf.g_02646	Prau.g_00578
OG0000141	Syaf.g_02375	Prau.g_00645
OG0000142	Syaf.g_02310	Prau.g_00675
OG0000143	Syaf.g_02306	Prau.g_00679
OG0000144	Syaf.g_01735	Prau.g_00692
OG0000145	Syaf.g_02699	Prau.g_00816
OG0000146	Syaf.g_01851	Prau.g_00819
OG0000147	Syaf.g_01850	Prau.g_00820
OG0000148	Syaf.g_02028	Prau.g_00870
OG0000149	Syaf.g_01371	Prau.g_00900
OG0000150	Syaf.g_02645	Prau.g_00909
OG0000151	Syaf.g_02091	Prau.g_00966
OG0000152	Syaf.g_01861	Prau.g_01015
OG0000153	Syaf.g_01904	Prau.g_01034
OG0000154	Syaf.g_01930	Prau.g_01063
OG0000155	Syaf.g_01324	Prau.g_01226
OG0000156	Syaf.g_01270	Prau.g_01359
OG0000157	Syaf.g_01269	Prau.g_01360
OG0000158	Syaf.g_00364	Prau.g_01436
OG0000160	Syaf.g_02418	Prau.g_01532
OG0000161	Syaf.g_02424	Prau.g_01538
OG0000162	Syaf.g_02431	Prau.g_01544
OG0000163	Syaf.g_01105	Prau.g_01578
OG0000164	Syaf.g_00999	Prau.g_01756
OG0000165	Syaf.g_01197	Prau.g_01763
OG0000166	Syaf.g_00133	Prau.g_01833
OG0000167	Syaf.g_00350	Prau.g_01899
