Orthogroup	Syaf	Prab
OG0000001	Syaf.g_01640	Prab.g_00788, Prab.g_01279, Prab.g_01281
OG0000004	Syaf.g_01455	Prab.g_00700
OG0000004	Syaf.g_02351, Syaf.g_02794	Prab.g_00223
OG0000005	Syaf.g_01017	Prab.g_01682
OG0000005	Syaf.g_01057	Prab.g_01542
OG0000006	Syaf.g_00179, Syaf.g_02778	Prab.g_00231
OG0000007	Syaf.g_02702	Prab.g_00501
OG0000007	Syaf.g_01033	Prab.g_01669
OG0000009	Syaf.g_00905	Prab.g_00096
OG0000010	Syaf.g_02499	Prab.g_01104, Prab.g_00478
OG0000011	Syaf.g_01532	Prab.g_01624
OG0000012	Syaf.g_01353, Syaf.g_01833, Syaf.g_01462, Syaf.g_01693	Prab.g_00627
OG0000013	Syaf.g_00044, Syaf.g_00061, Syaf.g_00056	Prab.g_00315
OG0000014	Syaf.g_00280	Prab.g_00294
OG0000015	Syaf.g_02120, Syaf.g_02121	Prab.g_00789
OG0000016	Syaf.g_00484	Prab.g_00013
OG0000016	Syaf.g_01713	Prab.g_01579
OG0000017	Syaf.g_02561	Prab.g_00602
OG0000018	Syaf.g_02451	Prab.g_01201, Prab.g_00867
OG0000019	Syaf.g_00193	Prab.g_00239, Prab.g_00820
OG0000020	Syaf.g_02187	Prab.g_01162, Prab.g_00379
OG0000021	Syaf.g_01726	Prab.g_00354
OG0000022	Syaf.g_02256	Prab.g_00782, Prab.g_01182
OG0000023	Syaf.g_01765, Syaf.g_01987, Syaf.g_01731, Syaf.g_01995	Prab.g_00348
OG0000024	Syaf.g_01484	Prab.g_00763, Prab.g_00680
OG0000025	Syaf.g_01385	Prab.g_00874, Prab.g_00319
OG0000026	Syaf.g_00461	Prab.g_01629, Prab.g_00031, Prab.g_01111
OG0000027	Syaf.g_02284, Syaf.g_01688	Prab.g_00914, Prab.g_01616
OG0000028	Syaf.g_00297	Prab.g_00308
OG0000029	Syaf.g_01761	Prab.g_00773
OG0000030	Syaf.g_00406, Syaf.g_00407	Prab.g_01867
OG0000031	Syaf.g_01143	Prab.g_01446
OG0000033	Syaf.g_00807	Prab.g_00160
OG0000034	Syaf.g_01241, Syaf.g_00837	Prab.g_01336
OG0000035	Syaf.g_02412	Prab.g_01466
OG0000037	Syaf.g_00899	Prab.g_00100
OG0000038	Syaf.g_00642	Prab.g_01908
OG0000039	Syaf.g_01395	Prab.g_00691
OG0000041	Syaf.g_01171	Prab.g_01715
OG0000042	Syaf.g_00403	Prab.g_01864
OG0000044	Syaf.g_01358, Syaf.g_01992	Prab.g_01648
OG0000045	Syaf.g_00979	Prab.g_00360
OG0000047	Syaf.g_00030	Prab.g_00318
OG0000048	Syaf.g_00230	Prab.g_00411, Prab.g_00363
OG0000050	Syaf.g_01770	Prab.g_00394, Prab.g_01635, Prab.g_01645
OG0000051	Syaf.g_00972	Prab.g_01304, Prab.g_01643
OG0000052	Syaf.g_00335	Prab.g_01423
OG0000053	Syaf.g_02447	Prab.g_01486
OG0000054	Syaf.g_02376	Prab.g_00610
OG0000055	Syaf.g_01402	Prab.g_00821
OG0000057	Syaf.g_01452	Prab.g_00703
OG0000058	Syaf.g_00316	Prab.g_01393
OG0000059	Syaf.g_00143	Prab.g_01754
OG0000060	Syaf.g_01603	Prab.g_00784
OG0000061	Syaf.g_01288	Prab.g_01219
OG0000062	Syaf.g_02167	Prab.g_01544
OG0000063	Syaf.g_00457	Prab.g_00033
OG0000065	Syaf.g_00903	Prab.g_00098
OG0000066	Syaf.g_02643	Prab.g_00543
OG0000067	Syaf.g_02049	Prab.g_00840
OG0000068	Syaf.g_02733	Prab.g_01360
OG0000070	Syaf.g_01237	Prab.g_00456
OG0000071	Syaf.g_01254	Prab.g_01637, Prab.g_01326
OG0000072	Syaf.g_00805	Prab.g_00162
OG0000073	Syaf.g_02700	Prab.g_00503
OG0000075	Syaf.g_00353	Prab.g_01834
OG0000076	Syaf.g_00388	Prab.g_01857
OG0000077	Syaf.g_00951	Prab.g_00070
OG0000078	Syaf.g_02782	Prab.g_00229
OG0000079	Syaf.g_00197	Prab.g_00242
OG0000081	Syaf.g_02776	Prab.g_00535
OG0000082	Syaf.g_02576	Prab.g_00589
OG0000084	Syaf.g_02409	Prab.g_01462
OG0000085	Syaf.g_01048	Prab.g_01662
OG0000086	Syaf.g_00932	Prab.g_00080
OG0000087	Syaf.g_00848	Prab.g_00129
OG0000088	Syaf.g_00811	Prab.g_00157
OG0000089	Syaf.g_02807	Prab.g_00343
OG0000090	Syaf.g_02654	Prab.g_00537
OG0000091	Syaf.g_02302	Prab.g_00647
OG0000093	Syaf.g_01775	Prab.g_01042
OG0000094	Syaf.g_01940	Prab.g_00948
OG0000097	Syaf.g_01574	Prab.g_01260
OG0000098	Syaf.g_01637	Prab.g_01346
OG0000099	Syaf.g_00312	Prab.g_01394
OG0000100	Syaf.g_02017	Prab.g_01540
OG0000101	Syaf.g_00093	Prab.g_01802
OG0000102	Syaf.g_00393	Prab.g_01862
OG0000103	Syaf.g_00520	Prab.g_01942
OG0000104	Syaf.g_00502	Prab.g_01951
OG0000105	Syaf.g_00235	Prab.g_00262
OG0000106	Syaf.g_01745	Prab.g_00359
OG0000107	Syaf.g_00177	Prab.g_00375
OG0000108	Syaf.g_02721	Prab.g_00484
OG0000109	Syaf.g_02706	Prab.g_00498
OG0000110	Syaf.g_02589	Prab.g_00579
OG0000112	Syaf.g_01852	Prab.g_00804
OG0000113	Syaf.g_02022	Prab.g_00862
OG0000114	Syaf.g_02103	Prab.g_01068
OG0000115	Syaf.g_02445	Prab.g_01156
OG0000116	Syaf.g_01276	Prab.g_01209
OG0000117	Syaf.g_01605	Prab.g_00717
OG0000118	Syaf.g_02544	Prab.g_01338
OG0000120	Syaf.g_00313	Prab.g_01447
OG0000121	Syaf.g_02419	Prab.g_01468
OG0000123	Syaf.g_00086	Prab.g_01809
OG0000124	Syaf.g_00414	Prab.g_01873
OG0000125	Syaf.g_00640	Prab.g_01910
OG0000126	Syaf.g_00504	Prab.g_01950
OG0000128	Syaf.g_00486	Prab.g_00011
OG0000129	Syaf.g_00651	Prab.g_00043
OG0000130	Syaf.g_00963	Prab.g_00061
OG0000131	Syaf.g_00833	Prab.g_00136
OG0000132	Syaf.g_00813	Prab.g_00155
OG0000133	Syaf.g_01857	Prab.g_00310
OG0000134	Syaf.g_02804	Prab.g_00344
OG0000135	Syaf.g_00605	Prab.g_00371
OG0000136	Syaf.g_01224	Prab.g_00444
OG0000137	Syaf.g_02498	Prab.g_00479
OG0000138	Syaf.g_02705	Prab.g_00499
OG0000139	Syaf.g_02648	Prab.g_00541
OG0000140	Syaf.g_02646	Prab.g_00542
OG0000141	Syaf.g_02375	Prab.g_00611
OG0000142	Syaf.g_02310	Prab.g_00640
OG0000143	Syaf.g_02306	Prab.g_00644
OG0000144	Syaf.g_01735	Prab.g_00657
OG0000145	Syaf.g_02699	Prab.g_00783
OG0000146	Syaf.g_01851	Prab.g_00805
OG0000147	Syaf.g_01850	Prab.g_00806
OG0000148	Syaf.g_02028	Prab.g_00856
OG0000149	Syaf.g_01371	Prab.g_00886
OG0000150	Syaf.g_02645	Prab.g_00894
OG0000151	Syaf.g_02091	Prab.g_01058
OG0000152	Syaf.g_01861	Prab.g_01010
OG0000153	Syaf.g_01904	Prab.g_00991
OG0000154	Syaf.g_01930	Prab.g_00955
OG0000155	Syaf.g_01324	Prab.g_01239
OG0000156	Syaf.g_01270	Prab.g_01315
OG0000157	Syaf.g_01269	Prab.g_01316
OG0000158	Syaf.g_00364	Prab.g_01379
OG0000160	Syaf.g_02418	Prab.g_01467
OG0000161	Syaf.g_02424	Prab.g_01473
OG0000162	Syaf.g_02431	Prab.g_01479
OG0000163	Syaf.g_01105	Prab.g_01513
OG0000164	Syaf.g_00999	Prab.g_01693
OG0000165	Syaf.g_01197	Prab.g_01700
OG0000166	Syaf.g_00133	Prab.g_01766
OG0000167	Syaf.g_00350	Prab.g_01832
OG0000168	Syaf.g_00365	Prab.g_01841
OG0000169	Syaf.g_00376	Prab.g_01851
OG0000170	Syaf.g_00383	Prab.g_01853
OG0000171	Syaf.g_00413	Prab.g_01872
OG0000172	Syaf.g_00419	Prab.g_01881
OG0000173	Syaf.g_00438	Prab.g_01896
OG0000174	Syaf.g_00603	Prab.g_01924
OG0000175	Syaf.g_00531	Prab.g_01934
OG0000176	Syaf.g_00494	Prab.g_00004
OG0000177	Syaf.g_00493	Prab.g_00005
OG0000178	Syaf.g_00492	Prab.g_00006
OG0000179	Syaf.g_00477	Prab.g_00016
OG0000180	Syaf.g_00476	Prab.g_00017
OG0000181	Syaf.g_00475	Prab.g_00018
OG0000182	Syaf.g_00474	Prab.g_00019
OG0000183	Syaf.g_00470	Prab.g_00023
OG0000184	Syaf.g_00664	Prab.g_00045
OG0000185	Syaf.g_00684	Prab.g_00048
OG0000186	Syaf.g_00968	Prab.g_00056
OG0000187	Syaf.g_00966	Prab.g_00057
OG0000188	Syaf.g_00944	Prab.g_00074
OG0000189	Syaf.g_00916	Prab.g_00087
OG0000190	Syaf.g_00914	Prab.g_00088
OG0000191	Syaf.g_00877	Prab.g_00108
OG0000192	Syaf.g_00871	Prab.g_00112
OG0000193	Syaf.g_00832	Prab.g_00137
OG0000194	Syaf.g_00829	Prab.g_00140
