Orthogroup	Prbb	Pray
OG0000000	Prbb.g_00844	Pray.g_01836
OG0000000	Prbb.g_00683, Prbb.g_01549, Prbb.g_01546, Prbb.g_01545, Prbb.g_01550, Prbb.g_01544	Pray.g_01085
OG0000002	Prbb.g_01611	Pray.g_01844
OG0000002	Prbb.g_01915, Prbb.g_00474, Prbb.g_01157	Pray.g_00247, Pray.g_00246
OG0000003	Prbb.g_01144, Prbb.g_01246, Prbb.g_01356, Prbb.g_01321, Prbb.g_00429, Prbb.g_01792	Pray.g_01890, Pray.g_01602
OG0000004	Prbb.g_01814, Prbb.g_00425	Pray.g_00284
OG0000005	Prbb.g_01785, Prbb.g_01120, Prbb.g_00432, Prbb.g_01401, Prbb.g_01354, Prbb.g_01244, Prbb.g_01319, Prbb.g_00431, Prbb.g_01121	Pray.g_01603, Pray.g_01576
OG0000006	Prbb.g_00501	Pray.g_00988, Pray.g_00987
OG0000006	Prbb.g_01823	Pray.g_01559
OG0000007	Prbb.g_01884	Pray.g_01931
OG0000009	Prbb.g_00761	Pray.g_00328
OG0000010	Prbb.g_01294	Pray.g_00117, Pray.g_01905
OG0000011	Prbb.g_00421	Pray.g_00897
OG0000011	Prbb.g_00386	Pray.g_00808
OG0000012	Prbb.g_00605, Prbb.g_00598	Pray.g_01165
OG0000013	Prbb.g_01158	Pray.g_00309
OG0000014	Prbb.g_01375	Pray.g_01887, Pray.g_00960
OG0000015	Prbb.g_01189	Pray.g_00860
OG0000016	Prbb.g_01632	Pray.g_01833
OG0000017	Prbb.g_01705	Pray.g_01702
OG0000018	Prbb.g_01560, Prbb.g_01328, Prbb.g_00299	Pray.g_00722
OG0000019	Prbb.g_00099	Pray.g_01578, Pray.g_00842
OG0000021	Prbb.g_01626, Prbb.g_01379, Prbb.g_01020, Prbb.g_01019, Prbb.g_01096, Prbb.g_01362	Pray.g_00330
OG0000022	Prbb.g_01119, Prbb.g_01243, Prbb.g_01400, Prbb.g_00433, Prbb.g_01353, Prbb.g_01318	Pray.g_01888
OG0000024	Prbb.g_00357	Pray.g_00784
OG0000025	Prbb.g_00116, Prbb.g_01452	Pray.g_00883
OG0000026	Prbb.g_01921	Pray.g_01495
OG0000027	Prbb.g_01114, Prbb.g_01127	Pray.g_01635
OG0000028	Prbb.g_01686	Pray.g_01722
OG0000029	Prbb.g_01324, Prbb.g_01729	Pray.g_01609
OG0000030	Prbb.g_01562, Prbb.g_01570, Prbb.g_00045	Pray.g_00245
OG0000032	Prbb.g_00387	Pray.g_01806
OG0000033	Prbb.g_00014	Pray.g_01475
OG0000034	Prbb.g_00112	Pray.g_01793
OG0000035	Prbb.g_01449	Pray.g_00438
OG0000036	Prbb.g_01882	Pray.g_01177
OG0000037	Prbb.g_01111	Pray.g_01140
OG0000038	Prbb.g_01231	Pray.g_00304
OG0000040	Prbb.g_01373, Prbb.g_01411	Pray.g_00838
OG0000041	Prbb.g_01286	Pray.g_00910
OG0000042	Prbb.g_00713	Pray.g_01040
OG0000043	Prbb.g_00954	Pray.g_00333
OG0000044	Prbb.g_01517	Pray.g_00064
OG0000045	Prbb.g_00851	Pray.g_01786
OG0000046	Prbb.g_01816	Pray.g_01566
OG0000047	Prbb.g_02061	Pray.g_01364
OG0000048	Prbb.g_02069	Pray.g_01371
OG0000050	Prbb.g_00032	Pray.g_01493
OG0000051	Prbb.g_00214	Pray.g_00638
OG0000052	Prbb.g_01197, Prbb.g_01329	Pray.g_00848
OG0000053	Prbb.g_00542	Pray.g_01222
OG0000055	Prbb.g_00807, Prbb.g_01218	Pray.g_00370
OG0000056	Prbb.g_00054	Pray.g_00110
OG0000057	Prbb.g_00294	Pray.g_00718
OG0000058	Prbb.g_00478	Pray.g_00965
OG0000059	Prbb.g_01359, Prbb.g_00706	Pray.g_01065
OG0000061	Prbb.g_01627	Pray.g_00099, Pray.g_00531
OG0000062	Prbb.g_01887	Pray.g_00097
OG0000063	Prbb.g_01399	Pray.g_01927
OG0000065	Prbb.g_01586	Pray.g_01870
OG0000066	Prbb.g_00678	Pray.g_01808
OG0000067	Prbb.g_01137, Prbb.g_01368	Pray.g_00884
OG0000067	Prbb.g_01199	Pray.g_01930
OG0000068	Prbb.g_02001	Pray.g_01306
