Orthogroup	Prbb	Prbe
OG0000000	Prbb.g_00844	Prbe.g_01285
OG0000000	Prbb.g_00683	Prbe.g_00452
OG0000000	Prbb.g_01549	Prbe.g_00208
OG0000000	Prbb.g_01546	Prbe.g_01579
OG0000000	Prbb.g_01545	Prbe.g_00379, Prbe.g_01577
OG0000000	Prbb.g_01550, Prbb.g_01544	Prbe.g_01584
OG0000001	Prbb.g_01123	Prbe.g_01120
OG0000001	Prbb.g_01787	Prbe.g_01586
OG0000002	Prbb.g_01611	Prbe.g_00400
OG0000002	Prbb.g_01915, Prbb.g_00474, Prbb.g_01157	Prbe.g_00112
OG0000003	Prbb.g_01144, Prbb.g_01246, Prbb.g_01356, Prbb.g_01321, Prbb.g_00429, Prbb.g_01792	Prbe.g_01587
OG0000004	Prbb.g_01814, Prbb.g_00425	Prbe.g_01628
OG0000005	Prbb.g_01785, Prbb.g_01120, Prbb.g_00432, Prbb.g_01401, Prbb.g_01354, Prbb.g_01244, Prbb.g_01319, Prbb.g_00431, Prbb.g_01121	Prbe.g_01119
OG0000006	Prbb.g_00501	Prbe.g_00636
OG0000006	Prbb.g_01823	Prbe.g_00985
OG0000007	Prbb.g_01884	Prbe.g_00036
OG0000007	Prbb.g_01885	Prbe.g_00037
OG0000009	Prbb.g_00761	Prbe.g_01573
OG0000010	Prbb.g_01294	Prbe.g_00081
OG0000011	Prbb.g_00421	Prbe.g_01921
OG0000012	Prbb.g_00605	Prbe.g_00529
OG0000012	Prbb.g_00598	Prbe.g_00536
OG0000013	Prbb.g_01158	Prbe.g_01046, Prbe.g_01000
OG0000014	Prbb.g_01375	Prbe.g_01121, Prbe.g_00012
OG0000016	Prbb.g_01632	Prbe.g_01603, Prbe.g_00214
OG0000017	Prbb.g_01705	Prbe.g_01040, Prbe.g_00290
OG0000018	Prbb.g_01560, Prbb.g_01328, Prbb.g_00299	Prbe.g_01794
OG0000019	Prbb.g_00099	Prbe.g_01208
OG0000020	Prbb.g_00325	Prbe.g_00906
OG0000021	Prbb.g_01096, Prbb.g_01362	Prbe.g_01003
OG0000024	Prbb.g_00357	Prbe.g_01861
OG0000025	Prbb.g_00116, Prbb.g_01452	Prbe.g_00098
OG0000026	Prbb.g_01921	Prbe.g_00021
OG0000028	Prbb.g_01686	Prbe.g_00311
OG0000029	Prbb.g_01324, Prbb.g_01729	Prbe.g_00678
OG0000031	Prbb.g_01383	Prbe.g_00720
OG0000032	Prbb.g_00387	Prbe.g_00352
OG0000033	Prbb.g_01919	Prbe.g_01607
OG0000034	Prbb.g_00112	Prbe.g_00158
OG0000035	Prbb.g_01449	Prbe.g_00074
OG0000036	Prbb.g_01882	Prbe.g_00996
OG0000037	Prbb.g_01111	Prbe.g_00196
OG0000038	Prbb.g_01231	Prbe.g_00220
OG0000039	Prbb.g_00223	Prbe.g_01714
OG0000040	Prbb.g_01373, Prbb.g_01411	Prbe.g_00062
OG0000041	Prbb.g_01286	Prbe.g_01021, Prbe.g_01027
OG0000042	Prbb.g_00713	Prbe.g_01214
OG0000043	Prbb.g_00954	Prbe.g_01314
OG0000044	Prbb.g_01517	Prbe.g_01549
OG0000045	Prbb.g_00851	Prbe.g_00351
