Orthogroup	Prbb	Prbn
OG0000000	Prbb.g_00844	Prbn.g_01483
OG0000000	Prbb.g_00683	Prbn.g_01586
OG0000000	Prbb.g_01549	Prbn.g_00879
OG0000000	Prbb.g_01546	Prbn.g_01159
OG0000000	Prbb.g_01545	Prbn.g_01234, Prbn.g_01161
OG0000000	Prbb.g_01550, Prbb.g_01544	Prbn.g_01154
OG0000001	Prbb.g_01123	Prbn.g_01663
OG0000001	Prbb.g_01403	Prbn.g_01152
OG0000002	Prbb.g_01611	Prbn.g_01213
OG0000002	Prbb.g_01915, Prbb.g_00474, Prbb.g_01157	Prbn.g_01923
OG0000003	Prbb.g_01144, Prbb.g_01246, Prbb.g_01356, Prbb.g_01321, Prbb.g_00429, Prbb.g_01792	Prbn.g_01151
OG0000004	Prbb.g_01814, Prbb.g_00425	Prbn.g_01110
OG0000005	Prbb.g_01785, Prbb.g_01120, Prbb.g_00432, Prbb.g_01401, Prbb.g_01354, Prbb.g_01244, Prbb.g_01319, Prbb.g_00431, Prbb.g_01121	Prbn.g_01662
OG0000006	Prbb.g_00501	Prbn.g_00617
OG0000006	Prbb.g_01823	Prbn.g_01745
OG0000007	Prbb.g_01884	Prbn.g_01645
OG0000007	Prbb.g_01885	Prbn.g_01646
OG0000009	Prbb.g_00761	Prbn.g_01165
OG0000010	Prbb.g_01294	Prbn.g_01049
OG0000011	Prbb.g_00421	Prbn.g_00690
OG0000012	Prbb.g_00605	Prbn.g_00510
OG0000012	Prbb.g_00598	Prbn.g_00517
OG0000013	Prbb.g_01158	Prbn.g_01684, Prbn.g_01730
OG0000014	Prbb.g_01375	Prbn.g_01664, Prbn.g_00139
OG0000016	Prbb.g_01632	Prbn.g_01135, Prbn.g_00885
OG0000017	Prbb.g_01705	Prbn.g_01690, Prbn.g_00233
OG0000018	Prbb.g_01560, Prbb.g_01328, Prbb.g_00299	Prbn.g_00308
OG0000019	Prbb.g_00099	Prbn.g_01560
OG0000020	Prbb.g_00325	Prbn.g_01097
OG0000021	Prbb.g_01096, Prbb.g_01362	Prbn.g_01727
OG0000024	Prbb.g_00357	Prbn.g_00074
OG0000025	Prbb.g_00116, Prbb.g_01452	Prbn.g_01937
OG0000026	Prbb.g_01921	Prbn.g_00130
OG0000028	Prbb.g_01686	Prbn.g_00212
OG0000029	Prbb.g_01324, Prbb.g_01729	Prbn.g_00659
OG0000031	Prbb.g_01383	Prbn.g_00809
OG0000032	Prbb.g_00387	Prbn.g_00171
OG0000033	Prbb.g_01919	Prbn.g_01131
OG0000034	Prbb.g_00112	Prbn.g_00724
OG0000035	Prbb.g_01449	Prbn.g_01042
OG0000036	Prbb.g_01882	Prbn.g_01734
OG0000037	Prbb.g_01111	Prbn.g_00867
OG0000038	Prbb.g_01231	Prbn.g_00891
OG0000039	Prbb.g_00223	Prbn.g_01247
OG0000040	Prbb.g_01373, Prbb.g_01411	Prbn.g_01030
OG0000041	Prbb.g_01286	Prbn.g_01709, Prbn.g_01703
OG0000042	Prbb.g_00713	Prbn.g_01554
OG0000043	Prbb.g_00954	Prbn.g_01454
OG0000044	Prbb.g_01517	Prbn.g_01189
OG0000045	Prbb.g_00851	Prbn.g_00172
OG0000046	Prbb.g_01816	Prbn.g_00144, Prbn.g_01737
OG0000047	Prbb.g_02061	Prbn.g_00996
OG0000048	Prbb.g_02069	Prbn.g_00988
OG0000050	Prbb.g_00032	Prbn.g_00750
OG0000051	Prbb.g_00214	Prbn.g_01256
OG0000052	Prbb.g_01197, Prbb.g_01329	Prbn.g_00829
OG0000053	Prbb.g_00542	Prbn.g_01657, Prbn.g_00577
OG0000054	Prbb.g_00053	Prbn.g_00475
OG0000055	Prbb.g_00807, Prbb.g_01218	Prbn.g_01523
OG0000056	Prbb.g_00054	Prbn.g_01133
OG0000057	Prbb.g_00294	Prbn.g_00313
OG0000058	Prbb.g_00478	Prbn.g_00639
OG0000059	Prbb.g_01359, Prbb.g_00706	Prbn.g_01562
OG0000062	Prbb.g_01887	Prbn.g_01650
