Orthogroup	Prbb	Praz
OG0000000	Prbb.g_00844	Praz.g_01146
OG0000000	Prbb.g_00683, Prbb.g_01549, Prbb.g_01546, Prbb.g_01545, Prbb.g_01550, Prbb.g_01544	Praz.g_01652
OG0000002	Prbb.g_01611	Praz.g_01154
OG0000002	Prbb.g_01915, Prbb.g_00474, Prbb.g_01157	Praz.g_01939, Praz.g_01940
OG0000003	Prbb.g_01144, Prbb.g_01246, Prbb.g_01356, Prbb.g_01321, Prbb.g_00429, Prbb.g_01792	Praz.g_01200, Praz.g_00920
OG0000004	Prbb.g_01814, Prbb.g_00425	Praz.g_01576
OG0000005	Prbb.g_01785, Prbb.g_01120, Prbb.g_00432, Prbb.g_01401, Prbb.g_01354, Prbb.g_01244, Prbb.g_01319, Prbb.g_00431, Prbb.g_01121	Praz.g_00921, Praz.g_00894
OG0000006	Prbb.g_00501	Praz.g_01831
OG0000006	Prbb.g_01823	Praz.g_00877
OG0000007	Prbb.g_01884	Praz.g_01241
OG0000009	Prbb.g_00761	Praz.g_01532
OG0000010	Prbb.g_01294	Praz.g_00045, Praz.g_01215
OG0000011	Prbb.g_00421	Praz.g_01921
OG0000011	Prbb.g_00386	Praz.g_00687
OG0000012	Prbb.g_00605, Prbb.g_00598	Praz.g_01732
OG0000013	Prbb.g_01158	Praz.g_01551
OG0000014	Prbb.g_01375	Praz.g_01197, Praz.g_01858
OG0000015	Prbb.g_01189	Praz.g_00792
OG0000016	Prbb.g_01632	Praz.g_01143
OG0000017	Prbb.g_01705	Praz.g_01021
OG0000018	Prbb.g_01560, Prbb.g_01328, Prbb.g_00299	Praz.g_00601
OG0000019	Prbb.g_00099	Praz.g_00896, Praz.g_00810
OG0000021	Prbb.g_01626, Prbb.g_01379, Prbb.g_01020, Prbb.g_01019, Prbb.g_01096, Prbb.g_01362	Praz.g_01530
OG0000022	Prbb.g_01119, Prbb.g_01243, Prbb.g_01400, Prbb.g_00433, Prbb.g_01353, Prbb.g_01318	Praz.g_01198
OG0000024	Prbb.g_00357	Praz.g_00663
OG0000025	Prbb.g_00116, Prbb.g_01452	Praz.g_00769
OG0000026	Prbb.g_01921	Praz.g_00398
OG0000027	Prbb.g_01114, Prbb.g_01127	Praz.g_00954
OG0000028	Prbb.g_01686	Praz.g_01041
OG0000029	Prbb.g_01324, Prbb.g_01729	Praz.g_00928
