Orthogroup	Prbb	Prah
OG0000000	Prbb.g_00844	Prah.g_00562
OG0000000	Prbb.g_00683, Prbb.g_01549, Prbb.g_01546, Prbb.g_01545, Prbb.g_01550, Prbb.g_01544	Prah.g_01226
OG0000001	Prbb.g_01313, Prbb.g_00103	Prah.g_01154, Prah.g_01152, Prah.g_01346
OG0000002	Prbb.g_01611	Prah.g_02270, Prah.g_00896, Prah.g_01159, Prah.g_00324, Prah.g_01343
OG0000003	Prbb.g_01144, Prbb.g_01246, Prbb.g_01356, Prbb.g_01321, Prbb.g_00429, Prbb.g_01792	Prah.g_01347
OG0000004	Prbb.g_01814	Prah.g_01175, Prah.g_00215
OG0000006	Prbb.g_00501	Prah.g_01546
OG0000006	Prbb.g_01823	Prah.g_01676
OG0000007	Prbb.g_01884, Prbb.g_01885	Prah.g_00969, Prah.g_00970
OG0000009	Prbb.g_00761	Prah.g_02086
OG0000011	Prbb.g_00421	Prah.g_00322, Prah.g_00321
OG0000011	Prbb.g_00386	Prah.g_00353
OG0000012	Prbb.g_00605	Prah.g_01397
OG0000012	Prbb.g_00598	Prah.g_01405
OG0000013	Prbb.g_01158	Prah.g_01155, Prah.g_00576
OG0000016	Prbb.g_01632	Prah.g_01007, Prah.g_01048
OG0000017	Prbb.g_01705	Prah.g_00381
OG0000018	Prbb.g_01560, Prbb.g_01328, Prbb.g_00299	Prah.g_00475, Prah.g_01767
OG0000019	Prbb.g_00099	Prah.g_01410
OG0000020	Prbb.g_00325	Prah.g_02122
OG0000024	Prbb.g_00357	Prah.g_02171
OG0000025	Prbb.g_00116, Prbb.g_01452	Prah.g_01120
OG0000026	Prbb.g_01921	Prah.g_00042
OG0000028	Prbb.g_01686	Prah.g_00408
OG0000031	Prbb.g_01383	Prah.g_01166
OG0000032	Prbb.g_00387	Prah.g_00091
OG0000033	Prbb.g_01919	Prah.g_01270
OG0000033	Prbb.g_00014	Prah.g_00015
OG0000034	Prbb.g_00112	Prah.g_02219
OG0000036	Prbb.g_01882	Prah.g_01427
OG0000037	Prbb.g_01111	Prah.g_00524
OG0000038	Prbb.g_01231	Prah.g_01209, Prah.g_00170
OG0000039	Prbb.g_00223	Prah.g_02304
OG0000040	Prbb.g_01373, Prbb.g_01411	Prah.g_00688
OG0000042	Prbb.g_00713	Prah.g_00887, Prah.g_00958
OG0000043	Prbb.g_00954	Prah.g_01233, Prah.g_01231
OG0000044	Prbb.g_01517	Prah.g_01322
OG0000045	Prbb.g_00851	Prah.g_02195
OG0000046	Prbb.g_01816	Prah.g_01666
OG0000047	Prbb.g_02061	Prah.g_00150
OG0000048	Prbb.g_02069	Prah.g_01256, Prah.g_00135
OG0000050	Prbb.g_00032	Prah.g_00038
OG0000051	Prbb.g_00214	Prah.g_02295
OG0000052	Prbb.g_01197, Prbb.g_01329	Prah.g_01660
OG0000053	Prbb.g_00542	Prah.g_01485
OG0000054	Prbb.g_00053	Prah.g_01812
OG0000055	Prbb.g_00807, Prbb.g_01218	Prah.g_00641
OG0000056	Prbb.g_00054	Prah.g_02425
OG0000057	Prbb.g_00294	Prah.g_01778
OG0000058	Prbb.g_00478	Prah.g_00312
OG0000059	Prbb.g_01359, Prbb.g_00706	Prah.g_01027
OG0000062	Prbb.g_01887	Prah.g_02524
OG0000063	Prbb.g_01399	Prah.g_01257
OG0000065	Prbb.g_01586	Prah.g_01364
OG0000066	Prbb.g_00678	Prah.g_02192
OG0000068	Prbb.g_02001	Prah.g_01995
OG0000069	Prbb.g_01723	Prah.g_00358
OG0000070	Prbb.g_00078	Prah.g_00342, Prah.g_00341, Prah.g_01968
OG0000071	Prbb.g_00012	Prah.g_00013
OG0000072	Prbb.g_00373	Prah.g_02187
OG0000073	Prbb.g_00673	Prah.g_00445
OG0000074	Prbb.g_00697, Prbb.g_00698	Prah.g_00974
OG0000075	Prbb.g_00790	Prah.g_00660
OG0000076	Prbb.g_01070	Prah.g_00915
OG0000078	Prbb.g_00388	Prah.g_02191
OG0000079	Prbb.g_01768	Prah.g_01654
OG0000080	Prbb.g_01208	Prah.g_01609
OG0000081	Prbb.g_02034	Prah.g_02230
OG0000082	Prbb.g_02143	Prah.g_02533
OG0000083	Prbb.g_00003	Prah.g_00004
OG0000084	Prbb.g_00006, Prbb.g_00007	Prah.g_00007
OG0000085	Prbb.g_00024	Prah.g_00029
OG0000087	Prbb.g_00064	Prah.g_02458
OG0000088	Prbb.g_00170	Prah.g_00194
OG0000089	Prbb.g_00179	Prah.g_00176, Prah.g_00180
