Number of species	40
Number of genes	81289
Number of genes in orthogroups	80015
Number of unassigned genes	1274
Percentage of genes in orthogroups	98.4
Percentage of unassigned genes	1.6
Number of orthogroups	4349
Number of species-specific orthogroups	45
Number of genes in species-specific orthogroups	140
Percentage of genes in species-specific orthogroups	0.2
Mean orthogroup size	18.4
Median orthogroup size	8.0
G50 (assigned genes)	40
G50 (all genes)	40
O50 (assigned genes)	972
O50 (all genes)	988
Number of orthogroups with all species present	1217
Number of single-copy orthogroups	1110
Date	2025-10-17
Orthogroups file	Orthogroups.tsv
Unassigned genes file	Orthogroups_UnassignedGenes.tsv
Per-species statistics	Statistics_PerSpecies.tsv
Overall statistics	Statistics_Overall.tsv
Orthogroups shared between species	Orthogroups_SpeciesOverlaps.tsv

Average number of genes per-species in orthogroup	Number of orthogroups	Percentage of orthogroups	Number of genes	Percentage of genes
<1	3098	71.2	28847	36.1
'1	1244	28.6	50401	63.0
'2	4	0.1	347	0.4
'3	3	0.1	420	0.5
'4	0	0.0	0	0.0
'5	0	0.0	0	0.0
'6	0	0.0	0	0.0
'7	0	0.0	0	0.0
'8	0	0.0	0	0.0
'9	0	0.0	0	0.0
'10	0	0.0	0	0.0
11-15	0	0.0	0	0.0
16-20	0	0.0	0	0.0
21-50	0	0.0	0	0.0
51-100	0	0.0	0	0.0
101-150	0	0.0	0	0.0
151-200	0	0.0	0	0.0
201-500	0	0.0	0	0.0
501-1000	0	0.0	0	0.0
'1001+	0	0.0	0	0.0

Number of species in orthogroup	Number of orthogroups
1	45
2	422
3	560
4	338
5	559
6	155
7	85
8	56
9	59
10	52
11	30
12	35
13	32
14	53
15	41
16	22
17	31
18	25
19	65
20	17
21	60
22	16
23	14
24	22
25	43
26	13
27	11
28	6
29	26
30	18
31	22
32	11
33	10
34	20
35	52
36	24
37	22
38	27
39	33
40	1217
