	Praa	Prab	Prac	Prad	Prae	Praf	Prag	Prah	Prai	Praj	Prak	Pral	Pram	Pran	Prao	Prap	Praq	Prar	Pras	Prat	Prau	Prav	Praw	Prax	Pray	Praz	Prba	Prbb	Prbc	Prbd	Prbe	Prbf	Prbg	Prbh	Prbi	Prbj	Prbk	Prbl	Prbm	Prbn
Praa	0.0	11.0	6.0	6.0	2.0	37.0	5.0	20.0	7.0	26.0	15.0	15.0	10.0	8.0	0.0	16.0	6.0	6.0	8.0	20.0	8.0	6.0	5.0	6.0	4.0	3.0	8.0	26.0	32.0	1.0	15.0	16.0	14.0	10.0	7.0	14.0	14.0	14.0	27.0	17.0
Prab	12.0	0.0	8.0	13.0	8.0	34.0	7.0	23.0	6.0	23.0	14.0	14.0	8.0	2.0	6.0	15.0	9.0	9.0	20.0	21.0	17.0	11.0	7.0	19.0	7.0	8.0	12.0	24.0	28.0	11.0	14.0	15.0	13.0	9.0	14.0	15.0	15.0	15.0	30.0	16.0
Prac	8.0	8.0	0.0	6.0	2.0	33.0	7.0	21.0	9.0	22.0	14.0	17.0	9.0	6.0	1.0	15.0	3.0	2.0	10.0	21.0	13.0	7.0	5.0	5.0	3.0	2.0	6.0	23.0	30.0	3.0	14.0	15.0	13.0	9.0	16.0	14.0	14.0	14.0	30.0	16.0
Prad	4.0	8.0	8.0	0.0	3.0	38.0	4.0	25.0	11.0	24.0	14.0	13.0	9.0	6.0	3.0	15.0	7.0	7.0	9.0	20.0	7.0	8.0	3.0	6.0	1.0	0.0	4.0	24.0	30.0	2.0	14.0	15.0	13.0	9.0	10.0	20.0	20.0	20.0	29.0	16.0
Prae	5.0	10.0	2.0	4.0	0.0	34.0	4.0	24.0	12.0	25.0	12.0	16.0	11.0	7.0	1.0	13.0	4.0	3.0	9.0	22.0	6.0	7.0	3.0	7.0	3.0	2.0	5.0	25.0	29.0	2.0	12.0	13.0	11.0	11.0	8.0	14.0	14.0	14.0	36.0	14.0
Praf	6.0	10.0	11.0	8.0	6.0	0.0	6.0	34.0	9.0	14.0	11.0	13.0	11.0	10.0	5.0	12.0	11.0	12.0	10.0	10.0	16.0	12.0	7.0	16.0	6.0	6.0	10.0	13.0	16.0	6.0	11.0	13.0	11.0	11.0	12.0	16.0	19.0	16.0	18.0	13.0
Prag	4.0	9.0	3.0	5.0	2.0	34.0	0.0	26.0	10.0	21.0	15.0	15.0	9.0	7.0	3.0	16.0	4.0	4.0	8.0	19.0	8.0	8.0	0.0	6.0	3.0	2.0	5.0	20.0	26.0	1.0	15.0	16.0	14.0	9.0	8.0	15.0	16.0	16.0	29.0	17.0
Prah	6.0	10.0	10.0	9.0	6.0	38.0	5.0	0.0	8.0	11.0	12.0	11.0	8.0	9.0	5.0	13.0	10.0	11.0	10.0	10.0	15.0	12.0	6.0	15.0	6.0	6.0	9.0	13.0	14.0	6.0	12.0	14.0	12.0	8.0	14.0	13.0	14.0	12.0	14.0	14.0
Prai	10.0	8.0	9.0	12.0	8.0	32.0	7.0	21.0	0.0	22.0	16.0	22.0	10.0	8.0	3.0	17.0	9.0	10.0	16.0	19.0	15.0	10.0	7.0	13.0	8.0	10.0	12.0	22.0	28.0	7.0	16.0	16.0	15.0	12.0	14.0	15.0	15.0	15.0	27.0	18.0
Praj	10.0	9.0	12.0	15.0	9.0	35.0	9.0	24.0	9.0	0.0	13.0	11.0	9.0	8.0	6.0	14.0	11.0	13.0	17.0	21.0	19.0	15.0	10.0	15.0	7.0	7.0	10.0	12.0	13.0	10.0	14.0	15.0	13.0	9.0	22.0	14.0	15.0	15.0	20.0	15.0
