	Praa	Prab	Prac	Prad	Prae	Praf	Prag	Prah	Prai	Praj	Prak	Pral	Pram	Pran	Prao	Prap	Praq	Prar	Pras	Prat	Prau	Prav	Praw	Prax	Pray	Praz	Prba	Prbb	Prbc	Prbd	Prbe	Prbf	Prbg	Prbh	Prbi	Prbj	Prbk	Prbl	Prbm	Prbn
Praa	0.0	24.0	16.0	10.0	11.0	13.0	8.0	13.0	20.0	20.0	30.0	19.0	21.0	26.0	10.0	30.0	16.0	16.0	8.0	25.0	10.0	10.0	10.0	6.0	8.0	6.0	6.0	22.0	26.0	10.0	30.0	30.0	30.0	19.0	8.0	15.0	15.0	17.0	16.0	30.0
Prab	22.0	0.0	16.0	17.0	21.0	22.0	20.0	22.0	17.0	18.0	23.0	23.0	22.0	10.0	24.0	23.0	16.0	16.0	16.0	31.0	16.0	27.0	20.0	29.0	19.0	19.0	19.0	18.0	16.0	25.0	23.0	23.0	23.0	19.0	23.0	19.0	19.0	22.0	14.0	23.0
Prac	12.0	16.0	0.0	19.0	4.0	25.0	6.0	23.0	19.0	29.0	33.0	31.0	24.0	16.0	9.0	29.0	2.0	4.0	12.0	25.0	10.0	8.0	6.0	4.0	8.0	8.0	8.0	29.0	32.0	6.0	33.0	29.0	29.0	22.0	6.0	21.0	21.0	23.0	25.0	33.0
Prad	12.0	26.0	12.0	0.0	8.0	16.0	10.0	18.0	24.0	30.0	24.0	24.0	24.0	30.0	10.0	24.0	10.0	12.0	14.0	30.0	14.0	8.0	12.0	10.0	6.0	6.0	6.0	30.0	32.0	8.0	24.0	24.0	24.0	22.0	12.0	16.0	16.0	18.0	20.0	24.0
Prae	4.0	16.0	4.0	8.0	0.0	12.0	4.0	12.0	16.0	18.0	17.0	18.0	11.0	16.0	12.0	17.0	4.0	4.0	4.0	21.0	7.0	2.0	6.0	0.0	4.0	4.0	4.0	18.0	18.0	3.0	17.0	17.0	17.0	8.0	4.0	14.0	14.0	17.0	12.0	17.0
Praf	85.0	75.0	74.0	85.0	77.0	0.0	77.0	90.0	69.0	77.0	77.0	84.0	67.0	75.0	79.0	77.0	74.0	88.0	77.0	61.0	79.0	84.0	77.0	87.0	84.0	88.0	88.0	75.0	76.0	83.0	77.0	77.0	77.0	67.0	91.0	91.0	96.0	94.0	72.0	77.0
Prag	12.0	15.0	14.0	9.0	8.0	13.0	0.0	11.0	14.0	21.0	27.0	29.0	22.0	20.0	19.0	27.0	14.0	14.0	4.0	31.0	7.0	14.0	4.0	8.0	6.0	6.0	6.0	19.0	21.0	9.0	27.0	27.0	27.0	18.0	6.0	13.0	13.0	17.0	16.0	27.0
Prah	44.0	47.0	45.0	53.0	52.0	84.0	56.0	0.0	42.0	52.0	44.0	45.0	42.0	47.0	51.0	44.0	45.0	50.0	47.0	37.0	49.0	60.0	58.0	54.0	56.0	58.0	58.0	55.0	59.0	56.0	44.0	44.0	44.0	42.0	53.0	112.0	115.0	117.0	53.0	44.0
Prai	16.0	12.0	18.0	24.0	26.0	20.0	20.0	18.0	0.0	18.0	28.0	32.0	22.0	16.0	24.0	28.0	18.0	18.0	12.0	24.0	16.0	14.0	24.0	18.0	20.0	20.0	20.0	18.0	22.0	22.0	28.0	28.0	28.0	22.0	22.0	20.0	20.0	20.0	18.0	28.0
Praj	70.0	56.0	62.0	70.0	71.0	55.0	51.0	31.0	56.0	0.0	61.0	51.0	69.0	67.0	69.0	64.0	53.0	60.0	64.0	53.0	68.0	54.0	57.0	72.0	69.0	69.0	69.0	20.0	39.0	69.0	61.0	61.0	61.0	66.0	76.0	41.0	41.0	42.0	30.0	61.0
