Species Tree Node	Duplications (all)	Duplications (50% support)
N0	173	7
N6	45	5
N18	21	10
N11	102	61
N9	9	0
Prad	18	18
Prav	13	13
N21	11	11
N17	51	32
N23	21	21
Prab	6	6
Prat	12	12
Prai	9	9
Pram	1	1
N22	27	25
Prae	2	2
Prag	3	3
N19	3	3
Praa	6	6
N27	2	2
Prbm	53	53
N30	9	9
Pral	10	10
Praj	23	23
Prbc	26	26
Prbb	18	18
N10	12	12
Praw	1	1
N1	35	2
Prbi	33	33
Prah	85	85
N4	26	0
N31	15	8
N12	10	1
Pras	8	8
Praf	85	85
N8	4	2
N3	6	5
Prau	11	11
N29	3	3
N16	11	6
Prax	6	6
Pray	1	1
Prba	4	4
Praq	2	2
N25	1	1
Prar	2	2
Prbe	1	1
N15	5	0
N2	2	0
N24	2	2
N7	3	3
Prbd	8	8
Prbj	13	13
Prbk	11	11
Prbl	9	9
N32	1	0
N36	1	1
Prbf	1	1
N20	1	0
N28	1	0
N14	1	1
Prao	2	2
Pran	1	1
N13	1	1
