	Praa	Prab	Prac	Prad	Prae	Praf	Prag	Prah	Prai	Praj	Prak	Pral	Pram	Pran	Prao	Prap	Praq	Prar	Pras	Prat	Prau	Prav	Praw	Prax	Pray	Praz	Prba	Prbb	Prbc	Prbd	Prbe	Prbf	Prbg	Prbh	Prbi	Prbj	Prbk	Prbl	Prbm	Prbn
Praa	0.0	6.0	0.0	2.0	2.0	4.0	2.0	4.0	4.0	10.0	2.0	7.0	5.0	2.0	0.0	2.0	0.0	0.0	4.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	8.0	0.0	2.0	2.0	2.0	7.0	0.0	2.0	2.0	2.0	12.0	2.0
Prab	6.0	0.0	0.0	5.0	0.0	2.0	6.0	0.0	6.0	13.0	2.0	10.0	5.0	0.0	0.0	2.0	0.0	0.0	5.0	2.0	5.0	4.0	6.0	2.0	0.0	0.0	0.0	13.0	13.0	0.0	2.0	2.0	2.0	8.0	0.0	0.0	0.0	0.0	17.0	2.0
Prac	0.0	0.0	0.0	4.0	0.0	2.0	0.0	2.0	0.0	8.0	0.0	6.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	8.0	0.0	0.0	0.0	0.0	7.0	0.0	4.0	4.0	4.0	8.0	0.0
Prad	2.0	4.0	4.0	0.0	2.0	2.0	2.0	2.0	0.0	10.0	6.0	10.0	8.0	0.0	4.0	6.0	4.0	4.0	2.0	4.0	2.0	4.0	2.0	0.0	2.0	2.0	2.0	10.0	10.0	0.0	6.0	6.0	6.0	10.0	0.0	0.0	0.0	0.0	16.0	6.0
Prae	2.0	0.0	0.0	3.0	0.0	6.0	4.0	6.0	0.0	5.0	4.0	7.0	6.0	0.0	0.0	4.0	0.0	0.0	3.0	2.0	3.0	4.0	2.0	0.0	2.0	2.0	2.0	5.0	5.0	0.0	4.0	4.0	4.0	9.0	0.0	4.0	4.0	4.0	7.0	4.0
Praf	4.0	2.0	2.0	3.0	5.0	0.0	6.0	10.0	8.0	9.0	2.0	2.0	8.0	2.0	3.0	2.0	2.0	2.0	10.0	8.0	6.0	10.0	4.0	0.0	2.0	2.0	2.0	13.0	6.0	3.0	2.0	2.0	2.0	2.0	13.0	7.0	7.0	7.0	13.0	2.0
Prag	2.0	7.0	0.0	4.0	4.0	8.0	0.0	8.0	5.0	17.0	3.0	10.0	6.0	2.0	0.0	3.0	0.0	0.0	5.0	3.0	3.0	2.0	2.0	0.0	2.0	2.0	2.0	17.0	15.0	0.0	3.0	3.0	3.0	10.0	0.0	6.0	6.0	6.0	19.0	3.0
Prah	4.0	0.0	2.0	3.0	4.0	13.0	6.0	0.0	7.0	9.0	2.0	2.0	7.0	0.0	3.0	2.0	2.0	2.0	7.0	7.0	4.0	9.0	4.0	0.0	2.0	2.0	2.0	9.0	4.0	2.0	2.0	2.0	2.0	2.0	6.0	4.0	4.0	2.0	12.0	2.0
Prai	4.0	6.0	0.0	0.0	0.0	4.0	4.0	4.0	0.0	10.0	0.0	4.0	6.0	0.0	0.0	0.0	0.0	0.0	4.0	2.0	4.0	4.0	2.0	2.0	0.0	0.0	0.0	10.0	8.0	0.0	0.0	0.0	0.0	4.0	0.0	2.0	2.0	2.0	12.0	0.0
Praj	21.0	26.0	20.0	22.0	9.0	9.0	27.0	9.0	24.0	0.0	4.0	11.0	8.0	17.0	11.0	4.0	20.0	20.0	26.0	4.0	20.0	28.0	24.0	15.0	18.0	18.0	18.0	9.0	0.0	15.0	4.0	4.0	4.0	11.0	6.0	2.0	2.0	2.0	13.0	4.0
Prak	2.0	2.0	0.0	6.0	4.0	3.0	2.0	3.0	0.0	5.0	0.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	4.0	2.0	4.0	4.0	2.0	0.0	2.0	2.0	2.0	5.0	7.0	6.0	0.0	0.0	0.0	0.0	4.0	5.0	5.0	5.0	5.0	0.0
