Orthogroup	Praj	Syao
OG0000001	Praj.g_01549, Praj.g_01828, Praj.g_00463, Praj.g_01861, Praj.g_01112	Syao.g_00314
OG0000004	Praj.g_01396	Syao.g_02374
OG0000004	Praj.g_00271	Syao.g_01271, Syao.g_01007
OG0000005	Praj.g_01349	Syao.g_01680
OG0000005	Praj.g_01712	Syao.g_01578
OG0000006	Praj.g_00282, Praj.g_01281, Praj.g_01505	Syao.g_01518
OG0000007	Praj.g_00489	Syao.g_00105
OG0000007	Praj.g_01768	Syao.g_01554
OG0000008	Praj.g_01830	Syao.g_01321
OG0000010	Praj.g_01026, Praj.g_00466	Syao.g_02683
OG0000011	Praj.g_01187, Praj.g_01323, Praj.g_01158	Syao.g_01282
OG0000012	Praj.g_01066	Syao.g_01193
OG0000013	Praj.g_00362	Syao.g_01222, Syao.g_01844, Syao.g_01910
OG0000014	Praj.g_00341	Syao.g_02027
OG0000015	Praj.g_01113	Syao.g_00302
OG0000016	Praj.g_00013	Syao.g_01955
OG0000017	Praj.g_00592	Syao.g_00997
OG0000018	Praj.g_01482, Praj.g_00798	Syao.g_00071
OG0000019	Praj.g_00747	Syao.g_02108
OG0000021	Praj.g_01859, Praj.g_00084	Syao.g_01002
OG0000022	Praj.g_01189, Praj.g_01216	Syao.g_01218
OG0000023	Praj.g_01365, Praj.g_01329	Syao.g_01266
OG0000025	Praj.g_00805	Syao.g_00436, Syao.g_00437
OG0000026	Praj.g_00031	Syao.g_02234
OG0000027	Praj.g_01331	Syao.g_00202
OG0000028	Praj.g_01571	Syao.g_02012
OG0000030	Praj.g_02024	Syao.g_02189, Syao.g_02188
OG0000031	Praj.g_00371	Syao.g_01083
OG0000032	Praj.g_01669	Syao.g_00090
OG0000033	Praj.g_00209	Syao.g_02507
OG0000035	Praj.g_01632	Syao.g_01486
OG0000037	Praj.g_00147	Syao.g_00374
OG0000038	Praj.g_02089	Syao.g_02440, Syao.g_02442
OG0000039	Praj.g_00679	Syao.g_00704
OG0000042	Praj.g_02020	Syao.g_00019, Syao.g_01941
OG0000045	Praj.g_01049	Syao.g_01214, Syao.g_00148
OG0000046	Praj.g_00363	Syao.g_01845, Syao.g_01909
OG0000047	Praj.g_00408, Praj.g_00370	Syao.g_01899
OG0000048	Praj.g_00308	Syao.g_02077
OG0000051	Praj.g_01339, Praj.g_01347	Syao.g_01261
OG0000052	Praj.g_00095	Syao.g_01972
OG0000053	Praj.g_01651	Syao.g_00067
OG0000055	Praj.g_01842	Syao.g_00498
OG0000058	Praj.g_00839	Syao.g_01080
OG0000059	Praj.g_01892	Syao.g_01959
OG0000060	Praj.g_01108	Syao.g_00312
OG0000061	Praj.g_01461	Syao.g_00123
OG0000063	Praj.g_01867	Syao.g_02230
OG0000065	Praj.g_00145	Syao.g_02600
OG0000066	Praj.g_00530	Syao.g_01422
OG0000067	Praj.g_00769	Syao.g_00756
OG0000068	Praj.g_01575	Syao.g_00868, Syao.g_00036
OG0000069	Praj.g_01276, Praj.g_01675	Syao.g_00313
OG0000070	Praj.g_00444	Syao.g_00330
OG0000071	Praj.g_01528	Syao.g_01433
OG0000072	Praj.g_00211	Syao.g_02509, Syao.g_01749
OG0000073	Praj.g_00491	Syao.g_00103
OG0000075	Praj.g_01987	Syao.g_02257
OG0000076	Praj.g_02012	Syao.g_01949
OG0000077	Praj.g_00116	Syao.g_02629
OG0000079	Praj.g_00291	Syao.g_00574, Syao.g_00010, Syao.g_00581, Syao.g_01145, Syao.g_02105
OG0000082	Praj.g_01827	Syao.g_01035
OG0000084	Praj.g_01628	Syao.g_02606
OG0000085	Praj.g_01762	Syao.g_01569
OG0000086	Praj.g_00126	Syao.g_02653, Syao.g_01240
OG0000087	Praj.g_00179	Syao.g_02555
OG0000088	Praj.g_00206	Syao.g_02503
OG0000089	Praj.g_00403	Syao.g_01716
OG0000090	Praj.g_00524	Syao.g_01412
OG0000091	Praj.g_00630	Syao.g_00902
OG0000092	Praj.g_00892	Syao.g_00656
OG0000097	Praj.g_01416	Syao.g_00973
OG0000098	Praj.g_01546	Syao.g_01374
OG0000099	Praj.g_00372	Syao.g_02019
OG0000100	Praj.g_01709	Syao.g_00787
OG0000101	Praj.g_01952	Syao.g_01840
OG0000102	Praj.g_02017	Syao.g_01945
OG0000103	Praj.g_02135	Syao.g_02340
OG0000104	Praj.g_02145	Syao.g_02157
OG0000105	Praj.g_00310	Syao.g_02071, Syao.g_02072
OG0000106	Praj.g_01156, Praj.g_01282	Syao.g_01385
OG0000107	Praj.g_01869	Syao.g_01935
OG0000108	Praj.g_00473	Syao.g_00028
OG0000109	Praj.g_00486	Syao.g_00110
OG0000110	Praj.g_00565	Syao.g_01051
OG0000111	Praj.g_00692	Syao.g_00378
OG0000112	Praj.g_00938	Syao.g_00683, Syao.g_00303
OG0000113	Praj.g_00793, Praj.g_01176	Syao.g_00782
OG0000114	Praj.g_00887	Syao.g_00965
OG0000115	Praj.g_01725	Syao.g_00065, Syao.g_01464
OG0000116	Praj.g_01471	Syao.g_00137
OG0000117	Praj.g_01355	Syao.g_00169
OG0000118	Praj.g_01540	Syao.g_01475
OG0000120	Praj.g_00664	Syao.g_02009
OG0000121	Praj.g_01634	Syao.g_01489
OG0000122	Praj.g_01673	Syao.g_01247
OG0000123	Praj.g_01959	Syao.g_01832
OG0000124	Praj.g_02031	Syao.g_02179
OG0000125	Praj.g_02091	Syao.g_02444
OG0000126	Praj.g_02144	Syao.g_02198
OG0000128	Praj.g_00011	Syao.g_02149
OG0000129	Praj.g_00048	Syao.g_02434
OG0000130	Praj.g_00107	Syao.g_02617
OG0000131	Praj.g_00185	Syao.g_02480
OG0000132	Praj.g_00204	Syao.g_02501
OG0000133	Praj.g_00357	Syao.g_00678
OG0000134	Praj.g_00405	Syao.g_01719
OG0000135	Praj.g_01279	Syao.g_00147
OG0000136	Praj.g_00435	Syao.g_01614, Syao.g_01613
OG0000137	Praj.g_00467	Syao.g_02682
OG0000138	Praj.g_00487	Syao.g_00108
OG0000139	Praj.g_00528	Syao.g_02005
OG0000140	Praj.g_00529	Syao.g_01373, Syao.g_01372
OG0000141	Praj.g_00595	Syao.g_01202
OG0000142	Praj.g_00623	Syao.g_00894
OG0000143	Praj.g_00627	Syao.g_00898
OG0000145	Praj.g_01054	Syao.g_00102
OG0000146	Praj.g_00937	Syao.g_00684, Syao.g_00304
OG0000147	Praj.g_00936	Syao.g_00305, Syao.g_00685
OG0000148	Praj.g_00787	Syao.g_00776
OG0000149	Praj.g_00819	Syao.g_00534
OG0000150	Praj.g_00828	Syao.g_01203
OG0000151	Praj.g_00898	Syao.g_00975
OG0000152	Praj.g_01601, Praj.g_00946	Syao.g_00674
OG0000153	Praj.g_00965	Syao.g_00818, Syao.g_01176
OG0000154	Praj.g_00995	Syao.g_00447
OG0000155	Praj.g_01440	Syao.g_00178
OG0000156	Praj.g_01517	Syao.g_00151
OG0000157	Praj.g_01518	Syao.g_00152
OG0000158	Praj.g_01995	Syao.g_02267
OG0000159	Praj.g_02043	Syao.g_02276
OG0000160	Praj.g_01633	Syao.g_01488
OG0000161	Praj.g_01639	Syao.g_01494
OG0000162	Praj.g_01645	Syao.g_01515
OG0000163	Praj.g_01681	Syao.g_01745
OG0000164	Praj.g_01790	Syao.g_01663
OG0000165	Praj.g_01798	Syao.g_01655
OG0000166	Praj.g_01915	Syao.g_01790
OG0000167	Praj.g_01985	Syao.g_01960
OG0000168	Praj.g_01996	Syao.g_02128
OG0000169	Praj.g_02006	Syao.g_02139
OG0000170	Praj.g_02008	Syao.g_02148
OG0000171	Praj.g_02030	Syao.g_02181
OG0000172	Praj.g_02061	Syao.g_02170
OG0000173	Praj.g_02076	Syao.g_02212
OG0000174	Praj.g_02107	Syao.g_02364, Syao.g_02355
OG0000175	Praj.g_02125	Syao.g_02327, Syao.g_00308
OG0000176	Praj.g_00004	Syao.g_02165
OG0000177	Praj.g_00005	Syao.g_02156
OG0000178	Praj.g_00006	Syao.g_02155
OG0000179	Praj.g_00016	Syao.g_02250
OG0000180	Praj.g_00017	Syao.g_02249
OG0000181	Praj.g_00018	Syao.g_02248
OG0000182	Praj.g_00019	Syao.g_02247
OG0000183	Praj.g_00023	Syao.g_02243
OG0000184	Praj.g_00050	Syao.g_02423
OG0000185	Praj.g_00053	Syao.g_02410
OG0000186	Praj.g_00102	Syao.g_02613
OG0000187	Praj.g_00103	Syao.g_02615
OG0000188	Praj.g_00120	Syao.g_02637
OG0000189	Praj.g_00134	Syao.g_02672
OG0000190	Praj.g_00135	Syao.g_01015
OG0000191	Praj.g_00158	Syao.g_02573
OG0000192	Praj.g_00162	Syao.g_02579
OG0000193	Praj.g_00186	Syao.g_02481
OG0000194	Praj.g_00189	Syao.g_02484
OG0000195	Praj.g_00191	Syao.g_02486
OG0000196	Praj.g_00201	Syao.g_02498
OG0000197	Praj.g_00202	Syao.g_02499
OG0000198	Praj.g_00203	Syao.g_02500
OG0000199	Praj.g_00210	Syao.g_02508
OG0000200	Praj.g_00223	Syao.g_02524
OG0000201	Praj.g_00232	Syao.g_02540
OG0000202	Praj.g_00233	Syao.g_02454
OG0000203	Praj.g_00234	Syao.g_02455
OG0000204	Praj.g_00235	Syao.g_02456
OG0000205	Praj.g_00242	Syao.g_02464
OG0000206	Praj.g_00246	Syao.g_02469
OG0000207	Praj.g_00248	Syao.g_02471
OG0000208	Praj.g_00249	Syao.g_02472
OG0000209	Praj.g_00258	Syao.g_02394
OG0000210	Praj.g_00259	Syao.g_02395
OG0000211	Praj.g_00273	Syao.g_01700
OG0000212	Praj.g_00281	Syao.g_01710
OG0000213	Praj.g_00296	Syao.g_02098
OG0000214	Praj.g_00304	Syao.g_02081
OG0000215	Praj.g_00328	Syao.g_02050
OG0000216	Praj.g_00329	Syao.g_02045
OG0000217	Praj.g_00332	Syao.g_02041
OG0000218	Praj.g_00334	Syao.g_02039
OG0000219	Praj.g_00335	Syao.g_02038
OG0000220	Praj.g_00336	Syao.g_02037
OG0000221	Praj.g_00337	Syao.g_02034
OG0000222	Praj.g_00345	Syao.g_02023
OG0000223	Praj.g_00358	Syao.g_00291
OG0000224	Praj.g_00360	Syao.g_01973
OG0000225	Praj.g_00391	Syao.g_01751
OG0000226	Praj.g_00395	Syao.g_01758
OG0000227	Praj.g_00397	Syao.g_01760
OG0000228	Praj.g_00402	Syao.g_01715
OG0000229	Praj.g_00430	Syao.g_01736
OG0000230	Praj.g_00432	Syao.g_01738
OG0000231	Praj.g_00443	Syao.g_01513
OG0000232	Praj.g_00451	Syao.g_00057
OG0000233	Praj.g_00459	Syao.g_02698
OG0000234	Praj.g_00468	Syao.g_02680
OG0000235	Praj.g_00472	Syao.g_00029
OG0000236	Praj.g_00485	Syao.g_00111
OG0000237	Praj.g_00498	Syao.g_00166
OG0000238	Praj.g_00504	Syao.g_00161
OG0000239	Praj.g_00516	Syao.g_01398
OG0000240	Praj.g_00517	Syao.g_01399
OG0000241	Praj.g_00521	Syao.g_00887
OG0000242	Praj.g_00523	Syao.g_01410
OG0000243	Praj.g_00534	Syao.g_00873
OG0000244	Praj.g_00537	Syao.g_00865
OG0000245	Praj.g_00539	Syao.g_00863
OG0000246	Praj.g_00543	Syao.g_00859
OG0000247	Praj.g_00553	Syao.g_00847
OG0000248	Praj.g_00555	Syao.g_00844
OG0000249	Praj.g_00557	Syao.g_00842
OG0000250	Praj.g_00562	Syao.g_00835
OG0000251	Praj.g_00578	Syao.g_01026
OG0000252	Praj.g_00580	Syao.g_01020
OG0000253	Praj.g_00582	Syao.g_01003
OG0000254	Praj.g_00599	Syao.g_01053
OG0000255	Praj.g_00605	Syao.g_01009
