Orthogroup	Praj	Prbi
OG0000000	Praj.g_00419, Praj.g_01356, Praj.g_01076, Praj.g_01201, Praj.g_01271, Praj.g_01308	Prbi.g_01373
OG0000000	Praj.g_01272, Praj.g_01309, Praj.g_01078, Praj.g_00417, Praj.g_01202	Prbi.g_01709
OG0000000	Praj.g_00087	Prbi.g_01268, Prbi.g_01708
OG0000000	Praj.g_01267	Prbi.g_01370
OG0000001	Praj.g_01828	Prbi.g_01542, Prbi.g_01763
OG0000001	Praj.g_01112	Prbi.g_01270
OG0000002	Praj.g_00832	Prbi.g_01432
OG0000002	Praj.g_01489, Praj.g_01488, Praj.g_01493, Praj.g_01487, Praj.g_01492, Praj.g_00670	Prbi.g_00681
OG0000004	Praj.g_01396	Prbi.g_00698
OG0000004	Praj.g_00271	Prbi.g_00256
OG0000005	Praj.g_01349	Prbi.g_01800
OG0000005	Praj.g_01712	Prbi.g_01666
OG0000006	Praj.g_00282, Praj.g_01281, Praj.g_01505	Prbi.g_00265
OG0000007	Praj.g_00489	Prbi.g_00500
OG0000007	Praj.g_01768	Prbi.g_01787
OG0000008	Praj.g_01829	Prbi.g_01764
OG0000008	Praj.g_01830	Prbi.g_01540, Prbi.g_01765, Prbi.g_01539
OG0000010	Praj.g_01026, Praj.g_00466	Prbi.g_00477
OG0000011	Praj.g_01187	Prbi.g_01361
OG0000011	Praj.g_01323	Prbi.g_00426
OG0000012	Praj.g_01066	Prbi.g_00625
OG0000013	Praj.g_00362	Prbi.g_00351
OG0000014	Praj.g_00341	Prbi.g_00330
OG0000014	Praj.g_01609	Prbi.g_01475
OG0000015	Praj.g_01113	Prbi.g_00810, Prbi.g_01304
OG0000016	Praj.g_00013	Prbi.g_00013
OG0000017	Praj.g_00592	Prbi.g_00600
OG0000018	Praj.g_01482	Prbi.g_01188
OG0000018	Praj.g_00798	Prbi.g_00874
OG0000019	Praj.g_00747	Prbi.g_00827
OG0000020	Praj.g_01025	Prbi.g_01153
OG0000021	Praj.g_01859	Prbi.g_01742, Prbi.g_00389
OG0000022	Praj.g_01189	Prbi.g_00805
OG0000022	Praj.g_01216	Prbi.g_01170
OG0000023	Praj.g_01365, Praj.g_01329	Prbi.g_00384
OG0000024	Praj.g_01134	Prbi.g_00788
OG0000024	Praj.g_00666	Prbi.g_00678
OG0000025	Praj.g_00805	Prbi.g_00882, Prbi.g_00355
OG0000026	Praj.g_00031	Prbi.g_00031, Prbi.g_01101
OG0000027	Praj.g_01331	Prbi.g_00472, Prbi.g_01374
OG0000028	Praj.g_01571	Prbi.g_01319, Prbi.g_01768
OG0000029	Praj.g_01745	Prbi.g_00796
OG0000030	Praj.g_02024	Prbi.g_02004
OG0000031	Praj.g_00371	Prbi.g_01467
OG0000033	Praj.g_00209	Prbi.g_00193
OG0000034	Praj.g_01538	Prbi.g_01401
OG0000035	Praj.g_01632	Prbi.g_01589, Prbi.g_01591
OG0000037	Praj.g_00147	Prbi.g_00116
OG0000038	Praj.g_02089	Prbi.g_02057
OG0000039	Praj.g_00679	Prbi.g_00689
OG0000040	Praj.g_01735	Prbi.g_01738
OG0000041	Praj.g_01813	Prbi.g_01833
OG0000042	Praj.g_02020	Prbi.g_02001
OG0000043	Praj.g_00864	Prbi.g_00918
OG0000043	Praj.g_01157	Prbi.g_01334
OG0000045	Praj.g_01049	Prbi.g_00395
OG0000047	Praj.g_00370	Prbi.g_00354
OG0000048	Praj.g_00308	Prbi.g_00398
OG0000050	Praj.g_00099	Prbi.g_01122
OG0000051	Praj.g_01347	Prbi.g_01281
OG0000053	Praj.g_01651	Prbi.g_01611
OG0000054	Praj.g_00594	Prbi.g_00608
OG0000055	Praj.g_00733	Prbi.g_00828
OG0000057	Praj.g_00691, Praj.g_01313	Prbi.g_00702
OG0000058	Praj.g_00839	Prbi.g_01461
OG0000059	Praj.g_01892	Prbi.g_01873, Prbi.g_01717
OG0000061	Praj.g_01461	Prbi.g_01207
OG0000062	Praj.g_01714	Prbi.g_01482, Prbi.g_01668
OG0000063	Praj.g_01867	Prbi.g_00033
OG0000065	Praj.g_00145	Prbi.g_00114
OG0000066	Praj.g_00530	Prbi.g_00542
OG0000067	Praj.g_00769	Prbi.g_00847
OG0000068	Praj.g_01575	Prbi.g_01439
OG0000069	Praj.g_01276, Praj.g_01675	Prbi.g_01702
OG0000070	Praj.g_00444	Prbi.g_00451
OG0000071	Praj.g_01528	Prbi.g_01391
OG0000072	Praj.g_00211	Prbi.g_00195
OG0000073	Praj.g_00491	Prbi.g_00502
OG0000074	Praj.g_00674	Prbi.g_00685
OG0000075	Praj.g_01987	Prbi.g_01970
OG0000076	Praj.g_02012	Prbi.g_01994
OG0000077	Praj.g_00116	Prbi.g_00085
OG0000078	Praj.g_00280	Prbi.g_00263
OG0000079	Praj.g_00291	Prbi.g_00276
OG0000081	Praj.g_00522	Prbi.g_00534
