Orthogroup	Praj	Syaq
OG0000004	Praj.g_01396	Syaq.g_02603
OG0000004	Praj.g_00271	Syaq.g_02042, Syaq.g_01567
OG0000005	Praj.g_01349	Syaq.g_01658
OG0000005	Praj.g_01712	Syaq.g_01692
OG0000006	Praj.g_00282, Praj.g_01281, Praj.g_01505	Syaq.g_02558, Syaq.g_00696, Syaq.g_01590
OG0000007	Praj.g_00489	Syaq.g_01793
OG0000007	Praj.g_01768	Syaq.g_01673
OG0000008	Praj.g_01829	Syaq.g_02162
OG0000008	Praj.g_01830	Syaq.g_02575
OG0000010	Praj.g_01026, Praj.g_00466	Syaq.g_00443
OG0000011	Praj.g_01187, Praj.g_01323, Praj.g_01158	Syaq.g_01038
OG0000013	Praj.g_00362	Syaq.g_00569, Syaq.g_00572, Syaq.g_02023
OG0000014	Praj.g_00341	Syaq.g_00862
OG0000015	Praj.g_01113	Syaq.g_02255
OG0000016	Praj.g_00013	Syaq.g_01136
OG0000016	Praj.g_01865	Syaq.g_00169
OG0000017	Praj.g_00592	Syaq.g_01992
OG0000018	Praj.g_01482, Praj.g_00798	Syaq.g_00401
OG0000019	Praj.g_00747	Syaq.g_00717
OG0000022	Praj.g_01189, Praj.g_01216	Syaq.g_02126
OG0000023	Praj.g_01365, Praj.g_01329	Syaq.g_02540
OG0000025	Praj.g_00805	Syaq.g_02381
OG0000026	Praj.g_00031	Syaq.g_01114
OG0000028	Praj.g_01571	Syaq.g_00878
OG0000030	Praj.g_02024	Syaq.g_01047, Syaq.g_01048
OG0000031	Praj.g_00371	Syaq.g_01009
OG0000032	Praj.g_01669	Syaq.g_00421
OG0000033	Praj.g_00209	Syaq.g_01399
OG0000034	Praj.g_01538	Syaq.g_00312, Syaq.g_01431
OG0000035	Praj.g_01632	Syaq.g_00372
OG0000037	Praj.g_00147	Syaq.g_01483
OG0000038	Praj.g_02089	Syaq.g_01260, Syaq.g_01258
OG0000039	Praj.g_00679	Syaq.g_01601, Syaq.g_01241
OG0000042	Praj.g_02020	Syaq.g_00200, Syaq.g_01044
OG0000043	Praj.g_01157	Syaq.g_01920
OG0000045	Praj.g_01049	Syaq.g_02047
OG0000046	Praj.g_00363	Syaq.g_00570, Syaq.g_00573
OG0000048	Praj.g_00308	Syaq.g_00749
OG0000053	Praj.g_01651	Syaq.g_00397
OG0000054	Praj.g_00594	Syaq.g_02005
OG0000055	Praj.g_00733	Syaq.g_02700
OG0000057	Praj.g_00691, Praj.g_01313	Syaq.g_02605
OG0000058	Praj.g_00839	Syaq.g_00944
OG0000059	Praj.g_01892	Syaq.g_00657
OG0000060	Praj.g_01108	Syaq.g_00201
OG0000061	Praj.g_01461	Syaq.g_00249
OG0000063	Praj.g_01867	Syaq.g_01110
OG0000065	Praj.g_00145	Syaq.g_01908, Syaq.g_01487
OG0000066	Praj.g_00530	Syaq.g_01851
OG0000067	Praj.g_00769	Syaq.g_02340
OG0000068	Praj.g_01575	Syaq.g_01763
OG0000070	Praj.g_00444	Syaq.g_00484
OG0000071	Praj.g_01528	Syaq.g_00297
OG0000072	Praj.g_00211	Syaq.g_01397
OG0000073	Praj.g_00491	Syaq.g_01795
OG0000075	Praj.g_01987	Syaq.g_00986
OG0000076	Praj.g_02012	Syaq.g_01028
OG0000077	Praj.g_00116	Syaq.g_01547
OG0000078	Praj.g_00280	Syaq.g_01585
OG0000079	Praj.g_00291	Syaq.g_00721
OG0000081	Praj.g_00522	Syaq.g_01893
OG0000082	Praj.g_01827	Syaq.g_01975
OG0000084	Praj.g_01628	Syaq.g_00367
OG0000085	Praj.g_01762	Syaq.g_01683
OG0000086	Praj.g_00126	Syaq.g_01525
OG0000087	Praj.g_00179	Syaq.g_01438
OG0000088	Praj.g_00206	Syaq.g_01402
OG0000089	Praj.g_00403	Syaq.g_00529
OG0000090	Praj.g_00524	Syaq.g_01838
OG0000091	Praj.g_00630	Syaq.g_02090
OG0000094	Praj.g_00846	Syaq.g_02554
OG0000097	Praj.g_01416	Syaq.g_00167
OG0000098	Praj.g_01546	Syaq.g_02221
OG0000099	Praj.g_00372	Syaq.g_00882
OG0000100	Praj.g_01709	Syaq.g_02371
OG0000101	Praj.g_01952	Syaq.g_00607
OG0000102	Praj.g_02017	Syaq.g_01033
OG0000103	Praj.g_02135	Syaq.g_01170
OG0000104	Praj.g_02145	Syaq.g_01154
OG0000105	Praj.g_00310	Syaq.g_00754
OG0000106	Praj.g_01156, Praj.g_01282	Syaq.g_01863
OG0000108	Praj.g_00473	Syaq.g_01772
OG0000109	Praj.g_00486	Syaq.g_01788
OG0000110	Praj.g_00565	Syaq.g_01962
OG0000111	Praj.g_00692	Syaq.g_02606
OG0000112	Praj.g_00938	Syaq.g_02476
OG0000114	Praj.g_00887	Syaq.g_02269
OG0000115	Praj.g_01725	Syaq.g_00395
OG0000116	Praj.g_01471	Syaq.g_00263
OG0000117	Praj.g_01355	Syaq.g_00203
OG0000118	Praj.g_01540	Syaq.g_00325, Syaq.g_00316
OG0000120	Praj.g_00664	Syaq.g_00883
OG0000121	Praj.g_01634	Syaq.g_00375
OG0000122	Praj.g_01673	Syaq.g_02118
OG0000123	Praj.g_01959	Syaq.g_00599
OG0000124	Praj.g_02031	Syaq.g_01055
OG0000125	Praj.g_02091	Syaq.g_01256
OG0000126	Praj.g_02144	Syaq.g_01156
OG0000128	Praj.g_00011	Syaq.g_01138
OG0000129	Praj.g_00048	Syaq.g_01269
OG0000130	Praj.g_00107	Syaq.g_01559
OG0000131	Praj.g_00185	Syaq.g_01427, Syaq.g_01424
OG0000132	Praj.g_00204	Syaq.g_01404
OG0000133	Praj.g_00357	Syaq.g_02481
OG0000134	Praj.g_00405	Syaq.g_00526
OG0000135	Praj.g_01279	Syaq.g_01227
OG0000136	Praj.g_00435	Syaq.g_00496
OG0000137	Praj.g_00467	Syaq.g_00442
OG0000138	Praj.g_00487	Syaq.g_01789
OG0000139	Praj.g_00528	Syaq.g_01844
OG0000140	Praj.g_00529	Syaq.g_01848
OG0000141	Praj.g_00595	Syaq.g_02010
OG0000142	Praj.g_00623	Syaq.g_02082
OG0000143	Praj.g_00627	Syaq.g_02086
OG0000144	Praj.g_00640	Syaq.g_02152
OG0000145	Praj.g_01054	Syaq.g_01796
OG0000146	Praj.g_00937	Syaq.g_02475
OG0000147	Praj.g_00936	Syaq.g_02474
OG0000148	Praj.g_00787	Syaq.g_02359
OG0000149	Praj.g_00819	Syaq.g_02395
OG0000150	Praj.g_00828	Syaq.g_02011
OG0000151	Praj.g_00898	Syaq.g_02283
OG0000152	Praj.g_01601, Praj.g_00946	Syaq.g_02485
OG0000153	Praj.g_00965	Syaq.g_02518
OG0000154	Praj.g_00995	Syaq.g_00066
OG0000155	Praj.g_01440	Syaq.g_00212
OG0000156	Praj.g_01517	Syaq.g_00281
OG0000157	Praj.g_01518	Syaq.g_00282
OG0000158	Praj.g_01995	Syaq.g_01003
OG0000159	Praj.g_02043	Syaq.g_00918
OG0000159	Praj.g_02035	Syaq.g_00941
OG0000160	Praj.g_01633	Syaq.g_00374
OG0000161	Praj.g_01639	Syaq.g_00382
OG0000162	Praj.g_01645	Syaq.g_00389
OG0000163	Praj.g_01681	Syaq.g_01730
OG0000164	Praj.g_01790	Syaq.g_01642
OG0000165	Praj.g_01798	Syaq.g_01630
OG0000166	Praj.g_01915	Syaq.g_00647
OG0000167	Praj.g_01985	Syaq.g_00983
OG0000168	Praj.g_01996	Syaq.g_01004
OG0000169	Praj.g_02006	Syaq.g_01016
OG0000170	Praj.g_02008	Syaq.g_01023
OG0000171	Praj.g_02030	Syaq.g_01052
OG0000172	Praj.g_02061	Syaq.g_01074
OG0000173	Praj.g_02076	Syaq.g_01092
OG0000174	Praj.g_02107	Syaq.g_01224
OG0000175	Praj.g_02125	Syaq.g_01183
OG0000176	Praj.g_00004	Syaq.g_01146
OG0000177	Praj.g_00005	Syaq.g_01145
OG0000178	Praj.g_00006	Syaq.g_01144
OG0000179	Praj.g_00016	Syaq.g_01129
OG0000180	Praj.g_00017	Syaq.g_01128
OG0000181	Praj.g_00018	Syaq.g_01127
OG0000182	Praj.g_00019	Syaq.g_01126
OG0000183	Praj.g_00023	Syaq.g_01122
OG0000184	Praj.g_00050	Syaq.g_01277
OG0000185	Praj.g_00053	Syaq.g_01290
OG0000186	Praj.g_00102	Syaq.g_01563
OG0000187	Praj.g_00103	Syaq.g_01561
OG0000188	Praj.g_00120	Syaq.g_01539
OG0000189	Praj.g_00134	Syaq.g_01499
OG0000190	Praj.g_00135	Syaq.g_01497
OG0000191	Praj.g_00158	Syaq.g_01467
OG0000192	Praj.g_00162	Syaq.g_01462
OG0000193	Praj.g_00186	Syaq.g_01423
OG0000194	Praj.g_00189	Syaq.g_01420
OG0000195	Praj.g_00191	Syaq.g_01418
OG0000196	Praj.g_00201	Syaq.g_01407
OG0000197	Praj.g_00202	Syaq.g_01406
OG0000198	Praj.g_00203	Syaq.g_01405
OG0000199	Praj.g_00210	Syaq.g_01398
OG0000200	Praj.g_00223	Syaq.g_01382
OG0000201	Praj.g_00232	Syaq.g_01365
OG0000202	Praj.g_00233	Syaq.g_01364
OG0000203	Praj.g_00234	Syaq.g_01363
OG0000204	Praj.g_00235	Syaq.g_01362
OG0000205	Praj.g_00242	Syaq.g_01355
OG0000206	Praj.g_00246	Syaq.g_01345
OG0000207	Praj.g_00248	Syaq.g_01338
OG0000208	Praj.g_00249	Syaq.g_01337
OG0000209	Praj.g_00258	Syaq.g_01310
OG0000210	Praj.g_00259	Syaq.g_01309
OG0000211	Praj.g_00273	Syaq.g_01570
OG0000212	Praj.g_00281	Syaq.g_01586
OG0000213	Praj.g_00296	Syaq.g_00729
OG0000214	Praj.g_00304	Syaq.g_00745
OG0000215	Praj.g_00328	Syaq.g_00777
OG0000216	Praj.g_00329	Syaq.g_00781
OG0000217	Praj.g_00332	Syaq.g_00844
OG0000218	Praj.g_00334	Syaq.g_00846
OG0000219	Praj.g_00335	Syaq.g_00847
