Orthogroup	Praj	Prao
OG0000000	Praj.g_00419, Praj.g_01356, Praj.g_01076, Praj.g_01201, Praj.g_01271, Praj.g_01308	Prao.g_01294
OG0000000	Praj.g_01272, Praj.g_01309, Praj.g_01078, Praj.g_00417, Praj.g_01202	Prao.g_01515
OG0000000	Praj.g_00087	Prao.g_01514, Prao.g_01029
OG0000000	Praj.g_01267	Prao.g_01528, Prao.g_01297
OG0000001	Praj.g_01112	Prao.g_01852
OG0000002	Praj.g_00832	Prao.g_01246
OG0000002	Praj.g_01489, Praj.g_01488, Praj.g_01493, Praj.g_01487, Praj.g_01492, Praj.g_00670	Prao.g_00116
OG0000004	Praj.g_01396	Prao.g_00133
OG0000004	Praj.g_00271	Prao.g_00370
OG0000005	Praj.g_01349	Prao.g_01565
OG0000005	Praj.g_01712	Prao.g_01472
OG0000006	Praj.g_00282, Praj.g_01281, Praj.g_01505	Prao.g_00379
OG0000007	Praj.g_00489	Prao.g_00603
OG0000007	Praj.g_01768	Prao.g_01552
OG0000010	Praj.g_01026, Praj.g_00466	Prao.g_00580
OG0000011	Praj.g_01187	Prao.g_01307
OG0000011	Praj.g_01323	Prao.g_00529
OG0000012	Praj.g_01066	Prao.g_00062
OG0000013	Praj.g_00362	Prao.g_00463
OG0000014	Praj.g_00341, Praj.g_01609	Prao.g_01213
OG0000015	Praj.g_01113	Prao.g_00703
OG0000016	Praj.g_00013	Prao.g_00160
OG0000017	Praj.g_00592	Prao.g_00036
OG0000018	Praj.g_01482	Prao.g_01108
OG0000018	Praj.g_00798	Prao.g_00768
OG0000019	Praj.g_00747	Prao.g_00720
OG0000020	Praj.g_01025	Prao.g_01145
OG0000021	Praj.g_01859	Prao.g_01346, Prao.g_00500
OG0000022	Praj.g_01189	Prao.g_00699
OG0000022	Praj.g_01216	Prao.g_01126
OG0000023	Praj.g_01365, Praj.g_01329	Prao.g_00494
OG0000024	Praj.g_01134	Prao.g_00683
OG0000024	Praj.g_00666	Prao.g_00114
OG0000025	Praj.g_00805	Prao.g_00776, Prao.g_00467
OG0000026	Praj.g_00031	Prao.g_00177, Prao.g_00992
OG0000027	Praj.g_01331	Prao.g_00576, Prao.g_01293
OG0000028	Praj.g_01571	Prao.g_01348
OG0000029	Praj.g_01745	Prao.g_00690
OG0000030	Praj.g_02024	Prao.g_01753
OG0000031	Praj.g_00371	Prao.g_01355, Prao.g_01364
OG0000033	Praj.g_00209	Prao.g_00307
OG0000034	Praj.g_01538	Prao.g_01266
