Orthogroup	Praj	Prbg
OG0000000	Praj.g_01099, Praj.g_01737, Praj.g_00415, Praj.g_01204, Praj.g_01274, Praj.g_01311	Prbg.g_01524
OG0000000	Praj.g_00418, Praj.g_01077, Praj.g_01357, Praj.g_01730, Praj.g_01272, Praj.g_01309, Praj.g_01078, Praj.g_00417, Praj.g_01202	Prbg.g_01567
OG0000000	Praj.g_01307	Prbg.g_01523
OG0000000	Praj.g_01307	Prbg.g_01568
OG0000000	Praj.g_01359	Prbg.g_01523
OG0000000	Praj.g_01359	Prbg.g_01568
OG0000000	Praj.g_01732	Prbg.g_01523
OG0000000	Praj.g_01732	Prbg.g_01568
OG0000000	Praj.g_01100	Prbg.g_01583
OG0000001	Praj.g_01549	Prbg.g_00502
OG0000001	Praj.g_00463, Praj.g_01861	Prbg.g_01069
OG0000002	Praj.g_00832	Prbg.g_01222
OG0000002	Praj.g_01489	Prbg.g_01516
OG0000002	Praj.g_01488	Prbg.g_00523, Prbg.g_01514
OG0000002	Praj.g_01493, Praj.g_01487	Prbg.g_01521
OG0000002	Praj.g_01492	Prbg.g_00694
OG0000002	Praj.g_00670	Prbg.g_01119
OG0000004	Praj.g_01396	Prbg.g_01140
OG0000004	Praj.g_00271	Prbg.g_01014
OG0000005	Praj.g_01712	Prbg.g_00674
OG0000006	Praj.g_00282, Praj.g_01281, Praj.g_01505	Prbg.g_01024
OG0000007	Praj.g_00489	Prbg.g_00216
OG0000007	Praj.g_01768	Prbg.g_01650
OG0000008	Praj.g_01829	Prbg.g_00744
OG0000008	Praj.g_01830	Prbg.g_00745
OG0000010	Praj.g_01026	Prbg.g_01053, Prbg.g_01348
OG0000010	Praj.g_00466	Prbg.g_00193
OG0000011	Praj.g_01323	Prbg.g_00415
OG0000012	Praj.g_01066	Prbg.g_00706
OG0000013	Praj.g_00362	Prbg.g_00104
OG0000014	Praj.g_00341	Prbg.g_00086
OG0000015	Praj.g_01113	Prbg.g_01589, Prbg.g_01635
OG0000016	Praj.g_01865	Prbg.g_01544
OG0000017	Praj.g_00592	Prbg.g_00317
OG0000018	Praj.g_01482	Prbg.g_01508
OG0000018	Praj.g_00798	Prbg.g_01187
OG0000019	Praj.g_00747	Prbg.g_01510
OG0000020	Praj.g_01025	Prbg.g_00698
OG0000020	Praj.g_01139	Prbg.g_00727
OG0000021	Praj.g_01859	Prbg.g_00699
OG0000021	Praj.g_00084	Prbg.g_01145
OG0000022	Praj.g_01189	Prbg.g_00682
OG0000023	Praj.g_01365, Praj.g_01329	Prbg.g_00013
OG0000024	Praj.g_01134	Prbg.g_01352
OG0000024	Praj.g_00666	Prbg.g_01116
OG0000025	Praj.g_00805	Prbg.g_01195
OG0000026	Praj.g_00031	Prbg.g_00842
OG0000027	Praj.g_01331	Prbg.g_00721
OG0000028	Praj.g_01571	Prbg.g_00743
OG0000029	Praj.g_01745	Prbg.g_00734, Prbg.g_01581
OG0000030	Praj.g_02024	Prbg.g_01858
OG0000031	Praj.g_00371	Prbg.g_00550
OG0000032	Praj.g_01669	Prbg.g_00630
OG0000033	Praj.g_00209	Prbg.g_00947
OG0000034	Praj.g_01538	Prbg.g_00488
OG0000037	Praj.g_00147	Prbg.g_00881
