Orthogroup	Praj	Syal
OG0000000	Praj.g_00419, Praj.g_01356, Praj.g_01076, Praj.g_01201, Praj.g_01271, Praj.g_01308, Praj.g_01099, Praj.g_01737, Praj.g_00415, Praj.g_01204, Praj.g_01274, Praj.g_01311, Praj.g_01736, Praj.g_00418, Praj.g_01077, Praj.g_01357, Praj.g_01730, Praj.g_01272, Praj.g_01309, Praj.g_01078, Praj.g_00417, Praj.g_01202, Praj.g_01307, Praj.g_01359, Praj.g_01732, Praj.g_01100, Praj.g_01080, Praj.g_00087, Praj.g_01267	Syal.g_01111, Syal.g_01832
OG0000001	Praj.g_01549, Praj.g_01828, Praj.g_00463, Praj.g_01861, Praj.g_01112	Syal.g_02193
OG0000004	Praj.g_01396	Syal.g_01809
OG0000004	Praj.g_00271	Syal.g_02718, Syal.g_00691
OG0000005	Praj.g_01349	Syal.g_00606
OG0000005	Praj.g_01712	Syal.g_00565
OG0000006	Praj.g_00282, Praj.g_01281, Praj.g_01505	Syal.g_00674
OG0000007	Praj.g_00489	Syal.g_02918
OG0000007	Praj.g_01768	Syal.g_00587
OG0000008	Praj.g_01829	Syal.g_02512
OG0000008	Praj.g_01830	Syal.g_01783
OG0000010	Praj.g_01026, Praj.g_00466	Syal.g_00464
OG0000011	Praj.g_01323	Syal.g_00702
OG0000013	Praj.g_00362	Syal.g_00322, Syal.g_00310, Syal.g_00315
OG0000014	Praj.g_00341	Syal.g_01305
OG0000016	Praj.g_00013	Syal.g_00111
OG0000016	Praj.g_01865	Syal.g_01734
OG0000017	Praj.g_00592	Syal.g_02752
OG0000018	Praj.g_01482, Praj.g_00798	Syal.g_00410
OG0000019	Praj.g_00747	Syal.g_01209
OG0000022	Praj.g_01189, Praj.g_01216	Syal.g_02587
OG0000023	Praj.g_01365, Praj.g_01329	Syal.g_02485, Syal.g_02858, Syal.g_01894
OG0000024	Praj.g_01134, Praj.g_00666	Syal.g_02597
OG0000025	Praj.g_00805	Syal.g_02459
OG0000026	Praj.g_00031	Syal.g_00132
OG0000027	Praj.g_01331	Syal.g_02543
OG0000028	Praj.g_01571	Syal.g_01319
OG0000029	Praj.g_01745	Syal.g_03014
OG0000030	Praj.g_02024	Syal.g_01511, Syal.g_01512
OG0000032	Praj.g_01669	Syal.g_00428
OG0000033	Praj.g_00209	Syal.g_00912
OG0000034	Praj.g_01538	Syal.g_00881, Syal.g_01586
OG0000035	Praj.g_01632	Syal.g_00370
OG0000037	Praj.g_00147	Syal.g_00824
OG0000038	Praj.g_02089	Syal.g_01071, Syal.g_01073
OG0000039	Praj.g_00679	Syal.g_01097
OG0000040	Praj.g_01844, Praj.g_01735	Syal.g_01187
OG0000041	Praj.g_01813	Syal.g_00649
OG0000042	Praj.g_02020	Syal.g_01705, Syal.g_01508
OG0000043	Praj.g_00864	Syal.g_02183
OG0000043	Praj.g_01157	Syal.g_02547
OG0000045	Praj.g_01303	Syal.g_01563
OG0000046	Praj.g_00363	Syal.g_00309, Syal.g_00316, Syal.g_00321
OG0000047	Praj.g_00408, Praj.g_00370	Syal.g_01568
OG0000048	Praj.g_00308	Syal.g_01250
OG0000053	Praj.g_01651	Syal.g_00406
OG0000054	Praj.g_00594	Syal.g_02739
OG0000055	Praj.g_00733	Syal.g_01845
OG0000057	Praj.g_00691, Praj.g_01313	Syal.g_01812
OG0000058	Praj.g_00839	Syal.g_01326
OG0000059	Praj.g_01892	Syal.g_00225
OG0000060	Praj.g_01108	Syal.g_02214
OG0000061	Praj.g_01461	Syal.g_01653
OG0000062	Praj.g_01714	Syal.g_02113
OG0000063	Praj.g_01867	Syal.g_00136
OG0000065	Praj.g_00145	Syal.g_00820, Syal.g_02528
OG0000066	Praj.g_00530	Syal.g_02828
OG0000067	Praj.g_00769	Syal.g_02414
OG0000068	Praj.g_01575	Syal.g_02888
